Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,13.5440511886,61.8757449608
 01/01  02:00:00,9.46900160067,3.0211
 01/01  03:00:00,9.490030378239998,3.59315820536
 01/01  04:00:00,9.503266486460001,3.0211
 01/01  05:00:00,9.65383261851,3.5931641308
 01/01  06:00:00,13.6918076664,68.481361048
 01/01  07:00:00,28.167788560300004,71.147692014
 01/01  08:00:00,28.1205355815,75.4256016451
 01/01  09:00:00,21.2217752166,70.413585597
 01/01  10:00:00,20.5987714858,69.4383094688
 01/01  11:00:00,25.5964640273,84.73760555
 01/01  12:00:00,26.7565404913,84.3681281769
 01/01  13:00:00,25.8210539421,74.8417125271
 01/01  14:00:00,25.6186116579,69.0008191946
 01/01  15:00:00,20.6183996728,57.252218061099995
 01/01  16:00:00,20.6051866577,54.6769886254
 01/01  17:00:00,20.525213887899998,58.930194648000004
 01/01  18:00:00,28.0590440216,62.976149694300005
 01/01  19:00:00,28.0631302078,64.4543450716
 01/01  20:00:00,28.206098166599997,65.6256644188
 01/01  21:00:00,23.189948202100002,63.62245975810001
 01/01  22:00:00,23.1244421023,65.8792628093
 01/01  23:00:00,23.020373007699998,62.6401390704
 01/01  24:00:00,24.2204277564,48.71715008859999
 01/02  01:00:00,13.7416183638,54.322830993100006
 01/02  02:00:00,9.47475352924,3.5931925010100003
 01/02  03:00:00,9.498908475139999,3.0211
 01/02  04:00:00,9.51323468139,3.59314667487
 01/02  05:00:00,9.664924683310002,3.0211
 01/02  06:00:00,13.6964022445,55.3181924279
 01/02  07:00:00,28.1735054779,58.63666732430001
 01/02  08:00:00,28.1275558488,67.5763029298
 01/02  09:00:00,21.2277339184,65.44510583
 01/02  10:00:00,20.6033559505,64.73250438779999
 01/02  11:00:00,25.601645027100002,76.7947180054
 01/02  12:00:00,26.7573346569,79.53491194770001
 01/02  13:00:00,25.8239080015,70.56231064239999
 01/02  14:00:00,25.6241697504,65.8473754904
 01/02  15:00:00,20.6220895212,60.6182885954
 01/02  16:00:00,20.6053677948,63.2245390201
 01/02  17:00:00,20.5237777816,67.422069524
 01/02  18:00:00,28.058206818400002,69.9184211929
 01/02  19:00:00,28.0619881216,71.5986173368
 01/02  20:00:00,28.205289719499998,72.8925812102
 01/02  21:00:00,23.190092364499996,72.6261857837
 01/02  22:00:00,23.123257265,73.3673044023
 01/02  23:00:00,23.0182380754,70.8014868556
 01/02  24:00:00,24.2180385048,57.942083743199994
 01/03  01:00:00,13.7405180266,64.0520361807
 01/03  02:00:00,9.46786887448,3.5931803580699997
 01/03  03:00:00,9.488908805369999,3.0211
 01/03  04:00:00,9.502098528260001,3.5931862684199993
 01/03  05:00:00,10.1696238529,3.0211
 01/03  06:00:00,14.202822827,70.55930949319999
 01/03  07:00:00,28.3953860077,73.337839106
 01/03  08:00:00,28.118407220300004,81.4992577643
 01/03  09:00:00,21.219969469400002,76.2169488696
 01/03  10:00:00,20.5963631473,75.6632657255
 01/03  11:00:00,25.5924671729,89.5008344205
 01/03  12:00:00,26.750547207600004,93.5153820076
 01/03  13:00:00,25.8139871385,84.6694411271
 01/03  14:00:00,25.6125451243,78.7143142843
 01/03  15:00:00,20.6132259419,72.2425457951
 01/03  16:00:00,20.5992561674,73.59319467739999
 01/03  17:00:00,20.5183218436,77.2299647067
 01/03  18:00:00,28.050710862,79.60274335
 01/03  19:00:00,28.0522169561,81.8319367585
 01/03  20:00:00,28.0519604554,85.3820334119
 01/03  21:00:00,23.0477833109,84.1066199039
 01/03  22:00:00,23.0141687743,85.0429829646
 01/03  23:00:00,23.012950881,83.6164318093
 01/03  24:00:00,24.217003246799997,70.8311876045
 01/04  01:00:00,13.741091461300002,77.3150681188
 01/04  02:00:00,9.457592201719999,3.5931960902699993
 01/04  03:00:00,9.47467541726,3.0211
 01/04  04:00:00,9.487348198010002,3.5931650942199997
 01/04  05:00:00,9.63725171506,3.0211
 01/04  06:00:00,13.6871560406,85.25503186569999
 01/04  07:00:00,28.1662161091,86.1490083976
 01/04  08:00:00,28.1151580938,93.3375065234
 01/04  09:00:00,21.218253995799998,87.44357220639999
 01/04  10:00:00,20.5962925878,84.0667959361
 01/04  11:00:00,25.592293822800002,93.80801244879999
 01/04  12:00:00,26.7506215625,91.1410612252
 01/04  13:00:00,25.8174144895,79.6819522489
 01/04  14:00:00,25.616225283400002,73.1159152269
 01/04  15:00:00,20.6160436708,65.52985929229999
 01/04  16:00:00,20.6009170445,65.2325513642
 01/04  17:00:00,20.5198119321,69.4951202852
 01/04  18:00:00,27.4202396553,74.6430710425
 01/04  19:00:00,28.0529872351,79.1599484579
 01/04  20:00:00,28.1953216975,80.16135524890001
