Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,21.5517096024,160.404547676
 01/01  02:00:00,19.9843292047,126.28614473299999
 01/01  03:00:00,21.3724415054,153.481640246
 01/01  04:00:00,19.9500834537,124.57566686700001
 01/01  05:00:00,21.3426108895,152.187959451
 01/01  06:00:00,19.9469236123,124.592592787
 01/01  07:00:00,21.3961815071,155.20475028
 01/01  08:00:00,20.117694842,134.97467248200002
 01/01  09:00:00,14.389748775,176.22412615099998
 01/01  10:00:00,11.353133610699999,143.748687754
 01/01  11:00:00,12.188500595199999,146.769765095
 01/01  12:00:00,10.307095073400001,93.76745915629999
 01/01  13:00:00,11.1833406595,103.821756092
 01/01  14:00:00,10.043861366,78.21539302560001
 01/01  15:00:00,11.198072939200001,100.313747795
 01/01  16:00:00,10.1574798043,81.6708978426
 01/01  17:00:00,11.4836346562,110.932390021
 01/01  18:00:00,17.9407115271,96.56786592809999
 01/01  19:00:00,20.910561533499997,131.656224356
 01/01  20:00:00,19.7740631085,114.776284784
 01/01  21:00:00,21.534823648299998,162.185975605
 01/01  22:00:00,20.3160508273,141.983109454
 01/01  23:00:00,21.7086805866,167.184587005
 01/01  24:00:00,20.2197937748,138.4958462
 01/02  01:00:00,21.8431525289,175.041598435
 01/02  02:00:00,20.533438845899997,155.963365278
 01/02  03:00:00,22.159573815999998,188.67074299
 01/02  04:00:00,20.4803409646,152.509147151
 01/02  05:00:00,21.927944819,179.17649773
 01/02  06:00:00,20.3328655914,145.464146998
 01/02  07:00:00,26.6184087667,210.030122576
 01/02  08:00:00,47.108481268199995,177.75549323099997
 01/02  09:00:00,59.151120758199994,155.55522874
 01/02  10:00:00,69.6380029624,123.081302388
 01/02  11:00:00,69.6380029624,97.7553778441
 01/02  12:00:00,69.6380029624,83.8820835655
 01/02  13:00:00,63.0949402947,80.731730777
 01/02  14:00:00,69.3365726032,75.65839512720001
 01/02  15:00:00,69.3365726032,72.6679248942
 01/02  16:00:00,69.3613746333,70.8297064987
 01/02  17:00:00,69.3613746333,71.8274767769
 01/02  18:00:00,31.541320682600002,69.9537172573
 01/02  19:00:00,19.308037381800002,90.8134562496
 01/02  20:00:00,20.88385792,133.971066115
