Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,262.064118875,599.061149943
 01/01  02:00:00,258.250194276,624.181276662
 01/01  03:00:00,263.492420144,888.4768706680001
 01/01  04:00:00,258.317251424,624.62852995
 01/01  05:00:00,275.799452312,882.186929802
 01/01  06:00:00,295.03905670299997,619.930386733
 01/01  07:00:00,349.157950181,840.234601771
 01/01  08:00:00,368.371311845,584.9772373559999
 01/01  09:00:00,339.353501428,756.30682306
 01/01  10:00:00,280.25267573,433.15662966800005
 01/01  11:00:00,236.417544254,539.539134482
 01/01  12:00:00,231.22887207,347.113662265
 01/01  13:00:00,236.253225173,442.91559145400004
 01/01  14:00:00,231.166740398,321.84776527099996
 01/01  15:00:00,236.200552368,428.99841219300004
 01/01  16:00:00,231.13750814099998,316.108090753
 01/01  17:00:00,293.618750653,441.310957886
 01/01  18:00:00,367.97186334099996,345.39355848099996
 01/01  19:00:00,373.02452805300004,478.988953335
 01/01  20:00:00,343.53515417200003,363.955175955
 01/01  21:00:00,348.589260337,500.36192769
 01/01  22:00:00,319.096348151,377.59364556300005
 01/01  23:00:00,299.699968857,508.13703878
 01/01  24:00:00,270.205666602,382.469802679
 01/02  01:00:00,312.847896339,486.19895358199994
 01/02  02:00:00,307.794528069,352.377771164
 01/02  03:00:00,312.831170889,475.00290217599996
 01/02  04:00:00,307.789828098,350.014867995
 01/02  05:00:00,325.048190809,472.573141417
 01/02  06:00:00,369.372474198,347.884764409
 01/02  07:00:00,433.76197889400004,3516.10057443
 01/02  08:00:00,556.755043479,2903.374324
 01/02  09:00:00,1069.70176557,2047.82194895
 01/02  10:00:00,1015.48340218,1718.10287728
 01/02  11:00:00,966.237611265,1488.27029836
 01/02  12:00:00,965.8951689989999,1251.96946904
 01/02  13:00:00,915.910661295,1189.12064199
 01/02  14:00:00,965.4125202619999,920.5628558660001
 01/02  15:00:00,965.259209325,803.0544905639999
 01/02  16:00:00,965.302481385,859.81209874
 01/02  17:00:00,1022.75807871,884.0812579389999
 01/02  18:00:00,952.67945997,944.5923902610001
 01/02  19:00:00,753.4361379489999,1074.17277623
 01/02  20:00:00,728.963278784,1055.26322017
 01/02  21:00:00,579.533667604,1163.77295605
 01/02  22:00:00,555.077092114,1163.98714736
 01/02  23:00:00,349.35703849199996,4.36281885692
 01/02  24:00:00,299.992278854,2.19133797772
 01/03  01:00:00,287.770082706,4.36237855787
 01/03  02:00:00,287.770082692,2.19145666966
 01/03  03:00:00,288.97265791,8.99715707208
 01/03  04:00:00,289.374388038,14.366022329100002
 01/03  05:00:00,301.999211206,16.350501635
 01/03  06:00:00,350.966374706,18.0648835774
 01/03  07:00:00,430.49434703099996,1582.78456309
 01/03  08:00:00,554.499148868,1501.78376523
 01/03  09:00:00,1068.0861132000002,996.100398875
 01/03  10:00:00,1014.21067069,863.418855249
 01/03  11:00:00,965.208792718,742.0249371580001
 01/03  12:00:00,964.964169877,501.356835971
 01/03  13:00:00,915.134449848,518.539717969
 01/03  14:00:00,964.9241291010001,474.28981658099997
 01/03  15:00:00,964.8718828039999,425.08579966300005
 01/03  16:00:00,964.917226708,475.281247511
 01/03  17:00:00,1022.45746065,583.313714773
 01/03  18:00:00,952.4904298719999,745.6861103580001
 01/03  19:00:00,753.323644055,909.709927493
 01/03  20:00:00,728.920941145,921.598735599
 01/03  21:00:00,579.510564961,1014.39354676
 01/03  22:00:00,555.0700318190001,1015.60175629
 01/03  23:00:00,349.35703971099997,4.36254157949
 01/03  24:00:00,299.992280496,2.19143353563
 01/04  01:00:00,287.770083848,2.19133815413
 01/04  02:00:00,288.973010514,10.6460579344
 01/04  03:00:00,289.37656699,12.975987225399999
 01/04  04:00:00,289.780447401,19.9658099485
 01/04  05:00:00,301.608113612,21.710725637
