Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,126.62977626600001,78.0867469823
 01/01  02:00:00,138.902798225,90.3548222691
 01/01  03:00:00,148.71431847600002,141.911526259
 01/01  04:00:00,150.50794212899999,117.991904281
 01/01  05:00:00,152.279872689,181.22951322
 01/01  06:00:00,148.053463053,136.512223349
 01/01  07:00:00,153.07335431299998,196.117651985
 01/01  08:00:00,134.970429334,106.86999901700001
 01/01  09:00:00,117.242690179,142.68092553600002
 01/01  10:00:00,115.142173329,98.7498306407
 01/01  11:00:00,111.846057512,92.3391869497
 01/01  12:00:00,104.83445245,47.6816115226
 01/01  13:00:00,104.93279844899999,47.2825762885
 01/01  14:00:00,103.664095857,21.6412295917
 01/01  15:00:00,102.922411195,14.908842890599999
 01/01  16:00:00,100.982950337,8.00175345036
 01/01  17:00:00,100.73540681,15.797834251600001
 01/01  18:00:00,120.950671721,13.9834642019
 01/01  19:00:00,121.60559301200001,18.1723389843
 01/01  20:00:00,122.511864332,22.7858162807
 01/01  21:00:00,122.356194286,26.6475853654
 01/01  22:00:00,122.46978165600001,47.6720313978
 01/01  23:00:00,121.85855524200001,45.3370901651
 01/01  24:00:00,123.133814288,50.2942973116
 01/02  01:00:00,121.852054265,60.0993189347
 01/02  02:00:00,126.94215880700001,74.10832984460001
 01/02  03:00:00,122.661692859,69.8578549545
 01/02  04:00:00,125.383876192,65.5557883905
 01/02  05:00:00,123.917025684,78.69152902020001
 01/02  06:00:00,125.78434004399999,68.8522829323
 01/02  07:00:00,194.381466993,2212.87875378
 01/02  08:00:00,370.211799896,1249.78293746
 01/02  09:00:00,444.038337121,878.27950576
 01/02  10:00:00,443.98190498699995,775.845887914
 01/02  11:00:00,449.914582231,611.066321394
 01/02  12:00:00,451.164980912,400.232850191
 01/02  13:00:00,455.423603206,340.062081714
 01/02  14:00:00,446.245583183,361.47058825
 01/02  15:00:00,443.933646146,383.800298572
 01/02  16:00:00,436.071170382,303.29223427799997
 01/02  17:00:00,434.651381125,149.783944556
 01/02  18:00:00,371.779563809,238.567382383
 01/02  19:00:00,373.658029666,230.67756566900002
 01/02  20:00:00,383.06066298400003,171.100388142
 01/02  21:00:00,371.03931269099996,263.343051899
 01/02  22:00:00,117.955692162,13.5257302028
 01/02  23:00:00,117.654604225,13.48391706
 01/02  24:00:00,118.62908253799999,4.85426
 01/03  01:00:00,117.664158807,13.176034223399999
 01/03  02:00:00,117.60326638,5.13371876942
 01/03  03:00:00,117.60519214700001,4.85426
 01/03  04:00:00,117.619647465,4.85426
 01/03  05:00:00,119.72704258200001,13.455811392100001
 01/03  06:00:00,119.354768319,4.85426
 01/03  07:00:00,193.99445761799998,1895.72751802
 01/03  08:00:00,371.350260376,1584.74649409
 01/03  09:00:00,446.10956886800005,1353.27163563
 01/03  10:00:00,446.160730306,1313.28445984
 01/03  11:00:00,452.171503765,1307.99931644
 01/03  12:00:00,452.68263036400003,1218.70743003
 01/03  13:00:00,451.352289355,1200.21821222
 01/03  14:00:00,445.386280746,1200.78178079
 01/03  15:00:00,445.37854018699994,1208.82352927
 01/03  16:00:00,437.519632647,1140.46364862
 01/03  17:00:00,432.476373585,1010.51785878
 01/03  18:00:00,370.642277391,1110.82093686
 01/03  19:00:00,370.673129402,1142.94470301
 01/03  20:00:00,370.336425775,1065.13052065
 01/03  21:00:00,370.138860375,1028.02011037
 01/03  22:00:00,117.40932076899999,13.526018060799998
 01/03  23:00:00,117.51084955399999,13.4839672697
 01/03  24:00:00,118.568643775,4.85426
 01/04  01:00:00,117.566559545,13.4559111055
 01/04  02:00:00,117.566616491,4.85426
 01/04  03:00:00,117.599475466,4.85426
 01/04  04:00:00,117.648456376,13.4560302755
 01/04  05:00:00,118.091987574,4.85426
 01/04  06:00:00,118.009440879,4.85426
 01/04  07:00:00,192.775219677,1413.69990647
 01/04  08:00:00,370.269911901,1381.46781371
 01/04  09:00:00,444.789785081,1230.04452324
 01/04  10:00:00,444.836928914,1174.09924932
 01/04  11:00:00,450.850103351,1173.47433299
 01/04  12:00:00,451.856575839,1125.92818119
 01/04  13:00:00,451.114694099,1174.522424
 01/04  14:00:00,445.362051404,1203.91996432
 01/04  15:00:00,445.345953202,1174.3959762
 01/04  16:00:00,437.474127563,1109.37272572
 01/04  17:00:00,432.41527735,991.82961577
 01/04  18:00:00,371.286869931,1184.62332981
 01/04  19:00:00,371.500093415,1246.03068973
 01/04  20:00:00,371.91202035,1230.43642129
 01/04  21:00:00,371.88935458699996,1237.44228621
 01/04  22:00:00,117.62853886399999,22.1967913479
 01/04  23:00:00,117.42990917700001,4.85426
 01/04  24:00:00,118.528870489,13.472205654100001
 01/05  01:00:00,119.06744385399999,5.18857414428
 01/05  02:00:00,118.89259497100001,5.15341536564
 01/05  03:00:00,121.00286051299999,14.4355914326
 01/05  04:00:00,121.306352929,6.25469707028
 01/05  05:00:00,122.965747647,7.64505155077
 01/05  06:00:00,125.107738004,18.5455567214
 01/05  07:00:00,195.556507119,2391.13552408
 01/05  08:00:00,372.103435291,2170.83429392
 01/05  09:00:00,446.283920909,1894.49933616
 01/05  10:00:00,446.286505192,1699.7002025
 01/05  11:00:00,452.262543821,1563.53305993
 01/05  12:00:00,453.27707857400003,1470.05224468
 01/05  13:00:00,452.22441809300005,1382.51458692
 01/05  14:00:00,446.247001053,1331.59178627
 01/05  15:00:00,446.232321683,1322.35691628
 01/05  16:00:00,438.366604736,1241.73991179
 01/05  17:00:00,433.32512931900004,1177.08509442
 01/05  18:00:00,371.504316491,1337.69867965
 01/05  19:00:00,371.525788965,1385.52267702
 01/05  20:00:00,371.935475643,1382.20882118
 01/05  21:00:00,371.91160092300004,1416.99745122
 01/05  22:00:00,118.649457774,13.764504475799999
 01/05  23:00:00,118.648191543,13.895442983299999
 01/05  24:00:00,120.289054471,5.6419101004400005
 01/06  01:00:00,118.89101420700001,14.4403922133
 01/06  02:00:00,119.679215203,6.3099641634
 01/06  03:00:00,121.894443636,7.51949095165
 01/06  04:00:00,121.87348036799999,16.9499056777
 01/06  05:00:00,124.30645990200001,9.36850604787
 01/06  06:00:00,123.656897192,10.3340506954
 01/06  07:00:00,196.099905,2152.93502257
 01/06  08:00:00,371.99398281699996,1816.46555399
 01/06  09:00:00,446.22459660699997,1573.35764745
 01/06  10:00:00,446.25395975699996,1502.41252174
 01/06  11:00:00,452.25057931699996,1449.75258408
 01/06  12:00:00,452.914380283,1255.95984768
 01/06  13:00:00,451.01022303400003,1120.1671517000002
 01/06  14:00:00,444.701105653,1071.02982542
 01/06  15:00:00,444.57258538199994,1020.76693846
 01/06  16:00:00,436.755156092,958.453282596
 01/06  17:00:00,431.78041172800005,891.574149153
 01/06  18:00:00,367.745087268,1123.48987237
 01/06  19:00:00,371.409709889,1190.68942751
 01/06  20:00:00,370.869241088,1086.69602531
 01/06  21:00:00,371.019592012,1147.6508486
 01/06  22:00:00,117.32285106100001,22.1967820769
 01/06  23:00:00,117.43570336100001,4.85426
 01/06  24:00:00,119.590888959,13.679573902000001
 01/07  01:00:00,118.740153349,5.14014957526
 01/07  02:00:00,119.07256470200001,5.2126088701099995
 01/07  03:00:00,118.907333814,13.869819865799998
 01/07  04:00:00,119.25810336,5.46101779012
 01/07  05:00:00,119.522542981,5.63217489206
 01/07  06:00:00,122.26387575,6.60390815723
 01/07  07:00:00,122.15594677,7.13781769985
 01/07  08:00:00,122.23065712799999,15.6146965304
 01/07  09:00:00,104.01829471799999,7.347902949830001
 01/07  10:00:00,104.69759022,7.59660577411
