Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,522.765116774,1130.51170966
 01/01  02:00:00,513.760098309,1159.33450132
 01/01  03:00:00,514.017511003,1116.36315823
 01/01  04:00:00,515.066589907,1084.46328324
 01/01  05:00:00,520.225198779,1084.62916037
 01/01  06:00:00,522.1413760930001,1049.47423275
 01/01  07:00:00,598.135631722,946.3669368510001
 01/01  08:00:00,605.034435774,919.3834912880001
 01/01  09:00:00,691.487387396,881.040519086
 01/01  10:00:00,702.7106505510001,839.9948055469999
 01/01  11:00:00,729.0698199330001,837.102258107
 01/01  12:00:00,741.38901361,795.7431975039999
 01/01  13:00:00,760.507573225,741.139442284
 01/01  14:00:00,780.785490752,681.86226947
 01/01  15:00:00,787.379398179,658.983140267
 01/01  16:00:00,783.150424767,681.144347572
 01/01  17:00:00,771.552237967,741.986323074
 01/01  18:00:00,721.55779729,785.415565595
 01/01  19:00:00,679.406971686,848.454354375
 01/01  20:00:00,650.095335535,888.0211889569999
 01/01  21:00:00,604.301557163,953.6447787389999
 01/01  22:00:00,590.387880558,978.66726604
 01/01  23:00:00,568.5256776690001,1016.33473584
 01/01  24:00:00,559.709044866,1027.03304548
 01/02  01:00:00,543.76511373,1064.07731755
 01/02  02:00:00,535.631477969,1117.89859467
 01/02  03:00:00,526.923802947,1178.53734392
 01/02  04:00:00,517.71860826,1211.85979571
 01/02  05:00:00,581.974142025,1252.91538415
 01/02  06:00:00,554.3520342090001,1670.12540447
 01/02  07:00:00,781.912774658,1408.46898987
 01/02  08:00:00,898.047149483,1406.29124862
 01/02  09:00:00,931.527747825,1374.2429660999999
 01/02  10:00:00,965.2549639010001,1198.60753952
 01/02  11:00:00,971.582133995,1101.83531758
 01/02  12:00:00,989.5718021819999,1060.02803772
 01/02  13:00:00,978.2134777460001,988.925816478
 01/02  14:00:00,1021.32521736,929.2193273910001
 01/02  15:00:00,1021.33050113,880.3881453260001
 01/02  16:00:00,1021.85920585,884.009191967
 01/02  17:00:00,1039.61161327,980.24584918
 01/02  18:00:00,1028.0820682,1027.7571699999999
 01/02  19:00:00,736.460538609,1100.91582301
 01/02  20:00:00,712.3315211,1127.70860965
 01/02  21:00:00,578.8337193819999,1213.96600812
 01/02  22:00:00,540.876926578,1166.38254983
 01/02  23:00:00,476.82497569300006,1138.57293703
 01/02  24:00:00,478.115238818,1108.13913674
 01/03  01:00:00,466.18596309199995,1140.11959316
 01/03  02:00:00,466.84192073400004,1179.7309022
 01/03  03:00:00,467.30253604300003,1202.94566656
 01/03  04:00:00,467.74401057,1232.27461856
 01/03  05:00:00,558.832479696,1258.4531119
 01/03  06:00:00,559.247228352,1437.03247308
 01/03  07:00:00,785.767080916,1337.43375528
 01/03  08:00:00,901.662956761,1282.83815726
 01/03  09:00:00,934.991117639,1268.90811155
 01/03  10:00:00,966.911737193,1099.39312126
 01/03  11:00:00,981.8553839560001,953.152808665
 01/03  12:00:00,1034.78947457,810.5155140539999
 01/03  13:00:00,1011.5452943,724.9868445010001
 01/03  14:00:00,1055.37398212,703.62047824
 01/03  15:00:00,1046.04587607,690.3335405619999
 01/03  16:00:00,1041.55658187,709.56826981
 01/03  17:00:00,1062.88929003,779.668840538
 01/03  18:00:00,1051.09980153,830.998773997
 01/03  19:00:00,774.1285649089999,963.2990749610001
 01/03  20:00:00,759.508707162,983.187337817
 01/03  21:00:00,617.6400055390001,1063.30009809
 01/03  22:00:00,573.012530434,1062.46429818
 01/03  23:00:00,496.837422579,1058.90589952
 01/03  24:00:00,471.42494880699996,1043.53821451
 01/04  01:00:00,458.724844994,1048.8679692
 01/04  02:00:00,458.742705915,1063.50654998
 01/04  03:00:00,458.759877909,1078.03104941
 01/04  04:00:00,458.723585165,1103.55226499
 01/04  05:00:00,547.6689129719999,1085.95964173
 01/04  06:00:00,549.970630447,1309.36862982
 01/04  07:00:00,777.214273378,1130.1761757000002
 01/04  08:00:00,892.9226596510001,1117.28401356
 01/04  09:00:00,925.898580545,1034.7549038999998
 01/04  10:00:00,959.0194079260001,968.60237331
 01/04  11:00:00,1017.84340199,885.084668788
 01/04  12:00:00,1043.81089515,757.3995315430001
 01/04  13:00:00,1024.70307043,669.378701955
 01/04  14:00:00,1077.86965334,624.53374607
 01/04  15:00:00,1089.58523102,574.987148587
 01/04  16:00:00,1095.4900827,587.8708249809999
 01/04  17:00:00,1107.19132084,660.346626948
 01/04  18:00:00,1096.63786637,695.0755630960001
 01/04  19:00:00,808.976961892,834.1150494110001
 01/04  20:00:00,783.491918047,893.8207801469999
 01/04  21:00:00,645.698917338,960.346337793
 01/04  22:00:00,597.674979537,995.513874528
 01/04  23:00:00,488.412987457,1206.50439963
 01/04  24:00:00,469.546034155,1138.59604566
 01/05  01:00:00,465.548273815,1019.07433484
 01/05  02:00:00,500.199681424,970.5652987999999
 01/05  03:00:00,511.21431734699996,924.92383269
 01/05  04:00:00,521.0608127180001,897.166263867
 01/05  05:00:00,614.300575032,877.580711518
 01/05  06:00:00,624.575423634,1122.98536647
 01/05  07:00:00,862.2307394989999,847.27156337
 01/05  08:00:00,982.621712763,823.1021059660001
 01/05  09:00:00,1014.34139855,814.909645616
 01/05  10:00:00,1045.47439581,798.812269895
 01/05  11:00:00,1046.65173057,829.184300262
 01/05  12:00:00,1057.88487031,772.870416785
 01/05  13:00:00,1036.86820043,718.1344157760001
 01/05  14:00:00,1090.46366744,678.776677902
 01/05  15:00:00,1102.00045238,646.021605246
 01/05  16:00:00,1109.61747568,660.51066788
 01/05  17:00:00,1122.38594706,675.603716491
 01/05  18:00:00,1122.24909945,679.093381907
 01/05  19:00:00,824.317597895,813.07382854
 01/05  20:00:00,779.554042858,935.417523447
 01/05  21:00:00,625.591982578,1102.96828856
 01/05  22:00:00,569.337584994,1156.34680448
 01/05  23:00:00,465.925231214,1194.01537297
 01/05  24:00:00,467.039615032,1088.01062141
 01/06  01:00:00,455.743696913,1021.55695675
 01/06  02:00:00,494.619934649,997.002445223
