Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,22.4829619196,86.39769565799999
 01/01  02:00:00,14.676022720799999,3.3598800000000004
 01/01  03:00:00,14.699100534000001,3.93194463184
 01/01  04:00:00,14.707973161500002,3.3598800000000004
 01/01  05:00:00,14.8560657783,3.9319505470599996
 01/01  06:00:00,22.5960613277,97.42201511350001
 01/01  07:00:00,38.561522241999995,98.6850635509
 01/01  08:00:00,46.0351822275,93.0080211017
 01/01  09:00:00,42.8701461469,97.3625346069
 01/01  10:00:00,34.339817160900004,89.56531884120001
 01/01  11:00:00,41.8711707867,104.18505710299999
 01/01  12:00:00,42.615880715100005,94.32833859540001
 01/01  13:00:00,41.935841698800004,85.1246479004
 01/01  14:00:00,34.4194573504,75.22529995949999
 01/01  15:00:00,34.4229500866,66.5895437679
 01/01  16:00:00,34.4103023262,77.09705164569999
 01/01  17:00:00,41.831012832199995,96.4284278167
 01/01  18:00:00,46.0555180753,102.915683039
 01/01  19:00:00,46.0572234657,103.03498120100001
 01/01  20:00:00,38.7008553448,85.5966109589
 01/01  21:00:00,38.675388450599996,84.0597317841
 01/01  22:00:00,38.6036317623,85.043559924
 01/01  23:00:00,38.496634129200004,75.7118345916
 01/01  24:00:00,39.2775778272,61.872375265100004
 01/02  01:00:00,22.5497778316,64.3037264896
 01/02  02:00:00,14.742454096400001,3.9319420860900003
 01/02  03:00:00,14.7670598725,3.3598800000000004
 01/02  04:00:00,14.784097042,3.3598800000000004
 01/02  05:00:00,14.9485557128,3.93194800536
 01/02  06:00:00,22.703975164299997,56.543187531099996
 01/02  07:00:00,38.6828783199,65.52427177979999
 01/02  08:00:00,46.1686043071,75.7386349203
 01/02  09:00:00,42.9819566562,82.3353650288
 01/02  10:00:00,34.4328817405,70.4222752311
 01/02  11:00:00,41.9463758753,80.5405015448
 01/02  12:00:00,42.6717517047,72.6956610425
 01/02  13:00:00,42.018740564299996,61.6003167089
