Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,21.571326948499998,168.08853605
 01/01  02:00:00,20.302280052,138.85225514799998
 01/01  03:00:00,21.8131210667,168.70805757
 01/01  04:00:00,20.3493841853,139.762825326
 01/01  05:00:00,21.870602771199998,170.709920299
 01/01  06:00:00,20.391794301199997,142.385631075
 01/01  07:00:00,21.977830641599997,175.895979958
 01/01  08:00:00,20.5261253777,150.328350978
 01/01  09:00:00,14.768934576500001,186.872453176
 01/01  10:00:00,11.6980582068,156.22595973
 01/01  11:00:00,13.144486477400001,183.160429618
 01/01  12:00:00,11.4739346623,145.441652313
 01/01  13:00:00,12.799196410899999,167.75559963
 01/01  14:00:00,11.220197817799999,133.508653141
 01/01  15:00:00,12.629891203800002,159.73821201299998
 01/01  16:00:00,11.233517447899999,131.362556536
 01/01  17:00:00,12.816859980999999,164.981696314
 01/01  18:00:00,20.4593208384,145.776133292
 01/01  19:00:00,22.2348301176,186.91393895599998
 01/01  20:00:00,20.7385058039,160.496547829
 01/01  21:00:00,22.339377609899998,192.207712202
 01/01  22:00:00,20.6803551163,158.17937407
 01/01  23:00:00,22.261480200500003,189.30475530599998
 01/01  24:00:00,20.656333792799998,157.40561389299998
 01/02  01:00:00,22.3128351657,192.387013688
 01/02  02:00:00,20.7689528514,163.688788079
 01/02  03:00:00,22.464060316199998,199.513268952
 01/02  04:00:00,20.8907495584,170.672971789
 01/02  05:00:00,22.7536938049,214.66423183599997
 01/02  06:00:00,21.2494761965,190.793955085
 01/02  07:00:00,26.6987955632,274.00397378900004
 01/02  08:00:00,47.1888680647,245.756776679
 01/02  09:00:00,59.2315075548,227.67475407400002
 01/02  10:00:00,69.7183897589,201.588702524
 01/02  11:00:00,69.7183897589,171.347099442
 01/02  12:00:00,69.7183897589,139.57986638
 01/02  13:00:00,63.225565484499995,116.690903595
 01/02  14:00:00,69.7183897589,94.3365385548
 01/02  15:00:00,69.6171919775,82.3730393359
 01/02  16:00:00,69.4147964148,79.0265052107
 01/02  17:00:00,69.4147964148,81.3661246029
 01/02  18:00:00,33.6081449941,89.3784687372
 01/02  19:00:00,19.6161941801,106.383613516
 01/02  20:00:00,21.0652681051,139.791190643
 01/02  21:00:00,20.0039366807,123.41004340399999
 01/02  22:00:00,21.2836128677,148.873581846
 01/02  23:00:00,20.0668675275,125.620343028
 01/02  24:00:00,21.2692262699,147.848775128
 01/03  01:00:00,20.1333664165,129.063754053
 01/03  02:00:00,21.499158153499998,157.536275127
 01/03  03:00:00,20.338523786099998,138.575652414
 01/03  04:00:00,21.703746669,166.972225352
