Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,260.475329731,379.075970308
 01/01  02:00:00,256.836005335,308.007541058
 01/01  03:00:00,261.577406052,401.169781503
 01/01  04:00:00,256.83334572900003,303.75036411
 01/01  05:00:00,273.792573684,391.632412097
 01/01  06:00:00,293.495158001,295.648399638
 01/01  07:00:00,347.124122934,389.19578123599996
 01/01  08:00:00,366.826422971,294.797592832
 01/01  09:00:00,320.29935565200003,380.329191883
 01/01  10:00:00,278.88907897900003,284.310882159
 01/01  11:00:00,234.725654222,358.818951492
 01/01  12:00:00,229.979549272,261.022442199
 01/01  13:00:00,232.772142204,260.873210022
 01/01  14:00:00,229.27903997,231.01791324599998
 01/01  15:00:00,234.38616859799998,313.416242829
 01/01  16:00:00,229.96641125,247.608050758
 01/01  17:00:00,283.58948181,334.805613747
 01/01  18:00:00,366.80281132199997,271.981162588
 01/01  19:00:00,371.54507026,368.59911038300004
 01/01  20:00:00,342.37680721099997,294.517342153
 01/01  21:00:00,347.124248425,396.647024139
 01/01  22:00:00,317.949833935,314.959771964
 01/01  23:00:00,298.26076164,424.933622656
 01/01  24:00:00,269.074674815,328.527825051
 01/02  01:00:00,311.42844477200003,412.382753084
 01/02  02:00:00,306.686047116,315.84397657
 01/02  03:00:00,311.45448669,440.508532553
 01/02  04:00:00,306.71659583,346.991030333
 01/02  05:00:00,323.716047823,475.43201300699997
 01/02  06:00:00,368.31742251699995,355.90237204
 01/02  07:00:00,432.097416755,3516.57695885
 01/02  08:00:00,556.508261788,3393.37639246
 01/02  09:00:00,1052.25961303,2200.09551877
 01/02  10:00:00,1015.18114876,1866.67906899
 01/02  11:00:00,966.105529163,1650.67774006
 01/02  12:00:00,966.02890845,1458.68226851
 01/02  13:00:00,916.273218806,1437.82140593
 01/02  14:00:00,965.7867019380001,1230.17668294
 01/02  15:00:00,965.4950358589999,1093.12592786
 01/02  16:00:00,965.7499719639999,1138.87397922
 01/02  17:00:00,1015.1179719,1163.81706787
 01/02  18:00:00,953.825269038,1224.47814168
 01/02  19:00:00,754.5858290689999,1374.91806758
 01/02  20:00:00,730.441076387,1521.86010845
 01/02  21:00:00,581.5864725490001,1694.77290399
 01/02  22:00:00,557.0181043819999,1619.67266117
 01/02  23:00:00,349.356938055,2.19069107468
 01/02  24:00:00,303.139932537,10.9633766553
 01/03  01:00:00,309.31894237299997,42.4637011455
 01/03  02:00:00,305.045714257,53.5894619391
 01/03  03:00:00,309.38500535099996,83.289610345
 01/03  04:00:00,305.110611093,101.94645527899999
 01/03  05:00:00,322.030086903,128.65448757299998
 01/03  06:00:00,368.167087149,148.742179601
 01/03  07:00:00,429.733429121,1520.23325405
 01/03  08:00:00,556.501508766,2846.42327785
 01/03  09:00:00,1052.44399049,1634.43816907
 01/03  10:00:00,1015.15389074,1290.92915306
 01/03  11:00:00,965.780126005,1157.19320957
 01/03  12:00:00,965.35686749,1053.68798814
 01/03  13:00:00,915.546112633,1125.06793374
 01/03  14:00:00,965.205196191,1032.68003574
 01/03  15:00:00,965.172698247,1013.06972373
 01/03  16:00:00,965.398265628,1073.78043656
 01/03  17:00:00,1014.55939441,1123.70897564
 01/03  18:00:00,954.1980308110001,1393.24228357
 01/03  19:00:00,756.9487958789999,1579.88506723
 01/03  20:00:00,733.2575422580001,1491.48688532
 01/03  21:00:00,584.393948139,1627.52939752
 01/03  22:00:00,560.0401617590001,1677.13052252
 01/03  23:00:00,349.557143027,5.20404641183
 01/03  24:00:00,301.975627121,6.54134641404
 01/04  01:00:00,305.059681193,35.8699683027
 01/04  02:00:00,309.431895882,69.6886940311
 01/04  03:00:00,306.492409242,115.328211135
 01/04  04:00:00,311.482158002,177.775917434
 01/04  05:00:00,319.129358715,244.39348760000001
 01/04  06:00:00,373.236595911,308.245620365
 01/04  07:00:00,429.807036809,1469.44051188
 01/04  08:00:00,559.93590276,3404.32239722
 01/04  09:00:00,1056.15389596,1940.51121255
 01/04  10:00:00,1019.12900832,1460.05775746
 01/04  11:00:00,968.0628247039999,1050.77001835
 01/04  12:00:00,966.559938304,975.811368339
 01/04  13:00:00,916.456517133,980.37998709
 01/04  14:00:00,966.0537871180001,948.136532705
 01/04  15:00:00,966.140511508,963.481330115
 01/04  16:00:00,966.730652906,1050.15649438
 01/04  17:00:00,1016.85623679,1190.77403196
 01/04  18:00:00,957.288309319,1326.60203888
 01/04  19:00:00,756.4984075230001,1087.44100518
 01/04  20:00:00,733.155469029,1491.58097295
 01/04  21:00:00,584.474647258,1664.68955543
 01/04  22:00:00,560.062378879,1730.88285392
 01/04  23:00:00,349.754516601,3.2833680149199997
 01/04  24:00:00,301.978823719,7.4537965676199995
 01/05  01:00:00,301.137948737,29.278381764899997
 01/05  02:00:00,305.500896111,58.2830700988
 01/05  03:00:00,309.100280421,101.246945328
 01/05  04:00:00,307.061882413,135.605235984
