Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,57.423700366700004,71.2574287436
 01/01  02:00:00,58.292593545600006,65.6316519616
 01/01  03:00:00,55.734675501800005,73.6748447459
 01/01  04:00:00,56.872333796199996,75.22688674140001
 01/01  05:00:00,59.0251386447,75.68907028
 01/01  06:00:00,63.649580436499996,74.95767532640001
 01/01  07:00:00,81.8921884137,80.6314428055
 01/01  08:00:00,91.70294760190001,83.6268497003
 01/01  09:00:00,104.671274294,97.57834536629998
 01/01  10:00:00,93.43329744719999,108.32313946200001
 01/01  11:00:00,73.946488684,102.348541245
 01/01  12:00:00,71.5372251105,100.59853376299999
 01/01  13:00:00,70.9197642222,93.9430621094
 01/01  14:00:00,70.0358934708,91.698454246
 01/01  15:00:00,69.5612861104,90.45727046209998
 01/01  16:00:00,69.355872729,98.02197779950001
 01/01  17:00:00,77.1036273499,75.17606253539999
 01/01  18:00:00,86.88415851030001,59.587906321400006
 01/01  19:00:00,97.6541178402,64.366960615
 01/01  20:00:00,95.7682367171,70.546346813
 01/01  21:00:00,99.4390648886,72.97002521489999
 01/01  22:00:00,97.1215551822,74.2714189884
 01/01  23:00:00,79.8399891449,81.5379752161
 01/01  24:00:00,62.187646918599995,77.3349229475
 01/02  01:00:00,57.4808734015,74.1315328368
 01/02  02:00:00,58.5463144984,77.6280397479
 01/02  03:00:00,59.051605416499996,75.1822509694
 01/02  04:00:00,61.0496624716,83.9789150152
 01/02  05:00:00,63.970426034300004,85.3908763972
 01/02  06:00:00,72.2561991113,91.7095892618
 01/02  07:00:00,95.3408325678,96.7140575533
 01/02  08:00:00,108.54063501799999,100.850247
 01/02  09:00:00,97.82552789110001,102.16291868200001
 01/02  10:00:00,94.02508696299999,110.85819968700001
 01/02  11:00:00,79.1196534078,109.405617415
 01/02  12:00:00,76.74965518239999,98.91341034770001
 01/02  13:00:00,74.2221603034,93.72698060540002
 01/02  14:00:00,72.50192271659999,92.9766121026
 01/02  15:00:00,70.9950403152,93.4665922075
 01/02  16:00:00,70.3122886526,90.9948869415
 01/02  17:00:00,77.59838128439999,74.6121896579
 01/02  18:00:00,90.2601635699,66.417755095
 01/02  19:00:00,95.4113428657,73.2460908965
 01/02  20:00:00,96.9189090555,76.0583474254
 01/02  21:00:00,103.330196503,79.91382786369999
 01/02  22:00:00,97.4793837774,87.1906672349
 01/02  23:00:00,79.5364305455,84.2596239476
 01/02  24:00:00,65.8914751193,86.8057212525
 01/03  01:00:00,63.7225375131,82.6924078346
 01/03  02:00:00,64.04469675109999,78.2406927741
 01/03  03:00:00,63.8272226787,84.9222467671
 01/03  04:00:00,65.0156274826,85.6594123373
 01/03  05:00:00,67.670603853,86.16960523280001
 01/03  06:00:00,74.8117486748,90.9504438169
 01/03  07:00:00,95.99282863260001,87.7617702704
 01/03  08:00:00,107.330871535,94.02760439309999
 01/03  09:00:00,94.96807705,93.1082941673
 01/03  10:00:00,91.2369454387,100.918285086
 01/03  11:00:00,75.68426198520001,98.4655331541
 01/03  12:00:00,74.0406072655,94.84402790690001
 01/03  13:00:00,71.8019690442,84.5022770659
 01/03  14:00:00,69.9584125678,81.5848731714
 01/03  15:00:00,68.2588714623,80.15957852609999
 01/03  16:00:00,66.72966910859999,86.8347957222
 01/03  17:00:00,73.4632166569,63.3477524512
 01/03  18:00:00,85.1107506059,46.6417644723
 01/03  19:00:00,89.1643336124,62.019295761
 01/03  20:00:00,89.67072355139999,56.4111697591
 01/03  21:00:00,95.34334712409999,57.8152622154
 01/03  22:00:00,88.9754757858,64.26617810409999
 01/03  23:00:00,69.1127129634,59.7992470886
 01/03  24:00:00,53.4577803601,55.557905200600004
 01/04  01:00:00,50.0018571512,56.501594028599996
 01/04  02:00:00,49.3643910199,57.2002068566
 01/04  03:00:00,48.4034060204,57.7749573765
 01/04  04:00:00,49.384832676,59.6153970506
 01/04  05:00:00,51.5892400607,60.8965808347
 01/04  06:00:00,59.1676187298,61.3037351291
 01/04  07:00:00,83.05406437020001,72.39987077319999
 01/04  08:00:00,96.22097317299999,75.5273032575
 01/04  09:00:00,83.7061400768,78.0162673724
 01/04  10:00:00,80.43269586619999,87.1295045431
 01/04  11:00:00,65.4767635162,85.9721471001
 01/04  12:00:00,64.6984215545,77.0916018043
 01/04  13:00:00,63.2950923436,79.13719593489999
 01/04  14:00:00,62.772216055600005,70.4077232339
 01/04  15:00:00,61.8881584898,69.2933288989
 01/04  16:00:00,61.0020133321,76.1892914315
 01/04  17:00:00,67.67007676,52.4286761116
 01/04  18:00:00,79.9695859783,35.8967805157
 01/04  19:00:00,84.550131587,52.5490723621
 01/04  20:00:00,85.0015496372,47.40647026
 01/04  21:00:00,90.89671929100001,48.6507910557
 01/04  22:00:00,84.6899393057,54.698355299700005
 01/04  23:00:00,63.9564296527,49.7199045553
 01/04  24:00:00,47.557486902700006,45.1293642508
 01/05  01:00:00,43.887707158199994,46.1435459991
 01/05  02:00:00,43.1265627762,46.8582827645
 01/05  03:00:00,41.934687059699996,47.363495030799996
 01/05  04:00:00,42.3370904446,42.048381328699996
 01/05  05:00:00,44.555529953400004,49.4630553881
 01/05  06:00:00,52.565727297600006,55.5793271981
 01/05  07:00:00,77.3278031924,61.3734488775
 01/05  08:00:00,90.7875766961,65.0173818235
 01/05  09:00:00,78.047123493,69.9056400754
 01/05  10:00:00,75.30706987079999,79.8813616689
 01/05  11:00:00,59.669818015,78.2886880809
 01/05  12:00:00,59.3406356242,70.5886073179
 01/05  13:00:00,57.6789113169,74.2464456551
 01/05  14:00:00,57.038192309799996,65.0279790163
 01/05  15:00:00,55.12268501810001,61.4699258841
 01/05  16:00:00,54.68245299270001,66.3286447438
 01/05  17:00:00,61.8679500815,49.1110322242
 01/05  18:00:00,74.69087937340001,31.742614209499997
 01/05  19:00:00,80.2915979944,49.871564181800004
 01/05  20:00:00,81.9225943775,45.3071005223
 01/05  21:00:00,89.88487039559999,46.847296102
 01/05  22:00:00,84.51644502810001,51.9730501707
 01/05  23:00:00,61.144373393100004,46.2443188502
 01/05  24:00:00,44.5720956317,41.6801951344
 01/06  01:00:00,40.8227583048,42.4252813939
 01/06  02:00:00,40.0923038587,43.2251391258
 01/06  03:00:00,39.2657948611,45.1010902227
 01/06  04:00:00,40.6259875373,43.301116733
 01/06  05:00:00,43.361344154899996,52.4000135088
 01/06  06:00:00,52.066590823999995,60.0829297795
 01/06  07:00:00,77.215357512,65.4664143819
 01/06  08:00:00,91.1765433041,69.6448058318
 01/06  09:00:00,78.59162115699999,74.7671483049
 01/06  10:00:00,75.6375970214,84.5787425551
 01/06  11:00:00,60.9042085774,84.781957868
 01/06  12:00:00,62.1200051079,81.6507268081
 01/06  13:00:00,62.302819644399996,87.50822908139999
 01/06  14:00:00,61.648477055,80.5415746726
 01/06  15:00:00,61.963079093299996,80.5867193849
 01/06  16:00:00,62.0517019133,88.93363288110001
 01/06  17:00:00,70.10520335140001,67.5389878518
 01/06  18:00:00,83.39348587890001,53.070718021800005
 01/06  19:00:00,88.97590757709999,71.3224126504
 01/06  20:00:00,90.9172385098,68.4998386931
 01/06  21:00:00,97.4950493293,71.168824027
 01/06  22:00:00,92.42505697520001,80.5064529937
 01/06  23:00:00,73.4425075437,76.5460260257
 01/06  24:00:00,58.5154259509,71.7936209683
 01/07  01:00:00,57.9283860768,75.7182948044
 01/07  02:00:00,60.3748391141,79.7077110032
 01/07  03:00:00,58.0854165979,81.7638947656
 01/07  04:00:00,59.4868574948,77.014271738
 01/07  05:00:00,62.1461967065,83.4515236811
 01/07  06:00:00,67.2884624628,88.7157417968
 01/07  07:00:00,86.0112582748,83.0014872428
 01/07  08:00:00,96.4177223247,93.2584739182
 01/07  09:00:00,109.011346431,104.876477652
 01/07  10:00:00,95.55937088479999,108.892688974
 01/07  11:00:00,72.3659593698,102.46939018100001
 01/07  12:00:00,67.6867748647,85.6249785982
 01/07  13:00:00,66.2120694244,88.8815166029
 01/07  14:00:00,64.5274132972,77.8738384311
