Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,15.1069992076,0.0
 01/02  02:00:00,15.1069992076,0.0
 01/02  03:00:00,15.1455078506,1.14969716588
 01/02  04:00:00,15.147895964100002,1.21596040181
 01/02  05:00:00,15.147051563,1.18828690285
 01/02  06:00:00,15.1542708953,1.41010319374
 01/02  07:00:00,23.1897978831,212.32447013
 01/02  08:00:00,28.5462811912,166.193301842
 01/02  09:00:00,32.6179108955,147.135430015
 01/02  10:00:00,49.0101877883,119.59128792899999
 01/02  11:00:00,49.0101877883,110.68386612
 01/02  12:00:00,49.0101877883,104.7198655
 01/02  13:00:00,49.0101877883,104.14976906700001
 01/02  14:00:00,49.0101877883,98.49059770790001
 01/02  15:00:00,49.0101877883,87.7158281207
 01/02  16:00:00,49.0101877883,80.2569149325
 01/02  17:00:00,54.7526877883,95.5812903781
 01/02  18:00:00,60.4951877883,115.43096420399999
 01/02  19:00:00,48.650398574700006,129.286316388
 01/02  20:00:00,48.650398574700006,133.92048529299998
 01/02  21:00:00,44.1029108955,137.260060462
 01/02  22:00:00,22.3776491824,0.0
 01/02  23:00:00,15.1069992076,0.0
 01/02  24:00:00,15.1069992076,0.0
 01/03  01:00:00,15.1069992076,0.0
 01/03  02:00:00,15.133368958299998,0.784010648363
 01/03  03:00:00,15.1509273082,1.3082610962
 01/03  04:00:00,15.1873781215,2.4017825045900003
 01/03  05:00:00,15.2338489802,3.8057777704699998
 01/03  06:00:00,15.248872336300002,4.244292012830001
 01/03  07:00:00,23.1897978831,236.93261981900002
 01/03  08:00:00,28.5462811912,189.225989109
 01/03  09:00:00,32.6179108955,164.936041629
 01/03  10:00:00,49.0101877883,140.525805275
 01/03  11:00:00,49.0101877883,132.21640219
 01/03  12:00:00,49.0101877883,121.95031794299999
 01/03  13:00:00,49.0101877883,119.107857636
 01/03  14:00:00,49.0101877883,115.66364456299999
 01/03  15:00:00,49.0101877883,114.645459065
 01/03  16:00:00,49.0101877883,111.15799620700001
 01/03  17:00:00,54.7526877883,116.85893652700001
 01/03  18:00:00,60.4951877883,124.76868292
 01/03  19:00:00,48.650398574700006,133.371897875
 01/03  20:00:00,48.650398574700006,143.546620662
 01/03  21:00:00,44.1029108955,147.218874551
 01/03  22:00:00,22.3776491824,0.0
 01/03  23:00:00,15.1069992076,0.0
 01/03  24:00:00,15.1193694155,0.371025271353
 01/04  01:00:00,15.1632247951,1.66397529228
 01/04  02:00:00,15.261593881700001,4.6459188860400005
 01/04  03:00:00,15.319862696700001,6.37111292409
 01/04  04:00:00,15.6412294024,16.0054769069
 01/04  05:00:00,15.7414369408,18.9349272796
 01/04  06:00:00,15.9613542604,25.504805279899998
 01/04  07:00:00,23.1897978831,285.689753146
 01/04  08:00:00,28.5462811912,245.15732980599998
 01/04  09:00:00,32.6179108955,227.51219219599997
 01/04  10:00:00,49.0101877883,200.32174437900002
 01/04  11:00:00,49.0101877883,182.946855861
 01/04  12:00:00,49.0101877883,162.296679689
 01/04  13:00:00,49.0101877883,148.176846326
 01/04  14:00:00,49.0101877883,141.14241507399998
 01/04  15:00:00,49.0101877883,138.227319036
 01/04  16:00:00,49.0101877883,133.25362528
 01/04  17:00:00,52.838521121599996,146.64189791299998
 01/04  18:00:00,60.4951877883,167.54605523799998
 01/04  19:00:00,48.650398574700006,182.699167943
 01/04  20:00:00,48.650398574700006,201.677080219
 01/04  21:00:00,44.1029108955,212.31406890000002
 01/04  22:00:00,22.3968540966,0.574022659194
 01/04  23:00:00,15.3468025235,7.1817066919300006
 01/04  24:00:00,15.7547989826,19.346041608
 01/05  01:00:00,16.1032433404,29.7071347744
 01/05  02:00:00,16.230034989500002,33.4864389561
 01/05  03:00:00,16.3345541482,36.6428247954
 01/05  04:00:00,16.3018014006,35.6408584881
 01/05  05:00:00,16.3524797645,37.191163517
 01/05  06:00:00,16.3273576905,36.410006444000004
 01/05  07:00:00,23.1897978831,296.069672909
 01/05  08:00:00,28.5462811912,243.265762748
 01/05  09:00:00,32.6179108955,214.667990182
 01/05  10:00:00,49.0101877883,184.371005777
 01/05  11:00:00,49.0101877883,168.203196529
 01/05  12:00:00,49.0101877883,150.58486079899998
 01/05  13:00:00,49.0101877883,141.69099666600002
 01/05  14:00:00,49.0101877883,135.879621979
 01/05  15:00:00,49.0101877883,130.89259876399998
 01/05  16:00:00,49.0101877883,122.560198001
 01/05  17:00:00,52.838521121599996,120.640665304
 01/05  18:00:00,60.4951877883,123.40435553399999
 01/05  19:00:00,48.650398574700006,123.285871931
 01/05  20:00:00,48.650398574700006,124.40256965399999
 01/05  21:00:00,44.1029108955,124.785809624
 01/05  22:00:00,22.3776491824,0.0
 01/05  23:00:00,15.1069992076,0.0
 01/05  24:00:00,15.1069992076,0.0
 01/06  01:00:00,15.1069992076,0.0
 01/06  02:00:00,15.1236417106,0.496406599048
 01/06  03:00:00,15.1409608229,1.0085823124
 01/06  04:00:00,15.1416886672,1.0319359641799999
 01/06  05:00:00,15.2235288224,3.49041796268
 01/06  06:00:00,15.265138471099998,4.75047861348
 01/06  07:00:00,23.1897978831,248.63142907900001
 01/06  08:00:00,28.5462811912,211.72496928700002
 01/06  09:00:00,32.6179108955,193.129540767
 01/06  10:00:00,49.0101877883,162.885500504
 01/06  11:00:00,49.0101877883,152.066428419
 01/06  12:00:00,49.0101877883,143.513227763
 01/06  13:00:00,49.0101877883,139.24449577
 01/06  14:00:00,49.0101877883,130.955487839
 01/06  15:00:00,49.0101877883,128.831916296
 01/06  16:00:00,49.0101877883,125.00775996600001
 01/06  17:00:00,52.838521121599996,126.96326065
 01/06  18:00:00,60.4951877883,135.647277668
 01/06  19:00:00,48.650398574700006,146.621459114
 01/06  20:00:00,48.650398574700006,160.440547347
 01/06  21:00:00,44.1029108955,173.690156354
 01/06  22:00:00,22.3776491824,0.0
 01/06  23:00:00,15.1689701106,1.85367679025
 01/06  24:00:00,15.371679439000001,7.92218161652
 01/07  01:00:00,15.265747723599999,18.1589258089
 01/07  02:00:00,15.7212548547,31.7046636374
 01/07  03:00:00,15.838188298399999,35.242481288200004
 01/07  04:00:00,16.2506913709,47.5804203095
 01/07  05:00:00,16.187426781400003,45.740081501800006
 01/07  06:00:00,16.6289439126,58.9568913883
 01/07  07:00:00,22.7403794271,355.52319850599997
 01/07  08:00:00,23.998793512,314.854787081
 01/07  09:00:00,23.5229355371,286.176981836
 01/07  10:00:00,37.1653985747,241.05451368599998
 01/07  11:00:00,49.0101877883,204.550726642
 01/07  12:00:00,49.0101877883,179.756584269
 01/07  13:00:00,49.0101877883,163.834385345
 01/07  14:00:00,49.0101877883,148.160173221
 01/07  15:00:00,49.0101877883,128.20633205200002
 01/07  16:00:00,49.0101877883,118.103048045
 01/07  17:00:00,52.838521121599996,121.079429013
 01/07  18:00:00,60.4951877883,126.637489817
 01/07  19:00:00,44.1029108955,142.39900917399999
 01/07  20:00:00,35.0079355371,150.633528694
 01/07  21:00:00,35.0079355371,153.840642469
 01/07  22:00:00,25.9129601787,165.71203052799999
 01/07  23:00:00,14.657580751600001,0.0
 01/07  24:00:00,14.657580751600001,0.0
 01/08  01:00:00,14.676676904,0.568689571187
 01/08  02:00:00,14.7026378917,1.33752143945
 01/08  03:00:00,14.775036226300001,3.53089226309
 01/08  04:00:00,14.828479096199999,5.11400184904
 01/08  05:00:00,14.8470438542,5.69927066049
 01/08  06:00:00,14.964785808,9.20338243708
 01/08  07:00:00,15.1720785506,15.4073653958
 01/08  08:00:00,13.4083946945,19.8586467793
 01/08  09:00:00,14.4279601787,248.379218977
 01/08  10:00:00,14.4279601787,176.67570218400002
 01/08  11:00:00,28.0704232163,134.3627522
 01/08  12:00:00,28.0704232163,110.799942705
 01/08  13:00:00,37.1653985747,85.0959626906
 01/08  14:00:00,37.1653985747,73.9710399223
 01/08  15:00:00,37.1653985747,68.9620335029
 01/08  16:00:00,37.1653985747,70.3208783463
 01/08  17:00:00,40.993731908,86.6654427868
 01/08  18:00:00,39.5554232163,130.74793380399998
 01/08  19:00:00,30.4604478579,151.676391248
 01/08  20:00:00,14.657580751600001,0.0
 01/08  21:00:00,14.657580751600001,0.0
 01/08  22:00:00,14.657580751600001,0.0
 01/08  23:00:00,14.7123513075,1.6263586494100002
 01/08  24:00:00,14.7849520402,3.8239702044599997
 01/09  01:00:00,15.3201617674,6.3820301628100005
 01/09  02:00:00,15.562968547899999,13.6672428994
 01/09  03:00:00,15.7086224989,17.9807873496
 01/09  04:00:00,15.8436382993,22.006085015500002
 01/09  05:00:00,15.9019430504,23.709941486199998
 01/09  06:00:00,16.0368571886,27.771973500599998
 01/09  07:00:00,23.1897978831,287.161530453
 01/09  08:00:00,28.5462811912,221.37710145
 01/09  09:00:00,32.6179108955,177.21880129599998
 01/09  10:00:00,49.0101877883,142.186435201
 01/09  11:00:00,49.0101877883,120.129788965
 01/09  12:00:00,49.0101877883,101.40467685
 01/09  13:00:00,49.0101877883,91.94578384100001
 01/09  14:00:00,49.0101877883,84.6840778474
 01/09  15:00:00,49.0101877883,78.3530792451
 01/09  16:00:00,49.0101877883,71.5935396931
 01/09  17:00:00,52.838521121599996,73.7518721341
 01/09  18:00:00,60.4951877883,78.6153495721
 01/09  19:00:00,48.650398574700006,82.88735811069999
 01/09  20:00:00,48.650398574700006,90.10316568889999
 01/09  21:00:00,44.1029108955,93.3500958673
 01/09  22:00:00,22.3776491824,0.0
 01/09  23:00:00,15.1069992076,0.0
 01/09  24:00:00,15.1069992076,0.0
 01/10  01:00:00,15.1069992076,0.0
 01/10  02:00:00,15.1069992076,0.0
 01/10  03:00:00,15.1069992076,0.0
 01/10  04:00:00,15.1069992076,0.0
 01/10  05:00:00,15.1069992076,0.0
 01/10  06:00:00,15.130526729400001,0.701098338281
 01/10  07:00:00,23.1897978831,205.66862587900002
 01/10  08:00:00,28.5462811912,171.529130355
 01/10  09:00:00,32.6179108955,153.50310801700002
 01/10  10:00:00,49.0101877883,119.580454628
 01/10  11:00:00,49.0101877883,103.32338382100001
 01/10  12:00:00,49.0101877883,79.6415023529
 01/10  13:00:00,49.0101877883,63.9985616143
 01/10  14:00:00,49.0101877883,56.3462417975
 01/10  15:00:00,49.0101877883,52.46806200979999
 01/10  16:00:00,49.0101877883,50.35814965149999
 01/10  17:00:00,52.838521121599996,60.6477335856
 01/10  18:00:00,60.4951877883,71.4536290736
 01/10  19:00:00,48.650398574700006,78.3486003863
 01/10  20:00:00,48.650398574700006,90.77940559049999
 01/10  21:00:00,44.1029108955,101.661151742
 01/10  22:00:00,22.3776491824,0.0
 01/10  23:00:00,15.1069992076,0.0
 01/10  24:00:00,15.1069992076,0.0
 01/11  01:00:00,15.1069992076,0.0
 01/11  02:00:00,15.1069992076,0.0
 01/11  03:00:00,15.1286115135,0.644383189592
 01/11  04:00:00,15.1685458894,1.84025124241
 01/11  05:00:00,15.2835168588,5.29100414622
 01/11  06:00:00,15.3432836074,7.09772771542
 01/11  07:00:00,23.1897978831,271.054470007
 01/11  08:00:00,28.5462811912,233.40394556599998
 01/11  09:00:00,32.6179108955,211.45044408299998
 01/11  10:00:00,49.0101877883,179.890709759
 01/11  11:00:00,49.0101877883,163.111795589
 01/11  12:00:00,49.0101877883,142.74027779600002
 01/11  13:00:00,49.0101877883,129.179557891
 01/11  14:00:00,49.0101877883,125.967014339
 01/11  15:00:00,49.0101877883,132.74638716
 01/11  16:00:00,49.0101877883,134.32248709700002
 01/11  17:00:00,52.838521121599996,140.637315435
 01/11  18:00:00,60.4951877883,153.643827403
 01/11  19:00:00,48.650398574700006,163.804872821
 01/11  20:00:00,48.650398574700006,171.043770538
 01/11  21:00:00,44.1029108955,174.779511523
 01/11  22:00:00,22.3776491824,0.0
 01/11  23:00:00,15.1421956459,1.04226094531
 01/11  24:00:00,15.2353139125,3.83781568806
 01/12  01:00:00,15.334696268,6.81679815671
 01/12  02:00:00,15.5682183916,13.802913609600001
 01/12  03:00:00,15.8009456247,20.6988441592
 01/12  04:00:00,15.9332250499,24.6259264129
 01/12  05:00:00,16.010565127899998,26.9393400155
 01/12  06:00:00,16.0907085958,29.3452845648
 01/12  07:00:00,23.1897978831,287.55048641900004
 01/12  08:00:00,28.5462811912,243.39216727099998
 01/12  09:00:00,32.6179108955,224.244177335
 01/12  10:00:00,49.0101877883,197.69444096900003
 01/12  11:00:00,49.0101877883,187.281453981
 01/12  12:00:00,49.0101877883,173.847189343
 01/12  13:00:00,49.0101877883,167.255990699
 01/12  14:00:00,49.0101877883,164.153373338
 01/12  15:00:00,49.0101877883,163.634081896
 01/12  16:00:00,49.0101877883,157.317115839
 01/12  17:00:00,52.838521121599996,159.230585878
 01/12  18:00:00,60.4951877883,169.040414976
 01/12  19:00:00,48.650398574700006,177.065232538
 01/12  20:00:00,48.650398574700006,185.204767093
 01/12  21:00:00,44.1029108955,191.02277062099998
 01/12  22:00:00,22.3776491824,0.0
 01/12  23:00:00,15.2202484779,3.38906704652
 01/12  24:00:00,15.360702452,7.58579100167
 01/13  01:00:00,15.747683882899999,19.1607163072
 01/13  02:00:00,15.9280050599,24.462077382600004
