Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,159.821518797,278.564749878
 01/01  02:00:00,165.806130109,231.665600215
 01/01  03:00:00,165.602817327,341.123415536
 01/01  04:00:00,168.625315057,249.599492008
 01/01  05:00:00,166.76200872200002,357.651917902
 01/01  06:00:00,166.536093374,240.95774534
 01/01  07:00:00,166.09718006100002,356.83280465300004
 01/01  08:00:00,154.951608807,182.924091423
 01/01  09:00:00,135.779069863,277.817261471
 01/01  10:00:00,136.537072726,177.68905862
 01/01  11:00:00,140.769957799,247.194736062
 01/01  12:00:00,134.71772591299998,171.640400479
 01/01  13:00:00,136.37189842,235.203199
 01/01  14:00:00,122.18564109299999,152.32590644200002
 01/01  15:00:00,133.219427884,217.181098842
 01/01  16:00:00,132.13940532700002,153.459031697
 01/01  17:00:00,129.160222753,212.99056602299999
 01/01  18:00:00,148.63452607,142.531765702
 01/01  19:00:00,156.433376853,207.24342515900003
 01/01  20:00:00,135.987688652,145.222619971
 01/01  21:00:00,156.825426386,203.942070838
 01/01  22:00:00,145.884073309,164.013711207
 01/01  23:00:00,160.568935924,240.38177608200002
 01/01  24:00:00,150.89479988899998,167.899424678
 01/02  01:00:00,158.880480565,262.95318679
 01/02  02:00:00,151.52680570299998,173.841699344
 01/02  03:00:00,167.484771211,287.875268938
 01/02  04:00:00,160.31173154,233.455649403
 01/02  05:00:00,171.044981496,349.81996319999996
 01/02  06:00:00,164.364546735,275.65694111
 01/02  07:00:00,197.89322402599998,3548.42329153
 01/02  08:00:00,375.384320419,3181.90199168
 01/02  09:00:00,448.763162109,2996.43028411
 01/02  10:00:00,447.79454688,2848.41154852
 01/02  11:00:00,453.498386169,2781.72985062
 01/02  12:00:00,454.232339318,2617.70627364
 01/02  13:00:00,452.980181699,2454.33744422
 01/02  14:00:00,446.926403058,2376.75479989
 01/02  15:00:00,446.93548644699996,2345.02893758
 01/02  16:00:00,439.005602398,2250.88132327
 01/02  17:00:00,440.14517753800004,2298.976452
 01/02  18:00:00,372.547941322,2517.36868003
 01/02  19:00:00,372.604361392,2577.78863189
 01/02  20:00:00,373.063485624,2637.13922222
 01/02  21:00:00,373.062659718,2676.1753385
