Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,98.914164624,6.994410288119999
 01/01  02:00:00,90.4837234799,6.428191666419999
 01/01  03:00:00,111.718020418,10.3171586739
 01/01  04:00:00,97.46272611,7.60823035653
 01/01  05:00:00,120.35983554,11.9794295773
 01/01  06:00:00,102.130933841,8.917201839810001
 01/01  07:00:00,125.215943505,13.3506271196
 01/01  08:00:00,105.677946889,9.846012237150001
 01/01  09:00:00,114.76969071299999,14.448193500999999
 01/01  10:00:00,72.1003499034,10.3115554628
 01/01  11:00:00,74.1945142586,14.0423195118
 01/01  12:00:00,60.9101413775,9.4007114574
 01/01  13:00:00,71.95119282600001,12.117211274
 01/01  14:00:00,57.155001867799996,8.559137171489999
 01/01  15:00:00,63.2128700063,8.367433009480001
 01/01  16:00:00,49.633574205500004,6.76969604924
 01/01  17:00:00,76.9560959336,7.02441722957
 01/01  18:00:00,79.7663501536,6.35428201074
 01/01  19:00:00,96.9265048139,7.131542360669999
 01/01  20:00:00,83.5797432308,6.56675829355
 01/01  21:00:00,99.5656404857,7.458231392839999
 01/01  22:00:00,84.6579326035,6.836878625440001
 01/01  23:00:00,100.346066193,7.54272096134
 01/01  24:00:00,84.9935011579,6.80829590625
 01/02  01:00:00,102.982189044,7.322649123450001
 01/02  02:00:00,88.2747384593,6.62806087378
 01/02  03:00:00,103.800869013,7.35624412222
 01/02  04:00:00,89.3602208082,6.8178831099699995
 01/02  05:00:00,103.440483225,7.423394222510001
 01/02  06:00:00,91.3352883816,6.61212650766
 01/02  07:00:00,319.871408079,2.66129477552
 01/02  08:00:00,281.202459194,86.71447865530001
 01/02  09:00:00,274.60802651,86.374536445
 01/02  10:00:00,223.86836116599997,90.1993646564
 01/02  11:00:00,201.92099346400002,95.4722253356
 01/02  12:00:00,199.71704882900002,102.268830834
 01/02  13:00:00,201.12930642,107.12535059
 01/02  14:00:00,187.96780281099998,107.915030755
 01/02  15:00:00,174.350077118,104.54254160200001
 01/02  16:00:00,168.056627982,103.814169889
 01/02  17:00:00,195.10204745,107.48719725299999
 01/02  18:00:00,206.52126247400003,106.05080219
 01/02  19:00:00,181.859611562,104.079107939
 01/02  20:00:00,183.527170437,105.690959371
 01/02  21:00:00,177.703450594,102.61791116
 01/02  22:00:00,178.03963421900002,100.895523434
 01/02  23:00:00,44.0783593545,0.7943731982439999
 01/02  24:00:00,49.6333382499,2.833402309
 01/03  01:00:00,64.7813242535,4.88592208055
 01/03  02:00:00,65.6734028251,5.53832070393
 01/03  03:00:00,72.474433291,6.69179409893
 01/03  04:00:00,71.2562541838,6.6025677576
 01/03  05:00:00,78.9455522934,8.0354838771
 01/03  06:00:00,79.7221307276,7.58636677166
 01/03  07:00:00,261.40622332,2.8770705315400003
 01/03  08:00:00,230.56450172900003,109.426046284
 01/03  09:00:00,239.80598244900003,111.36497366200001
 01/03  10:00:00,192.001643265,112.621376734
 01/03  11:00:00,177.909773103,110.411728
 01/03  12:00:00,190.303958857,110.648232735
 01/03  13:00:00,203.65166167599997,110.514243458
 01/03  14:00:00,195.714836435,109.023849071
 01/03  15:00:00,188.038756075,109.002442172
 01/03  16:00:00,177.330795152,107.521404206
 01/03  17:00:00,192.80048256599997,111.09388405700001
 01/03  18:00:00,203.304187342,112.579116055
 01/03  19:00:00,179.060756542,115.635200741
 01/03  20:00:00,180.41332322099998,121.23111939100001
 01/03  21:00:00,176.816778793,125.40852012299999
 01/03  22:00:00,179.786185095,129.50251492700002
 01/03  23:00:00,46.5523097012,2.4359045516699998
 01/03  24:00:00,70.2249713852,5.9896116393
 01/04  01:00:00,71.6878894962,7.489210957180001
 01/04  02:00:00,89.66890254329999,11.6795083276
 01/04  03:00:00,82.8030006092,9.49105475844
