Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,167.83227107,240.297370237
 01/01  02:00:00,159.86380686299998,204.812181764
 01/01  03:00:00,173.394915525,333.119215397
 01/01  04:00:00,165.262042264,263.987117551
 01/01  05:00:00,177.339114797,413.352804581
 01/01  06:00:00,165.458674481,286.187533166
 01/01  07:00:00,177.71392886700002,435.977231894
 01/01  08:00:00,160.262189533,223.997555059
 01/01  09:00:00,157.4321939,360.778935819
 01/01  10:00:00,139.822588284,176.531294777
 01/01  11:00:00,137.49078134799998,214.390310766
 01/01  12:00:00,133.25979883,135.099031391
 01/01  13:00:00,133.741817514,165.11227335
 01/01  14:00:00,130.02480179,94.81426499770001
 01/01  15:00:00,114.96774324,120.961307246
 01/01  16:00:00,135.131951814,72.5572640269
 01/01  17:00:00,129.112137623,111.098432826
 01/01  18:00:00,153.40944772,96.93924842530001
 01/01  19:00:00,155.21539032200002,160.804797521
 01/01  20:00:00,143.334154018,117.984431649
 01/01  21:00:00,150.362555534,181.573541783
 01/01  22:00:00,160.913775184,166.763449209
 01/01  23:00:00,159.827300435,239.11957756400002
 01/01  24:00:00,160.58684310200002,176.673496803
 01/02  01:00:00,159.01483406100002,235.60768909900003
 01/02  02:00:00,159.602714348,166.08140992399998
 01/02  03:00:00,159.03500077200002,249.211209328
 01/02  04:00:00,160.439829607,171.33442242700002
 01/02  05:00:00,159.464528755,247.56310753
 01/02  06:00:00,160.577768494,173.946499733
 01/02  07:00:00,198.736207996,3102.69749958
 01/02  08:00:00,375.634813398,2616.53858581
 01/02  09:00:00,454.376324955,2364.02381877
 01/02  10:00:00,447.97860089,2334.28210836
 01/02  11:00:00,453.849499533,2377.42991989
 01/02  12:00:00,454.83284479900004,2394.26295927
 01/02  13:00:00,453.741292426,2429.62205924
 01/02  14:00:00,447.72696633099997,2430.81776059
 01/02  15:00:00,447.674174578,2384.813303
 01/02  16:00:00,439.798568616,2308.63847306
 01/02  17:00:00,443.91624925800005,2326.50956209
 01/02  18:00:00,373.25042680900003,2465.78831331
 01/02  19:00:00,373.27210865300003,2465.78408461
 01/02  20:00:00,373.684455202,2432.62761644
 01/02  21:00:00,373.639439959,2413.1343036999997
 01/02  22:00:00,120.405274553,25.9219529202
 01/02  23:00:00,121.491759073,30.3285851918
 01/02  24:00:00,128.884770901,57.0745084667
 01/03  01:00:00,135.912883859,56.73139394
 01/03  02:00:00,151.69132013700002,98.9772789018
 01/03  03:00:00,145.54671332799998,96.7033279499
 01/03  04:00:00,158.406572686,146.879231435
 01/03  05:00:00,156.222941188,130.6769614
 01/03  06:00:00,166.308658486,197.030444163
 01/03  07:00:00,199.424222155,3404.24204127
 01/03  08:00:00,375.33959693800006,2949.3171605
 01/03  09:00:00,454.18244624,2717.69373025
 01/03  10:00:00,447.95594512900004,2659.42923604
 01/03  11:00:00,453.85151080099996,2612.25764178
 01/03  12:00:00,454.88461498699996,2573.95119044
