Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,155.85162989100002,222.220469642
 01/01  02:00:00,171.92533018700001,236.99299131900003
 01/01  03:00:00,164.579543415,348.876677318
 01/01  04:00:00,173.10333571799998,260.688400013
 01/01  05:00:00,168.620994526,405.43177792800003
 01/01  06:00:00,173.571854225,275.897957662
 01/01  07:00:00,168.679278786,401.30372205199996
 01/01  08:00:00,160.875559498,218.697965402
 01/01  09:00:00,145.092826791,289.217320638
 01/01  10:00:00,134.859053507,138.303602009
 01/01  11:00:00,118.171943379,166.971189299
 01/01  12:00:00,138.818442971,120.66022081
 01/01  13:00:00,134.753379782,171.131498657
 01/01  14:00:00,122.396715905,117.679990016
 01/01  15:00:00,134.501725089,172.53921926200002
 01/01  16:00:00,121.00446094799999,95.60049490639999
 01/01  17:00:00,143.70616811600001,149.105334237
 01/01  18:00:00,143.430528305,117.011432715
 01/01  19:00:00,143.55196959100002,189.17542868299998
 01/01  20:00:00,155.68553397600002,152.664774727
 01/01  21:00:00,141.947675359,219.32978580099999
 01/01  22:00:00,154.969684059,161.50578447700002
 01/01  23:00:00,160.899299424,221.96884045099998
 01/01  24:00:00,154.655115293,158.273112144
 01/02  01:00:00,159.287487115,213.301485799
 01/02  02:00:00,151.447546264,147.824066681
 01/02  03:00:00,157.570906095,225.153261007
 01/02  04:00:00,149.849848274,149.459936479
 01/02  05:00:00,156.299560762,235.140995397
 01/02  06:00:00,159.024126679,163.811624015
 01/02  07:00:00,198.821198082,2964.20517543
 01/02  08:00:00,375.834258811,2543.41196542
 01/02  09:00:00,448.586694036,2398.65913683
 01/02  10:00:00,448.129450851,2402.24710277
 01/02  11:00:00,453.951025987,2357.78511688
 01/02  12:00:00,454.86977302900004,2266.94814066
 01/02  13:00:00,453.774635806,2242.61272857
 01/02  14:00:00,447.77922874,2234.66963555
 01/02  15:00:00,447.74206678300004,2219.10867942
 01/02  16:00:00,439.88182761400003,2183.10815536
 01/02  17:00:00,446.97141320199995,2199.86350765
 01/02  18:00:00,373.338680973,2410.04053084
 01/02  19:00:00,373.409843495,2506.93642344
 01/02  20:00:00,373.883772409,2566.29557741
 01/02  21:00:00,373.920563471,2672.91201137
 01/02  22:00:00,121.189350174,31.8448103516
 01/02  23:00:00,125.038152564,47.734933818900004
 01/02  24:00:00,143.25132067299998,100.694387885
 01/03  01:00:00,162.197102125,123.302696436
 01/03  02:00:00,156.43684281,182.391071414
 01/03  03:00:00,170.73802698,220.248107125
 01/03  04:00:00,162.118122746,252.067509568
 01/03  05:00:00,173.013598856,287.966730436
 01/03  06:00:00,164.087728072,325.776472188
 01/03  07:00:00,200.02274457400003,4183.54870641
 01/03  08:00:00,376.75815807,3906.52925321
 01/03  09:00:00,449.943224902,3713.83337569
 01/03  10:00:00,449.011713826,3444.46434122
 01/03  11:00:00,454.516051499,3184.63175895
 01/03  12:00:00,455.313138098,2943.34423011
 01/03  13:00:00,453.99842535,2715.32555451
 01/03  14:00:00,447.93186264300004,2576.07658677
 01/03  15:00:00,447.841110888,2451.63607332
 01/03  16:00:00,439.954319089,2346.17926671
 01/03  17:00:00,447.09173531,2429.28280022
 01/03  18:00:00,373.543527855,2744.45736898
 01/03  19:00:00,373.624583555,2836.73241185
 01/03  20:00:00,373.598826445,2769.36687478
 01/03  21:00:00,373.62738000300004,2768.85287608
 01/03  22:00:00,120.57720044,43.9559182977
 01/03  23:00:00,127.489785634,45.5453335233
 01/03  24:00:00,137.57956135700002,94.81073205959999
 01/04  01:00:00,152.24482252,104.974421643
 01/04  02:00:00,156.89577733299998,146.39925282299998
 01/04  03:00:00,164.252673851,150.062685615
 01/04  04:00:00,160.748446432,168.89388188700002
 01/04  05:00:00,159.583923489,202.721949482
 01/04  06:00:00,166.15173927700002,206.65818823400002
 01/04  07:00:00,199.011147573,3568.32145267
 01/04  08:00:00,376.16096612900003,3239.06903577
 01/04  09:00:00,448.801334957,3043.79774522
 01/04  10:00:00,448.34212088,2984.95154282
 01/04  11:00:00,454.138198822,2885.20260028
 01/04  12:00:00,455.05413043199997,2738.56750708
