Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,261.833987607,734.692781361
 01/01  02:00:00,257.833773706,605.138219972
 01/01  03:00:00,263.001047161,866.282833454
 01/01  04:00:00,257.909333596,640.974681799
 01/01  05:00:00,275.33953701900003,913.40709605
 01/01  06:00:00,294.62597237,654.997292315
 01/01  07:00:00,348.69043225400003,905.787427615
 01/01  08:00:00,367.96089108,646.515941291
 01/01  09:00:00,321.805767075,863.120889217
 01/01  10:00:00,279.797498442,509.05674592199995
 01/01  11:00:00,236.020097478,734.931963905
 01/01  12:00:00,230.965803754,557.2994861569999
 01/01  13:00:00,235.982471354,735.977187794
 01/01  14:00:00,230.859943515,511.87595872300005
 01/01  15:00:00,235.750292669,607.650284183
 01/01  16:00:00,230.700884412,408.11268116
 01/01  17:00:00,301.739262131,616.616191039
 01/01  18:00:00,367.64087081099996,500.19934858
 01/01  19:00:00,372.74883476400004,753.663495045
 01/01  20:00:00,343.252402409,550.870831102
 01/01  21:00:00,348.36213524199997,799.192481374
 01/01  22:00:00,318.885541662,601.91617375
 01/01  23:00:00,299.607759906,869.536510724
 01/01  24:00:00,270.084470502,636.30567877
 01/02  01:00:00,312.836869879,868.7557750689999
 01/02  02:00:00,307.725716416,624.284462279
 01/02  03:00:00,312.889881276,871.431940287
 01/02  04:00:00,307.707312203,598.096366227
 01/02  05:00:00,324.95340914,773.5885194030001
 01/02  06:00:00,369.11523655199994,506.696796294
 01/02  07:00:00,433.672066095,3225.29392998
 01/02  08:00:00,562.794740695,4113.97763103
 01/02  09:00:00,1057.472989,2576.93396642
 01/02  10:00:00,1018.85979363,2038.89053569
 01/02  11:00:00,968.257023552,1741.30148028
 01/02  12:00:00,967.078608524,1615.74641128
 01/02  13:00:00,916.6074464610001,1559.38841056
 01/02  14:00:00,965.64927005,1285.78572146
 01/02  15:00:00,965.26820046,1168.01097197
 01/02  16:00:00,964.933423208,1007.40776077
 01/02  17:00:00,1030.79363332,967.5620905210001
 01/02  18:00:00,952.203941354,1070.97595766
 01/02  19:00:00,752.887316084,1170.29753109
 01/02  20:00:00,728.298866744,1131.91337885
 01/02  21:00:00,578.750858049,1184.55199604
 01/02  22:00:00,554.275674537,1223.28888362
 01/02  23:00:00,349.35699089800005,4.36204539631
 01/02  24:00:00,299.99223138900004,2.1908057398099996
 01/03  01:00:00,288.568524063,6.01740419005
 01/03  02:00:00,289.367847552,12.785412013399998
 01/03  03:00:00,289.770878923,16.0139718172
 01/03  04:00:00,302.099085728,69.5594231642
 01/03  05:00:00,321.892750187,118.64394591700001
 01/03  06:00:00,366.893010499,110.801220985
 01/03  07:00:00,429.908975872,1722.91716367
 01/03  08:00:00,553.9870500430001,1825.32404878
 01/03  09:00:00,1050.26824346,1159.49851708
 01/03  10:00:00,1013.36114604,922.5518652060001
 01/03  11:00:00,964.4672753039999,890.59301299
 01/03  12:00:00,964.393809012,808.489822085
 01/03  13:00:00,914.7653627760001,938.275313634
 01/03  14:00:00,964.4779305010001,816.068017135
 01/03  15:00:00,964.378807453,738.6921262510001
 01/03  16:00:00,964.362730205,714.9797470889999
 01/03  17:00:00,1030.46506196,785.486149823
 01/03  18:00:00,952.022253511,924.417880308
 01/03  19:00:00,752.907064463,1059.09887962
 01/03  20:00:00,728.570104656,1108.76382401
 01/03  21:00:00,579.085899599,1137.74135704
 01/03  22:00:00,554.544841065,1121.84330249
 01/03  23:00:00,349.356992209,2.19103328914
 01/03  24:00:00,299.99223343200003,4.36187850608
 01/04  01:00:00,288.16982038,4.03706636159
 01/04  02:00:00,289.767319079,10.2942820102
 01/04  03:00:00,289.371329017,13.3099451371
 01/04  04:00:00,289.773297965,14.5839362073
 01/04  05:00:00,301.602122996,17.3127580371
 01/04  06:00:00,363.2967642,59.6573816916
 01/04  07:00:00,429.53563342900003,1232.44536552
 01/04  08:00:00,554.241033765,1746.79782064
 01/04  09:00:00,1050.72231633,1252.02283624
 01/04  10:00:00,1013.85431777,1060.60330616
 01/04  11:00:00,964.6118228739999,826.9919951539999
 01/04  12:00:00,964.369942601,703.576020792
 01/04  13:00:00,914.401923233,650.091604553
 01/04  14:00:00,964.018784758,503.60127907099996
 01/04  15:00:00,963.8566651169999,384.727527772
 01/04  16:00:00,963.7847916989999,336.179926776
 01/04  17:00:00,1029.7904536,371.166229725
 01/04  18:00:00,951.20815554,467.85417382599996
 01/04  19:00:00,751.868321417,505.492978791
 01/04  20:00:00,727.413805583,509.207934256
 01/04  21:00:00,577.982778191,616.591253146
 01/04  22:00:00,553.578615869,672.95089731
 01/04  23:00:00,349.356993945,2.19095496621
 01/04  24:00:00,299.992235065,2.1907649657499997
 01/05  01:00:00,287.77003904,4.3617594043
 01/05  02:00:00,287.770038632,2.1909942716499997
 01/05  03:00:00,289.367201196,10.953137426400001
 01/05  04:00:00,289.7686593,17.5434618846
 01/05  05:00:00,301.594278605,15.9697899107
 01/05  06:00:00,351.361789868,22.3263737877
 01/05  07:00:00,429.128256766,1244.13127994
 01/05  08:00:00,553.1962463680001,1197.85170051
 01/05  09:00:00,1049.77491091,793.3750994239999
 01/05  10:00:00,1012.98022543,662.481681704
 01/05  11:00:00,964.1305486860001,680.518442772
 01/05  12:00:00,964.1121464910001,654.3950141619999
 01/05  13:00:00,914.331359298,699.9502117530001
 01/05  14:00:00,964.140933818,654.826677235
 01/05  15:00:00,964.2020430089999,680.5794277780001
 01/05  16:00:00,964.3653322360001,782.016014525
 01/05  17:00:00,1030.5696235,906.059723565
 01/05  18:00:00,952.29507663,1089.50237717
 01/05  19:00:00,753.408359185,1226.84757641
 01/05  20:00:00,729.177332207,1185.80790612
 01/05  21:00:00,579.542073115,1077.12967525
 01/05  22:00:00,555.003096433,1055.96713083
 01/05  23:00:00,349.356995524,2.19097359648
 01/05  24:00:00,299.992236708,4.36177960432
 01/06  01:00:00,289.37062583200003,8.32018725344
 01/06  02:00:00,289.771313738,10.1811597586
 01/06  03:00:00,289.376157301,13.4397098147
 01/06  04:00:00,289.776494172,13.0005300047
 01/06  05:00:00,301.605195043,15.0014984276
 01/06  06:00:00,351.36930934199995,17.6305714935
 01/06  07:00:00,429.124328462,738.8053131910001
 01/06  08:00:00,553.2169308030001,908.02795695
 01/06  09:00:00,1049.71924546,614.132078639
 01/06  10:00:00,1012.74427491,391.589593878
 01/06  11:00:00,963.681328207,253.40905983599998
 01/06  12:00:00,963.6147797110001,205.869532729
 01/06  13:00:00,913.7827643080001,217.606655292
 01/06  14:00:00,963.588518105,190.921680117
 01/06  15:00:00,963.5457651710001,153.576380916
