Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,460.128975181,1448.38856214
 01/01  02:00:00,454.51615801699995,1620.19788255
 01/01  03:00:00,455.52024226599997,1481.42559377
 01/01  04:00:00,455.83122100099996,1403.62440322
 01/01  05:00:00,463.078889695,1372.17840534
 01/01  06:00:00,462.07019799,1371.1126882
 01/01  07:00:00,532.108538199,1275.68225415
 01/01  08:00:00,535.1426059419999,1200.70258071
 01/01  09:00:00,602.667424852,1207.05271357
 01/01  10:00:00,594.154102735,1139.00686911
 01/01  11:00:00,600.086283571,1088.10081987
 01/01  12:00:00,630.4634983469999,1028.49584307
 01/01  13:00:00,649.234475526,982.841711002
 01/01  14:00:00,645.666539724,984.433501233
 01/01  15:00:00,651.432264162,959.311076515
 01/01  16:00:00,654.736300187,971.7924425639999
 01/01  17:00:00,636.162822858,1019.99639487
 01/01  18:00:00,595.387855049,1052.18610483
 01/01  19:00:00,564.266510519,1073.31357323
 01/01  20:00:00,548.322277694,1108.57968192
 01/01  21:00:00,518.441480651,1109.75419514
 01/01  22:00:00,521.593345996,1079.96102755
 01/01  23:00:00,512.6281049180001,1087.92758351
 01/01  24:00:00,512.95539401,1085.14181815
 01/02  01:00:00,511.525463329,1085.1835944
 01/02  02:00:00,515.399879903,1048.28545009
 01/02  03:00:00,515.8126734580001,1048.57022391
 01/02  04:00:00,520.126191605,1014.14940127
 01/02  05:00:00,611.5994775940001,973.971900984
 01/02  06:00:00,614.502339878,1490.34743095
 01/02  07:00:00,841.868040728,1084.89050305
 01/02  08:00:00,964.7183020010001,1009.97168969
 01/02  09:00:00,997.477605745,1013.62586649
 01/02  10:00:00,1042.97410473,949.901839148
 01/02  11:00:00,1046.46289421,961.064641261
 01/02  12:00:00,1041.27735009,984.064385613
 01/02  13:00:00,999.791481849,962.4100399089999
 01/02  14:00:00,1031.39053351,945.428137696
 01/02  15:00:00,1053.07640308,856.896242743
 01/02  16:00:00,1064.29177064,825.266370625
 01/02  17:00:00,1078.53274907,849.657372397
 01/02  18:00:00,1087.46539692,828.0049667210001
 01/02  19:00:00,823.739516569,805.788355065
 01/02  20:00:00,815.109152233,778.601170242
