Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,22.157681902600004,194.669024457
 01/01  02:00:00,21.2173677823,185.658221871
 01/01  03:00:00,23.161440400100002,227.78123730299998
 01/01  04:00:00,21.4742093925,199.73025741599997
 01/01  05:00:00,23.3846193085,239.72469862900002
 01/01  06:00:00,21.4487109553,196.88876421
 01/01  07:00:00,23.171431411300002,229.439676095
 01/01  08:00:00,19.8573105366,191.24101783
 01/01  09:00:00,14.0650333915,220.642727396
 01/01  10:00:00,12.1810457416,179.476387693
 01/01  11:00:00,13.674889433399999,204.50626237400002
 01/01  12:00:00,11.883565408699999,165.029556564
 01/01  13:00:00,13.1626165444,182.941989921
 01/01  14:00:00,11.236943056600001,132.332885745
 01/01  15:00:00,12.435735705,147.853855835
 01/01  16:00:00,11.0746311373,121.001158504
 01/01  17:00:00,15.6342293023,155.128675095
 01/01  18:00:00,20.2811574828,133.271443973
 01/01  19:00:00,21.8563790714,166.699943645
 01/01  20:00:00,20.5140178477,146.56486047
 01/01  21:00:00,22.4197897759,192.595804732
 01/01  22:00:00,20.8677073951,163.497453606
 01/01  23:00:00,22.455971590900003,195.345355521
 01/01  24:00:00,20.8500624455,164.52548476799998
 01/02  01:00:00,22.495881608,196.77789889599998
 01/02  02:00:00,20.829049584,162.94950650299998
 01/02  03:00:00,22.467970836,195.54298309900003
 01/02  04:00:00,20.9530582664,169.998321272
 01/02  05:00:00,22.837426373499998,212.29624186400002
 01/02  06:00:00,21.2791774262,187.06973271799998
 01/02  07:00:00,28.0952004975,275.64922561099996
 01/02  08:00:00,47.0981063323,239.94259747200002
 01/02  09:00:00,59.1407458224,211.86824393900002
 01/02  10:00:00,71.1147946932,183.54802553599998
 01/02  11:00:00,71.1147946932,161.779339524
 01/02  12:00:00,71.1147946932,143.227844572
 01/02  13:00:00,64.6219704188,132.551225548
 01/02  14:00:00,71.1147946932,120.32905592700001
 01/02  15:00:00,71.1147946932,118.18909274299999
 01/02  16:00:00,71.1147946932,124.025766765
 01/02  17:00:00,74.0891280266,134.106831973
 01/02  18:00:00,34.773219327199996,140.785036676
 01/02  19:00:00,20.5503309947,153.862795002
 01/02  20:00:00,22.196256635300003,188.88930741
 01/02  21:00:00,20.775971708900002,162.280648254
 01/02  22:00:00,22.2701090354,191.13641469799998
 01/02  23:00:00,20.848097354500002,163.83061330200002
 01/02  24:00:00,22.3365186883,192.63647947400003
 01/03  01:00:00,21.1679926171,181.179273415
 01/03  02:00:00,23.2023183927,232.68463399
 01/03  03:00:00,21.8545502384,215.345595962
 01/03  04:00:00,23.7233537561,258.053958861
 01/03  05:00:00,22.1585274033,233.09506623
 01/03  06:00:00,24.0254914781,275.362811168
 01/03  07:00:00,28.0952004975,323.602232745
 01/03  08:00:00,47.0981063323,304.722437965
 01/03  09:00:00,59.1407458224,276.030337087
 01/03  10:00:00,71.1147946932,243.98158656
 01/03  11:00:00,71.1147946932,216.176203728
 01/03  12:00:00,71.1147946932,190.200698375
 01/03  13:00:00,64.6219704188,178.893424812
 01/03  14:00:00,71.1147946932,163.63007369
 01/03  15:00:00,71.1147946932,153.75573551899998
 01/03  16:00:00,71.1147946932,152.046277633
 01/03  17:00:00,74.0891280266,166.150965943
 01/03  18:00:00,35.4701418625,175.45235794599998
 01/03  19:00:00,21.1709285249,188.309812758
 01/03  20:00:00,23.0804683801,232.97412235099998
 01/03  21:00:00,21.6429540453,210.670964296
 01/03  22:00:00,23.4364430189,249.419061135
 01/03  23:00:00,21.9097310583,223.99215566900003
 01/03  24:00:00,23.762639362199998,263.517092731
 01/04  01:00:00,22.161228918800003,236.190839549
 01/04  02:00:00,24.0673530131,278.128460819
 01/04  03:00:00,22.432831385900002,250.00313088099998
 01/04  04:00:00,24.3004309559,289.573709782
 01/04  05:00:00,22.6022568444,259.895107403
 01/04  06:00:00,24.4987229263,299.785566344
 01/04  07:00:00,28.0952004975,346.498194981
 01/04  08:00:00,47.0981063323,326.015595203
 01/04  09:00:00,59.1407458224,305.459448543
 01/04  10:00:00,71.1147946932,282.56867392099997
 01/04  11:00:00,71.1147946932,262.702576536
 01/04  12:00:00,71.1147946932,243.645971976
 01/04  13:00:00,64.6219704188,232.56111440700002
 01/04  14:00:00,71.1147946932,214.079428343
 01/04  15:00:00,71.1147946932,202.06656456099998
 01/04  16:00:00,71.1147946932,197.55599226200002
 01/04  17:00:00,74.0891280266,204.19267479799998
 01/04  18:00:00,35.867338188000005,197.50953968599998
 01/04  19:00:00,21.390300017,201.998366185
 01/04  20:00:00,23.2797442805,243.90447661099998
 01/04  21:00:00,21.7932198734,219.610649262
 01/04  22:00:00,23.6314921368,259.017521455
 01/04  23:00:00,22.0112485875,229.345977063
 01/04  24:00:00,23.702711428,260.692155985
 01/05  01:00:00,21.964619567199996,224.95757721
 01/05  02:00:00,23.5666568756,252.91363913200001
 01/05  03:00:00,21.8402173803,217.632228957
 01/05  04:00:00,23.4242544186,245.405798779
 01/05  05:00:00,21.7123254613,209.465963588
 01/05  06:00:00,23.253029385399998,236.040789773
 01/05  07:00:00,28.0952004975,263.748949859
 01/05  08:00:00,47.0981063323,237.582487865
 01/05  09:00:00,59.1407458224,212.109341305
 01/05  10:00:00,71.1147946932,183.078034784
 01/05  11:00:00,71.1147946932,151.771993392
 01/05  12:00:00,71.1147946932,124.466607615
 01/05  13:00:00,64.6219704188,111.242848057
 01/05  14:00:00,71.1147946932,95.2881240733
 01/05  15:00:00,71.1147946932,88.4256243449
 01/05  16:00:00,71.1147946932,87.0711191341
 01/05  17:00:00,74.0891280266,91.8100745439
 01/05  18:00:00,33.8056870136,95.86026685959999
 01/05  19:00:00,19.5798890147,101.870084757
 01/05  20:00:00,20.8411403335,126.689627234
 01/05  21:00:00,19.7683627999,108.257834768
 01/05  22:00:00,20.934378003499997,129.379607593
 01/05  23:00:00,19.770673322,107.12413388899999
 01/05  24:00:00,20.9060028303,127.98013043799999
 01/06  01:00:00,19.7626867463,106.058542552
 01/06  02:00:00,20.8346486627,124.134535236
 01/06  03:00:00,19.6922934182,102.11179674700001
 01/06  04:00:00,20.7777985337,121.502879674
 01/06  05:00:00,19.6697130891,100.985323486
 01/06  06:00:00,20.7563172984,121.00411099899999
 01/06  07:00:00,28.0952004975,141.33979690799998
 01/06  08:00:00,47.0981063323,121.753098434
 01/06  09:00:00,59.1407458224,113.858940283
 01/06  10:00:00,71.1147946932,110.242123886
 01/06  11:00:00,71.1147946932,103.674844494
 01/06  12:00:00,71.1147946932,100.319754496
 01/06  13:00:00,64.6219704188,104.483233075
 01/06  14:00:00,71.1147946932,99.55413800209999
 01/06  15:00:00,71.1147946932,102.862346324
 01/06  16:00:00,71.1147946932,108.469277156
 01/06  17:00:00,74.0891280266,125.944323439
 01/06  18:00:00,34.7305074819,137.744412512
 01/06  19:00:00,20.5270406217,151.36018275200001
 01/06  20:00:00,22.334803888000003,194.912579228
 01/06  21:00:00,21.1001087719,179.073825043
 01/06  22:00:00,22.8999950494,220.87787170400003
 01/06  23:00:00,21.5277272845,200.833349546
 01/06  24:00:00,23.3194933264,240.240206335
 01/07  01:00:00,21.8307445796,217.02310664799998
 01/07  02:00:00,23.6662302827,257.90726435
 01/07  03:00:00,22.100321198099998,232.631819185
 01/07  04:00:00,24.0064026886,276.482872925
 01/07  05:00:00,22.406787439499997,250.004700515
 01/07  06:00:00,24.2817117477,290.84619909099996
 01/07  07:00:00,22.6122949439,261.968460272
 01/07  08:00:00,26.608033830900002,355.39902568
 01/07  09:00:00,20.1838001756,327.991350398
 01/07  10:00:00,29.8807139667,298.204778832
 01/07  11:00:00,29.8807139667,263.998997638
 01/07  12:00:00,29.8807139667,230.39720686400003
 01/07  13:00:00,19.1722004975,205.50161331900003
 01/07  14:00:00,19.1722004975,179.511372468
 01/07  15:00:00,19.1722004975,169.055775143
 01/07  16:00:00,19.1722004975,169.168565111
 01/07  17:00:00,14.964676126099999,150.57657187700002
 01/07  18:00:00,20.5423900541,153.083135568
 01/07  19:00:00,22.2251061419,190.939018594
 01/07  20:00:00,20.8806547939,167.848322872
 01/07  21:00:00,22.3623946218,195.848225195
 01/07  22:00:00,20.8919829826,166.867922442
 01/07  23:00:00,22.421262160500003,197.29729800799998
 01/07  24:00:00,21.0965672841,177.20580707
 01/08  01:00:00,22.8069391108,215.885510514
 01/08  02:00:00,21.4404120136,196.299690562
 01/08  03:00:00,23.094528730300002,229.53221068099998
 01/08  04:00:00,21.5390709553,201.18721831599998
 01/08  05:00:00,23.2776641807,239.27757091900003
 01/08  06:00:00,21.8537731473,219.03593900400003
 01/08  07:00:00,23.7452626356,262.755112465
