Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,90.8698445529,46.1910381427
 01/01  02:00:00,95.08740847540001,56.3609983307
 01/01  03:00:00,90.35647710299999,51.623441026
 01/01  04:00:00,93.8527380819,83.1395210256
 01/01  05:00:00,102.804434005,95.5408174542
 01/01  06:00:00,98.361397598,82.2069336701
 01/01  07:00:00,126.296020146,649.205830039
 01/01  08:00:00,135.353020709,620.668023551
 01/01  09:00:00,157.30315375700002,563.269877942
 01/01  10:00:00,129.72431279,548.585210771
 01/01  11:00:00,164.38102606,503.703073541
 01/01  12:00:00,195.905704949,482.060701815
 01/01  13:00:00,203.000867508,447.72270916
 01/01  14:00:00,200.13042191099998,428.637454082
 01/01  15:00:00,196.387531983,413.52019731400003
 01/01  16:00:00,192.993574824,406.143296127
 01/01  17:00:00,196.40119125,417.81877801400003
 01/01  18:00:00,178.103337951,493.455715952
 01/01  19:00:00,184.66484443,513.943495463
 01/01  20:00:00,164.587800081,505.535710145
 01/01  21:00:00,155.769241685,497.36261731400003
 01/01  22:00:00,141.684788456,456.485506234
 01/01  23:00:00,78.700883484,7.54828924588
 01/01  24:00:00,127.922086819,46.8148035688
 01/02  01:00:00,99.1002879064,48.4271124387
 01/02  02:00:00,95.1411317215,77.0149148828
 01/02  03:00:00,97.0077691804,87.2298792535
 01/02  04:00:00,93.6298452505,81.00870484560001
 01/02  05:00:00,103.28466260299999,118.25329456899999
 01/02  06:00:00,105.952346256,133.708505009
 01/02  07:00:00,140.695276114,618.9937475309999
 01/02  08:00:00,149.469675571,566.776832551
 01/02  09:00:00,212.261207785,513.494416309
 01/02  10:00:00,236.27530505,456.38220001400003
 01/02  11:00:00,226.485233345,427.872272794
 01/02  12:00:00,257.493476874,401.304785107
 01/02  13:00:00,237.348101523,390.03548125
 01/02  14:00:00,233.929732528,388.40735662199995
 01/02  15:00:00,230.10494213799998,386.99028675
 01/02  16:00:00,226.67547056400002,390.372746934
 01/02  17:00:00,230.04093939900002,402.319334691
 01/02  18:00:00,240.16442888400002,417.5492128
 01/02  19:00:00,239.648489246,447.70646008800003
 01/02  20:00:00,223.306830792,475.89428530199996
 01/02  21:00:00,198.325562329,499.73138733400003
 01/02  22:00:00,141.620549931,489.93084799
 01/02  23:00:00,85.4126855927,31.359976418000002
 01/02  24:00:00,130.30126299999998,67.240934151
 01/03  01:00:00,103.29154745299999,118.653271698
 01/03  02:00:00,96.9915299608,133.153477777
 01/03  03:00:00,95.1415367478,133.494255871
 01/03  04:00:00,100.101079736,190.39621618700002
 01/03  05:00:00,120.618293329,172.726483752
 01/03  06:00:00,117.902245775,158.778869974
 01/03  07:00:00,156.721663084,740.286246738
 01/03  08:00:00,158.44537423100002,673.4529874240001
 01/03  09:00:00,212.295533487,614.954191053
 01/03  10:00:00,236.14316378,564.03524041
 01/03  11:00:00,226.30129382200002,540.813368429
 01/03  12:00:00,257.354696869,513.259044952
 01/03  13:00:00,237.127310623,497.365049245
 01/03  14:00:00,233.596875817,490.265338461
 01/03  15:00:00,229.81443873599997,486.628269319
 01/03  16:00:00,226.39837538400002,479.83080831800004
 01/03  17:00:00,229.796332278,480.678414897
 01/03  18:00:00,239.96676926400002,485.564170317
 01/03  19:00:00,239.58019440200002,500.46999923199996
 01/03  20:00:00,216.715402418,516.732075538
 01/03  21:00:00,192.098506556,531.4863438
 01/03  22:00:00,136.860865673,515.342451791
 01/03  23:00:00,89.1816596098,46.234232822399996
 01/03  24:00:00,130.079903208,72.2631287448
 01/04  01:00:00,102.70153067700001,128.758521328
 01/04  02:00:00,99.8634338184,159.040366018
 01/04  03:00:00,95.29280042049999,143.261871347
 01/04  04:00:00,98.3178572453,190.954867822
 01/04  05:00:00,106.53817481899999,199.89741109099998
 01/04  06:00:00,101.35819401299999,165.859882188
 01/04  07:00:00,140.165795384,767.982770922
 01/04  08:00:00,149.314698646,704.8222694589999
 01/04  09:00:00,212.20670064599997,656.474385631
 01/04  10:00:00,236.12541352,613.014001384
 01/04  11:00:00,226.26045068099998,595.338589352
 01/04  12:00:00,257.323067096,573.440155732
 01/04  13:00:00,237.08706821799998,558.986678225
 01/04  14:00:00,233.523533517,555.09373573
 01/04  15:00:00,229.75128936599998,543.622767175
 01/04  16:00:00,226.336247923,530.519232766
 01/04  17:00:00,229.737422012,527.654928005
 01/04  18:00:00,239.91148393900002,535.473338675
 01/04  19:00:00,239.564053686,545.808000872
 01/04  20:00:00,223.285744221,550.4566582269999
 01/04  21:00:00,198.24208752099997,553.7476199580001
 01/04  22:00:00,141.601829516,525.7447744469999
 01/04  23:00:00,89.7478305485,47.2587688814
 01/04  24:00:00,130.091119609,69.3943061771
 01/05  01:00:00,102.761819128,119.18576411
 01/05  02:00:00,99.4714425468,138.56142697299998
 01/05  03:00:00,95.3564082122,120.97247550799999
 01/05  04:00:00,97.8452644292,151.924055777
 01/05  05:00:00,107.27261084,160.394789633
 01/05  06:00:00,101.49785296,124.63763071
 01/05  07:00:00,140.30961761700001,659.544217676
 01/05  08:00:00,149.440584149,601.522810554
 01/05  09:00:00,212.251080679,551.712931509
 01/05  10:00:00,236.312485418,498.876607963
 01/05  11:00:00,226.42902502200002,469.43861751099996
 01/05  12:00:00,257.45199212,429.70728152099997
 01/05  13:00:00,237.305254745,405.15782073800005
 01/05  14:00:00,233.886906158,401.38911158699995
 01/05  15:00:00,230.09814122,390.402153708
 01/05  16:00:00,226.713228161,372.627731499
 01/05  17:00:00,230.135170044,369.498825297
 01/05  18:00:00,240.32251555,373.68046184199994
 01/05  19:00:00,239.791097317,378.380095402
 01/05  20:00:00,223.69526116900002,382.420455416
 01/05  21:00:00,198.682880915,387.80465559099997
 01/05  22:00:00,141.818726635,362.307251154
 01/05  23:00:00,79.0497556425,3.49948050565
 01/05  24:00:00,124.51174532600001,26.2250707268
 01/06  01:00:00,97.11125300879999,32.7390387368
 01/06  02:00:00,96.3399261967,60.9722452157
 01/06  03:00:00,97.4131992951,62.759867901899995
 01/06  04:00:00,91.6968084253,51.87116702149999
 01/06  05:00:00,118.649930914,81.2242412
 01/06  06:00:00,119.78814619100001,78.3476958527
 01/06  07:00:00,157.32883699799999,595.270670725
 01/06  08:00:00,158.690446747,582.522597945
 01/06  09:00:00,212.34539251799998,545.620242877
 01/06  10:00:00,236.119432764,497.56142587
 01/06  11:00:00,226.35870703700002,491.226796929
 01/06  12:00:00,257.37787624,459.80736732599996
 01/06  13:00:00,236.99066852299998,449.929826574
 01/06  14:00:00,233.55742675,447.21290293699997
 01/06  15:00:00,229.804131498,433.910986813
 01/06  16:00:00,226.39011188599997,437.683414694
 01/06  17:00:00,229.78950319400002,447.60950229
 01/06  18:00:00,239.960467273,463.47872819
 01/06  19:00:00,239.57996018,484.58209097099996
 01/06  20:00:00,216.704880548,496.442200576
 01/06  21:00:00,192.115266394,501.821208054
 01/06  22:00:00,136.871191968,479.96459994400004
 01/06  23:00:00,85.4551610256,29.9128766387
 01/06  24:00:00,129.831260732,55.8740488654
 01/07  01:00:00,100.85201318700001,105.23127670299999
 01/07  02:00:00,94.76407209610001,118.23411023700001
