Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,569.1230048890001,954.519346212
 01/01  02:00:00,543.280127516,1046.90648582
 01/01  03:00:00,522.117941838,1116.70336344
 01/01  04:00:00,507.248072714,1214.156298
 01/01  05:00:00,498.878248807,1306.46047287
 01/01  06:00:00,479.011942825,1332.46138172
 01/01  07:00:00,526.596878632,1308.01279008
 01/01  08:00:00,535.606619817,1270.4421494
 01/01  09:00:00,604.9130175619999,1277.73655135
 01/01  10:00:00,592.512285503,1171.8349684
 01/01  11:00:00,613.475764441,1082.23990264
 01/01  12:00:00,640.242438346,1016.05869598
 01/01  13:00:00,655.629025877,938.46129267
 01/01  14:00:00,658.428721469,871.1367057030001
 01/01  15:00:00,668.961647985,832.9405594369999
 01/01  16:00:00,676.212556209,849.2296871030001
 01/01  17:00:00,664.555917938,888.851434505
 01/01  18:00:00,631.667787596,891.877095358
 01/01  19:00:00,610.142316463,898.6262511860001
 01/01  20:00:00,605.360334006,885.700535167
 01/01  21:00:00,596.7293590209999,868.9687244239999
 01/01  22:00:00,613.290704753,848.6405791000001
 01/01  23:00:00,605.560387751,850.7333052380001
 01/01  24:00:00,607.897844994,846.346594828
 01/02  01:00:00,609.8703873540001,843.858632222
 01/02  02:00:00,612.5545505059999,849.155713742
 01/02  03:00:00,616.7917268719999,856.7625947839999
 01/02  04:00:00,617.77119541,850.039325439
 01/02  05:00:00,706.516575546,809.274318883
 01/02  06:00:00,703.037340348,1489.76243935
 01/02  07:00:00,933.095623731,931.957605232
 01/02  08:00:00,1056.77909414,862.700555807
 01/02  09:00:00,1066.74095321,916.792062296
 01/02  10:00:00,1061.90585629,993.2660282319999
 01/02  11:00:00,1057.30909402,1014.71701905
 01/02  12:00:00,1065.55754342,969.104155148
 01/02  13:00:00,1023.69263554,961.77554393
 01/02  14:00:00,1039.26256539,1001.13790299
 01/02  15:00:00,1019.50397335,1039.07904941
 01/02  16:00:00,980.22483785,1218.28020498
 01/02  17:00:00,980.97250994,1528.39836738
 01/02  18:00:00,991.591192712,1613.76342607
 01/02  19:00:00,729.993781013,1575.3719808
 01/02  20:00:00,726.037980391,1342.39840551
 01/02  21:00:00,592.575110163,1249.74170666
 01/02  22:00:00,551.569146252,1193.12547196
 01/02  23:00:00,485.11419231599996,1149.24615998
 01/02  24:00:00,486.06987091599996,1152.00175285
 01/03  01:00:00,471.964487484,1156.00802567
 01/03  02:00:00,472.033198174,1127.97523054
 01/03  03:00:00,470.584398346,1121.38750772
 01/03  04:00:00,475.318487792,1145.87298713
 01/03  05:00:00,569.92249585,1112.71678983
 01/03  06:00:00,568.92466399,1389.11631902
 01/03  07:00:00,791.5424178960001,1174.062631
 01/03  08:00:00,910.870554744,1117.9721840999998
 01/03  09:00:00,938.6540935510001,1094.40010066
 01/03  10:00:00,975.387821652,1061.06577227
 01/03  11:00:00,1014.8320704,1042.98410829
 01/03  12:00:00,1030.87102735,996.518256658
 01/03  13:00:00,999.029163187,950.378933139
 01/03  14:00:00,1027.17253727,951.2245300239999
 01/03  15:00:00,1022.00148536,911.3415599819999
 01/03  16:00:00,1021.99456706,910.0891416769999
 01/03  17:00:00,1029.05014436,984.406807403
 01/03  18:00:00,1007.93375566,1049.39606513
 01/03  19:00:00,724.507533105,1186.60927464
 01/03  20:00:00,713.380534775,1118.65662622
 01/03  21:00:00,587.37088926,1094.89521112
 01/03  22:00:00,554.543914924,1049.55361848
 01/03  23:00:00,487.52607849099996,1060.26308985
 01/03  24:00:00,484.280253739,1046.5907236
 01/04  01:00:00,466.77872493300003,1048.76951504
 01/04  02:00:00,471.223995685,1084.29169547
 01/04  03:00:00,476.685677584,1144.43368482
 01/04  04:00:00,476.757513834,1115.44705855
 01/04  05:00:00,570.176869722,1028.17082943
 01/04  06:00:00,560.7900324359999,1321.84884265
 01/04  07:00:00,787.147727626,1226.5617949
 01/04  08:00:00,908.7471577580001,1200.17191158
 01/04  09:00:00,934.382489027,1182.40518985
 01/04  10:00:00,964.18060229,1127.82500684
 01/04  11:00:00,977.236818569,1045.24884784
 01/04  12:00:00,1013.11986027,924.794480422
 01/04  13:00:00,983.437227343,863.041337213
 01/04  14:00:00,1026.20764449,793.47323342
 01/04  15:00:00,1028.78361821,758.631986866
 01/04  16:00:00,1023.70244836,808.714457358
 01/04  17:00:00,1029.09799827,896.312809936
 01/04  18:00:00,1024.65899381,982.972541115
 01/04  19:00:00,730.495426892,1155.20445574
 01/04  20:00:00,710.27774005,1213.44871622
 01/04  21:00:00,579.885657758,1309.02660769
 01/04  22:00:00,540.269522511,1171.11576441
 01/04  23:00:00,472.04278145300003,1013.13127969
 01/04  24:00:00,497.893690654,943.696379978
 01/05  01:00:00,502.86981430000003,896.6259819219999
 01/05  02:00:00,510.308312701,878.878302055
 01/05  03:00:00,516.72486474,867.5321633880001
 01/05  04:00:00,517.022715875,889.2814141839999
 01/05  05:00:00,603.5782573580001,897.422276528
 01/05  06:00:00,607.66944452,1209.40604141
 01/05  07:00:00,837.37113035,896.927925523
 01/05  08:00:00,961.163703287,866.516934398
 01/05  09:00:00,992.3350694689999,858.600581854
 01/05  10:00:00,1025.91846911,827.317929768
 01/05  11:00:00,1044.7324787999999,802.373746345
 01/05  12:00:00,1062.79486574,749.18283297
 01/05  13:00:00,1035.85657838,710.126396317
 01/05  14:00:00,1083.0853467,680.964696407
 01/05  15:00:00,1091.69050981,638.4282571269999
 01/05  16:00:00,1096.9915097,626.881001041
 01/05  17:00:00,1111.04786724,668.2145197909999
 01/05  18:00:00,1119.96337198,665.2378043169999
 01/05  19:00:00,858.58985617,689.428368927
 01/05  20:00:00,854.0743156880001,674.818512161
 01/05  21:00:00,720.890942882,722.5401341219999
 01/05  22:00:00,684.42234696,702.0908005460001
 01/05  23:00:00,620.539653214,708.625579424
 01/05  24:00:00,615.143560539,727.295427688
 01/06  01:00:00,596.7834284959999,749.8795240430001
 01/06  02:00:00,592.8858924890001,759.243638741
 01/06  03:00:00,587.826161134,781.04501997
 01/06  04:00:00,580.969563599,804.554212828
 01/06  05:00:00,665.61909435,796.957547204
 01/06  06:00:00,661.125348026,1156.46473641
 01/06  07:00:00,888.0051854339999,808.458894412
 01/06  08:00:00,1012.10110009,770.290312374
 01/06  09:00:00,1065.41347021,731.2074752780001
 01/06  10:00:00,1118.63140449,671.567108634
 01/06  11:00:00,1163.56491802,665.177413463
 01/06  12:00:00,1213.94488039,637.42457474
 01/06  13:00:00,1196.37688323,597.15198845
 01/06  14:00:00,1233.51373492,574.656282122
 01/06  15:00:00,1228.1605028,556.500575159
 01/06  16:00:00,1212.99934803,556.505029187
 01/06  17:00:00,1191.90629444,612.141823572
 01/06  18:00:00,1166.12269393,631.427070761
 01/06  19:00:00,866.765903782,734.209333454
 01/06  20:00:00,821.4411809989999,807.7916300830001
 01/06  21:00:00,668.833824664,875.8751953860001
 01/06  22:00:00,644.275980823,827.46098152
 01/06  23:00:00,591.7098339280001,769.4207010910001
 01/06  24:00:00,587.900526373,767.8456166889999
 01/07  01:00:00,562.882442027,812.21665871
 01/07  02:00:00,535.014464298,919.024380348
 01/07  03:00:00,524.267202385,972.1184283539999
 01/07  04:00:00,516.5102483009999,1017.75027484
 01/07  05:00:00,510.015396189,1093.90407825
 01/07  06:00:00,502.409130806,1125.04718908
 01/07  07:00:00,536.892442351,1174.81053183
 01/07  08:00:00,660.8879327430001,1396.70322617
 01/07  09:00:00,658.09435157,1178.77510441
 01/07  10:00:00,809.2734171410001,980.822032773
 01/07  11:00:00,820.520894292,1027.2890176
 01/07  12:00:00,830.3395682060001,929.48893046
 01/07  13:00:00,823.437297262,819.602804849
 01/07  14:00:00,854.7697635339999,734.9003468369999
 01/07  15:00:00,876.5982564960001,717.103676784
 01/07  16:00:00,791.89975371,646.065422511
 01/07  17:00:00,795.208096224,729.9495090419999
 01/07  18:00:00,758.787664767,737.3191378710001
 01/07  19:00:00,718.520872375,768.670843399
 01/07  20:00:00,700.4239689980001,787.997195834
 01/07  21:00:00,568.2582486619999,889.974419047
 01/07  22:00:00,560.657337868,897.067594173
 01/07  23:00:00,547.369776624,907.3309389000001
 01/07  24:00:00,528.974957139,1061.34506978
 01/08  01:00:00,500.497701829,1053.69165502
 01/08  02:00:00,504.618782496,991.113211203
 01/08  03:00:00,509.904591215,932.0213581930001
 01/08  04:00:00,515.537397415,893.54443886
 01/08  05:00:00,534.4820230390001,849.2760037989999
 01/08  06:00:00,549.427751956,832.307835543
 01/08  07:00:00,635.631742346,760.396589865
 01/08  08:00:00,645.281073934,791.990101918
 01/08  09:00:00,722.530361687,773.561034683
 01/08  10:00:00,721.56471709,731.800727575
 01/08  11:00:00,751.7437173789999,722.588206947
 01/08  12:00:00,793.633812862,633.024808452
 01/08  13:00:00,827.754624262,591.238926495
 01/08  14:00:00,824.7033149660001,594.120410841
 01/08  15:00:00,823.712183875,577.178903866
 01/08  16:00:00,817.160687395,594.5451340459999
 01/08  17:00:00,784.617137875,666.4286125230001
 01/08  18:00:00,737.1313376080001,681.409190025
 01/08  19:00:00,698.235234435,735.154160887
 01/08  20:00:00,686.061200165,709.9792712289999
 01/08  21:00:00,657.556352543,735.170848763
 01/08  22:00:00,660.7336518669999,717.9627708610001
 01/08  23:00:00,649.362217702,745.0518848080001
 01/08  24:00:00,648.846375381,732.885138745
 01/09  01:00:00,643.568902018,742.800826423
 01/09  02:00:00,634.380285466,777.978014883
 01/09  03:00:00,622.797027145,826.93698923
 01/09  04:00:00,606.956599859,862.225360943
 01/09  05:00:00,665.157287352,919.136602912
 01/09  06:00:00,627.1329541,1551.95137238
 01/09  07:00:00,831.0435746210001,1204.01865316
 01/09  08:00:00,915.7705471910001,1304.00377863
 01/09  09:00:00,927.660876639,1308.41925677
 01/09  10:00:00,956.1685914999999,1179.49528245
 01/09  11:00:00,979.6925719230001,1091.9654773
 01/09  12:00:00,1002.91541512,1038.23909984
 01/09  13:00:00,963.971268318,1016.81171449
 01/09  14:00:00,1001.98308112,968.973014988
 01/09  15:00:00,1000.27117399,978.323602111
 01/09  16:00:00,993.040893073,1010.56734995
 01/09  17:00:00,979.791168371,1066.40118084
 01/09  18:00:00,983.041319796,1135.69431427
 01/09  19:00:00,720.010489414,1286.7221756
 01/09  20:00:00,713.637005617,1184.11062532
 01/09  21:00:00,580.529837574,1192.63027149
 01/09  22:00:00,542.228565991,1195.30118349
 01/09  23:00:00,477.344906681,1146.12154905
 01/09  24:00:00,478.967982636,1157.90879515
 01/10  01:00:00,465.93126476199996,1151.76387702
 01/10  02:00:00,465.52713708699997,1161.71665429
 01/10  03:00:00,464.908689366,1148.27754725
 01/10  04:00:00,463.457894435,1139.04663158
 01/10  05:00:00,552.809320628,1108.21890048
 01/10  06:00:00,552.963456934,1334.82950925
 01/10  07:00:00,777.802426579,1107.75101264
 01/10  08:00:00,899.5359906089999,1095.49423099
 01/10  09:00:00,929.546658211,1124.74828071
 01/10  10:00:00,958.6359218360001,1084.93308417
 01/10  11:00:00,972.1420772060001,1029.44209794
 01/10  12:00:00,980.307357998,1018.58719457
