Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,118.506260849,125.659734589
 01/02  02:00:00,99.34255543489999,86.7164285666
 01/02  03:00:00,117.130090465,108.45618819
 01/02  04:00:00,99.6789802573,87.5121996654
 01/02  05:00:00,138.75687722799998,123.33002606299999
 01/02  06:00:00,169.70669033299998,186.937754172
 01/02  07:00:00,227.86998930400003,181.75016644
 01/02  08:00:00,245.088028167,163.170910255
 01/02  09:00:00,243.88241087,162.28186616899998
 01/02  10:00:00,252.04397061,176.710781403
 01/02  11:00:00,249.376273835,178.05228180000003
 01/02  12:00:00,248.068481732,165.523428585
 01/02  13:00:00,238.083789233,172.444349453
 01/02  14:00:00,247.266162744,164.544150971
 01/02  15:00:00,243.296917813,175.89705316599998
 01/02  16:00:00,245.00931317799999,197.964874782
 01/02  17:00:00,260.556151397,227.48092922700002
 01/02  18:00:00,274.60481267,255.77248987599998
 01/02  19:00:00,168.757866767,178.71545510099998
 01/02  20:00:00,174.62766452900001,181.65446200000002
 01/02  21:00:00,164.046050398,191.56421033799998
 01/02  22:00:00,135.228118029,155.310556094
 01/02  23:00:00,113.83161122,130.962621337
 01/02  24:00:00,125.73567755299999,162.558478563
 01/03  01:00:00,117.89217995700001,130.608491829
 01/03  02:00:00,128.27238167299998,160.744731331
 01/03  03:00:00,121.00094601100001,127.781978206
 01/03  04:00:00,132.06386723399999,158.86709898799998
 01/03  05:00:00,165.820829921,182.148735132
 01/03  06:00:00,193.58843394099998,227.53211598
 01/03  07:00:00,256.904279111,255.980595678
 01/03  08:00:00,271.095925131,248.646262103
 01/03  09:00:00,266.223421065,228.12151239099998
 01/03  10:00:00,269.243322837,227.500795567
 01/03  11:00:00,265.22568038599996,207.82718348900002
 01/03  12:00:00,263.24526781099996,203.271216094
 01/03  13:00:00,250.56746822099998,194.076968363
 01/03  14:00:00,256.670208839,182.239810058
 01/03  15:00:00,251.523299512,186.959777606
 01/03  16:00:00,249.91539816,174.812554168
 01/03  17:00:00,258.856389904,191.15510509599997
 01/03  18:00:00,268.482857893,196.826998419
 01/03  19:00:00,167.145542538,138.012799846
 01/03  20:00:00,170.267409452,151.71240648
 01/03  21:00:00,161.317509617,154.371388265
 01/03  22:00:00,135.12855864,126.297715466
 01/03  23:00:00,113.148357538,109.676023892
 01/03  24:00:00,123.97447957899999,139.34912237700001
 01/04  01:00:00,114.865428994,113.578854062
 01/04  02:00:00,126.422876762,143.94730263600002
 01/04  03:00:00,120.893575094,118.97883483
 01/04  04:00:00,131.348800015,149.705563998
 01/04  05:00:00,162.322624448,168.456458515
 01/04  06:00:00,189.63266971,214.266200656
 01/04  07:00:00,254.297663923,253.98207827599998
 01/04  08:00:00,271.49622304400003,249.14242971
 01/04  09:00:00,265.101112768,251.371574747
 01/04  10:00:00,266.709564655,237.72827996400002
 01/04  11:00:00,262.954766192,231.870432758
 01/04  12:00:00,257.059737455,206.946071374
 01/04  13:00:00,242.52759252,180.218781537
 01/04  14:00:00,250.117101149,180.297438174
 01/04  15:00:00,246.827106044,173.946330417
 01/04  16:00:00,244.73545248599999,165.210601717
 01/04  17:00:00,252.63643766400003,179.386592961
 01/04  18:00:00,262.693170067,184.670745882
 01/04  19:00:00,162.744229394,131.529330966
 01/04  20:00:00,167.47693490700001,143.48922205
 01/04  21:00:00,157.972460566,175.069392109
 01/04  22:00:00,130.403631879,138.07960489799999
 01/04  23:00:00,108.435356863,113.281954239
 01/04  24:00:00,118.735454256,135.531756599
 01/05  01:00:00,110.694937651,105.637288001
 01/05  02:00:00,119.24214509299999,126.957011785
 01/05  03:00:00,111.97084366,99.24051437290001
 01/05  04:00:00,119.668566862,121.949663726
 01/05  05:00:00,148.774579797,140.737768585
 01/05  06:00:00,177.183442914,191.17321173599998
 01/05  07:00:00,238.280553293,205.35195067400002
 01/05  08:00:00,255.562716894,189.586494843
 01/05  09:00:00,251.30431369,191.51249573400003
 01/05  10:00:00,253.725197803,176.618521699
 01/05  11:00:00,247.79487793400003,177.613774245
 01/05  12:00:00,244.00960093900002,161.185814688
 01/05  13:00:00,231.359016542,165.068489801
 01/05  14:00:00,238.34137938599997,159.22494764
 01/05  15:00:00,236.215817882,145.87042815700002
