Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,61.6513221145,269.581896788
 01/01  02:00:00,60.497166981499994,216.459555808
 01/01  03:00:00,61.9726517883,306.593636805
 01/01  04:00:00,60.533357339700004,216.00040460099999
 01/01  05:00:00,62.2238895204,307.39964089
 01/01  06:00:00,60.76254646899999,219.78906359299998
 01/01  07:00:00,62.2547894592,308.411646491
 01/01  08:00:00,60.592346707,187.69661577
 01/01  09:00:00,53.383332599700005,256.50082145
 01/01  10:00:00,51.9155534768,158.263722369
 01/01  11:00:00,53.1325877751,179.407204131
 01/01  12:00:00,52.5562407276,118.319996748
 01/01  13:00:00,53.0032053438,138.32723797100002
 01/01  14:00:00,51.714655236599995,88.6887292756
 01/01  15:00:00,52.6410446259,105.60591641
 01/01  16:00:00,51.21973963520001,69.7716905293
 01/01  17:00:00,56.8594913052,110.164147433
 01/01  18:00:00,60.254045014300004,102.738606121
 01/01  19:00:00,61.477378134300004,160.197505967
 01/01  20:00:00,60.478313523800004,136.301276592
 01/01  21:00:00,61.824263359700005,214.42111489799998
 01/01  22:00:00,60.507306945399996,194.88178014599998
 01/01  23:00:00,61.773453278000005,277.311855224
 01/01  24:00:00,61.183069804,195.201493992
 01/02  01:00:00,61.851083447600004,279.582494146
 01/02  02:00:00,60.4518753245,196.42917160599998
 01/02  03:00:00,61.9004676172,280.91838324099996
 01/02  04:00:00,60.4728994879,199.38176144599998
 01/02  05:00:00,62.13706057939999,282.135542352
 01/02  06:00:00,60.669465107200004,189.941052035
 01/02  07:00:00,66.7747503562,834.208019595
 01/02  08:00:00,131.519675939,707.457865253
 01/02  09:00:00,167.25109522,614.458558733
 01/02  10:00:00,166.805873086,551.539468832
 01/02  11:00:00,170.627681934,503.834677301
 01/02  12:00:00,171.303065056,438.36264540400003
 01/02  13:00:00,170.482494298,410.887083357
 01/02  14:00:00,166.46185339,374.349690854
 01/02  15:00:00,166.44791470799998,356.04992153300003
 01/02  16:00:00,164.41756995,342.211762535
 01/02  17:00:00,168.654976283,362.221067945
 01/02  18:00:00,129.769204124,429.20385633800004
 01/02  19:00:00,129.828755875,479.706466766
 01/02  20:00:00,130.090015462,506.958310517
 01/02  21:00:00,130.104879595,518.2751306
 01/02  22:00:00,55.3998871782,8.98898224299
 01/02  23:00:00,56.961929568,12.0180307598
 01/02  24:00:00,59.2346724958,44.2873061875
 01/03  01:00:00,59.887027678900004,78.1405339736
 01/03  02:00:00,58.980816646499996,70.7756947061
 01/03  03:00:00,59.9004850291,92.6070098693
 01/03  04:00:00,58.9867660245,84.0327465319
 01/03  05:00:00,60.977743152200006,112.76206428200001
 01/03  06:00:00,60.6639053501,96.6502302288
 01/03  07:00:00,67.0489021792,817.571775852
 01/03  08:00:00,131.090520151,594.56918173
 01/03  09:00:00,166.629649735,483.55815498699997
 01/03  10:00:00,166.50892765,445.04694732300004
 01/03  11:00:00,170.443171194,412.480804241
 01/03  12:00:00,171.18951885,378.28179903800003
 01/03  13:00:00,170.407327282,367.897181372
 01/03  14:00:00,166.420086634,371.724467745
 01/03  15:00:00,166.416633196,370.001263405
 01/03  16:00:00,164.40748162399998,371.493013836
 01/03  17:00:00,168.670144271,412.45234562800005
 01/03  18:00:00,129.799628399,484.957460832
 01/03  19:00:00,129.851804228,514.073278659
 01/03  20:00:00,129.911363663,541.802103896
 01/03  21:00:00,129.961895858,559.822843351
 01/03  22:00:00,55.7377965078,12.524414316500001
 01/03  23:00:00,57.3605420514,22.4944421879
 01/03  24:00:00,60.5118815713,84.0578278366
 01/04  01:00:00,59.170313050299995,91.90519775940001
 01/04  02:00:00,60.0908169097,144.930391625
 01/04  03:00:00,60.037260053900006,152.28877996100002
 01/04  04:00:00,61.0026229909,199.059443745
 01/04  05:00:00,60.674668025699994,196.837029394
 01/04  06:00:00,61.732808207299996,250.841534579
 01/04  07:00:00,66.7741071342,925.704064667
 01/04  08:00:00,131.564689594,814.77754183
 01/04  09:00:00,167.620987693,766.355891785
 01/04  10:00:00,167.017022455,713.88855087
 01/04  11:00:00,170.852326054,691.0136397639999
 01/04  12:00:00,171.545095487,654.513914411
 01/04  13:00:00,170.643260082,612.3261378990001
 01/04  14:00:00,166.604194951,585.722269846
 01/04  15:00:00,166.61136096,578.2573483790001
 01/04  16:00:00,164.631329855,585.010148279
 01/04  17:00:00,169.004324562,627.9626628259999
 01/04  18:00:00,130.31173711,690.624025971
 01/04  19:00:00,130.433871483,711.936584932
 01/04  20:00:00,130.77445441700002,736.966301595
 01/04  21:00:00,130.865348114,743.5615884660001
 01/04  22:00:00,57.716152694499996,46.7327489001
 01/04  23:00:00,59.5577548573,126.77625049299999
 01/04  24:00:00,60.9943605992,175.197262963
 01/05  01:00:00,61.075866623900005,222.149284727
 01/05  02:00:00,60.9051413924,227.585691107
 01/05  03:00:00,61.457783937100004,263.677498237
 01/05  04:00:00,60.970434393999994,249.63422922599997
 01/05  05:00:00,61.758578961000005,282.02925184
 01/05  06:00:00,61.2355994396,258.94940281
 01/05  07:00:00,66.8309341276,928.911714661
 01/05  08:00:00,131.594434186,841.36012247
 01/05  09:00:00,167.975341618,821.413246905
 01/05  10:00:00,167.29835637600002,752.209394819
 01/05  11:00:00,170.899808509,700.132049808
 01/05  12:00:00,171.47488921299998,627.613133285
 01/05  13:00:00,170.59118154799998,583.48673833
 01/05  14:00:00,166.570477808,559.693715098
 01/05  15:00:00,166.54046038799999,535.21082657
 01/05  16:00:00,164.519817123,528.3939919430001
 01/05  17:00:00,167.443258311,579.132303843
 01/05  18:00:00,130.168984692,661.288713441
 01/05  19:00:00,130.28881620200002,687.036581974
 01/05  20:00:00,130.61449565799998,710.028132564
