Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,156.07847433700002,228.81892191900002
 01/01  02:00:00,153.32397555100002,153.383127399
 01/01  03:00:00,157.010090364,222.63610083900002
 01/01  04:00:00,152.80826377100001,142.57139230200002
 01/01  05:00:00,153.698659043,212.575926462
 01/01  06:00:00,152.69398415700002,134.657793386
 01/01  07:00:00,155.896911899,195.53550985400003
 01/01  08:00:00,132.120428504,110.112139233
 01/01  09:00:00,118.54091167200001,174.22207299599998
 01/01  10:00:00,114.731539585,111.536690568
 01/01  11:00:00,116.737098661,161.56449624299998
 01/01  12:00:00,134.757962234,121.932787663
 01/01  13:00:00,114.53866909899999,137.17751544799998
 01/01  14:00:00,115.904139627,79.9302114517
 01/01  15:00:00,117.935576473,124.10041597200001
 01/01  16:00:00,119.06600045100001,105.389846079
 01/01  17:00:00,138.684452826,163.392754569
 01/01  18:00:00,145.471086941,131.36502164799998
 01/01  19:00:00,152.378751685,222.92162978599998
 01/01  20:00:00,146.527591876,171.677047756
 01/01  21:00:00,152.48910567299998,246.24348457099998
 01/01  22:00:00,164.388815826,220.780057735
 01/01  23:00:00,161.96260819100002,315.433776068
 01/01  24:00:00,168.848935334,237.554642938
 01/02  01:00:00,159.647672145,303.961563173
 01/02  02:00:00,166.388051521,234.79960444
 01/02  03:00:00,164.710038818,328.488351114
 01/02  04:00:00,164.172945111,235.39111579400003
 01/02  05:00:00,167.139571012,353.032688132
 01/02  06:00:00,169.049933968,246.44151291900002
 01/02  07:00:00,197.43727718099998,3316.68912919
 01/02  08:00:00,371.845180945,2909.31802592
 01/02  09:00:00,447.65859117300005,2644.85723174
 01/02  10:00:00,446.977508718,2535.4729553
 01/02  11:00:00,452.762190565,2440.00020105
 01/02  12:00:00,453.684205899,2318.07681634
 01/02  13:00:00,452.54110853300006,2229.46574229
 01/02  14:00:00,446.519270862,2177.74297859
 01/02  15:00:00,446.46604257,2135.95834827
 01/02  16:00:00,438.57213897699995,2040.94604348
 01/02  17:00:00,442.634648402,2020.12498412
 01/02  18:00:00,372.00746626,2287.26875613
 01/02  19:00:00,372.054352815,2375.89462913
 01/02  20:00:00,372.482259498,2403.29411681
 01/02  21:00:00,372.501741226,2491.97479113
 01/02  22:00:00,120.91543977200001,39.4259902461
 01/02  23:00:00,123.34527103299999,36.3690416856
 01/02  24:00:00,135.546245722,89.58806094059999
 01/03  01:00:00,150.624146727,110.23485226
 01/03  02:00:00,151.567349141,172.070562103
 01/03  03:00:00,157.155315289,181.473223735
 01/03  04:00:00,166.950671941,224.563728446
 01/03  05:00:00,161.588672462,239.421671495
 01/03  06:00:00,171.01731382100002,255.730253237
 01/03  07:00:00,198.209595558,3715.94860271
 01/03  08:00:00,371.956057745,3367.00889668
 01/03  09:00:00,447.409673265,3005.16235369
 01/03  10:00:00,446.971896337,2854.0706191
 01/03  11:00:00,452.771097596,2626.15560384
 01/03  12:00:00,453.641847429,2349.99061843
 01/03  13:00:00,452.48999087,2187.08173678
 01/03  14:00:00,446.48146597199997,2156.02659094
 01/03  15:00:00,446.435726462,2132.15927778
 01/03  16:00:00,438.543529187,2022.81756561
 01/03  17:00:00,442.56547353,1968.46162347
 01/03  18:00:00,371.874642571,2129.83715621
 01/03  19:00:00,371.882151044,2139.65351422
 01/03  20:00:00,371.84956396900003,2110.81761362
 01/03  21:00:00,371.848548321,2112.87019609
 01/03  22:00:00,118.89959548700001,26.9447833108
 01/03  23:00:00,122.115325805,21.9917905224
 01/03  24:00:00,123.61717048,43.37639119520001
 01/04  01:00:00,129.032163241,44.0370772361
 01/04  02:00:00,133.782875053,81.2056213327
 01/04  03:00:00,138.646840617,84.272382513
 01/04  04:00:00,148.674088434,111.456171829
 01/04  05:00:00,155.895302597,135.95078122200002
 01/04  06:00:00,149.33021067,134.758166431
 01/04  07:00:00,197.300499153,3108.98515254
 01/04  08:00:00,370.63729075599997,2596.08423887
 01/04  09:00:00,446.61585401900004,2296.13844298
 01/04  10:00:00,446.56018626599996,2236.35709949
 01/04  11:00:00,452.50950941300005,2160.95347976
 01/04  12:00:00,453.516784959,2112.09071403
 01/04  13:00:00,452.465833954,2152.59706905
 01/04  14:00:00,446.47192827599997,2173.59640738
 01/04  15:00:00,446.445974954,2174.38386119
 01/04  16:00:00,438.58224539300005,2133.74157847
 01/04  17:00:00,442.62525813300005,2083.99637984
 01/04  18:00:00,371.949459157,2260.47121912
 01/04  19:00:00,372.001007835,2354.15657309
 01/04  20:00:00,372.46447684599997,2443.59069699
 01/04  21:00:00,372.47066094400003,2506.65571678
 01/04  22:00:00,120.92387754100001,29.4456952241
 01/04  23:00:00,123.65637350799999,41.9774867816
 01/04  24:00:00,133.069124593,80.4361533071
 01/05  01:00:00,143.17300309200002,93.80036054860001
 01/05  02:00:00,149.294163787,135.98005134299999
 01/05  03:00:00,160.937686816,171.642225874
 01/05  04:00:00,156.676548629,199.586326092
 01/05  05:00:00,166.753581247,221.625415571
 01/05  06:00:00,160.477150445,238.13693918599998
 01/05  07:00:00,197.48741523,3696.00561646
 01/05  08:00:00,371.83294854800005,3285.14912894
 01/05  09:00:00,447.28254143,2946.51044311
 01/05  10:00:00,446.973122386,2860.40200038
 01/05  11:00:00,452.835601164,2755.31388967
 01/05  12:00:00,453.76827215099996,2630.18418847
 01/05  13:00:00,452.66166592699994,2578.92189929
 01/05  14:00:00,446.648420017,2535.82747028
 01/05  15:00:00,446.61177409199996,2493.02954162
 01/05  16:00:00,438.731399862,2409.07798872
 01/05  17:00:00,442.80585911099996,2340.81372454
 01/05  18:00:00,372.12975806699995,2472.3533263
 01/05  19:00:00,372.152524756,2503.38669585
 01/05  20:00:00,372.54326903599997,2474.35050486
 01/05  21:00:00,372.49933042099997,2455.35823985
 01/05  22:00:00,120.931536794,39.1753598318
 01/05  23:00:00,121.803290303,30.12722871
 01/05  24:00:00,130.818788517,70.90993791060001
 01/06  01:00:00,132.925970024,68.6198210422
 01/06  02:00:00,137.332598706,112.090555396
 01/06  03:00:00,153.867721327,114.077700605
 01/06  04:00:00,157.46304051299998,144.906088173
 01/06  05:00:00,152.454895104,154.543292137
 01/06  06:00:00,160.26392021200002,169.026254443
 01/06  07:00:00,198.03593693,3263.17934895
 01/06  08:00:00,371.068992925,2791.28576966
 01/06  09:00:00,446.72717339800005,2454.37211728
 01/06  10:00:00,446.650712771,2424.49976919
 01/06  11:00:00,452.535286726,2298.4495563
 01/06  12:00:00,453.513314024,2116.69193125
 01/06  13:00:00,452.422726898,2057.61414984
 01/06  14:00:00,446.42979653699996,2061.97694674
 01/06  15:00:00,446.417650715,2102.58536013
 01/06  16:00:00,438.56716019199996,2103.05906501
 01/06  17:00:00,442.620861144,2097.98038218
 01/06  18:00:00,371.94508631300005,2272.34763046
 01/06  19:00:00,371.99685123800003,2353.56412109
 01/06  20:00:00,372.03025426199997,2442.27847254
 01/06  21:00:00,372.12304686,2619.97088222
 01/06  22:00:00,120.89086416399999,42.4060038839
 01/06  23:00:00,126.160445686,54.142172690500004
 01/06  24:00:00,139.240019615,102.42914399799999
 01/07  01:00:00,157.238080108,140.224543753
 01/07  02:00:00,159.183208323,209.435473788
 01/07  03:00:00,163.908531332,222.58499957400002
 01/07  04:00:00,163.76321909799998,278.22148481700003
 01/07  05:00:00,167.804501584,290.592939088
 01/07  06:00:00,164.281853615,323.791588237
 01/07  07:00:00,167.921595605,343.484256422
 01/07  08:00:00,158.89300899100002,281.537974826
 01/07  09:00:00,143.05221325,264.787215996
 01/07  10:00:00,141.712265388,271.874693147
 01/07  11:00:00,138.51611634100001,244.341628544
 01/07  12:00:00,141.439201909,249.32084062
 01/07  13:00:00,136.207043363,224.44263294299998
 01/07  14:00:00,142.685780443,225.837144105
 01/07  15:00:00,138.508624636,233.755688372
 01/07  16:00:00,141.578395186,245.78645807200002
 01/07  17:00:00,143.177414287,245.75086036099998
 01/07  18:00:00,158.26404577899999,289.803830168
 01/07  19:00:00,162.976594743,287.695757319
 01/07  20:00:00,161.024727522,325.211892147
 01/07  21:00:00,165.461843216,345.613144325
 01/07  22:00:00,169.804032971,528.570345674
 01/07  23:00:00,171.961968192,472.073742731
 01/07  24:00:00,169.844124295,494.142467435
 01/08  01:00:00,173.83145702099998,516.325514201
 01/08  02:00:00,168.604122846,504.574382855
 01/08  03:00:00,174.255017874,524.5696118469999
 01/08  04:00:00,168.963489889,522.260516758
 01/08  05:00:00,174.893381955,549.304732131
 01/08  06:00:00,169.43821571700002,532.591153088
 01/08  07:00:00,174.907234097,533.628345113
 01/08  08:00:00,165.157750455,418.15982944300004
 01/08  09:00:00,153.094822717,399.505522887
 01/08  10:00:00,149.557589125,400.573649165
 01/08  11:00:00,151.057122383,380.40878126900003
 01/08  12:00:00,144.979332887,319.03352916
 01/08  13:00:00,138.445962546,235.178622591
 01/08  14:00:00,140.358438875,196.453549171
 01/08  15:00:00,133.879160457,154.912911016
 01/08  16:00:00,133.72949203,177.06597597099997
 01/08  17:00:00,142.118023815,185.080197787
 01/08  18:00:00,156.810892179,231.738871385
 01/08  19:00:00,154.62401901299998,220.597284905
 01/08  20:00:00,160.865282414,285.934124139
 01/08  21:00:00,163.017472115,301.809787915
 01/08  22:00:00,173.20436979099998,432.63490388199995
 01/08  23:00:00,167.800701215,422.87031183199997
 01/08  24:00:00,175.255738275,431.15113297
 01/09  01:00:00,167.341453187,435.52565257099997
 01/09  02:00:00,174.37610363599998,460.533367634
 01/09  03:00:00,167.733082344,462.015809744
 01/09  04:00:00,175.08429800099998,493.58089631300004
 01/09  05:00:00,169.014597898,513.474904336
 01/09  06:00:00,175.753850669,515.836038811
 01/09  07:00:00,197.83948225400002,4048.84105774
 01/09  08:00:00,372.24128152099996,3758.63503334
 01/09  09:00:00,449.36579833300004,3605.59762286
 01/09  10:00:00,448.75664740900004,3447.22777528
 01/09  11:00:00,453.79732788300004,3202.46350275
 01/09  12:00:00,454.097632529,2916.85508745
 01/09  13:00:00,452.741068611,2681.71903866
 01/09  14:00:00,446.581399991,2470.66068514
 01/09  15:00:00,446.531227559,2391.8601883
 01/09  16:00:00,438.66549141,2254.90798993
 01/09  17:00:00,439.73104298699997,2130.61644254
 01/09  18:00:00,372.036388141,2261.25274314
 01/09  19:00:00,372.03504015199997,2253.50509961
 01/09  20:00:00,372.414275106,2176.22940912
 01/09  21:00:00,372.361012046,2152.53057519
 01/09  22:00:00,120.24930847,25.343874926799998
 01/09  23:00:00,121.44582399,28.9225276191
 01/09  24:00:00,123.646359643,48.442280081899995
 01/10  01:00:00,127.720592776,40.7344784323
 01/10  02:00:00,137.135970262,71.0469905641
 01/10  03:00:00,130.823067877,71.1725345047
 01/10  04:00:00,137.288834441,103.35670998100001
 01/10  05:00:00,150.595213317,85.6737250016
 01/10  06:00:00,152.781797169,141.361581306
 01/10  07:00:00,197.855250379,2920.89831697
 01/10  08:00:00,370.25434795,2360.23785231
 01/10  09:00:00,446.497368314,2016.67849791
 01/10  10:00:00,446.444990436,1855.03689953
 01/10  11:00:00,452.382511477,1718.04841401
 01/10  12:00:00,453.35334137800004,1563.30446183
 01/10  13:00:00,452.29031744099996,1501.68103845
 01/10  14:00:00,445.851897629,1418.25458618
 01/10  15:00:00,445.429738382,1366.51538742
 01/10  16:00:00,438.08907291199995,1357.38736859
