Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,13.557724213,69.81644355680001
 01/01  02:00:00,9.464034622889999,3.0211
 01/01  03:00:00,9.48289248627,3.59315208076
 01/01  04:00:00,9.49522740717,3.0211
 01/01  05:00:00,9.64521196342,3.0211
 01/01  06:00:00,13.7037393806,78.523272662
 01/01  07:00:00,28.1808960545,82.4454356112
 01/01  08:00:00,26.865253297800002,85.921148642
 01/01  09:00:00,20.6006816771,78.0225233021
 01/01  10:00:00,20.6106147652,73.839944921
 01/01  11:00:00,25.6060101568,87.61059353520001
 01/01  12:00:00,26.765703940500003,87.20382717049999
 01/01  13:00:00,25.829407835300003,76.8463711306
 01/01  14:00:00,25.6260709114,69.8202314142
 01/01  15:00:00,20.6254054197,57.7109192067
 01/01  16:00:00,20.6119353776,57.125490145
 01/01  17:00:00,20.532295475,62.9014885396
 01/01  18:00:00,28.0660206164,70.42228576699999
 01/01  19:00:00,28.071095299699998,73.9656802975
 01/01  20:00:00,28.2144261763,74.2663212115
 01/01  21:00:00,23.1978466912,72.3817306794
 01/01  22:00:00,23.132554056300002,74.0664554725
 01/01  23:00:00,23.028650178499998,72.89184357319999
 01/01  24:00:00,24.231783369099997,59.852505676099995
 01/02  01:00:00,13.756198206099999,67.62815253810001
 01/02  02:00:00,9.46425160178,3.5931717449300002
 01/02  03:00:00,9.48357569158,3.0211
 01/02  04:00:00,9.49634190402,3.0211
 01/02  05:00:00,9.646650994249999,3.5931776488400002
 01/02  06:00:00,13.704554673499999,74.2715217538
 01/02  07:00:00,28.1813369802,77.0917221187
 01/02  08:00:00,26.8693724188,81.3483433869
 01/02  09:00:00,20.6075759748,71.4085797272
 01/02  10:00:00,20.6216621481,63.5148663728
 01/02  11:00:00,25.618524964499997,70.94259937
 01/02  12:00:00,26.779945263800002,69.8198269811
 01/02  13:00:00,25.8630080538,57.6988472629
 01/02  14:00:00,25.6703252126,51.269180974799994
 01/02  15:00:00,20.676360403,41.050229539899995
 01/02  16:00:00,20.6607572748,41.3109891424
 01/02  17:00:00,20.5670351527,48.2022234683
 01/02  18:00:00,28.087055881799998,53.90727164729999
 01/02  19:00:00,28.084835054000003,57.3973853501
 01/02  20:00:00,28.2269235843,59.2716559255
 01/02  21:00:00,23.2094929571,56.6380412143
 01/02  22:00:00,23.1428227169,59.134317564700005
 01/02  23:00:00,23.038190828,56.8643050488
 01/02  24:00:00,24.2371940404,42.253921638099996
 01/03  01:00:00,13.7565279843,47.7255292218
 01/03  02:00:00,9.479056005750001,3.0211
 01/03  03:00:00,9.5044619844,3.0211
 01/03  04:00:00,9.51850829599,3.5931525803800004
 01/03  05:00:00,10.1871080882,3.0211
 01/03  06:00:00,14.2246769648,48.430593038199994
 01/03  07:00:00,28.4156277214,51.777539690299996
 01/03  08:00:00,26.8773838266,61.695480008500006
 01/03  09:00:00,20.6124276303,55.0500767779
 01/03  10:00:00,20.624394601800002,53.4009176854
 01/03  11:00:00,25.6213940729,68.1463830412
 01/03  12:00:00,26.7802359286,73.2978018714
 01/03  13:00:00,25.8452091958,65.228331522
 01/03  14:00:00,25.6518684683,56.868336853900004
 01/03  15:00:00,20.654894321900002,45.7893087544
 01/03  16:00:00,20.6370268167,46.674888726899994
 01/03  17:00:00,20.5462668273,52.2858258397
 01/03  18:00:00,28.0768500392,58.479662322299994
 01/03  19:00:00,28.0806786288,62.9917181821
 01/03  20:00:00,28.079848935799998,65.3666390756
 01/03  21:00:00,23.0722024485,64.0693579947
 01/03  22:00:00,23.0338594665,65.6057497725
 01/03  23:00:00,23.030160769000002,64.9945025266
 01/03  24:00:00,24.231946247,54.677616873599995
 01/04  01:00:00,13.7547573048,61.9182567076
 01/04  02:00:00,9.4689389337,3.59316437494
 01/04  03:00:00,9.489681446519999,3.0211
 01/04  04:00:00,9.502716938019999,3.0211
 01/04  05:00:00,9.65302114106,3.59317029057
 01/04  06:00:00,13.7058263914,71.6606425136
 01/04  07:00:00,28.180943715100003,76.069020158
 01/04  08:00:00,26.86587756,80.1545234968
 01/04  09:00:00,20.602309366,71.6162364517
 01/04  10:00:00,20.6126845747,71.206216582
 01/04  11:00:00,25.603169511799997,88.3544398777
 01/04  12:00:00,26.7582606496,93.94504537739999
 01/04  13:00:00,25.821211492199996,86.9079131131
 01/04  14:00:00,25.6208303371,80.765663357
 01/04  15:00:00,20.6231730928,73.2987722975
 01/04  16:00:00,20.6100581278,74.8286046155
 01/04  17:00:00,20.5286925396,80.3711814025
 01/04  18:00:00,28.058964576100003,83.5457636128
 01/04  19:00:00,28.0606409619,86.9605609098
 01/04  20:00:00,28.2031679517,88.3948834932
 01/04  21:00:00,23.1923604749,88.27266140110001
 01/04  22:00:00,23.1300181398,89.7862372359
 01/04  23:00:00,23.027138099299997,89.72863151540001
 01/04  24:00:00,24.231597374099998,76.8707876592
 01/05  01:00:00,13.756624388099999,83.6305711683
 01/05  02:00:00,9.45267000408,3.0211
 01/05  03:00:00,9.46837536637,3.5931653608599996
 01/05  04:00:00,9.481286453,3.0211
 01/05  05:00:00,9.63169343924,3.59317127492
 01/05  06:00:00,13.700270013399999,85.0596478304
 01/05  07:00:00,28.1805218152,87.727771424
 01/05  08:00:00,26.864481259899996,94.18910571069999
 01/05  09:00:00,20.5999475556,88.2567786188
 01/05  10:00:00,20.6100993376,85.4370395408
 01/05  11:00:00,25.6012848602,98.68850706020001
 01/05  12:00:00,26.7567153643,101.628266601
 01/05  13:00:00,25.819911089899996,91.0867665238
 01/05  14:00:00,25.620487503099998,84.2915897488
 01/05  15:00:00,20.6230547663,75.8355604939
 01/05  16:00:00,20.6101657897,75.9202977697
 01/05  17:00:00,20.528935361400002,80.7002489489
 01/05  18:00:00,28.0600253221,82.4864917621
 01/05  19:00:00,28.0610136864,84.888424306
 01/05  20:00:00,28.2032320781,86.1477032525
 01/05  21:00:00,23.1925612773,85.2330147262
 01/05  22:00:00,23.1301693647,84.49040204479999
 01/05  23:00:00,23.0272372391,83.3625312513
 01/05  24:00:00,24.231597778,69.6809499463
 01/06  01:00:00,13.7565175298,77.2952367135
 01/06  02:00:00,9.45478184428,3.0211
 01/06  03:00:00,9.471030168939999,3.5931483729300004
 01/06  04:00:00,9.48358687963,3.0211
 01/06  05:00:00,10.1508335367,3.5931543140400004
 01/06  06:00:00,14.2111988618,87.05311149799999
 01/06  07:00:00,28.409183105,89.2648883561
 01/06  08:00:00,26.8645870923,95.7500959427
 01/06  09:00:00,20.599895226300003,90.696144115
 01/06  10:00:00,20.6102437729,87.4063561822
 01/06  11:00:00,25.601413449299997,100.10805996
 01/06  12:00:00,26.756986838499998,102.261686583
 01/06  13:00:00,25.8192712317,93.1305632455
 01/06  14:00:00,25.616447798299998,87.79273299129999
 01/06  15:00:00,20.6218420108,80.4710604213
 01/06  16:00:00,20.609863859100003,81.04960116550001
 01/06  17:00:00,20.52855432,84.64188995399999
 01/06  18:00:00,28.0590499953,84.9874664787
 01/06  19:00:00,28.0588718258,86.6209496693
 01/06  20:00:00,28.0583747638,86.8957873969
 01/06  21:00:00,23.0580412131,85.5207432786
 01/06  22:00:00,23.027223633200002,85.6130984272
