Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,958.2974030260001,603.339334881
 01/01  02:00:00,970.423593902,617.608207196
 01/01  03:00:00,970.573286567,618.422655844
 01/01  04:00:00,965.807982676,620.622438622
 01/01  05:00:00,974.494773872,611.151725789
 01/01  06:00:00,981.536430775,620.084847226
 01/01  07:00:00,1051.42737838,564.307783813
 01/01  08:00:00,1049.20189501,558.39183174
 01/01  09:00:00,1128.87318073,566.613450714
 01/01  10:00:00,1124.46028501,544.989385291
 01/01  11:00:00,1134.9818929,574.871816437
 01/01  12:00:00,1137.76560932,560.356573615
 01/01  13:00:00,1139.07204812,563.709944158
 01/01  14:00:00,1134.99295028,536.329661403
 01/01  15:00:00,1135.88940383,529.833336628
 01/01  16:00:00,1094.72989035,542.8825796269999
 01/01  17:00:00,1090.89756587,565.243976296
 01/01  18:00:00,1062.097232,586.849545798
 01/01  19:00:00,1033.35815486,614.482957044
 01/01  20:00:00,1027.09368441,590.640793522
 01/01  21:00:00,993.251956674,628.187837328
 01/01  22:00:00,989.1431126169999,618.842309772
 01/01  23:00:00,979.7573395439999,619.928359921
 01/01  24:00:00,981.351760349,610.613012681
 01/02  01:00:00,979.8218855460001,591.07096991
 01/02  02:00:00,981.3071471510001,600.7389557480001
 01/02  03:00:00,981.7858534489999,603.408605791
 01/02  04:00:00,983.857194603,604.4561317719999
 01/02  05:00:00,1073.95358866,564.947096634
 01/02  06:00:00,1065.00273426,1123.20530662
 01/02  07:00:00,1293.66117089,742.086579747
 01/02  08:00:00,1404.38017311,678.946285865
 01/02  09:00:00,1437.76899321,642.805206314
 01/02  10:00:00,1461.10486146,584.933216875
 01/02  11:00:00,1459.41349034,582.701075332
 01/02  12:00:00,1454.21391259,553.119268625
 01/02  13:00:00,1412.96166931,531.645949022
 01/02  14:00:00,1441.95004998,499.021379981
 01/02  15:00:00,1438.41181615,459.99538087
 01/02  16:00:00,1443.26493169,463.912869595
 01/02  17:00:00,1459.29339953,496.347159974
 01/02  18:00:00,1474.40787931,501.64413492
 01/02  19:00:00,1219.30171556,467.755694655
 01/02  20:00:00,1219.47318838,449.071176391
 01/02  21:00:00,1097.01215147,502.965894933
 01/02  22:00:00,1062.28480586,483.37420535900003
 01/02  23:00:00,997.1477648580001,483.538336033
 01/02  24:00:00,999.226369802,480.98013151
 01/03  01:00:00,984.977794348,477.533565756
 01/03  02:00:00,982.9960333180001,481.944313735
 01/03  03:00:00,979.690008021,486.25095557300006
 01/03  04:00:00,975.0002566889999,489.99046915800005
 01/03  05:00:00,1066.57268962,471.00698203900004
 01/03  06:00:00,1070.48413558,785.5081623410001
 01/03  07:00:00,1300.26357933,556.2938528569999
 01/03  08:00:00,1401.80788977,536.772501213
 01/03  09:00:00,1434.79162689,521.607512294
 01/03  10:00:00,1468.47819439,489.036245791
 01/03  11:00:00,1463.61502979,493.760297244
 01/03  12:00:00,1457.31363715,477.505251078
 01/03  13:00:00,1405.26355914,463.582390342
 01/03  14:00:00,1431.28067181,433.892324902
 01/03  15:00:00,1431.46518127,400.395291525
 01/03  16:00:00,1434.8354799,407.175716461
 01/03  17:00:00,1446.2999918,438.472415364
 01/03  18:00:00,1459.33976506,445.95145594
 01/03  19:00:00,1210.13597576,441.076928324
 01/03  20:00:00,1205.60050749,421.273532509
 01/03  21:00:00,1069.37250445,460.819510785
 01/03  22:00:00,1023.91978138,450.422559594
 01/03  23:00:00,953.617282297,452.331780685
 01/03  24:00:00,949.766462199,442.000154771
 01/04  01:00:00,934.972581129,436.63600933
 01/04  02:00:00,935.97664018,440.31009982
 01/04  03:00:00,936.348424783,443.32113958300005
 01/04  04:00:00,933.767649895,435.79899647199994
 01/04  05:00:00,1027.08274422,426.229867789
 01/04  06:00:00,1027.13166471,648.490236815
 01/04  07:00:00,1256.84687918,482.69759168699994
 01/04  08:00:00,1366.77992524,467.62262617
 01/04  09:00:00,1399.15943857,471.19100526
 01/04  10:00:00,1429.81212652,446.460752535
 01/04  11:00:00,1436.9069807,469.168455961
 01/04  12:00:00,1438.65258388,453.923303645
 01/04  13:00:00,1414.96529562,435.925733374
 01/04  14:00:00,1467.88709492,433.666153323
 01/04  15:00:00,1475.73838287,406.584875253
 01/04  16:00:00,1475.28117306,413.17197923
 01/04  17:00:00,1483.58394749,454.310244836
 01/04  18:00:00,1495.48503637,447.372607889
 01/04  19:00:00,1220.41127454,463.90995684
 01/04  20:00:00,1210.75850106,434.966303023
 01/04  21:00:00,1070.92316853,478.384131426
 01/04  22:00:00,1038.72292751,474.652888398
 01/04  23:00:00,977.692344222,480.38410013
 01/04  24:00:00,984.311976827,475.623848745
 01/05  01:00:00,965.469807337,476.801813355
 01/05  02:00:00,957.63407686,483.614404886
 01/05  03:00:00,954.4436210480001,481.211288131
 01/05  04:00:00,936.2945499760001,497.794359886
 01/05  05:00:00,955.7967764,483.686672959
 01/05  06:00:00,963.778504043,736.745617715
 01/05  07:00:00,1186.51514485,558.4238550069999
 01/05  08:00:00,1275.57158423,539.923210951
 01/05  09:00:00,1327.80905421,537.8837900569999
 01/05  10:00:00,1423.46026094,493.988807985
 01/05  11:00:00,1472.1853899,510.25158147800005
 01/05  12:00:00,1481.81960102,506.066880531
 01/05  13:00:00,1446.38047985,478.693009919
 01/05  14:00:00,1478.42282318,476.51069999099997
 01/05  15:00:00,1476.19762337,435.93673423300004
 01/05  16:00:00,1473.3307646,430.95056277300006
 01/05  17:00:00,1479.58689658,480.058158988
 01/05  18:00:00,1485.1112484,480.507148245
 01/05  19:00:00,1199.96304774,496.603962921
 01/05  20:00:00,1145.09567099,468.345347161
 01/05  21:00:00,983.585273936,511.62726141400003
 01/05  22:00:00,892.238445886,515.472916776
 01/05  23:00:00,783.802903118,533.645009877
 01/05  24:00:00,775.061955686,528.179785443
 01/06  01:00:00,748.4176895510001,540.818260395
 01/06  02:00:00,734.01091115,556.596664195
 01/06  03:00:00,719.543575123,570.9210678869999
 01/06  04:00:00,685.497533054,639.712379775
 01/06  05:00:00,741.304606408,700.5470374439999
 01/06  06:00:00,742.27564805,948.0680202460001
 01/06  07:00:00,946.708449409,735.3235571739999
 01/06  08:00:00,1035.87924752,728.1480477680001
 01/06  09:00:00,1062.81391526,738.827922378
 01/06  10:00:00,1100.97786496,683.921860604
 01/06  11:00:00,1134.31800944,665.444591564
 01/06  12:00:00,1171.89466373,622.109895804
 01/06  13:00:00,1184.24245716,555.672481824
