Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,5.8510690499399995,2.85690339374
 01/01  02:00:00,5.320594749740001,1.8765301204299998
 01/01  03:00:00,5.63891648727,2.39109793533
 01/01  04:00:00,5.3567369435000005,2.4843561001400003
 01/01  05:00:00,5.63891648727,2.46645023017
 01/01  06:00:00,5.3567369435000005,1.96230287801
 01/01  07:00:00,5.63891648727,3.05097507226
 01/01  08:00:00,4.087769463469999,2.90795088867
 01/01  09:00:00,3.5845246170199996,3.2304693219400002
 01/01  10:00:00,3.0537369435,2.53584258397
 01/01  11:00:00,3.1913477122500002,2.8443387428799998
 01/01  12:00:00,2.76459939345,1.5032225655000002
 01/01  13:00:00,2.97449454972,2.1826285355
 01/01  14:00:00,2.76459939345,1.51805112069
 01/01  15:00:00,2.8388931046200003,1.16132819293
 01/01  16:00:00,2.54188450584,1.36451913474
 01/01  17:00:00,3.7427781244199996,2.0708337007099997
 01/01  18:00:00,5.06759939345,1.61724489833
 01/01  19:00:00,5.47627661537,2.50237440705
 01/01  20:00:00,5.32782318849,2.35722902847
 01/01  21:00:00,5.8756861346500004,2.70080206763
 01/01  22:00:00,5.58758734969,2.7741558122099996
 01/01  23:00:00,5.9052823405699995,3.49946175884
 01/01  24:00:00,5.6053450732500005,2.56949646815
 01/02  01:00:00,6.18892184967,3.1391700785500003
 01/02  02:00:00,6.1731081592,2.72501547033
 01/02  03:00:00,6.455287702969999,3.92837313503
 01/02  04:00:00,6.19086588275,3.50686937115
 01/02  05:00:00,6.56183404429,3.91149924394
 01/02  06:00:00,6.4481108404,3.5946766761599998
 01/02  07:00:00,7.27883578125,31.598492708000002
 01/02  08:00:00,6.84351317272,31.116563155799998
 01/02  09:00:00,12.1259054925,19.0829689153
 01/02  10:00:00,12.1259054925,14.023827544500001
 01/02  11:00:00,12.1259054925,11.1554586708
 01/02  12:00:00,12.1259054925,9.431840147139999
 01/02  13:00:00,11.575900130099999,9.32756489422
 01/02  14:00:00,12.1274521269,7.29637106083
 01/02  15:00:00,12.1259054925,6.549173851340001
 01/02  16:00:00,12.1259054925,5.2340746212800004
 01/02  17:00:00,12.893572159100001,5.844013471729999
 01/02  18:00:00,10.028862593300001,11.448257522
 01/02  19:00:00,8.37884650605,13.4168852318
 01/02  20:00:00,8.37884650605,14.60667936
 01/02  21:00:00,7.82884114365,15.4147218701
 01/02  22:00:00,7.82884114365,16.2369352415
 01/02  23:00:00,5.053026812,0.02
 01/02  24:00:00,4.7780241307999995,0.453061818948
 01/03  01:00:00,4.7780241307999995,0.45305677859300003
 01/03  02:00:00,4.7780241307999995,0.02
 01/03  03:00:00,4.7780241307999995,0.45308743060900003
