Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,80.76142208479999,1.77125
 01/01  02:00:00,83.12425298,1.77125
 01/01  03:00:00,84.8434875885,1.77125
 01/01  04:00:00,86.0636049849,2.91553708996
 01/01  05:00:00,93.66684193100001,1.77125
 01/01  06:00:00,93.8624222232,1.77125
 01/01  07:00:00,129.16536257200002,308.35358113
 01/01  08:00:00,133.285210151,278.129934837
 01/01  09:00:00,168.804240779,245.130337033
 01/01  10:00:00,146.659897888,221.84918358
 01/01  11:00:00,183.46000105299998,176.73322468799998
 01/01  12:00:00,214.62635822299998,152.72088362899999
 01/01  13:00:00,225.30545649799998,126.13871799399999
 01/01  14:00:00,219.744001978,130.510168879
 01/01  15:00:00,211.245270613,139.40044951299998
 01/01  16:00:00,204.43528331099998,148.666116294
 01/01  17:00:00,202.776247066,166.033465019
 01/01  18:00:00,186.110476752,213.02184023200002
 01/01  19:00:00,189.54846638599997,229.38338712900003
 01/01  20:00:00,168.51489921700002,248.118118423
 01/01  21:00:00,157.172915153,262.201774637
 01/01  22:00:00,140.652899703,229.87582111400002
 01/01  23:00:00,82.49881294720001,1.77125
 01/01  24:00:00,116.846428639,2.91554786621
 01/02  01:00:00,87.1047601262,2.355
 01/02  02:00:00,78.84812209350001,2.355
 01/02  03:00:00,78.0760309493,3.4992459716199993
 01/02  04:00:00,81.2971911529,12.7114406304
 01/02  05:00:00,95.294874797,31.759747754499998
 01/02  06:00:00,91.21879185729999,21.7810203156
 01/02  07:00:00,131.222283742,462.66313825300006
 01/02  08:00:00,130.088246862,432.265413305
 01/02  09:00:00,206.256376757,383.934734505
 01/02  10:00:00,230.240466607,329.65662157099996
 01/02  11:00:00,220.720663647,291.190143613
 01/02  12:00:00,251.77492136,258.06427735
 01/02  13:00:00,231.815788035,240.80270157299998
 01/02  14:00:00,228.977112308,226.765553878
 01/02  15:00:00,225.20493981200002,217.456469097
 01/02  16:00:00,221.757876635,213.074099392
 01/02  17:00:00,221.613160392,219.012969247
 01/02  18:00:00,235.08981325,228.97216416700002
 01/02  19:00:00,234.311827937,242.806692707
 01/02  20:00:00,217.922767447,260.25679217
 01/02  21:00:00,192.75191817099997,274.612429213
 01/02  22:00:00,135.725735057,260.11771219999997
 01/02  23:00:00,79.8091648322,2.355
 01/02  24:00:00,115.393733302,3.49930031339
 01/03  01:00:00,85.0165346913,2.355
 01/03  02:00:00,78.034627707,2.355
 01/03  03:00:00,77.97113804600001,3.4992456527099995
 01/03  04:00:00,85.225315294,20.6831430025
 01/03  05:00:00,108.07577439200001,22.8911016808
 01/03  06:00:00,113.016593184,32.5661285461
 01/03  07:00:00,147.883284931,463.39937516
