Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,76.0719247033,1.77125
 01/01  02:00:00,75.8588350493,1.77125
 01/01  03:00:00,79.3609967729,12.4068367204
 01/01  04:00:00,86.8684500925,25.9927174198
 01/01  05:00:00,90.1126195449,19.4142414379
 01/01  06:00:00,93.81607413290001,32.3358078015
 01/01  07:00:00,121.034771059,453.512861723
 01/01  08:00:00,116.817790498,414.769194399
 01/01  09:00:00,153.42854868,344.256916065
 01/01  10:00:00,127.42699090100001,304.774159574
 01/01  11:00:00,161.962168072,246.57247285900002
 01/01  12:00:00,192.95854448400002,214.738594755
 01/01  13:00:00,201.943829895,187.75224765299998
 01/01  14:00:00,201.17469399799998,172.90794282
 01/01  15:00:00,199.264892365,163.38542795
 01/01  16:00:00,195.999890902,174.933671482
 01/01  17:00:00,198.47596888700002,193.24139683599998
 01/01  18:00:00,179.77783539400002,238.860250314
 01/01  19:00:00,183.906418542,287.369759819
 01/01  20:00:00,163.569870313,323.958484423
 01/01  21:00:00,152.85244861200002,348.96294082800006
 01/01  22:00:00,136.644607831,324.561899977
 01/01  23:00:00,78.68292751130001,1.77125
 01/01  24:00:00,114.075332962,2.91554292806
 01/02  01:00:00,84.4299006687,2.355
 01/02  02:00:00,85.1874045922,26.123428781100003
 01/02  03:00:00,85.2156218049,24.9967809442
 01/02  04:00:00,88.8643932752,39.6767497104
 01/02  05:00:00,96.84431695,57.8237787366
 01/02  06:00:00,95.27837754059999,48.882807062299996
 01/02  07:00:00,134.477991792,532.985835489
 01/02  08:00:00,129.986913024,483.905673265
 01/02  09:00:00,206.21926006599998,432.426286639
 01/02  10:00:00,230.27316407400002,366.464909752
 01/02  11:00:00,220.687632342,326.19161777
 01/02  12:00:00,251.471821758,284.865054658
 01/02  13:00:00,231.51560186900002,258.079746738
 01/02  14:00:00,228.46923495099998,246.747628558
 01/02  15:00:00,224.58750037,241.777648289
 01/02  16:00:00,221.173235905,236.596903803
 01/02  17:00:00,224.332933152,257.500102158
 01/02  18:00:00,234.46099334099998,286.334859662
 01/02  19:00:00,233.73941855799998,306.919920541
 01/02  20:00:00,217.60335047200002,324.143257815
 01/02  21:00:00,192.721132435,338.46880736099996
 01/02  22:00:00,135.738666222,319.90628059700003
 01/02  23:00:00,79.5379982825,3.4994473483199995
 01/02  24:00:00,115.229520451,2.355
 01/03  01:00:00,84.03674635979999,2.355
 01/03  02:00:00,88.88221500879999,36.3561698078
 01/03  03:00:00,89.2151241952,41.6257668266
 01/03  04:00:00,87.451416667,37.2722600969
 01/03  05:00:00,114.62999702,67.0128351972
 01/03  06:00:00,114.546246418,72.8693015667
 01/03  07:00:00,151.189585314,537.32839036
 01/03  08:00:00,139.166188275,488.318556003
 01/03  09:00:00,206.340755331,423.114098427
 01/03  10:00:00,230.495708532,360.114488172
 01/03  11:00:00,220.82503696400002,314.67475474099996
 01/03  12:00:00,251.606738418,272.408320805
 01/03  13:00:00,231.721425843,248.63513932599997
 01/03  14:00:00,228.56917114400002,238.41340745
 01/03  15:00:00,224.924509013,225.62199827700002
 01/03  16:00:00,221.62167825,216.042701137
 01/03  17:00:00,224.69700604599998,230.277546498
 01/03  18:00:00,234.441158415,255.252121231
 01/03  19:00:00,233.755684681,268.282323201
 01/03  20:00:00,211.05101125299998,281.98696774
 01/03  21:00:00,186.57315382099998,294.877620111
 01/03  22:00:00,131.010311818,276.66888551
 01/03  23:00:00,79.7032246623,2.355
 01/03  24:00:00,115.320562362,2.355
 01/04  01:00:00,84.5557413058,3.49925423482
 01/04  02:00:00,77.7652960734,2.355
 01/04  03:00:00,88.7718328302,33.2303461576
 01/04  04:00:00,89.0775099557,36.1280142325
 01/04  05:00:00,93.1209684394,28.7990171992
 01/04  06:00:00,96.3635721417,51.7110058204
 01/04  07:00:00,134.776145709,491.4922341
 01/04  08:00:00,130.203198517,444.67283543
 01/04  09:00:00,206.37697617700002,375.73189781
 01/04  10:00:00,230.676420113,307.96118939
 01/04  11:00:00,221.48653812599997,267.174487769
 01/04  12:00:00,252.590225643,233.25210802200002
 01/04  13:00:00,233.78833677,208.16577095
 01/04  14:00:00,231.653157468,185.41909221900002
 01/04  15:00:00,228.97953049400002,169.31563514
 01/04  16:00:00,225.95013310099998,166.241565073
 01/04  17:00:00,228.98669456599998,182.562586505
 01/04  18:00:00,238.119583356,207.078084168
 01/04  19:00:00,236.18471387900001,235.252177778
 01/04  20:00:00,219.86239935700002,256.036913922
 01/04  21:00:00,194.22679329,268.552068279
 01/04  22:00:00,136.84039941700001,245.831037877
 01/04  23:00:00,81.775222031,3.4994548162
 01/04  24:00:00,117.14943299,2.355
 01/05  01:00:00,86.0073391473,2.355
 01/05  02:00:00,78.5096443579,3.4992817308800004
 01/05  03:00:00,78.0447116377,2.355
 01/05  04:00:00,88.97497882530001,31.4978593695
 01/05  05:00:00,95.6081022341,30.338817370100003
 01/05  06:00:00,91.6021130925,22.232283742899998
 01/05  07:00:00,134.949389136,426.370801309
 01/05  08:00:00,130.938104376,380.490048839
 01/05  09:00:00,209.149315965,308.127923678
 01/05  10:00:00,236.61946402700002,231.07233562099998
 01/05  11:00:00,228.715448666,185.35776621
 01/05  12:00:00,260.83328673299997,155.543133268
 01/05  13:00:00,244.51581166,136.49080133
 01/05  14:00:00,243.33665118,114.118418367
 01/05  15:00:00,239.28131031599997,103.208793184
 01/05  16:00:00,235.179007729,97.0704004075
 01/05  17:00:00,235.432669493,111.09527081899999
 01/05  18:00:00,239.369005278,148.391062581
 01/05  19:00:00,236.37053276400002,175.54726522
 01/05  20:00:00,219.904163515,186.108223735
 01/05  21:00:00,194.97450355400002,191.26529613
 01/05  22:00:00,137.925534529,155.094189917
 01/05  23:00:00,83.4677914893,2.355
 01/05  24:00:00,118.460944865,2.355
 01/06  01:00:00,89.226739603,3.4992397083999998
 01/06  02:00:00,82.200723064,2.355
 01/06  03:00:00,81.8193032514,2.355
 01/06  04:00:00,81.3997414841,3.4992245155300004
 01/06  05:00:00,103.751805095,2.355
 01/06  06:00:00,103.839741071,2.355
 01/06  07:00:00,154.379089558,263.773632209
 01/06  08:00:00,144.358347262,240.645405885
 01/06  09:00:00,212.099474259,212.043354297
 01/06  10:00:00,237.91911468799998,182.79265972599998
 01/06  11:00:00,228.862133389,170.00343817799998
