Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,59.9024974439,15.121258783
 01/01  02:00:00,60.740967114499995,35.1499447609
 01/01  03:00:00,61.7192956974,46.8867460875
 01/01  04:00:00,60.9866566521,46.054789874099995
 01/01  05:00:00,62.67905223020001,58.685992594
 01/01  06:00:00,61.4643583983,52.445189856199995
 01/01  07:00:00,63.3011568167,70.7750902775
 01/01  08:00:00,53.771393932399995,42.3491660997
 01/01  09:00:00,53.4311527804,43.4157271913
 01/01  10:00:00,51.0763411575,15.3246934816
 01/01  11:00:00,50.1697901646,7.9072784925
 01/01  12:00:00,50.0455855519,7.90063894871
 01/01  13:00:00,46.908789971400005,3.22568
 01/01  14:00:00,46.9603806605,6.089938440419999
 01/01  15:00:00,46.980969452,3.22568
 01/01  16:00:00,46.9724354864,6.08832890163
 01/01  17:00:00,46.8714208409,3.22568
 01/01  18:00:00,55.442697476300005,6.08838825209
 01/01  19:00:00,55.4358342007,3.22568
 01/01  20:00:00,55.6429020085,3.22568
 01/01  21:00:00,55.625562547799994,6.0884475265299995
 01/01  22:00:00,58.972755318100006,6.444092078680001
 01/01  23:00:00,59.77496906100001,12.303824696600001
 01/01  24:00:00,61.4632372259,14.403325876199998
 01/02  01:00:00,59.8485134279,18.8946436831
 01/02  02:00:00,61.3712921049,34.0805898947
 01/02  03:00:00,60.693570936899995,40.7723099571
 01/02  04:00:00,61.7086324097,43.8335316763
 01/02  05:00:00,61.1530511391,50.2420016693
 01/02  06:00:00,62.9174313454,58.8574407105
 01/02  07:00:00,65.38812608319999,756.5354974669999
 01/02  08:00:00,122.402871885,463.143835285
 01/02  09:00:00,166.003707041,353.10182243199995
 01/02  10:00:00,165.98179339799998,292.432426138
 01/02  11:00:00,169.969692423,268.049805344
 01/02  12:00:00,170.726018557,224.870174108
 01/02  13:00:00,169.975582121,206.01812020900002
 01/02  14:00:00,166.141862162,202.538121937
 01/02  15:00:00,166.148121432,191.713420268
 01/02  16:00:00,163.989367236,183.73419388
 01/02  17:00:00,163.85790142,174.786915794
 01/02  18:00:00,129.171867555,204.902566933
 01/02  19:00:00,129.17983797899998,233.732168567
 01/02  20:00:00,129.39903951899998,250.657472202
 01/02  21:00:00,129.390053797,261.12946512900004
 01/02  22:00:00,55.4509673624,8.98003645519
 01/02  23:00:00,55.347788268100004,6.0953113127
 01/02  24:00:00,56.1499650485,6.09291208071
 01/03  01:00:00,55.382891901,6.08993459704
 01/03  02:00:00,55.3869051445,3.22568
 01/03  03:00:00,55.3817299149,6.089866521259999
 01/03  04:00:00,58.8832122058,3.9707834578300005
 01/03  05:00:00,60.522563769899996,7.33570501577
 01/03  06:00:00,61.6524982196,8.237103308239998
 01/03  07:00:00,65.4872125684,552.7638325730001
 01/03  08:00:00,122.306023016,435.449657939
 01/03  09:00:00,165.97978461,332.117415033
 01/03  10:00:00,165.975139796,279.378370796
 01/03  11:00:00,169.967828227,257.841632318
 01/03  12:00:00,170.722388089,223.78832389599998
 01/03  13:00:00,170.038484921,213.38412719299998
 01/03  14:00:00,166.25643667,209.406959977
 01/03  15:00:00,166.31443881200002,202.855392795
 01/03  16:00:00,164.251772889,191.75971151
 01/03  17:00:00,163.842401863,175.67765858799999
 01/03  18:00:00,129.159113972,214.03746927
 01/03  19:00:00,129.175088547,252.695560328
 01/03  20:00:00,129.190228886,279.06076336900003
 01/03  21:00:00,129.20052149100002,295.890149595
 01/03  22:00:00,55.2954707762,8.98000565756
 01/03  23:00:00,55.3459836381,6.095032031769999
 01/03  24:00:00,56.1455542606,6.09286160626
 01/04  01:00:00,55.376808134799994,6.0899613738
 01/04  02:00:00,61.2306473431,7.651760426489999
 01/04  03:00:00,59.7860729781,4.96355204304
 01/04  04:00:00,60.6969460092,9.3567015083
 01/04  05:00:00,59.9414401546,11.115988532000001
 01/04  06:00:00,62.427029791,41.9589575451
 01/04  07:00:00,65.3257599176,643.995417637
 01/04  08:00:00,122.394088751,491.686914193
 01/04  09:00:00,166.00136099600002,357.448579019
 01/04  10:00:00,165.98536592600001,276.194704372
 01/04  11:00:00,169.984880555,239.444669036
 01/04  12:00:00,170.754322779,200.55769423
