Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,20.1491932987,108.752883435
 01/01  02:00:00,19.4170436856,98.80518785459999
 01/01  03:00:00,20.7955564159,131.046142646
 01/01  04:00:00,19.5328273517,105.959257938
 01/01  05:00:00,20.7672567622,130.09067674
 01/01  06:00:00,19.5166030073,105.61486306100001
 01/01  07:00:00,20.7788709801,131.213351644
 01/01  08:00:00,12.072584709100001,105.454989855
 01/01  09:00:00,11.669796733,123.75236780200001
 01/01  10:00:00,10.0325057048,82.2120856052
 01/01  11:00:00,10.5691342562,83.1983633258
 01/01  12:00:00,9.13717042463,50.6821448169
 01/01  13:00:00,9.57929040923,59.8478718449
 01/01  14:00:00,8.543455971410001,39.5374508035
 01/01  15:00:00,9.087987274089999,50.028976696499996
 01/01  16:00:00,8.46179943474,37.8325424007
 01/01  17:00:00,9.545108798300001,58.923656370799996
 01/01  18:00:00,18.1713076499,53.4722794884
 01/01  19:00:00,19.4924862138,79.5911379058
 01/01  20:00:00,18.6900984308,63.7717571353
 01/01  21:00:00,20.110837794000002,92.6489541225
 01/01  22:00:00,19.1082028344,77.1841690864
 01/01  23:00:00,20.3912894795,107.236702127
 01/01  24:00:00,19.2992735309,89.53333200670001
 01/02  01:00:00,20.5789671243,117.457551049
 01/02  02:00:00,19.3754716645,95.06556428969999
 01/02  03:00:00,20.6371181794,121.338588985
 01/02  04:00:00,19.4038330448,97.18953992899999
 01/02  05:00:00,20.6730416263,123.187999382
 01/02  06:00:00,19.4360899173,99.0702477818
 01/02  07:00:00,23.5598547404,162.853094923
 01/02  08:00:00,36.614093908600005,140.200329668
 01/02  09:00:00,54.605400065299996,113.133252375
 01/02  10:00:00,66.45783567609999,82.9374567476
 01/02  11:00:00,66.48311708439999,68.9024360566
 01/02  12:00:00,66.5079191145,57.5925560358
 01/02  13:00:00,60.01509484,49.671870329799994
 01/02  14:00:00,66.5079191145,41.666581805999996
 01/02  15:00:00,66.5079191145,39.6088040429
 01/02  16:00:00,66.5079191145,45.4810225933
 01/02  17:00:00,66.5079191145,56.885172044499996
 01/02  18:00:00,32.1737742333,52.2770516712
 01/02  19:00:00,18.1994175568,53.6229898655
 01/02  20:00:00,19.4026443589,77.10302812569999
 01/02  21:00:00,18.5488465006,60.7324542521
 01/02  22:00:00,19.6974920539,83.1608894889
 01/02  23:00:00,18.8494516119,66.3123243284
 01/02  24:00:00,20.0829295342,93.1148132002
 01/03  01:00:00,19.0414905173,75.2977128432
 01/03  02:00:00,20.235825379,102.245845064
 01/03  03:00:00,19.2476478743,88.4639680437
 01/03  04:00:00,20.6407104081,122.00137073399999
 01/03  05:00:00,19.5779906758,106.96438862299999
 01/03  06:00:00,20.950170257899998,138.900253592
 01/03  07:00:00,23.5598547404,170.48514834
 01/03  08:00:00,36.614093908600005,149.35443584200002
 01/03  09:00:00,54.605400065299996,117.91747456899999
 01/03  10:00:00,66.4821583281,85.3553506424
 01/03  11:00:00,66.4707160693,69.5928722518
 01/03  12:00:00,66.5079191145,58.2261625644
 01/03  13:00:00,60.01509484,50.967261978500005
 01/03  14:00:00,66.5079191145,43.9798444242
 01/03  15:00:00,66.5079191145,42.4552163525
 01/03  16:00:00,66.5079191145,43.9539287697
 01/03  17:00:00,66.5079191145,52.0006305028
 01/03  18:00:00,32.2938460965,54.5633330859
 01/03  19:00:00,18.5394448666,60.2685540634
 01/03  20:00:00,20.0182456542,90.52213095120001
 01/03  21:00:00,19.2471723496,85.03923696310001
 01/03  22:00:00,20.6366285332,122.174919465
 01/03  23:00:00,19.5832787622,107.492758225
 01/03  24:00:00,20.9087977441,138.25218627
 01/04  01:00:00,19.8183149017,122.664989263
 01/04  02:00:00,21.2808099354,158.253156326
 01/04  03:00:00,20.0652213217,135.833928343
 01/04  04:00:00,21.3799059246,162.954899628
 01/04  05:00:00,20.0823960694,137.42729338700002
 01/04  06:00:00,21.4408658453,166.977132501
 01/04  07:00:00,23.5598547404,198.752583478
 01/04  08:00:00,36.614093908600005,179.901843562
 01/04  09:00:00,54.605400065299996,135.614613105
 01/04  10:00:00,66.4821583281,84.0664687267
 01/04  11:00:00,66.48311708439999,61.539193453100005
 01/04  12:00:00,66.5079191145,46.16471470810001
 01/04  13:00:00,60.01509484,38.1215403633
 01/04  14:00:00,66.5079191145,29.7358499948
 01/04  15:00:00,66.5079191145,27.1929152474
 01/04  16:00:00,66.5079191145,29.0447444979
 01/04  17:00:00,66.5079191145,37.753934648299996
 01/04  18:00:00,31.6747229606,42.6868261322
 01/04  19:00:00,18.026936948,50.0663622445
 01/04  20:00:00,19.4792857978,78.78533320609999
 01/04  21:00:00,18.6630656418,62.837014304899995
 01/04  22:00:00,19.9332571434,88.0820376607
 01/04  23:00:00,18.916084387799998,68.5346721131
 01/04  24:00:00,20.248866051500002,99.1492507796
 01/05  01:00:00,19.149690609300002,80.6319817034
 01/05  02:00:00,20.389424875,108.117830984
 01/05  03:00:00,19.2121388017,86.5945320589
 01/05  04:00:00,20.2776941879,104.649050685
 01/05  05:00:00,18.9495331423,73.781282212
 01/05  06:00:00,19.9816418421,92.5753853403
 01/05  07:00:00,23.5598547404,109.513343224
 01/05  08:00:00,36.4681579966,92.8649545123
 01/05  09:00:00,54.496667198500006,82.85167180479999
 01/05  10:00:00,66.5079191145,70.53156287729999
 01/05  11:00:00,66.5079191145,60.3779506454
 01/05  12:00:00,66.5079191145,51.250981546000006
 01/05  13:00:00,60.01509484,49.8541168479
 01/05  14:00:00,66.5079191145,47.6452522675
 01/05  15:00:00,66.5079191145,46.212234117399994
 01/05  16:00:00,66.5079191145,53.290586428100006
 01/05  17:00:00,66.5079191145,57.024502984499996
 01/05  18:00:00,31.844203261700002,46.1079920055
 01/05  19:00:00,17.838908765,46.800570067799995
 01/05  20:00:00,18.7881413667,65.3085558771
 01/05  21:00:00,18.0142933454,50.467976225600005
 01/05  22:00:00,18.874934168299998,67.16336818180001
 01/05  23:00:00,18.0499444701,51.2705466886
 01/05  24:00:00,19.0577983311,70.9441563317
 01/06  01:00:00,18.195910711099998,54.2306356077
 01/06  02:00:00,19.1844316736,73.559083838
 01/06  03:00:00,18.2612465605,55.5254254424
 01/06  04:00:00,19.0585302167,71.0326229608
 01/06  05:00:00,18.145569578499998,53.23582362810001
 01/06  06:00:00,19.1041418123,71.9821995743
 01/06  07:00:00,23.4883249188,93.3988559155
 01/06  08:00:00,36.5425640869,82.17768533899999
 01/06  09:00:00,54.5338702437,69.64628906520001
 01/06  10:00:00,66.5079191145,58.195626704300004
 01/06  11:00:00,66.5079191145,52.079087584899995
 01/06  12:00:00,66.5079191145,44.9536563814
 01/06  13:00:00,60.01509484,32.1091564219
 01/06  14:00:00,66.5079191145,16.231179505
 01/06  15:00:00,66.5079191145,7.257077422260001
 01/06  16:00:00,66.5079191145,5.407620250980001
 01/06  17:00:00,66.5079191145,9.508272795
 01/06  18:00:00,30.5709800004,21.692577124299998
 01/06  19:00:00,17.5229916018,40.1730134349
 01/06  20:00:00,17.8604858355,47.4236407261
 01/06  21:00:00,18.0500241549,50.600080371000004
 01/06  22:00:00,18.0031749875,50.385246853299996
 01/06  23:00:00,18.3933775592,57.399968172
 01/06  24:00:00,18.3945048569,58.3709635604
 01/07  01:00:00,18.8418052483,66.3076942088
 01/07  02:00:00,18.530121725999997,61.1779890109
 01/07  03:00:00,18.7556429238,64.6182605996
 01/07  04:00:00,18.600375867100002,62.6304169068
 01/07  05:00:00,19.0393105677,70.2327060169
 01/07  06:00:00,19.0434902161,71.7129776431
 01/07  07:00:00,19.5246972766,79.87641919149999
 01/07  08:00:00,16.0400905704,106.576028406
 01/07  09:00:00,15.539721551700001,92.9380080631
 01/07  10:00:00,25.273838388,79.06107194810001
 01/07  11:00:00,25.273838388,71.6339790005
 01/07  12:00:00,25.273838388,66.5986122849
 01/07  13:00:00,14.565324918800002,68.20263887979999
 01/07  14:00:00,14.565324918800002,66.8889889366
 01/07  15:00:00,14.565324918800002,60.5417561986
 01/07  16:00:00,14.565324918800002,57.3111537126
 01/07  17:00:00,8.74139976143,42.3306416577
 01/07  18:00:00,17.7470616612,44.6594695872
 01/07  19:00:00,19.2131982453,73.59466063010001
 01/07  20:00:00,18.6214426809,62.1175610324
 01/07  21:00:00,20.0234029969,90.3667780605
 01/07  22:00:00,19.1396425077,79.49696517470001
 01/07  23:00:00,20.4814887511,111.942758535
 01/07  24:00:00,19.3742184504,95.0207711558
 01/08  01:00:00,20.7501820951,127.179576715
 01/08  02:00:00,19.5086352476,102.876390925
 01/08  03:00:00,20.8259691113,132.458588074
 01/08  04:00:00,19.639247523599998,111.255593955
 01/08  05:00:00,20.912136873199998,136.834744351
 01/08  06:00:00,19.5869333838,108.394176005
 01/08  07:00:00,20.823431211,133.083645838
 01/08  08:00:00,12.071990055,104.251441696
 01/08  09:00:00,11.286992163599999,106.83590443799999
 01/08  10:00:00,9.36077127271,56.0729399982
 01/08  11:00:00,9.38689968311,55.9292891134
 01/08  12:00:00,8.16226067204,32.084300215
 01/08  13:00:00,8.36061358574,35.890355278099996
 01/08  14:00:00,7.633068138760001,21.762727919
 01/08  15:00:00,7.810595489860001,25.0097277537
 01/08  16:00:00,7.40983712339,17.3689064786
 01/08  17:00:00,8.02474285143,29.3017740773
 01/08  18:00:00,17.043916900899998,31.554488384899997
 01/08  19:00:00,18.1845209682,53.7059505005
 01/08  20:00:00,17.8409651735,47.2219956303
