Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,13.8990737223,4.77943198093
 01/01  02:00:00,9.808628332260001,3.0211
 01/01  03:00:00,9.83343342121,3.5931749009199994
 01/01  04:00:00,9.849409103960001,3.0211
 01/01  05:00:00,10.0253057535,3.59318079982
 01/01  06:00:00,14.0753211354,4.64279534818
 01/01  07:00:00,27.9398396273,14.6700455577
 01/01  08:00:00,26.001793997600004,22.745335629299998
 01/01  09:00:00,20.998139159,16.170716236
 01/01  10:00:00,21.1184720097,16.1707686836
 01/01  11:00:00,26.4564501923,36.4748360182
 01/01  12:00:00,28.2175422427,44.550740607200005
 01/01  13:00:00,28.0896581445,38.900299052
 01/01  14:00:00,27.628384181799998,34.3984236654
 01/01  15:00:00,22.0844418978,23.319753320500002
 01/01  16:00:00,21.859189199099998,21.8197193631
 01/01  17:00:00,21.529198230100004,24.8206338533
 01/01  18:00:00,28.986657651999998,28.3965662179
 01/01  19:00:00,29.2838078337,28.9718265904
 01/01  20:00:00,29.4539834051,29.54561974
 01/01  21:00:00,24.0839873251,25.395086777
 01/01  22:00:00,23.6778430005,24.4696644693
 01/01  23:00:00,23.41241338,20.8930703175
 01/01  24:00:00,24.5484644205,4.73904200959
 01/02  01:00:00,14.1307924035,4.7762364165
 01/02  02:00:00,9.823484559610002,3.0211
 01/02  03:00:00,9.84696362344,3.593184909119999
 01/02  04:00:00,9.855656407060001,3.0211
 01/02  05:00:00,10.0142492699,3.5931907921199997
 01/02  06:00:00,14.0418616678,5.52947540971
 01/02  07:00:00,27.893302115500003,14.6701711942
 01/02  08:00:00,25.9738162914,25.620925651
 01/02  09:00:00,21.2626046367,19.0437623288
 01/02  10:00:00,21.7530502982,18.467418111
 01/02  11:00:00,27.2660966775,35.8995549285
 01/02  12:00:00,29.0629325514,43.9764469945
 01/02  13:00:00,28.8393892983,38.9004361508
 01/02  14:00:00,28.590619039,33.8240855085
 01/02  15:00:00,22.7845595303,23.3201726545
 01/02  16:00:00,22.108072898899998,21.819600618699997
 01/02  17:00:00,21.554510618200002,24.820678552600004
 01/02  18:00:00,29.179095108200002,28.3966378941
 01/02  19:00:00,29.098533109699996,29.5467153695
 01/02  20:00:00,29.062972548,30.122530331900002
 01/02  21:00:00,23.617852309099998,25.9707377917
 01/02  22:00:00,23.5297510696,25.0453250955
 01/02  23:00:00,23.397671079600002,21.4925095443
 01/02  24:00:00,24.481017116900002,4.9629493347
 01/03  01:00:00,14.026034186099999,8.18437049401
 01/03  02:00:00,9.7697691316,3.59317589385
 01/03  03:00:00,9.81448250565,3.0211
 01/03  04:00:00,9.83328319769,3.0211
 01/03  05:00:00,10.5871377176,3.5931818100800004
 01/03  06:00:00,14.620859402999999,5.67315023596
 01/03  07:00:00,28.152543717199997,15.2426022453
 01/03  08:00:00,25.9806383773,25.0471943552
 01/03  09:00:00,21.1264765908,19.0435802051
 01/03  10:00:00,21.778033328899998,18.4676554332
 01/03  11:00:00,27.366482121100002,35.8996063732
 01/03  12:00:00,29.2672148551,43.976815296999995
 01/03  13:00:00,28.937184241,38.900454443600005
 01/03  14:00:00,28.3278400602,33.824714413
 01/03  15:00:00,22.556701826799998,23.320443793600003
 01/03  16:00:00,22.1723869195,21.8198767349
 01/03  17:00:00,21.6189742099,24.8209610091
 01/03  18:00:00,29.015682331399997,28.9703654925
 01/03  19:00:00,28.697400652600003,29.5466888294
 01/03  20:00:00,28.7049817898,29.548922744899997
 01/03  21:00:00,23.4636146185,25.9705047818
 01/03  22:00:00,23.4048767413,25.0451300414
 01/03  23:00:00,23.3856536566,21.4928624992
 01/03  24:00:00,24.511265642399998,5.33949252655
 01/04  01:00:00,14.079049214000001,5.20314114719
 01/04  02:00:00,9.76815092609,3.59319238579
 01/04  03:00:00,9.78597016649,3.0211
 01/04  04:00:00,9.79610920712,3.5931724565300005
 01/04  05:00:00,9.95742442974,3.0211
 01/04  06:00:00,13.9795260411,9.579438136910001
 01/04  07:00:00,27.8457340342,15.0735067778
 01/04  08:00:00,25.9653097411,25.0469541038
 01/04  09:00:00,20.9797111542,19.043873484200002
 01/04  10:00:00,21.2622436335,18.46763284
 01/04  11:00:00,27.135579373000002,35.8996184892
 01/04  12:00:00,29.052364551500002,43.976258115200004
 01/04  13:00:00,28.7261987346,38.8996529044
 01/04  14:00:00,28.408546574499997,34.397717295
 01/04  15:00:00,22.5101736039,23.3202264198
 01/04  16:00:00,21.9016467251,21.819824202800003
 01/04  17:00:00,21.488159666399998,24.8209937511
 01/04  18:00:00,29.1882016464,28.3968408504
 01/04  19:00:00,29.0767750898,29.547076192
 01/04  20:00:00,29.0768783719,29.5476328311
 01/04  21:00:00,23.7730706539,26.544360827
 01/04  22:00:00,23.5405188832,25.0452964015
 01/04  23:00:00,23.4046728883,20.919192742699998
 01/04  24:00:00,24.538265723000002,5.31259198206
 01/05  01:00:00,14.1153809001,4.776644857780001
 01/05  02:00:00,9.80676073811,3.0211
 01/05  03:00:00,9.823976089910001,3.59318837633
 01/05  04:00:00,9.82969312993,3.0211
 01/05  05:00:00,9.99608540256,3.0211
 01/05  06:00:00,14.04151765,5.96705285237
 01/05  07:00:00,27.9110488604,14.6699914345
 01/05  08:00:00,25.9913644771,25.6207251157
 01/05  09:00:00,21.0983030423,19.0437223546
 01/05  10:00:00,21.7087899002,17.8939812466
