Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,13.5120386643,48.6776843679
 01/01  02:00:00,9.49725301193,3.5931767414599998
 01/01  03:00:00,9.522504402120001,3.0211
 01/01  04:00:00,9.53413923865,3.5931567846900005
 01/01  05:00:00,9.68307693168,3.0211
 01/01  06:00:00,13.6594017073,53.671234858999995
 01/01  07:00:00,28.1390946536,53.8558545001
 01/01  08:00:00,25.5680651869,57.1066111589
 01/01  09:00:00,20.5720091587,49.090720867799995
 01/01  10:00:00,20.615058139000002,39.9346039764
 01/01  11:00:00,25.6418816487,50.7359140732
 01/01  12:00:00,26.782420784,51.8493406742
 01/01  13:00:00,25.8963554848,42.0471579443
 01/01  14:00:00,25.7073063851,37.211257662399994
 01/01  15:00:00,20.7173671525,27.5049898313
 01/01  16:00:00,20.6970130515,27.074900581599998
 01/01  17:00:00,20.601262624500002,32.4542350421
 01/01  18:00:00,28.127188650100003,36.473651257
 01/01  19:00:00,28.1191334105,39.0659211323
 01/01  20:00:00,28.2470934152,42.810603272399995
 01/01  21:00:00,23.2060405399,45.2566295065
 01/01  22:00:00,23.1132940094,50.8934316624
 01/01  23:00:00,22.995679666799997,52.255730040900005
 01/01  24:00:00,24.190614143,40.1048702377
 01/02  01:00:00,13.7058771146,47.956498792
 01/02  02:00:00,9.49490743458,3.59319073951
 01/02  03:00:00,9.52081866836,3.0211
 01/02  04:00:00,9.53439108923,3.59318374013
 01/02  05:00:00,9.685919587799999,3.0211
 01/02  06:00:00,13.660741121600001,53.638053796
 01/02  07:00:00,28.1317672409,59.4062765209
 01/02  08:00:00,25.5588569957,64.35371340350001
 01/02  09:00:00,20.5723724985,50.973728469899996
 01/02  10:00:00,20.6128954255,43.140900372
 01/02  11:00:00,25.6323517327,50.5070186988
 01/02  12:00:00,26.7663211369,51.9428785215
 01/02  13:00:00,25.8756139783,42.7654324272
 01/02  14:00:00,25.6857588649,35.885097928899995
 01/02  15:00:00,20.6905251032,27.6314947023
 01/02  16:00:00,20.6681337764,27.6102962834
 01/02  17:00:00,20.5678452672,34.047659950100005
 01/02  18:00:00,28.077826779000002,44.2838977824
 01/02  19:00:00,28.061290554,51.310008016800005
 01/02  20:00:00,28.1874695265,55.5721535911
 01/02  21:00:00,23.163731174400002,56.163216997
 01/02  22:00:00,23.0917438418,55.9813513688
 01/02  23:00:00,22.9845905541,55.188612417200005
 01/02  24:00:00,24.1841756038,40.3982376542
 01/03  01:00:00,13.7038906395,44.8947244484
 01/03  02:00:00,9.499695184339998,3.0211
 01/03  03:00:00,9.540141742380001,3.5931882213
 01/03  04:00:00,9.574535429139999,3.0211
 01/03  05:00:00,10.2532073638,3.59316827624
 01/03  06:00:00,14.221354353299999,33.8717822853
 01/03  07:00:00,28.407163842800003,37.478998536300004
 01/03  08:00:00,25.6124014016,43.126110268299996
 01/03  09:00:00,20.6152176785,36.831633962199994
 01/03  10:00:00,20.6350081025,33.795478449
 01/03  11:00:00,25.6420376837,47.1056447219
 01/03  12:00:00,26.766689097199997,50.8482967976
 01/03  13:00:00,25.885180272399996,42.507861306799995
 01/03  14:00:00,25.694804501500002,37.3966373351
 01/03  15:00:00,20.6878762708,30.809259759
 01/03  16:00:00,20.6520715794,36.106288498699996
 01/03  17:00:00,20.5712348813,42.7295513909
 01/03  18:00:00,28.1062450144,43.5256660829
 01/03  19:00:00,28.1059376179,44.6135847253
 01/03  20:00:00,28.1032821799,46.2643834983
 01/03  21:00:00,23.100309294099997,42.1543894356
 01/03  22:00:00,23.063931916199998,41.0829671152
 01/03  23:00:00,23.0636990931,38.4326853906
 01/03  24:00:00,24.2344553515,24.8507849483
 01/04  01:00:00,13.7789951077,30.3629724705
 01/04  02:00:00,9.57065496483,3.59316096925
 01/04  03:00:00,9.59547631932,3.0211
 01/04  04:00:00,9.60743911838,3.5931668902900005
 01/04  05:00:00,9.755457770189999,3.0211
 01/04  06:00:00,13.726324319100002,35.107469407399996
 01/04  07:00:00,28.1953393034,40.1538201396
 01/04  08:00:00,25.6207663147,46.7407369636
 01/04  09:00:00,20.6227427684,41.2638667371
 01/04  10:00:00,20.6388591702,39.9755216321
 01/04  11:00:00,25.641512898600002,53.0025330441
 01/04  12:00:00,26.7765436577,57.087161821
 01/04  13:00:00,25.881375433200002,47.9209637882
 01/04  14:00:00,25.6948525994,39.9409392936
 01/04  15:00:00,20.701483701500003,29.243054936
 01/04  16:00:00,20.686535131099998,29.311637003
 01/04  17:00:00,20.595456901800002,33.68973279
