Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,15.1069992076,0.0
 01/02  02:00:00,15.1069992076,0.0
 01/02  03:00:00,15.1069992076,0.0
 01/02  04:00:00,15.1069992076,0.0
 01/02  05:00:00,15.1069992076,0.0
 01/02  06:00:00,15.1069992076,0.0
 01/02  07:00:00,23.8351495046,97.1116503276
 01/02  08:00:00,19.620799479400002,69.5136530714
 01/02  09:00:00,33.263262517,55.5797431875
 01/02  10:00:00,49.65553940979999,41.1118431554
 01/02  11:00:00,49.65553940979999,45.8301275408
 01/02  12:00:00,49.65553940979999,45.1635579075
 01/02  13:00:00,49.65553940979999,46.3186682818
 01/02  14:00:00,49.65553940979999,46.3076015667
 01/02  15:00:00,49.65553940979999,47.6619608246
 01/02  16:00:00,49.65553940979999,48.091221139700004
 01/02  17:00:00,51.5697060764,54.229459786899994
 01/02  18:00:00,61.1405394098,63.713867263800005
 01/02  19:00:00,49.2957501962,71.8768009331
 01/02  20:00:00,49.2957501962,80.62887390680001
 01/02  21:00:00,44.748262517,84.0541297317
 01/02  22:00:00,22.3776491824,0.0
 01/02  23:00:00,15.1069992076,0.0
 01/02  24:00:00,15.1069992076,0.0
 01/03  01:00:00,15.1069992076,0.0
 01/03  02:00:00,15.1069992076,0.0
 01/03  03:00:00,15.1069992076,0.0
 01/03  04:00:00,15.1069992076,0.0
 01/03  05:00:00,15.1069992076,0.0
 01/03  06:00:00,15.1268000402,0.56601327617
 01/03  07:00:00,23.8351495046,198.98898925700001
 01/03  08:00:00,19.620799479400002,164.041843586
 01/03  09:00:00,33.263262517,147.128531778
 01/03  10:00:00,49.65553940979999,124.82069466600001
 01/03  11:00:00,49.65553940979999,115.818519515
 01/03  12:00:00,49.65553940979999,102.454658842
 01/03  13:00:00,49.65553940979999,94.9789296853
 01/03  14:00:00,49.65553940979999,90.4273327283
 01/03  15:00:00,49.65553940979999,88.84791190899999
 01/03  16:00:00,49.65553940979999,87.47361713120002
 01/03  17:00:00,51.5697060764,91.57477172360001
 01/03  18:00:00,61.1405394098,99.63163265870001
 01/03  19:00:00,49.2957501962,106.47078670200001
 01/03  20:00:00,49.2957501962,114.220379135
 01/03  21:00:00,44.748262517,117.779658391
 01/03  22:00:00,22.3776491824,0.0
 01/03  23:00:00,15.1069992076,0.0
 01/03  24:00:00,15.1069992076,0.0
 01/04  01:00:00,15.1069992076,0.0
 01/04  02:00:00,15.1069992076,0.0
 01/04  03:00:00,15.1069992076,0.0
 01/04  04:00:00,15.1455947824,1.10326713051
 01/04  05:00:00,15.1464007395,1.12630567875
 01/04  06:00:00,15.1513553827,1.26793577515
 01/04  07:00:00,23.8351495046,205.822623697
 01/04  08:00:00,19.620799479400002,164.280562602
 01/04  09:00:00,33.263262517,132.612043545
 01/04  10:00:00,49.65553940979999,94.7509459975
 01/04  11:00:00,49.65553940979999,73.0418270133
 01/04  12:00:00,49.65553940979999,51.0771496915
 01/04  13:00:00,49.65553940979999,40.838977833099996
 01/04  14:00:00,49.65553940979999,32.5300525196
 01/04  15:00:00,49.65553940979999,27.148180244499997
 01/04  16:00:00,49.65553940979999,24.231423365799998
 01/04  17:00:00,51.5697060764,32.4131898528
 01/04  18:00:00,61.1405394098,48.116260841099994
 01/04  19:00:00,49.2957501962,56.3911615304
 01/04  20:00:00,49.2957501962,61.332081688
 01/04  21:00:00,44.748262517,64.0376595187
 01/04  22:00:00,22.3776491824,0.0
 01/04  23:00:00,15.1069992076,0.0
 01/04  24:00:00,15.1069992076,0.0
 01/05  01:00:00,15.1069992076,0.0
 01/05  02:00:00,15.1069992076,0.0
 01/05  03:00:00,15.1069992076,0.0
 01/05  04:00:00,15.1069992076,0.0
 01/05  05:00:00,15.1069992076,0.0
 01/05  06:00:00,15.1069992076,0.0
 01/05  07:00:00,23.8351495046,143.504490282
 01/05  08:00:00,19.620799479400002,110.81313145700001
 01/05  09:00:00,33.263262517,89.5081406804
 01/05  10:00:00,49.65553940979999,61.9181740337
 01/05  11:00:00,49.65553940979999,46.3020048199
 01/05  12:00:00,49.65553940979999,36.5706879945
 01/05  13:00:00,49.65553940979999,39.3603534415
 01/05  14:00:00,49.65553940979999,40.7051825338
 01/05  15:00:00,49.65553940979999,37.820156988499996
 01/05  16:00:00,49.65553940979999,35.600102214699994
 01/05  17:00:00,51.5697060764,39.7663449804
 01/05  18:00:00,61.1405394098,45.6481274806
 01/05  19:00:00,49.2957501962,50.489539347
 01/05  20:00:00,49.2957501962,59.5295720883
 01/05  21:00:00,44.748262517,67.8373107024
 01/05  22:00:00,22.3776491824,0.0
 01/05  23:00:00,15.1069992076,0.0
 01/05  24:00:00,15.1069992076,0.0
 01/06  01:00:00,15.1069992076,0.0
 01/06  02:00:00,15.1069992076,0.0
 01/06  03:00:00,15.1069992076,0.0
 01/06  04:00:00,15.1069992076,0.0
 01/06  05:00:00,15.1069992076,0.0
 01/06  06:00:00,15.1069992076,0.0
 01/06  07:00:00,23.8351495046,166.572385053
 01/06  08:00:00,19.620799479400002,135.259888399
 01/06  09:00:00,33.263262517,120.793669236
 01/06  10:00:00,49.65553940979999,102.717741081
 01/06  11:00:00,49.65553940979999,99.0585347957
 01/06  12:00:00,49.65553940979999,92.984815526
 01/06  13:00:00,49.65553940979999,93.72711033270001
 01/06  14:00:00,49.65553940979999,95.75629435450001
 01/06  15:00:00,49.65553940979999,97.4423311925
 01/06  16:00:00,49.65553940979999,98.9643409909
 01/06  17:00:00,51.5697060764,106.566524863
 01/06  18:00:00,61.1405394098,115.790787915
 01/06  19:00:00,49.2957501962,124.535457917
 01/06  20:00:00,49.2957501962,135.815942724
 01/06  21:00:00,44.748262517,142.909172062
 01/06  22:00:00,22.3776491824,0.0
 01/06  23:00:00,15.1069992076,0.0
 01/06  24:00:00,15.1214089508,0.41190722357
 01/07  01:00:00,14.722885299100001,1.8667518520299997
 01/07  02:00:00,14.8067128234,3.85120553201
 01/07  03:00:00,14.8925674992,5.97324927799
 01/07  04:00:00,14.9345990414,7.06422081432
 01/07  05:00:00,15.120429325,12.145298961300002
 01/07  06:00:00,15.388126206099999,19.1274034297
 01/07  07:00:00,23.3857310486,230.192204006
 01/07  08:00:00,15.073311800199999,230.192204006
 01/07  09:00:00,24.168287158600002,225.53164209099998
 01/07  10:00:00,37.8107501962,197.85909828299998
 01/07  11:00:00,49.65553940979999,177.282328665
 01/07  12:00:00,49.65553940979999,159.517820133
 01/07  13:00:00,49.65553940979999,148.871414797
 01/07  14:00:00,49.65553940979999,140.554498551
 01/07  15:00:00,49.65553940979999,134.202881452
 01/07  16:00:00,49.65553940979999,129.489270011
 01/07  17:00:00,51.5697060764,128.58664406399998
 01/07  18:00:00,61.1405394098,136.395324695
 01/07  19:00:00,44.748262517,158.061360057
 01/07  20:00:00,35.6532871586,165.745407705
 01/07  21:00:00,35.6532871586,165.53871991399998
 01/07  22:00:00,26.5583118002,172.446432075
 01/07  23:00:00,14.657580751600001,0.0
 01/07  24:00:00,14.6731017832,0.443673764912
 01/08  01:00:00,14.7644480071,2.87596454933
 01/08  02:00:00,14.881080825,5.64418539585
 01/08  03:00:00,14.9509711982,7.51794902858
 01/08  04:00:00,15.235060261500001,15.0973743051
 01/08  05:00:00,15.419211215699999,20.016330203
 01/08  06:00:00,15.6640737718,26.3469660673
 01/08  07:00:00,15.685453298499999,27.0610174042
 01/08  08:00:00,4.35652081931,31.0012070385
 01/08  09:00:00,15.073311800199999,230.192204006
 01/08  10:00:00,15.073311800199999,228.42793732599998
 01/08  11:00:00,28.7157748378,194.743960227
 01/08  12:00:00,28.7157748378,169.614959551
 01/08  13:00:00,37.8107501962,142.268031848
 01/08  14:00:00,37.8107501962,127.565196871
 01/08  15:00:00,37.8107501962,114.82456354899999
 01/08  16:00:00,37.8107501962,109.36009072
 01/08  17:00:00,39.7249168628,110.579215764
 01/08  18:00:00,40.200774837800004,145.62801085200002
 01/08  19:00:00,31.1057994794,166.26696564899999
 01/08  20:00:00,14.657580751600001,0.0
 01/08  21:00:00,14.657580751600001,0.0
 01/08  22:00:00,14.6786091461,0.601103535924
 01/08  23:00:00,14.726731666900001,1.8710798623900002
 01/08  24:00:00,14.836646050299999,4.60447620198
 01/09  01:00:00,15.2727015022,4.21415156674
 01/09  02:00:00,15.3588731671,6.39986541168
 01/09  03:00:00,15.333327537999999,5.688804482949999
 01/09  04:00:00,15.3652474946,6.559687074969999
 01/09  05:00:00,15.3262241394,5.50629225965
 01/09  06:00:00,15.4467051949,8.85549533915
 01/09  07:00:00,23.8351495046,225.676277962
 01/09  08:00:00,19.620799479400002,186.301340635
 01/09  09:00:00,33.263262517,151.372631278
 01/09  10:00:00,49.65553940979999,113.751318772
 01/09  11:00:00,49.65553940979999,89.3242515889
 01/09  12:00:00,49.65553940979999,61.6554934555
 01/09  13:00:00,49.65553940979999,45.7893690894
 01/09  14:00:00,49.65553940979999,33.9148304957
 01/09  15:00:00,49.65553940979999,27.4309581566
 01/09  16:00:00,49.65553940979999,24.7924913829
 01/09  17:00:00,51.5697060764,33.4466718851
 01/09  18:00:00,61.1405394098,48.0313193331
 01/09  19:00:00,49.2957501962,62.100349124
 01/09  20:00:00,49.2957501962,75.800742487
 01/09  21:00:00,44.748262517,84.7376843032
 01/09  22:00:00,22.3776491824,0.0
 01/09  23:00:00,15.1069992076,0.0
 01/09  24:00:00,15.1069992076,0.0
 01/10  01:00:00,15.1069992076,0.0
 01/10  02:00:00,15.1069992076,0.0
 01/10  03:00:00,15.1069992076,0.0
 01/10  04:00:00,15.1069992076,0.0
 01/10  05:00:00,15.1280359642,0.601342570332
 01/10  06:00:00,15.154950702,1.37070915403
 01/10  07:00:00,23.8351495046,213.684266769
 01/10  08:00:00,19.620799479400002,175.34172849799998
 01/10  09:00:00,33.263262517,140.430659908
 01/10  10:00:00,49.65553940979999,101.450110888
 01/10  11:00:00,49.65553940979999,81.3017958705
 01/10  12:00:00,49.65553940979999,56.7734663511
 01/10  13:00:00,49.65553940979999,39.6411527308
 01/10  14:00:00,49.65553940979999,27.38644555
 01/10  15:00:00,49.65553940979999,23.0864147922
 01/10  16:00:00,49.65553940979999,19.7318978196
 01/10  17:00:00,51.5697060764,27.7525961677
 01/10  18:00:00,61.1405394098,48.775583951899996
 01/10  19:00:00,49.2957501962,64.05032063729999
 01/10  20:00:00,49.2957501962,83.0137486249
 01/10  21:00:00,44.748262517,94.1643831924
 01/10  22:00:00,22.3776491824,0.0
 01/10  23:00:00,15.1069992076,0.0
 01/10  24:00:00,15.1069992076,0.0
 01/11  01:00:00,15.1069992076,0.0
 01/11  02:00:00,15.1069992076,0.0
 01/11  03:00:00,15.1069992076,0.0
 01/11  04:00:00,15.1069992076,0.0
 01/11  05:00:00,15.1069992076,0.0
 01/11  06:00:00,15.1069992076,0.0
 01/11  07:00:00,23.8351495046,179.90090210099999
 01/11  08:00:00,19.620799479400002,136.72336335399999
 01/11  09:00:00,33.263262517,115.43965129799999
 01/11  10:00:00,49.65553940979999,91.6540989942
 01/11  11:00:00,49.65553940979999,83.5688201785
 01/11  12:00:00,49.65553940979999,72.4877445668
 01/11  13:00:00,49.65553940979999,67.9642663127
 01/11  14:00:00,49.65553940979999,65.5656819263
 01/11  15:00:00,49.65553940979999,62.2129737675
 01/11  16:00:00,49.65553940979999,51.684404622399995
 01/11  17:00:00,51.5697060764,51.349206042700004
 01/11  18:00:00,61.1405394098,56.5912129393
 01/11  19:00:00,49.2957501962,62.2166593074
 01/11  20:00:00,49.2957501962,71.82157957310001
 01/11  21:00:00,44.748262517,75.6525761363
 01/11  22:00:00,22.3776491824,0.0
 01/11  23:00:00,15.1069992076,0.0
 01/11  24:00:00,15.1069992076,0.0
 01/12  01:00:00,15.1069992076,0.0
 01/12  02:00:00,15.1069992076,0.0
 01/12  03:00:00,15.1069992076,0.0
 01/12  04:00:00,15.1069992076,0.0
 01/12  05:00:00,15.1069992076,0.0
 01/12  06:00:00,15.1069992076,0.0
 01/12  07:00:00,23.8351495046,164.169089702
 01/12  08:00:00,19.620799479400002,131.29937054299998
 01/12  09:00:00,33.263262517,114.667977887
 01/12  10:00:00,49.65553940979999,93.1149303159
 01/12  11:00:00,49.65553940979999,86.0964811054
 01/12  12:00:00,49.65553940979999,74.3468010978
 01/12  13:00:00,49.65553940979999,69.1424401762
 01/12  14:00:00,49.65553940979999,65.2552913563
 01/12  15:00:00,49.65553940979999,62.4709409146
 01/12  16:00:00,49.65553940979999,57.107316323199996
 01/12  17:00:00,51.5697060764,63.8225762249
 01/12  18:00:00,61.1405394098,77.4084460416
 01/12  19:00:00,49.2957501962,88.97446661200001
 01/12  20:00:00,49.2957501962,105.637374882
 01/12  21:00:00,44.748262517,114.28822752
 01/12  22:00:00,22.3776491824,0.0
 01/12  23:00:00,15.1069992076,0.0
 01/12  24:00:00,15.1069992076,0.0
 01/13  01:00:00,15.1069992076,0.0
 01/13  02:00:00,15.1269266751,0.569633176125
 01/13  03:00:00,15.1498757805,1.2256408623100001
 01/13  04:00:00,15.1627650644,1.59408525977
 01/13  05:00:00,15.1749311786,1.94185761436
