Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,97.2842600741,57.7944637436
 01/01  02:00:00,101.01067755700001,81.01673964220001
 01/01  03:00:00,97.1408365156,74.7998392849
 01/01  04:00:00,99.12105336389999,111.261251469
 01/01  05:00:00,110.211570219,119.85815745299999
 01/01  06:00:00,104.819018905,101.630934078
 01/01  07:00:00,133.87642932100002,681.653387735
 01/01  08:00:00,142.955807717,645.89046307
 01/01  09:00:00,168.43525841,567.593082826
 01/01  10:00:00,137.386871565,538.86036832
 01/01  11:00:00,172.055707208,495.786971573
 01/01  12:00:00,203.617332681,470.88748942
 01/01  13:00:00,210.79693302299998,428.401854857
 01/01  14:00:00,207.78304516400001,401.122097026
 01/01  15:00:00,204.034310856,387.38513987
 01/01  16:00:00,200.63197288900002,381.569000122
 01/01  17:00:00,207.438505087,379.90571418400003
 01/01  18:00:00,185.792539326,435.180768086
 01/01  19:00:00,192.417433763,446.639680913
 01/01  20:00:00,172.40001094299998,444.22424029
 01/01  21:00:00,163.501176849,441.266908021
 01/01  22:00:00,149.433829008,392.902223643
 01/01  23:00:00,76.4299543986,1.77125
 01/01  24:00:00,122.734984376,22.526096213000002
 01/02  01:00:00,105.622102892,44.8242078843
 01/02  02:00:00,99.6625092726,47.1075047178
 01/02  03:00:00,98.52804863290001,39.0932070118
 01/02  04:00:00,103.249664845,60.2373623493
 01/02  05:00:00,106.249857021,58.249652696300004
 01/02  06:00:00,104.68561922399999,49.242002668000005
 01/02  07:00:00,148.329504077,515.377118332
 01/02  08:00:00,157.418428927,473.69298885800004
 01/02  09:00:00,223.505576154,441.270918075
 01/02  10:00:00,244.193359626,410.181344327
 01/02  11:00:00,234.29598358599998,405.40343030400004
 01/02  12:00:00,265.244422243,392.45972691099996
 01/02  13:00:00,244.958428032,385.306465105
 01/02  14:00:00,241.515517948,375.597028683
 01/02  15:00:00,237.716717662,377.80858869199994
 01/02  16:00:00,234.281516678,386.972214789
 01/02  17:00:00,241.049308753,404.923864814
 01/02  18:00:00,247.79764753400002,426.11300778699996
 01/02  19:00:00,247.37653175,456.20943541099996
 01/02  20:00:00,231.027342353,484.52516178900004
 01/02  21:00:00,206.062701854,501.220112747
 01/02  22:00:00,149.393095809,479.72915282
 01/02  23:00:00,90.29697754610001,41.6764083052
 01/02  24:00:00,135.894270236,58.727752449499995
 01/03  01:00:00,105.603457421,102.80529156600001
 01/03  02:00:00,104.61404877,123.754767145
 01/03  03:00:00,100.56183461,108.64396395
 01/03  04:00:00,101.929568636,149.448405003
 01/03  05:00:00,128.96632426600002,157.69759337600001
 01/03  06:00:00,123.32119369700001,121.351930485
 01/03  07:00:00,164.531075361,651.561225996
 01/03  08:00:00,166.270324109,590.347209026
 01/03  09:00:00,223.490382085,539.523933664
 01/03  10:00:00,244.00337415400003,487.24834821699994
 01/03  11:00:00,234.131091685,463.240952724
 01/03  12:00:00,265.170776682,437.568891156
 01/03  13:00:00,244.94732774,424.602636042
 01/03  14:00:00,241.44134089099998,410.97242383
 01/03  15:00:00,237.65268506700002,401.62747037
 01/03  16:00:00,234.24211740400003,396.232691936
 01/03  17:00:00,241.032639829,402.757375879
 01/03  18:00:00,247.80115196900002,393.233080649
 01/03  19:00:00,247.383242123,379.577374533
 01/03  20:00:00,224.53978707299999,363.435449665
 01/03  21:00:00,199.941625128,350.59728797699995
 01/03  22:00:00,144.684474675,307.34193387
 01/03  23:00:00,78.9023701187,3.4995183729300003
 01/03  24:00:00,119.94059821799999,9.54850834634
 01/04  01:00:00,99.1009721917,25.8756342258
 01/04  02:00:00,87.7907658076,20.624772696500003
 01/04  03:00:00,99.3628935211,36.4924219302
 01/04  04:00:00,100.100059795,39.5520521081
 01/04  05:00:00,105.12993225299999,34.39818636
 01/04  06:00:00,109.61314181899999,50.1001794159
 01/04  07:00:00,148.673516544,444.95782782
 01/04  08:00:00,157.62681368100002,402.44637971699996
 01/04  09:00:00,223.66977727,355.136624255
 01/04  10:00:00,244.57434635200002,305.329385759
 01/04  11:00:00,234.718475418,285.438934748
 01/04  12:00:00,265.47686714900004,268.375657563
 01/04  13:00:00,245.39341946099998,260.035308937
 01/04  14:00:00,242.215520256,253.551145885
 01/04  15:00:00,238.38706790700002,243.20325524
 01/04  16:00:00,235.11693929400002,230.40777827
 01/04  17:00:00,242.16902245900002,224.38024710099998
 01/04  18:00:00,249.00300024599997,224.960073766
 01/04  19:00:00,248.223106572,233.31494750599998
 01/04  20:00:00,232.13761977599998,241.26650520299998
 01/04  21:00:00,206.94641132700002,261.493861432
 01/04  22:00:00,149.813649389,260.564855697
 01/04  23:00:00,79.3715617117,3.4995179398
 01/04  24:00:00,120.045366877,12.3836713517
 01/05  01:00:00,98.75547620120001,40.6294698083
 01/05  02:00:00,95.8145169877,38.509045495100004
 01/05  03:00:00,103.283882542,66.8969083544
 01/05  04:00:00,99.8061461804,69.3537429125
 01/05  05:00:00,104.78830748200001,59.034776820299996
 01/05  06:00:00,109.160652224,90.2107920009
 01/05  07:00:00,148.48235761799998,572.162737344
 01/05  08:00:00,157.227049317,545.635759098
 01/05  09:00:00,223.41989297900002,512.7214074340001
 01/05  10:00:00,243.80072719900002,475.32555839699995
 01/05  11:00:00,234.107967994,464.78495942300003
