Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,39.8829185065,33.2048437177
 01/01  02:00:00,40.3309898415,38.0758104721
 01/01  03:00:00,37.3648842864,41.6926431838
 01/01  04:00:00,38.5449275514,44.7082028799
 01/01  05:00:00,39.9012905023,41.456830796300004
 01/01  06:00:00,43.8754089662,38.1531002527
 01/01  07:00:00,62.867679081000006,44.050490772399996
 01/01  08:00:00,77.8432898585,49.922404479399994
 01/01  09:00:00,94.2262401209,64.5787123342
 01/01  10:00:00,78.5917618533,82.599378594
 01/01  11:00:00,55.470756239399996,74.0184059739
 01/01  12:00:00,53.5066335558,71.0318757989
 01/01  13:00:00,53.191495021,64.6817981832
 01/01  14:00:00,52.3976483427,69.8053462956
 01/01  15:00:00,52.6029649147,63.178540011
 01/01  16:00:00,52.1859227412,64.1951280925
 01/01  17:00:00,60.014193848999994,47.465932947
 01/01  18:00:00,71.9549738779,30.6177052712
 01/01  19:00:00,85.4384723144,40.3376976139
 01/01  20:00:00,85.9918700637,41.6609084361
 01/01  21:00:00,92.15295226020001,43.67688577770001
 01/01  22:00:00,89.8024615708,45.027004230200006
 01/01  23:00:00,67.4382382317,47.144417903800004
 01/01  24:00:00,45.9167208276,49.074396830299996
 01/02  01:00:00,39.663535445,45.7386092353
 01/02  02:00:00,39.9713370809,48.7522646387
 01/02  03:00:00,40.179999324,52.9144725263
 01/02  04:00:00,42.5299839962,53.1986365924
 01/02  05:00:00,45.9000489278,62.9492616646
 01/02  06:00:00,53.8149604432,67.5291772488
 01/02  07:00:00,79.4594849336,70.2924344101
 01/02  08:00:00,96.6371625833,73.0117050211
 01/02  09:00:00,80.65733114140001,76.95670723079999
 01/02  10:00:00,77.3275316505,91.4650712015
 01/02  11:00:00,60.8697483381,85.09011236949999
 01/02  12:00:00,61.7949071849,91.0229119417
 01/02  13:00:00,60.772035046099994,84.45033817470001
 01/02  14:00:00,61.9957337738,84.88254958729999
 01/02  15:00:00,59.791988122700005,87.4095758028
 01/02  16:00:00,58.8877011729,82.1350166381
 01/02  17:00:00,68.3277446028,66.93646765689999
 01/02  18:00:00,82.9376385117,51.1084412622
 01/02  19:00:00,88.39450739450001,67.06400526600001
 01/02  20:00:00,90.6870922382,64.1887769318
 01/02  21:00:00,98.1290269547,67.3678821835
 01/02  22:00:00,92.2482501247,72.8718056387
 01/02  23:00:00,71.6480361048,67.9205455299
 01/02  24:00:00,56.174700418,64.4784136272
 01/03  01:00:00,53.4061146506,66.0599856939
 01/03  02:00:00,53.3187898416,66.981882232
 01/03  03:00:00,53.2645177252,63.262144069899996
 01/03  04:00:00,54.781462624700005,71.1589222442
 01/03  05:00:00,57.76698507,72.9323560145
 01/03  06:00:00,65.0710873018,76.3903494278
 01/03  07:00:00,88.7082338986,79.8023453871
 01/03  08:00:00,104.101137347,84.4019499082
 01/03  09:00:00,89.8343500826,82.2707917118
 01/03  10:00:00,84.8598319903,105.007678004
 01/03  11:00:00,71.4539866345,94.7425039527
 01/03  12:00:00,72.2222759199,100.646011405
 01/03  13:00:00,72.39691756319999,93.21549745629999
 01/03  14:00:00,72.4347555295,92.56940029129998
 01/03  15:00:00,70.9181927445,93.2238994741
 01/03  16:00:00,70.75678360970001,102.34646378299999
 01/03  17:00:00,79.9730510165,80.4629540287
 01/03  18:00:00,93.4103498706,65.7645915745
 01/03  19:00:00,97.5683589035,80.8776067392
 01/03  20:00:00,98.39058160530001,74.9773894233
 01/03  21:00:00,104.586080063,77.4830260711
 01/03  22:00:00,99.0503344684,79.3026922504
 01/03  23:00:00,80.8527881511,87.07336405209999
 01/03  24:00:00,67.2431595013,78.7600454757
 01/04  01:00:00,65.531835738,81.74717751770001
 01/04  02:00:00,66.2434902958,84.2722776615
 01/04  03:00:00,66.489637695,80.0233096663
 01/04  04:00:00,68.3544832855,87.4531734711
 01/04  05:00:00,71.52519835449999,89.13476833370001
 01/04  06:00:00,79.0640863335,94.38676034379999
 01/04  07:00:00,100.60799052899999,98.0496398748
 01/04  08:00:00,114.412425166,94.44003525469999
 01/04  09:00:00,100.708893481,100.803348766
 01/04  10:00:00,95.3663642667,110.746117295
 01/04  11:00:00,82.4679846113,111.504021688
 01/04  12:00:00,83.680315486,105.957361476
 01/04  13:00:00,83.0810893678,109.75341525799999
 01/04  14:00:00,81.6924478137,102.06010479999999
 01/04  15:00:00,79.6263770009,100.16849536299999
 01/04  16:00:00,77.7459093805,106.812833696
 01/04  17:00:00,86.58368024090001,84.7224834765
 01/04  18:00:00,98.2379808538,69.8671783704
 01/04  19:00:00,102.239993087,86.1280569524
 01/04  20:00:00,102.99599963700001,80.87849281390001
 01/04  21:00:00,108.943553035,83.70152995149999
 01/04  22:00:00,104.260437365,87.95785825819999
 01/04  23:00:00,87.2892872305,96.9000397619
 01/04  24:00:00,76.3340940667,91.4504398958
 01/05  01:00:00,75.9399696242,94.543682339
 01/05  02:00:00,78.361907946,97.29967793280001
 01/05  03:00:00,81.1369502713,94.02070398379999
 01/05  04:00:00,85.7443075703,102.829058914
 01/05  05:00:00,90.5465770319,104.691295558
 01/05  06:00:00,98.1428973748,109.593579794
 01/05  07:00:00,113.35968834100001,113.858233162
 01/05  08:00:00,125.958700884,109.957289865
 01/05  09:00:00,116.94272694,116.473697146
 01/05  10:00:00,115.946208106,127.91830686200001
 01/05  11:00:00,105.616984229,122.308411146
 01/05  12:00:00,103.235789987,118.982103293
 01/05  13:00:00,100.407622706,110.42814935700001
