Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,19.3652052728,77.123538827
 01/01  02:00:00,19.2251881235,82.0250005553
 01/01  03:00:00,20.883549517,129.076557357
 01/01  04:00:00,19.729811147,113.875535031
 01/01  05:00:00,21.2784315249,153.817161759
 01/01  06:00:00,20.0583175829,133.927414907
 01/01  07:00:00,21.5194996484,167.743056988
 01/01  08:00:00,14.176745287100001,138.816888409
 01/01  09:00:00,12.3477824768,156.112564123
 01/01  10:00:00,10.5716973697,106.17825593100001
 01/01  11:00:00,11.140850130799999,100.65769754899999
 01/01  12:00:00,9.345213809330001,55.4320087036
 01/01  13:00:00,9.65395838175,61.6608926603
 01/01  14:00:00,8.55434463214,40.1370658039
 01/01  15:00:00,9.08937775457,50.6257538038
 01/01  16:00:00,8.412076559219999,37.3816114219
 01/01  17:00:00,9.23459556742,53.4601706499
 01/01  18:00:00,17.6936007806,44.333260570200004
 01/01  19:00:00,18.834558894,66.7525083154
 01/01  20:00:00,18.0807017166,51.9520562877
 01/01  21:00:00,18.9241181615,68.53807762390001
 01/01  22:00:00,17.9805435134,49.982895391899994
 01/01  23:00:00,18.8499164877,67.0847912932
 01/01  24:00:00,17.9734818345,49.8504209853
 01/02  01:00:00,18.9488871547,69.0795948625
 01/02  02:00:00,18.099333764100002,52.370580349300006
 01/02  03:00:00,18.902201466199998,68.1855131006
 01/02  04:00:00,18.003660323,50.4729003807
 01/02  05:00:00,18.9080311484,68.269800378
 01/02  06:00:00,18.0250754904,50.881185424499996
 01/02  07:00:00,23.5111434573,93.1906572696
 01/02  08:00:00,38.052549292100004,77.3123650256
 01/02  09:00:00,54.556688782200006,69.65048509350001
 01/02  10:00:00,66.530737653,55.3571527858
 01/02  11:00:00,66.530737653,38.0165929017
 01/02  12:00:00,66.530737653,20.9415572584
 01/02  13:00:00,60.0379133785,9.35151470811
 01/02  14:00:00,66.530737653,5.57481463615
 01/02  15:00:00,66.530737653,4.29925938539
 01/02  16:00:00,66.530737653,4.1771175712
 01/02  17:00:00,66.530737653,5.778947123969999
 01/02  18:00:00,28.2966588933,7.03169383255
 01/02  19:00:00,16.6070108616,22.675343076199997
 01/02  20:00:00,17.7636869348,45.0313830281
 01/02  21:00:00,17.573915789100003,41.8691667243
 01/02  22:00:00,18.4379890748,58.2873404421
 01/02  23:00:00,17.688524511700003,44.205316950699995
 01/02  24:00:00,18.319155068900002,56.030438521899995
 01/03  01:00:00,17.5756239551,42.0964287281
 01/03  02:00:00,18.2293792704,54.319667199399994
 01/03  03:00:00,17.6508312349,43.632980597700005
 01/03  04:00:00,18.5376019481,60.372274526700004
 01/03  05:00:00,18.006221136300002,50.6944351557
 01/03  06:00:00,18.7980872804,65.4832404857
 01/03  07:00:00,23.5111434573,84.24864144979999
 01/03  08:00:00,38.052549292100004,73.10879533949999
 01/03  09:00:00,54.556688782200006,60.1225893191
 01/03  10:00:00,66.530737653,42.3974894562
 01/03  11:00:00,66.530737653,26.8699583877
 01/03  12:00:00,66.530737653,14.1130623366
 01/03  13:00:00,60.0379133785,7.571971231810001
 01/03  14:00:00,66.530737653,5.953056746690001
 01/03  15:00:00,66.530737653,6.47147526011
 01/03  16:00:00,66.530737653,6.8858369559
 01/03  17:00:00,66.530737653,8.13687908204
 01/03  18:00:00,28.7661148442,15.806489219100001
 01/03  19:00:00,16.9193032999,28.385684980900002
 01/03  20:00:00,17.155470930499998,33.5722531496
 01/03  21:00:00,17.4640633394,39.1484738199
 01/03  22:00:00,17.5523631601,41.559184806
 01/03  23:00:00,17.8525288077,46.779120543000005
 01/03  24:00:00,17.846829753199998,47.502725534300005
 01/04  01:00:00,18.1005000102,51.701349174399994
 01/04  02:00:00,17.9381934363,49.4576652786
 01/04  03:00:00,17.979104521900002,49.4154222882
 01/04  04:00:00,17.759375361300002,45.9340608654
 01/04  05:00:00,17.7975999473,45.9555677401
 01/04  06:00:00,17.664145827000002,44.1224811355
 01/04  07:00:00,23.5111434573,69.03461980600001
 01/04  08:00:00,38.052549292100004,60.8850443322
 01/04  09:00:00,54.556688782200006,51.37839150439999
 01/04  10:00:00,66.530737653,41.5193716839
 01/04  11:00:00,66.530737653,34.884276963299996
 01/04  12:00:00,66.530737653,27.249529631199998
 01/04  13:00:00,60.0379133785,20.8911038667
 01/04  14:00:00,66.530737653,11.6420042703
 01/04  15:00:00,66.530737653,8.05247938952
 01/04  16:00:00,66.530737653,10.9040451429
 01/04  17:00:00,66.530737653,17.5947834507
 01/04  18:00:00,29.166497584000002,23.2133119121
 01/04  19:00:00,16.9200858378,28.6710187887
 01/04  20:00:00,17.8530377998,46.687189150500004
 01/04  21:00:00,17.5058446297,40.2541462766
 01/04  22:00:00,18.4381769705,58.2334746024
 01/04  23:00:00,17.8549935496,47.158103098299996
 01/04  24:00:00,18.8866019009,67.1308805088
 01/05  01:00:00,18.149809815999998,52.9877479771
 01/05  02:00:00,19.1984026687,73.33873244189999
 01/05  03:00:00,18.4495428177,58.923997994
 01/05  04:00:00,19.653975553800002,82.43465601140001
 01/05  05:00:00,18.7686530951,65.2412281439
 01/05  06:00:00,20.03219276,90.0200758809
 01/05  07:00:00,23.4367373669,118.25371583299999
 01/05  08:00:00,37.9781432018,107.68501594899999
 01/05  09:00:00,54.50708472189999,90.1159802961
 01/05  10:00:00,66.530737653,67.3976294863
 01/05  11:00:00,66.530737653,48.7473730104
 01/05  12:00:00,66.530737653,34.291731154299995
 01/05  13:00:00,60.0379133785,23.9822248208
 01/05  14:00:00,66.530737653,13.9007879813
 01/05  15:00:00,66.530737653,8.60622013375
 01/05  16:00:00,66.530737653,7.652546898939999
 01/05  17:00:00,66.530737653,11.945223779200001
 01/05  18:00:00,29.172838815,23.250255921199997
 01/05  19:00:00,17.736887973800002,43.982444181999995
 01/05  20:00:00,18.1883104051,53.5554223454
 01/05  21:00:00,18.9286115271,67.3778892418
 01/05  22:00:00,18.9189180334,68.4233233139
 01/05  23:00:00,19.4085009308,76.92402308300001
 01/05  24:00:00,19.1568952368,73.4016446091
 01/06  01:00:00,19.4758659558,78.3391117239
 01/06  02:00:00,19.1445343454,73.2727797902
 01/06  03:00:00,19.587119302,80.6233090493
 01/06  04:00:00,19.5195128282,83.1943895094
 01/06  05:00:00,20.0771756388,99.4782328748
 01/06  06:00:00,19.6210137711,91.184389107
 01/06  07:00:00,23.5830896336,125.481593301
 01/06  08:00:00,38.1244954684,108.002846765
 01/06  09:00:00,54.4946837069,86.19033706319999
 01/06  10:00:00,66.530737653,66.298801251
 01/06  11:00:00,66.530737653,52.4578271336
 01/06  12:00:00,66.530737653,36.686567574899996
 01/06  13:00:00,60.0379133785,24.9904844579
 01/06  14:00:00,66.530737653,14.000440856600001
 01/06  15:00:00,66.530737653,9.52236474647
 01/06  16:00:00,66.530737653,8.924110241000001
 01/06  17:00:00,66.530737653,9.8929279021
 01/06  18:00:00,28.857376075799998,17.4146304227
 01/06  19:00:00,17.056566333699998,30.921575247800003
 01/06  20:00:00,17.3492734949,37.228563474699996
 01/06  21:00:00,17.6888564208,43.347910492
 01/06  22:00:00,17.871128783,47.6973542213
 01/06  23:00:00,18.315923093800002,55.593601049899995
 01/06  24:00:00,18.2809198782,55.987211412700006
 01/07  01:00:00,18.6565759418,62.289555595
 01/07  02:00:00,18.5425745035,61.3186793364
 01/07  03:00:00,18.6953379449,63.103568653800004
 01/07  04:00:00,18.4975413886,60.449965356099995
 01/07  05:00:00,18.7273261339,63.77926154
 01/07  06:00:00,18.4782651922,60.127357196700004
 01/07  07:00:00,18.457817738,58.6224969179
 01/07  08:00:00,17.562476790599998,79.4778911845
 01/07  09:00:00,15.599743135399999,70.1980585307
 01/07  10:00:00,25.296656926500003,51.429259119399994
 01/07  11:00:00,25.296656926500003,29.8300753257
 01/07  12:00:00,25.296656926500003,12.752870328599998
 01/07  13:00:00,14.588143457300001,9.69998340195
 01/07  14:00:00,14.588143457300001,8.4491135783
 01/07  15:00:00,14.588143457300001,7.979370679139999
 01/07  16:00:00,14.588143457300001,7.829672069189999
 01/07  17:00:00,6.49282427446,0.0
 01/07  18:00:00,13.9286576078,0.0
 01/07  19:00:00,15.4158242745,0.0
 01/07  20:00:00,15.593321236,3.37542934162
 01/07  21:00:00,15.763005001300002,6.548100826690001
 01/07  22:00:00,15.8926891244,9.13616738051
 01/07  23:00:00,16.017141485699998,11.6074962544
 01/07  24:00:00,15.9196940513,9.76191838874
 01/08  01:00:00,15.9264170958,9.90790695305
 01/08  02:00:00,16.3082190712,17.407296043800002
 01/08  03:00:00,16.0551854755,12.4894666981
 01/08  04:00:00,16.3334180924,17.9933572315
 01/08  05:00:00,16.280787962999998,16.8479516626
 01/08  06:00:00,16.8904603329,28.7675678276
 01/08  07:00:00,16.6210440216,23.512193974200002
 01/08  08:00:00,11.445131464300001,38.58101349
 01/08  09:00:00,8.06230077389,30.493802541500003
 01/08  10:00:00,8.59466152634,40.9168801071
 01/08  11:00:00,7.907580523130001,27.5628042229
 01/08  12:00:00,8.16130553467,32.558106123499996
 01/08  13:00:00,7.54229411842,20.4796033803
 01/08  14:00:00,7.769190768500001,24.9005994963
 01/08  15:00:00,7.36992550222,17.0172654647
 01/08  16:00:00,7.70047048485,23.4897000538
 01/08  17:00:00,7.60770012455,21.5455986504
 01/08  18:00:00,16.0359085332,40.8197984156
 01/08  19:00:00,17.4362365415,39.1380454513
 01/08  20:00:00,18.5916514163,61.6354515274
 01/08  21:00:00,18.0702084021,51.452110911400005
 01/08  22:00:00,19.2600287489,74.7860730467
 01/08  23:00:00,18.466340232100002,59.182437058999994
 01/08  24:00:00,19.791753031600003,85.3110249925
 01/09  01:00:00,18.9450574648,68.59648819819999
 01/09  02:00:00,20.3240961836,96.00688019430001
 01/09  03:00:00,19.2462677988,74.5189569258
 01/09  04:00:00,20.7601954893,110.16604791399999
 01/09  05:00:00,19.5835400424,93.39240859639999
 01/09  06:00:00,20.9760140664,127.655775643
 01/09  07:00:00,23.5830896336,163.43558333299998
 01/09  08:00:00,38.1244954684,146.96343652299998
 01/09  09:00:00,54.6286349585,116.40057447
 01/09  10:00:00,66.4563315627,88.391252655
 01/09  11:00:00,66.5059356229,72.39724058899999
 01/09  12:00:00,66.530737653,58.23346729479999
 01/09  13:00:00,60.0379133785,47.750537219099996
 01/09  14:00:00,66.530737653,35.7552523614
 01/09  15:00:00,66.530737653,30.314817793899998
 01/09  16:00:00,66.530737653,31.228675330500003
 01/09  17:00:00,66.530737653,38.9784649043
 01/09  18:00:00,30.228837756599997,43.3057397234
 01/09  19:00:00,18.1410281285,52.2348165868
 01/09  20:00:00,19.736052011800002,83.3546014037
 01/09  21:00:00,19.102560053199998,72.9357122128
 01/09  22:00:00,20.6088970577,113.119193379
 01/09  23:00:00,19.5540013257,100.687820829
 01/09  24:00:00,20.964238678900003,137.007745348
 01/10  01:00:00,19.8970506677,123.359339866
 01/10  02:00:00,21.3471317182,158.68024629200002
 01/10  03:00:00,20.1100631908,136.3638977
 01/10  04:00:00,21.4652858924,165.815568602
 01/10  05:00:00,20.173550746900002,141.140205614
 01/10  06:00:00,21.556092547600002,172.27258891
 01/10  07:00:00,23.5830896336,207.941268715
 01/10  08:00:00,38.1244954684,183.602049232
 01/10  09:00:00,54.6286349585,143.120130546
 01/10  10:00:00,66.5782917849,99.4108978661
 01/10  11:00:00,66.46873257770001,73.0027920326
 01/10  12:00:00,66.530737653,57.656289659799995
 01/10  13:00:00,60.0379133785,47.2910085432
 01/10  14:00:00,66.530737653,39.3066259625
 01/10  15:00:00,66.530737653,37.1678283331
 01/10  16:00:00,66.530737653,39.250530972600004
 01/10  17:00:00,66.530737653,46.0976975449
 01/10  18:00:00,30.464929913600002,47.80633582
 01/10  19:00:00,18.2782712214,54.9751275185
 01/10  20:00:00,19.638385861,81.4817517176
 01/10  21:00:00,18.7277402915,64.0074635694
 01/10  22:00:00,20.1102696573,93.6970324383
 01/10  23:00:00,19.2103322797,84.30972154199999
 01/10  24:00:00,20.5070757355,114.761780398
 01/11  01:00:00,19.333010720999997,92.4461401043
 01/11  02:00:00,20.3563283139,108.817826037
 01/11  03:00:00,19.109372288,82.1756562605
 01/11  04:00:00,20.215971578199998,103.09083010399999
 01/11  05:00:00,19.0696485765,79.8865301508
 01/11  06:00:00,20.1665461546,101.32633506
 01/11  07:00:00,23.5830896336,123.94499095100001
 01/11  08:00:00,38.1244954684,103.91462103100001
 01/11  09:00:00,54.4822826918,88.45924619290001
 01/11  10:00:00,66.5059356229,76.85900748729999
 01/11  11:00:00,66.530737653,64.69378693819999
 01/11  12:00:00,66.530737653,48.427443566499996
 01/11  13:00:00,60.0379133785,36.9142317662
 01/11  14:00:00,66.530737653,26.528807203099998
 01/11  15:00:00,66.530737653,19.1682619433
 01/11  16:00:00,66.530737653,15.4781992482
 01/11  17:00:00,66.530737653,17.160539210699998
 01/11  18:00:00,29.118703226199997,22.294342289699998
 01/11  19:00:00,17.282508216500002,35.4602661763
 01/11  20:00:00,17.4600730549,39.401663130900005
 01/11  21:00:00,17.8061931778,45.7846106103
 01/11  22:00:00,17.7023937734,44.3459033833
 01/11  23:00:00,17.871814469,47.1607764839
 01/11  24:00:00,17.7408226644,45.212747091400004
 01/12  01:00:00,17.918999114400002,48.1479464392
 01/12  02:00:00,17.8175824904,46.8122690535
 01/12  03:00:00,17.9820246178,49.4253969629
 01/12  04:00:00,17.840681723699998,47.3555628096
 01/12  05:00:00,18.0297245818,50.448665461400005
 01/12  06:00:00,17.8349934541,47.3450371451
 01/12  07:00:00,23.5111434573,69.8907521047
 01/12  08:00:00,38.052549292100004,52.8728587055
 01/12  09:00:00,54.556688782200006,36.0071843868
 01/12  10:00:00,66.530737653,23.2627648866
 01/12  11:00:00,66.530737653,18.0625446843
 01/12  12:00:00,66.530737653,17.109819416500002
 01/12  13:00:00,60.0379133785,21.6341324061
 01/12  14:00:00,66.530737653,24.1315172782
 01/12  15:00:00,66.530737653,19.7561974851
 01/12  16:00:00,66.530737653,16.722703425
 01/12  17:00:00,66.530737653,17.2005142827
 01/12  18:00:00,28.9794668612,19.8007892001
 01/12  19:00:00,16.9022394335,28.1969582961
 01/12  20:00:00,16.974571989,30.153307523600002
 01/12  21:00:00,17.1434942821,33.0947140636
 01/12  22:00:00,17.144168938299998,33.624978416
 01/12  23:00:00,17.3139873938,36.4764985171
 01/12  24:00:00,17.3026729779,36.8322236939
 01/13  01:00:00,17.474769763199998,39.6540317316
 01/13  02:00:00,17.419968811900002,39.1999526102
 01/13  03:00:00,17.557227998,41.3041101475
 01/13  04:00:00,17.4995607488,40.8553621931
 01/13  05:00:00,17.6554191755,43.2579303324
 01/13  06:00:00,17.608796618,43.073365010399996
 01/13  07:00:00,23.5111434573,66.1014655627
 01/13  08:00:00,38.052549292100004,55.309343230399996
 01/13  09:00:00,54.556688782200006,46.5911388204
 01/13  10:00:00,66.530737653,38.0655116898
 01/13  11:00:00,66.530737653,31.6794385013
 01/13  12:00:00,66.530737653,25.5120737326
 01/13  13:00:00,60.0379133785,21.7090140504
 01/13  14:00:00,66.530737653,16.636452138299997
 01/13  15:00:00,66.530737653,14.7266557732
 01/13  16:00:00,66.530737653,15.28106852
 01/13  17:00:00,66.530737653,19.4214233974
 01/13  18:00:00,29.132845357199997,22.6498703613
 01/13  19:00:00,16.8497859918,27.4950744462
 01/13  20:00:00,17.6034462631,42.0401723012
 01/13  21:00:00,17.1734949874,33.9641616608
 01/13  22:00:00,17.8920995525,47.8325776704
 01/13  23:00:00,17.3344975066,37.1931620208
 01/13  24:00:00,18.0328931699,50.6727707013
 01/14  01:00:00,17.4347671901,39.2150240383
 01/14  02:00:00,18.220681283599998,54.4281485425
 01/14  03:00:00,17.5897273457,42.2897764249
 01/14  04:00:00,18.3649011586,57.3136845341
 01/14  05:00:00,17.6561117488,43.624817385200004
 01/14  06:00:00,18.408425725,58.2307541644
 01/14  07:00:00,17.6753164806,44.0524915052
 01/14  08:00:00,17.562476790599998,82.9418674858
 01/14  09:00:00,15.599743135399999,68.1031468952
 01/14  10:00:00,25.296656926500003,55.2505053349
 01/14  11:00:00,25.296656926500003,38.7801713223
 01/14  12:00:00,25.296656926500003,24.461228262
 01/14  13:00:00,14.588143457300001,19.5478884977
 01/14  14:00:00,14.588143457300001,21.0051056641
