Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,18.8512405477,66.862237111
 01/01  02:00:00,18.9503752554,68.8029862743
 01/01  03:00:00,20.702851663,112.827257843
 01/01  04:00:00,19.6422864675,103.08628730299999
 01/01  05:00:00,21.0383765704,137.276088017
 01/01  06:00:00,19.779190761400002,115.305319864
 01/01  07:00:00,21.182875276199997,146.639884078
 01/01  08:00:00,13.8956233736,119.606339365
 01/01  09:00:00,11.8624644799,130.70648800700002
 01/01  10:00:00,10.0085626788,77.11055194810001
 01/01  11:00:00,10.1174140646,69.6674196616
 01/01  12:00:00,8.46705250744,37.8623874794
 01/01  13:00:00,8.50059364362,38.5767585711
 01/01  14:00:00,7.73025003332,23.637072293000003
 01/01  15:00:00,7.97061126092,28.139474041
 01/01  16:00:00,7.551317883099999,20.1059898191
 01/01  17:00:00,8.182900998180001,32.2930668125
 01/01  18:00:00,17.1401430204,33.1993944294
 01/01  19:00:00,18.2942922794,55.6875394396
 01/01  20:00:00,17.6968144708,44.1002621357
 01/01  21:00:00,18.6029761845,61.7940080669
 01/01  22:00:00,17.8477295032,47.0875125383
 01/01  23:00:00,18.7161618858,64.0897863634
 01/01  24:00:00,17.8991335895,48.139055404
 01/02  01:00:00,18.743251146400002,64.6791749291
 01/02  02:00:00,17.910681825999998,48.3994737768
 01/02  03:00:00,18.7659951563,65.1708940509
 01/02  04:00:00,17.9339128797,48.8801276345
 01/02  05:00:00,18.8813262696,67.4460308883
 01/02  06:00:00,18.0620087697,51.3884684064
 01/02  07:00:00,23.5369070004,94.827551991
 01/02  08:00:00,38.078312835300004,78.9365452809
 01/02  09:00:00,54.5824523253,68.4393673797
 01/02  10:00:00,66.5565011962,52.1020391885
 01/02  11:00:00,66.5565011962,33.1396284064
 01/02  12:00:00,66.5565011962,13.7848335089
 01/02  13:00:00,60.0636769217,6.260507843709999
 01/02  14:00:00,66.5565011962,3.7279011540599996
 01/02  15:00:00,66.5565011962,2.10244863552
 01/02  16:00:00,66.5565011962,1.51903826687
 01/02  17:00:00,66.5565011962,2.4821499727900003
 01/02  18:00:00,29.4130725015,0.0
 01/02  19:00:00,16.062728809,12.156272655599999
 01/02  20:00:00,16.6508639609,23.592982831399997
 01/02  21:00:00,17.1776635936,33.7586630709
 01/02  22:00:00,17.1993939788,34.3634290269
 01/02  23:00:00,17.3592254416,37.3307490019
 01/02  24:00:00,17.3780694808,37.9069483779
 01/03  01:00:00,17.6859628524,43.7494268324
 01/03  02:00:00,17.6035152758,42.3631372614
 01/03  03:00:00,17.8987359077,47.948954022799995
 01/03  04:00:00,17.824506188900003,46.7506074527
 01/03  05:00:00,18.1903684705,53.6760620301
 01/03  06:00:00,18.0723942242,51.644380313999996
 01/03  07:00:00,23.5369070004,81.5867333709
 01/03  08:00:00,38.078312835300004,70.2598108186
 01/03  09:00:00,54.5824523253,49.622966420699996
 01/03  10:00:00,66.5565011962,23.212922948600003
 01/03  11:00:00,66.5565011962,7.124312541889999
 01/03  12:00:00,66.5565011962,3.5797564338099996
 01/03  13:00:00,60.0636769217,2.47300290125
 01/03  14:00:00,66.5565011962,1.9479632491900003
 01/03  15:00:00,66.5565011962,1.18289856686
 01/03  16:00:00,66.5565011962,0.12752381546900002
 01/03  17:00:00,66.5565011962,0.53523251717
