Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,38.9972008442,21.6330247045
 01/01  02:00:00,38.13449036,35.4211818378
 01/01  03:00:00,33.1812037305,32.6805452063
 01/01  04:00:00,32.939411940999996,26.723297909299998
 01/01  05:00:00,34.2922147281,34.1232883533
 01/01  06:00:00,38.2641571929,34.7330977462
 01/01  07:00:00,58.710171950500005,41.5326267134
 01/01  08:00:00,72.8709079863,37.744510320500005
 01/01  09:00:00,95.8822082663,60.0411975231
 01/01  10:00:00,82.1654206643,62.3767401208
 01/01  11:00:00,57.4614456228,57.6605410839
 01/01  12:00:00,55.744292368,45.1371689822
 01/01  13:00:00,56.7444018292,42.9103434402
 01/01  14:00:00,57.2335676231,41.410399659
 01/01  15:00:00,57.57841629,35.5756805963
 01/01  16:00:00,57.3025752028,41.4209893211
 01/01  17:00:00,60.7946257209,23.845122167
 01/01  18:00:00,73.7021661766,7.00610507734
 01/01  19:00:00,90.8870747658,14.6312203101
 01/01  20:00:00,92.3361707616,9.73279790584
 01/01  21:00:00,98.863188188,17.5422982336
 01/01  22:00:00,96.4285417443,18.4724850092
 01/01  23:00:00,72.3040674099,19.4947970428
 01/01  24:00:00,47.1922527927,20.775085812
 01/02  01:00:00,38.515829496900004,11.175217408499998
 01/02  02:00:00,36.067789204600004,19.8475397735
 01/02  03:00:00,33.647730017600004,22.8356773253
 01/02  04:00:00,33.3384012471,24.6423603825
 01/02  05:00:00,34.7368999556,20.1831969077
 01/02  06:00:00,42.437086451599995,30.18576307
 01/02  07:00:00,74.1247538921,29.2629866321
 01/02  08:00:00,90.91735647709999,39.363976037
 01/02  09:00:00,75.11181887869999,39.0831801017
 01/02  10:00:00,72.4044205855,53.0029562334
 01/02  11:00:00,53.3422363475,48.249934360299996
 01/02  12:00:00,53.2822652989,47.520066488199994
 01/02  13:00:00,53.233393736400004,46.8626251182
 01/02  14:00:00,53.79915917939999,42.8577383561
 01/02  15:00:00,54.481843468,35.730997678099996
 01/02  16:00:00,54.346755873,42.728787171
 01/02  17:00:00,58.0393152219,25.680009976399997
 01/02  18:00:00,75.1627626552,14.4541248907
