Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,15.1069992076,0.0
 01/02  02:00:00,15.1069992076,0.0
 01/02  03:00:00,15.1069992076,0.0
 01/02  04:00:00,15.1069992076,0.0
 01/02  05:00:00,15.1069992076,0.0
 01/02  06:00:00,15.1069992076,0.0
 01/02  07:00:00,23.798158471700003,123.416038573
 01/02  08:00:00,23.4121417798,96.6970966476
 01/02  09:00:00,33.226271484099996,80.67196363020001
 01/02  10:00:00,49.618548376899994,57.6456139354
 01/02  11:00:00,49.618548376899994,46.427418841000005
 01/02  12:00:00,49.618548376899994,23.7210500974
 01/02  13:00:00,49.618548376899994,6.25132068686
 01/02  14:00:00,49.618548376899994,0.353062259798
 01/02  15:00:00,49.618548376899994,0.0
 01/02  16:00:00,49.618548376899994,0.0
 01/02  17:00:00,49.618548376899994,0.0
 01/02  18:00:00,61.103548376899994,6.455263862280001
 01/02  19:00:00,49.2587591633,24.0428777352
 01/02  20:00:00,49.2587591633,39.540101936999996
 01/02  21:00:00,44.711271484099996,48.9308042504
 01/02  22:00:00,22.3776491824,0.0
 01/02  23:00:00,15.1069992076,0.0
 01/02  24:00:00,15.1069992076,0.0
 01/03  01:00:00,15.1069992076,0.0
 01/03  02:00:00,15.1069992076,0.0
 01/03  03:00:00,15.1069992076,0.0
 01/03  04:00:00,15.1069992076,0.0
 01/03  05:00:00,15.1069992076,0.0
 01/03  06:00:00,15.1069992076,0.0
 01/03  07:00:00,23.798158471700003,141.987354571
 01/03  08:00:00,23.4121417798,106.222427507
 01/03  09:00:00,33.226271484099996,85.6194533887
 01/03  10:00:00,49.618548376899994,61.05079840609999
 01/03  11:00:00,49.618548376899994,48.9042845772
 01/03  12:00:00,49.618548376899994,32.6934978844
 01/03  13:00:00,49.618548376899994,24.9799054773
 01/03  14:00:00,49.618548376899994,20.7825539669
 01/03  15:00:00,49.618548376899994,20.4711696179
 01/03  16:00:00,49.618548376899994,20.0393838605
 01/03  17:00:00,49.618548376899994,25.5588053427
 01/03  18:00:00,61.103548376899994,34.5238582531
 01/03  19:00:00,49.2587591633,43.009163295200004
 01/03  20:00:00,49.2587591633,53.367879627200004
 01/03  21:00:00,44.711271484099996,57.6721723675
 01/03  22:00:00,22.3776491824,0.0
 01/03  23:00:00,15.1069992076,0.0
 01/03  24:00:00,15.1069992076,0.0
 01/04  01:00:00,15.1069992076,0.0
 01/04  02:00:00,15.1069992076,0.0
 01/04  03:00:00,15.1069992076,0.0
 01/04  04:00:00,15.1069992076,0.0
 01/04  05:00:00,15.1069992076,0.0
 01/04  06:00:00,15.1069992076,0.0
 01/04  07:00:00,23.798158471700003,116.466416706
 01/04  08:00:00,23.4121417798,83.90417351890001
 01/04  09:00:00,33.226271484099996,72.81783564770001
 01/04  10:00:00,49.618548376899994,56.8423211461
 01/04  11:00:00,49.618548376899994,51.0971000818
 01/04  12:00:00,49.618548376899994,41.994885954000004
 01/04  13:00:00,49.618548376899994,39.484199658499996
 01/04  14:00:00,49.618548376899994,37.4096393911
 01/04  15:00:00,49.618548376899994,31.2892198752
 01/04  16:00:00,49.618548376899994,25.598379220100004
 01/04  17:00:00,49.618548376899994,27.931756299099998
 01/04  18:00:00,61.103548376899994,35.567345001
 01/04  19:00:00,49.2587591633,41.5386466781
 01/04  20:00:00,49.2587591633,50.467890085600004
 01/04  21:00:00,44.711271484099996,58.651551060799996
 01/04  22:00:00,22.3776491824,0.0
 01/04  23:00:00,15.1069992076,0.0
 01/04  24:00:00,15.1069992076,0.0
 01/05  01:00:00,15.1069992076,0.0
 01/05  02:00:00,15.1069992076,0.0
 01/05  03:00:00,15.1069992076,0.0
 01/05  04:00:00,15.1069992076,0.0
 01/05  05:00:00,15.1069992076,0.0
 01/05  06:00:00,15.1069992076,0.0
 01/05  07:00:00,23.798158471700003,194.83401029700002
 01/05  08:00:00,23.4121417798,161.447733045
 01/05  09:00:00,33.226271484099996,134.447050485
 01/05  10:00:00,49.618548376899994,97.136438718
 01/05  11:00:00,49.618548376899994,77.2760238725
 01/05  12:00:00,49.618548376899994,56.236243080200005
 01/05  13:00:00,49.618548376899994,39.0897074406
 01/05  14:00:00,49.618548376899994,27.4224791535
 01/05  15:00:00,49.618548376899994,20.6636165968
 01/05  16:00:00,49.618548376899994,15.119746555199999
 01/05  17:00:00,49.618548376899994,23.0323142454
 01/05  18:00:00,61.103548376899994,40.1188580019
 01/05  19:00:00,49.2587591633,57.5522136166
 01/05  20:00:00,49.2587591633,81.47448234720001
 01/05  21:00:00,44.711271484099996,96.05482146760001
 01/05  22:00:00,22.3776491824,0.0
 01/05  23:00:00,15.1069992076,0.0
 01/05  24:00:00,15.1069992076,0.0
 01/06  01:00:00,15.1069992076,0.0
 01/06  02:00:00,15.1069992076,0.0
 01/06  03:00:00,15.135597759100001,0.8219944781119999
 01/06  04:00:00,15.1434383622,1.04735318029
 01/06  05:00:00,15.175468733199999,1.9679868053599998
 01/06  06:00:00,15.1614668628,1.5655377456600001
 01/06  07:00:00,23.798158471700003,212.183227478
 01/06  08:00:00,23.4121417798,170.616122009
 01/06  09:00:00,33.226271484099996,138.73371053
 01/06  10:00:00,49.618548376899994,98.5512435518
 01/06  11:00:00,49.618548376899994,71.8815510978
 01/06  12:00:00,49.618548376899994,45.1509379471
 01/06  13:00:00,49.618548376899994,27.2517282052
 01/06  14:00:00,49.618548376899994,12.9713843442
 01/06  15:00:00,49.618548376899994,3.39319405232
 01/06  16:00:00,49.618548376899994,0.0280198063838
 01/06  17:00:00,49.618548376899994,1.32184895614
 01/06  18:00:00,61.103548376899994,15.733506858599998
 01/06  19:00:00,49.2587591633,33.9493486876
 01/06  20:00:00,49.2587591633,46.0670197652
 01/06  21:00:00,44.711271484099996,55.7021248897
 01/06  22:00:00,22.3776491824,0.0
 01/06  23:00:00,15.1069992076,0.0
 01/06  24:00:00,15.1069992076,0.0
 01/07  01:00:00,14.657580751600001,0.0
 01/07  02:00:00,14.657580751600001,0.0
 01/07  03:00:00,14.657580751600001,0.0
 01/07  04:00:00,14.657580751600001,0.0
 01/07  05:00:00,14.657580751600001,0.0
 01/07  06:00:00,14.657580751600001,0.0
 01/07  07:00:00,23.348740015700002,138.958635812
 01/07  08:00:00,18.8646541006,104.29052320000001
 01/07  09:00:00,24.1312961257,80.79053552020001
 01/07  10:00:00,37.7737591633,44.6105192657
 01/07  11:00:00,49.618548376899994,15.1524952616
 01/07  12:00:00,49.618548376899994,0.231570142597
 01/07  13:00:00,49.618548376899994,0.0
 01/07  14:00:00,49.618548376899994,0.0
 01/07  15:00:00,49.6475441233,0.0
 01/07  16:00:00,49.7807720762,0.0
 01/07  17:00:00,49.7778864883,0.0
 01/07  18:00:00,61.103548376899994,0.0
 01/07  19:00:00,44.711271484099996,0.0
 01/07  20:00:00,35.6162961257,0.0
 01/07  21:00:00,35.6162961257,0.607099836678
 01/07  22:00:00,26.5213207673,8.672631136389999
 01/07  23:00:00,14.657580751600001,0.0
 01/07  24:00:00,14.657580751600001,0.0
 01/08  01:00:00,14.657580751600001,0.0
 01/08  02:00:00,14.657580751600001,0.0
 01/08  03:00:00,14.657580751600001,0.0
 01/08  04:00:00,14.657580751600001,0.0
 01/08  05:00:00,14.657580751600001,0.0
 01/08  06:00:00,14.657580751600001,0.0
 01/08  07:00:00,14.657580751600001,0.0
 01/08  08:00:00,7.000914084930001,0.0
 01/08  09:00:00,15.0363207673,98.6981843646
 01/08  10:00:00,15.0363207673,78.6359712231
 01/08  11:00:00,28.678783804899997,61.7889017113
 01/08  12:00:00,28.678783804899997,53.7508130626
 01/08  13:00:00,37.7737591633,35.0264366046
 01/08  14:00:00,37.7737591633,24.391290452199996
 01/08  15:00:00,37.7737591633,20.478434411400002
 01/08  16:00:00,37.7737591633,21.9259364481
 01/08  17:00:00,37.7737591633,26.4033844887
 01/08  18:00:00,40.1637838049,55.5637392432
 01/08  19:00:00,31.0688084465,77.4603873207
 01/08  20:00:00,14.657580751600001,0.0
 01/08  21:00:00,14.657580751600001,0.0
 01/08  22:00:00,14.657580751600001,0.0
 01/08  23:00:00,14.657580751600001,0.0
 01/08  24:00:00,14.657580751600001,0.0
 01/09  01:00:00,15.1069992076,0.0
 01/09  02:00:00,15.1069992076,0.0
 01/09  03:00:00,15.1383341385,0.900644922678
 01/09  04:00:00,15.1756252322,1.9724849791999999
 01/09  05:00:00,15.256769751300002,3.84713173257
 01/09  06:00:00,15.3100260769,5.25228323405
 01/09  07:00:00,23.798158471700003,227.282614483
 01/09  08:00:00,23.4121417798,195.955942478
 01/09  09:00:00,33.226271484099996,165.41022073
 01/09  10:00:00,49.618548376899994,129.022271085
 01/09  11:00:00,49.618548376899994,109.25173986200001
 01/09  12:00:00,49.618548376899994,87.40497426120001
 01/09  13:00:00,49.618548376899994,75.3835499613
 01/09  14:00:00,49.618548376899994,63.4342491153
 01/09  15:00:00,49.618548376899994,54.143962961499994
 01/09  16:00:00,49.618548376899994,48.286949217
 01/09  17:00:00,49.618548376899994,55.6836655682
 01/09  18:00:00,59.1893817102,74.9072007111
 01/09  19:00:00,49.2587591633,94.2457515249
 01/09  20:00:00,49.2587591633,111.83695217799999
 01/09  21:00:00,44.711271484099996,122.657534001
 01/09  22:00:00,22.3776491824,0.0
 01/09  23:00:00,15.1069992076,0.0
 01/09  24:00:00,15.1069992076,0.0
 01/10  01:00:00,15.1569506918,1.43573160362
 01/10  02:00:00,15.1839731944,2.2124264629700003
 01/10  03:00:00,15.317163927200001,5.37678498217
 01/10  04:00:00,15.339968130699999,6.0531829443400005
 01/10  05:00:00,15.425540608599999,8.187433646919999
 01/10  06:00:00,15.4850703653,10.1317128937
 01/10  07:00:00,23.798158471700003,232.10653156799998
 01/10  08:00:00,23.4121417798,213.312751228
 01/10  09:00:00,33.226271484099996,178.986745117
 01/10  10:00:00,49.618548376899994,136.334984531
 01/10  11:00:00,49.618548376899994,112.29199965299999
 01/10  12:00:00,49.618548376899994,89.8249450691
 01/10  13:00:00,49.618548376899994,77.8143567572
 01/10  14:00:00,49.618548376899994,71.5968270992
 01/10  15:00:00,49.618548376899994,71.1418968604
 01/10  16:00:00,49.618548376899994,69.9475481162
 01/10  17:00:00,49.618548376899994,74.8630666049
 01/10  18:00:00,59.1893817102,88.3601546136
 01/10  19:00:00,49.2587591633,100.12825064299999
 01/10  20:00:00,49.2587591633,114.184352101
 01/10  21:00:00,44.711271484099996,123.56187092200001
 01/10  22:00:00,22.3776491824,0.0
 01/10  23:00:00,15.1069992076,0.0
 01/10  24:00:00,15.1069992076,0.0
 01/11  01:00:00,15.1295994865,0.649588999401
 01/11  02:00:00,15.1535121803,1.33690011351
 01/11  03:00:00,15.2094694234,2.80319474763
 01/11  04:00:00,15.260133816700002,3.94056802711
 01/11  05:00:00,15.300038636400002,5.026460702880001
 01/11  06:00:00,15.2731101424,4.26891213487
 01/11  07:00:00,23.798158471700003,221.739643013
 01/11  08:00:00,23.4121417798,184.832625733
 01/11  09:00:00,33.226271484099996,159.28023999299998
 01/11  10:00:00,49.618548376899994,125.77075781200001
 01/11  11:00:00,49.618548376899994,105.00100614799999
 01/11  12:00:00,49.618548376899994,76.8179789398
 01/11  13:00:00,49.618548376899994,56.4785979191
 01/11  14:00:00,49.618548376899994,37.751193080300006
 01/11  15:00:00,49.618548376899994,23.3188185516
 01/11  16:00:00,49.618548376899994,2.6731623503299997
 01/11  17:00:00,49.618548376899994,2.0325136563900004
 01/11  18:00:00,59.1893817102,23.362705035300003
 01/11  19:00:00,49.2587591633,40.3069532581
 01/11  20:00:00,49.2587591633,49.168329192
 01/11  21:00:00,44.711271484099996,53.7559317735
 01/11  22:00:00,22.3776491824,0.0
 01/11  23:00:00,15.1069992076,0.0
 01/11  24:00:00,15.1069992076,0.0
 01/12  01:00:00,15.1069992076,0.0
 01/12  02:00:00,15.1069992076,0.0
 01/12  03:00:00,15.1069992076,0.0
 01/12  04:00:00,15.1069992076,0.0
 01/12  05:00:00,15.1069992076,0.0
 01/12  06:00:00,15.1069992076,0.0
 01/12  07:00:00,23.798158471700003,109.712689466
 01/12  08:00:00,23.4121417798,73.3708333066
 01/12  09:00:00,33.226271484099996,51.886901118100006
 01/12  10:00:00,49.618548376899994,27.936879811
 01/12  11:00:00,49.618548376899994,16.342942709000003
 01/12  12:00:00,49.618548376899994,2.6769549479
 01/12  13:00:00,49.618548376899994,0.0638822398133
 01/12  14:00:00,49.618548376899994,0.09463503301330001
 01/12  15:00:00,49.618548376899994,3.35682778536
 01/12  16:00:00,49.618548376899994,7.8942016615499995
 01/12  17:00:00,49.618548376899994,16.0151823476
 01/12  18:00:00,59.1893817102,25.1182182423
 01/12  19:00:00,49.2587591633,31.167084031799998
 01/12  20:00:00,49.2587591633,40.5549717354
 01/12  21:00:00,44.711271484099996,47.2204704826
 01/12  22:00:00,22.3776491824,0.0
 01/12  23:00:00,15.1069992076,0.0
 01/12  24:00:00,15.1069992076,0.0
 01/13  01:00:00,15.1069992076,0.0
 01/13  02:00:00,15.1069992076,0.0
 01/13  03:00:00,15.1069992076,0.0
 01/13  04:00:00,15.1069992076,0.0
