Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,33.5753521762,0.02
 01/01  02:00:00,33.5753521762,0.02
 01/01  03:00:00,33.5753521762,1.10297232955
 01/01  04:00:00,33.5753521762,0.02
 01/01  05:00:00,33.5753521762,1.10297272594
 01/01  06:00:00,33.5753521762,0.02
 01/01  07:00:00,33.5753521762,1.10297274912
 01/01  08:00:00,26.173352176199998,0.02
 01/01  09:00:00,18.7713521762,0.02
 01/01  10:00:00,18.7713521762,1.10297269214
 01/01  11:00:00,18.7713521762,0.02
 01/01  12:00:00,18.7713521762,1.1030690016
 01/01  13:00:00,18.7713521762,0.02
 01/01  14:00:00,18.7713521762,1.1031971354799999
 01/01  15:00:00,18.7713521762,1.1030648827399998
 01/01  16:00:00,18.7713521762,0.02
 01/01  17:00:00,18.7713521762,0.02
 01/01  18:00:00,33.5753521762,1.1029727920499999
 01/01  19:00:00,33.5753521762,0.02
 01/01  20:00:00,33.5753521762,1.10297261809
 01/01  21:00:00,33.5753521762,0.02
 01/01  22:00:00,33.5753521762,1.10311631069
 01/01  23:00:00,33.5753521762,0.02
 01/01  24:00:00,33.5753521762,1.1029719285500001
 01/02  01:00:00,38.9361841996,0.02
 01/02  02:00:00,38.9361841996,0.02
 01/02  03:00:00,38.9361841996,1.10301985427
 01/02  04:00:00,38.9361841996,0.02
 01/02  05:00:00,38.9361841996,1.1030220850599999
 01/02  06:00:00,41.6166002114,0.02
 01/02  07:00:00,101.347291306,1.10321842629
 01/02  08:00:00,100.634816999,1.10367687615
 01/02  09:00:00,150.127388269,2.18896029511
 01/02  10:00:00,139.736090384,2.18933715107
 01/02  11:00:00,138.088753716,2.18932483824
 01/02  12:00:00,140.213164256,3.27511780056
 01/02  13:00:00,140.221649114,3.2765269793000003
 01/02  14:00:00,139.759953765,3.27599422667
 01/02  15:00:00,135.47144555100002,2.18875291668
 01/02  16:00:00,134.863500617,1.10449725405
 01/02  17:00:00,138.181291144,3.27447489055
 01/02  18:00:00,143.936384549,1.10400879034
 01/02  19:00:00,107.665360318,2.18774089428
 01/02  20:00:00,106.477050583,1.10351299769
 01/02  21:00:00,96.4436339043,2.34405663598
 01/02  22:00:00,100.82557137,11.479892821500002
 01/02  23:00:00,41.6166002114,1.1030656245100001
 01/02  24:00:00,38.9361841996,0.02
 01/03  01:00:00,38.9361841996,1.10301819087
 01/03  02:00:00,38.9361841996,0.02
 01/03  03:00:00,38.9361841996,1.10302176059
 01/03  04:00:00,38.9361841996,0.02
 01/03  05:00:00,38.9361841996,1.10302265185
 01/03  06:00:00,48.190779043199996,0.7893741017300001
 01/03  07:00:00,186.15144460599998,1.15341862591
 01/03  08:00:00,156.484518506,83.5779711133
 01/03  09:00:00,171.386677309,79.45155048069999
 01/03  10:00:00,147.13528771,70.11852090970001
 01/03  11:00:00,145.08787414399998,63.2369615559
 01/03  12:00:00,145.613638808,53.456462884
 01/03  13:00:00,147.284616509,41.549804961199996
 01/03  14:00:00,143.741478511,33.4834003429
 01/03  15:00:00,133.48832877700002,31.1745947542
 01/03  16:00:00,128.45605776,33.3754758762
 01/03  17:00:00,131.23460233,33.921131815500004
 01/03  18:00:00,147.068769857,38.7575694458
 01/03  19:00:00,123.11475355700001,53.8757061518
 01/03  20:00:00,128.178253434,61.227922176099995
 01/03  21:00:00,123.62026902299999,70.3734132669
 01/03  22:00:00,129.185474538,75.1816722894
 01/03  23:00:00,41.6166002114,1.10305887915
 01/03  24:00:00,38.9361841996,0.02
 01/04  01:00:00,38.9361841996,1.10301614409
 01/04  02:00:00,46.778750863599996,2.4778267290500002
 01/04  03:00:00,46.958252164099996,3.36921807676
 01/04  04:00:00,51.4168033195,4.16455615103
 01/04  05:00:00,49.614476868500006,3.68359542001
 01/04  06:00:00,61.9155031577,6.72336820551
 01/04  07:00:00,216.847115669,1.7060483168399998
 01/04  08:00:00,178.875817869,92.0502902749
 01/04  09:00:00,182.794648738,75.9745740079
 01/04  10:00:00,154.014365187,57.505283343100004
 01/04  11:00:00,149.27959907,40.9253643569
 01/04  12:00:00,147.577147717,21.942535951300002
 01/04  13:00:00,147.759239481,9.91903490245
 01/04  14:00:00,143.151811164,3.72277691236
 01/04  15:00:00,132.08738745899998,2.18926617938
 01/04  16:00:00,126.68599520000001,2.1888045529099998
 01/04  17:00:00,129.244013086,2.1898713016699998
 01/04  18:00:00,141.821353846,6.916901072330001
 01/04  19:00:00,117.293970996,20.9590450253
 01/04  20:00:00,121.17259925100001,25.489241
 01/04  21:00:00,114.953571322,28.679619947600003
 01/04  22:00:00,119.0318135,31.3927582626
 01/04  23:00:00,41.6166002114,1.1030181659
 01/04  24:00:00,38.9361841996,0.02
 01/05  01:00:00,38.9361841996,0.02
 01/05  02:00:00,38.9361841996,1.10302222848
 01/05  03:00:00,38.9361841996,0.02
 01/05  04:00:00,38.9361841996,1.10302371091
 01/05  05:00:00,38.9361841996,0.02
 01/05  06:00:00,48.7459771867,1.5959974481099999
 01/05  07:00:00,186.34711795299998,1.10311942709
 01/05  08:00:00,157.06845076,56.3669740976
 01/05  09:00:00,173.632287183,39.2842808607
 01/05  10:00:00,144.503032036,18.7852633579
 01/05  11:00:00,138.121145646,6.59984607866
 01/05  12:00:00,138.849249421,2.2643990667900002
 01/05  13:00:00,141.41230758700002,3.27650369559
 01/05  14:00:00,136.33736147,3.2763197705900002
 01/05  15:00:00,129.272675112,2.18912377844
 01/05  16:00:00,129.746420926,2.18890447863
 01/05  17:00:00,134.328944278,2.18974011248
 01/05  18:00:00,142.83040974,2.18857392861
 01/05  19:00:00,112.26529508600001,1.10379544194
 01/05  20:00:00,112.94510057299999,1.1035246478899998
 01/05  21:00:00,104.313229797,2.99722275199
 01/05  22:00:00,107.655138298,7.56174661666
 01/05  23:00:00,41.6166002114,0.02
 01/05  24:00:00,38.9361841996,1.1030192235299998
 01/06  01:00:00,38.9361841996,0.02
 01/06  02:00:00,38.9361841996,1.10302342489
 01/06  03:00:00,38.9361841996,0.02
 01/06  04:00:00,38.9361841996,1.10301659188
 01/06  05:00:00,38.9361841996,0.02
 01/06  06:00:00,41.6166002114,1.10317883206
 01/06  07:00:00,152.034358478,0.02
 01/06  08:00:00,132.15067853899998,16.0150311793
 01/06  09:00:00,164.45830991,9.84688737979
 01/06  10:00:00,147.897215225,7.34357340886
 01/06  11:00:00,139.93163833100002,2.9197022817900002
 01/06  12:00:00,136.368721305,2.19004977668
 01/06  13:00:00,139.738951321,3.2763921730699996
 01/06  14:00:00,135.121238224,3.27622054231
 01/06  15:00:00,131.643372711,2.18932868189
 01/06  16:00:00,134.099371768,2.18884847267
 01/06  17:00:00,138.93418045299998,2.18969127846
 01/06  18:00:00,145.591553275,2.18852891683
 01/06  19:00:00,117.470430774,1.1037764026299999
 01/06  20:00:00,116.98819982,1.1035087675
 01/06  21:00:00,107.79969258,1.10356602969
 01/06  22:00:00,109.844892594,1.10318117459
 01/06  23:00:00,41.6166002114,0.02
 01/06  24:00:00,38.9361841996,1.10302412567
 01/07  01:00:00,33.5753521762,0.02
 01/07  02:00:00,33.5753521762,1.1030214786399999
 01/07  03:00:00,33.5753521762,0.02
 01/07  04:00:00,33.5753521762,1.10302448799
 01/07  05:00:00,33.5753521762,0.02
 01/07  06:00:00,33.5753521762,1.10317340577
 01/07  07:00:00,143.267018412,0.02
 01/07  08:00:00,115.700840339,1.10322909597
 01/07  09:00:00,117.276413006,1.10345733021
 01/07  10:00:00,112.49426333299999,1.10374613475
 01/07  11:00:00,108.39190582399999,2.18744928964
 01/07  12:00:00,109.639724464,1.10396837399
 01/07  13:00:00,109.70104663,1.10371864909
 01/07  14:00:00,108.16888715700001,1.1036777991
 01/07  15:00:00,94.07518883549999,1.10359882582
 01/07  16:00:00,95.65050396299999,1.10344961251
 01/07  17:00:00,97.9597358997,1.1034157016500001
 01/07  18:00:00,107.396782678,1.10311864877
 01/07  19:00:00,33.5753521762,0.02
 01/07  20:00:00,33.5753521762,1.1031055528799998
 01/07  21:00:00,33.5753521762,0.02
 01/07  22:00:00,33.5753521762,1.1031751481799998
 01/07  23:00:00,33.5753521762,1.10302335233
 01/07  24:00:00,33.5753521762,0.02
 01/08  01:00:00,33.5753521762,1.10297529645
 01/08  02:00:00,33.5753521762,0.02
 01/08  03:00:00,33.5753521762,0.02
 01/08  04:00:00,33.5753521762,1.10297527194
 01/08  05:00:00,33.5753521762,0.02
 01/08  06:00:00,33.5753521762,1.10310855265
 01/08  07:00:00,33.5753521762,0.02
 01/08  08:00:00,26.173352176199998,1.10297527858
 01/08  09:00:00,18.7713521762,0.02
 01/08  10:00:00,18.7713521762,1.10297522444
 01/08  11:00:00,18.7713521762,0.02
 01/08  12:00:00,18.7713521762,0.02
 01/08  13:00:00,18.7713521762,1.1030744966600001
 01/08  14:00:00,18.7713521762,1.10321259479
 01/08  15:00:00,18.7713521762,0.02
 01/08  16:00:00,18.7713521762,1.10297275932
 01/08  17:00:00,18.7713521762,0.02
 01/08  18:00:00,31.108018842899998,0.02
 01/08  19:00:00,33.5753521762,1.1029732310200002
 01/08  20:00:00,33.5753521762,0.02
 01/08  21:00:00,33.5753521762,1.1029736257
 01/08  22:00:00,33.5753521762,0.02
 01/08  23:00:00,33.5753521762,1.1029744750900001
 01/08  24:00:00,33.5753521762,0.02
 01/09  01:00:00,42.0120417419,1.20674929277
 01/09  02:00:00,45.4194911049,0.039172356061199995
 01/09  03:00:00,48.401415663,1.28543419169
 01/09  04:00:00,47.2315453875,0.223255882139
 01/09  05:00:00,51.2369553197,2.19646413357
 01/09  06:00:00,52.127127566999995,1.4159835084799999
 01/09  07:00:00,226.29251749,1.4575381996
 01/09  08:00:00,187.54306503599997,71.8426675337
