Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,946.056228356,557.642618631
 01/01  02:00:00,944.458277484,570.766765694
 01/01  03:00:00,945.59830148,577.293864077
 01/01  04:00:00,946.044934852,576.914328621
 01/01  05:00:00,948.619554126,580.323451512
 01/01  06:00:00,949.309478893,590.1675673469999
 01/01  07:00:00,1029.5702204,528.202623669
 01/01  08:00:00,1027.70734206,544.36578253
 01/01  09:00:00,1093.4079417,517.76607339
 01/01  10:00:00,1100.48510131,490.09873144
 01/01  11:00:00,1126.8053902000001,505.22578298199994
 01/01  12:00:00,1128.37795025,501.754995551
 01/01  13:00:00,1124.89836704,482.215495229
 01/01  14:00:00,1110.12425954,456.20536241900004
 01/01  15:00:00,1103.61792175,435.40758118
 01/01  16:00:00,1105.30361159,432.943931816
 01/01  17:00:00,1088.71811141,468.825954035
 01/01  18:00:00,1075.72975805,510.27546360400004
 01/01  19:00:00,1043.56235714,548.773587984
 01/01  20:00:00,1030.36216624,531.232594364
 01/01  21:00:00,993.061820946,562.715243847
 01/01  22:00:00,987.464790687,565.667950157
 01/01  23:00:00,972.1709485389999,572.3158201040001
 01/01  24:00:00,964.9346540239999,558.561845048
 01/02  01:00:00,957.3804710210001,563.146114675
 01/02  02:00:00,953.079740617,568.2839886869999
 01/02  03:00:00,949.448209911,574.883404346
 01/02  04:00:00,950.9488290319999,572.931949481
 01/02  05:00:00,1041.01021744,549.792712127
 01/02  06:00:00,1046.13515446,1100.54154443
 01/02  07:00:00,1266.74879017,709.055237402
 01/02  08:00:00,1387.49367614,662.648187346
 01/02  09:00:00,1429.46937326,632.8790074980001
 01/02  10:00:00,1479.99322939,583.414905544
 01/02  11:00:00,1476.89709844,569.414278572
 01/02  12:00:00,1474.98090585,548.446544793
 01/02  13:00:00,1433.15533619,517.216280161
 01/02  14:00:00,1465.35052884,496.724150722
 01/02  15:00:00,1467.4168533,466.139841501
 01/02  16:00:00,1467.91439132,473.198126651
 01/02  17:00:00,1476.84631506,505.13511785300005
 01/02  18:00:00,1509.46599334,496.61611373
 01/02  19:00:00,1252.46719295,474.519175735
 01/02  20:00:00,1235.71197847,460.065747172
 01/02  21:00:00,1096.63058018,504.57856156
 01/02  22:00:00,1049.74529386,486.075668615
 01/02  23:00:00,974.8784889389999,499.75127457599996
 01/02  24:00:00,971.424598573,491.000560179
 01/03  01:00:00,955.8591386960001,480.06019056
 01/03  02:00:00,952.715780116,493.800803174
 01/03  03:00:00,952.608390217,499.046373326
 01/03  04:00:00,946.572345023,503.419054124
 01/03  05:00:00,1040.41045088,477.04138654699995
 01/03  06:00:00,1041.49562967,824.306260415
 01/03  07:00:00,1267.46057395,579.452036931
 01/03  08:00:00,1378.94584483,559.325744096
 01/03  09:00:00,1423.32539229,535.445660211
 01/03  10:00:00,1480.96887412,509.34569685900004
 01/03  11:00:00,1474.87099601,515.523849252
 01/03  12:00:00,1466.5225953,489.78813854
 01/03  13:00:00,1424.02590164,496.59382433300004
 01/03  14:00:00,1455.09616564,468.66974748
 01/03  15:00:00,1450.61542919,440.416042299
 01/03  16:00:00,1452.97516629,455.656568889
 01/03  17:00:00,1465.53992996,465.85176430900003
 01/03  18:00:00,1492.22367649,475.81002017300005
 01/03  19:00:00,1243.99121993,466.82710227
 01/03  20:00:00,1241.15181688,446.26331349199995
 01/03  21:00:00,1113.80123861,489.48820080800004
 01/03  22:00:00,1078.94388942,483.63340247199994
 01/03  23:00:00,1010.41296609,478.981621383
 01/03  24:00:00,1011.02284681,477.66664811199996
 01/04  01:00:00,997.672556035,472.39581250099997
 01/04  02:00:00,998.413609411,476.742858755
 01/04  03:00:00,998.780617275,471.510824899
 01/04  04:00:00,999.1004505410001,483.31045660800004
 01/04  05:00:00,1088.90589406,465.777616495
 01/04  06:00:00,1081.7358119,717.5572607319999
 01/04  07:00:00,1311.89416391,533.576966925
 01/04  08:00:00,1427.012704,512.65874023
