Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,12.569683660399999,0.0
 01/02  02:00:00,12.569683660399999,0.0
 01/02  03:00:00,12.569683660399999,0.0
 01/02  04:00:00,12.569683660399999,0.0
 01/02  05:00:00,12.569683660399999,0.0
 01/02  06:00:00,12.569683660399999,0.0
 01/02  07:00:00,26.2350254977,110.29999145200001
 01/02  08:00:00,30.012196734699998,81.1439289221
 01/02  09:00:00,40.6621644927,55.708969443
 01/02  10:00:00,58.0598387379,13.3774329761
 01/02  11:00:00,58.0692264233,2.07930982131
 01/02  12:00:00,58.6747232604,0.176741673594
 01/02  13:00:00,59.2885172272,0.0
 01/02  14:00:00,59.4517459325,0.0
 01/02  15:00:00,59.4788346038,0.0
 01/02  16:00:00,59.809141133999994,0.0
 01/02  17:00:00,59.0414999438,0.0
 01/02  18:00:00,65.1667304838,0.0
 01/02  19:00:00,53.6346677816,0.0
 01/02  20:00:00,53.6346677816,2.62555462587
 01/02  21:00:00,48.6260348881,13.9561844543
 01/02  22:00:00,20.693606815,0.0
 01/02  23:00:00,12.569683660399999,0.0
 01/02  24:00:00,12.569683660399999,0.0
 01/03  01:00:00,12.569683660399999,0.0
 01/03  02:00:00,12.569683660399999,0.0
 01/03  03:00:00,12.569683660399999,0.0
 01/03  04:00:00,12.569683660399999,0.0
 01/03  05:00:00,12.569683660399999,0.0
 01/03  06:00:00,12.569683660399999,0.0
 01/03  07:00:00,26.3006317185,118.16714391
 01/03  08:00:00,30.086717793000002,90.1909498699
 01/03  09:00:00,40.676610181,52.7487230085
 01/03  10:00:00,58.0754754038,12.6169021233
 01/03  11:00:00,58.026168220600006,2.7685710722900003
 01/03  12:00:00,58.3108024163,0.605465461141
 01/03  13:00:00,58.376435344899996,0.0
 01/03  14:00:00,58.5114167401,0.0
 01/03  15:00:00,58.8653315432,0.0
 01/03  16:00:00,58.760380303000005,0.0
 01/03  17:00:00,58.5298407897,0.0
 01/03  18:00:00,65.0992324787,0.0
 01/03  19:00:00,53.6346677816,0.0
 01/03  20:00:00,53.6346677816,0.0
 01/03  21:00:00,48.6176463308,1.00470945357
 01/03  22:00:00,20.693606815,0.0
 01/03  23:00:00,12.569683660399999,0.0
 01/03  24:00:00,12.569683660399999,0.0
 01/04  01:00:00,12.569683660399999,0.0
 01/04  02:00:00,12.569683660399999,0.0
 01/04  03:00:00,12.569683660399999,0.0
 01/04  04:00:00,12.569683660399999,0.0
 01/04  05:00:00,12.569683660399999,0.0
 01/04  06:00:00,12.569683660399999,0.0
 01/04  07:00:00,25.870902832,54.3090799455
 01/04  08:00:00,29.7565355252,38.16714781
 01/04  09:00:00,40.5150102219,22.950136109699997
 01/04  10:00:00,58.026168220600006,2.15169078858
 01/04  11:00:00,58.1970112546,0.0873968432109
 01/04  12:00:00,59.0313446559,0.0
 01/04  13:00:00,59.8450225392,0.0
 01/04  14:00:00,62.009593171300004,0.0
 01/04  15:00:00,63.239943409,0.0
 01/04  16:00:00,63.6093667763,0.0
 01/04  17:00:00,62.0166457569,0.0
 01/04  18:00:00,65.7778144489,0.0
 01/04  19:00:00,53.738510642600005,0.0
 01/04  20:00:00,53.6346677816,0.0
 01/04  21:00:00,48.6176463308,0.0
 01/04  22:00:00,20.693606815,0.0
 01/04  23:00:00,12.569683660399999,0.0
 01/04  24:00:00,12.569683660399999,0.0
 01/05  01:00:00,12.569683660399999,0.0
 01/05  02:00:00,12.569683660399999,0.0
 01/05  03:00:00,12.569683660399999,0.0
 01/05  04:00:00,12.569683660399999,0.0
 01/05  05:00:00,12.569683660399999,0.0
 01/05  06:00:00,12.569683660399999,0.0
 01/05  07:00:00,25.9236043707,59.0235013912
 01/05  08:00:00,29.7709670363,38.346172363600004
 01/05  09:00:00,40.4464827512,21.3141650349
 01/05  10:00:00,58.026168220600006,1.8299155181400002
 01/05  11:00:00,58.082817758400004,0.0419247977894
 01/05  12:00:00,58.5477356584,0.0
 01/05  13:00:00,58.716746199700005,0.0
 01/05  14:00:00,58.7402289503,0.0
 01/05  15:00:00,59.2976970892,0.0
 01/05  16:00:00,59.938012793599995,0.0
 01/05  17:00:00,58.74188558350001,0.0
 01/05  18:00:00,65.1477367372,0.0
 01/05  19:00:00,53.63494153560001,0.0
 01/05  20:00:00,53.6346677816,0.0
 01/05  21:00:00,48.6176463308,0.0
 01/05  22:00:00,20.693606815,0.0
 01/05  23:00:00,12.569683660399999,0.0
 01/05  24:00:00,12.569683660399999,0.0
 01/06  01:00:00,12.569683660399999,0.0
 01/06  02:00:00,12.569683660399999,0.0
 01/06  03:00:00,12.569683660399999,0.0
 01/06  04:00:00,12.569683660399999,0.0
 01/06  05:00:00,12.569683660399999,0.0
 01/06  06:00:00,12.569683660399999,0.0
 01/06  07:00:00,25.8741109211,51.0501906175
 01/06  08:00:00,29.7485888942,31.523757844200002
 01/06  09:00:00,40.515107885,12.6212415454
 01/06  10:00:00,58.041485381099996,0.432167926837
