Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,722.1338313680001,656.8103792869999
 01/01  02:00:00,682.756024124,697.444636634
 01/01  03:00:00,673.5753668909999,699.463704697
 01/01  04:00:00,677.253120242,689.13841958
 01/01  05:00:00,688.73351866,674.066746837
 01/01  06:00:00,689.30624284,683.561045731
 01/01  07:00:00,767.52836011,618.836879179
 01/01  08:00:00,776.9364607739999,619.709376029
 01/01  09:00:00,854.050523565,616.1844639459999
 01/01  10:00:00,853.479423507,598.903676453
 01/01  11:00:00,870.3993181589999,622.2039231040001
 01/01  12:00:00,897.84279309,613.456806466
 01/01  13:00:00,926.3666109589999,605.474986767
 01/01  14:00:00,944.096229529,586.1166375380001
 01/01  15:00:00,968.0343080460001,566.3314607919999
 01/01  16:00:00,964.32197103,570.811658959
 01/01  17:00:00,923.703753426,611.22438691
 01/01  18:00:00,867.971910829,633.644840949
 01/01  19:00:00,832.650171649,648.616616238
 01/01  20:00:00,825.936754886,626.208901674
 01/01  21:00:00,800.839135954,663.476245767
 01/01  22:00:00,794.8161796889999,652.802859376
 01/01  23:00:00,772.4900535439999,655.8700296119999
 01/01  24:00:00,766.486707666,645.696283668
 01/02  01:00:00,770.2411840330001,639.71693743
 01/02  02:00:00,768.7801542999999,642.76647859
 01/02  03:00:00,763.6011102360001,645.019123293
 01/02  04:00:00,756.03811574,648.421957784
 01/02  05:00:00,838.288093813,610.440286875
 01/02  06:00:00,838.714349046,1226.36344694
 01/02  07:00:00,1064.54648866,798.248826894
 01/02  08:00:00,1189.22910623,739.1346358610001
 01/02  09:00:00,1236.26351723,708.190382221
 01/02  10:00:00,1283.86582093,661.758872319
 01/02  11:00:00,1342.87292548,672.708087166
 01/02  12:00:00,1441.15393916,633.036229699
 01/02  13:00:00,1418.8753861999999,605.547741375
 01/02  14:00:00,1460.22348189,583.8133244969999
 01/02  15:00:00,1457.9868287999998,554.697790132
 01/02  16:00:00,1457.21020168,560.794427501
 01/02  17:00:00,1408.28803506,583.5337005169999
 01/02  18:00:00,1345.42321456,555.953951113
 01/02  19:00:00,1085.66315015,520.988272131
 01/02  20:00:00,1069.21009494,489.39795493800005
 01/02  21:00:00,924.991667773,542.680856326
 01/02  22:00:00,876.272619507,526.540300677
 01/02  23:00:00,793.6685921339999,531.5757901640001
 01/02  24:00:00,768.8949679469999,525.001058446
 01/03  01:00:00,741.343742535,522.059080566
 01/03  02:00:00,716.187946462,531.674810186
 01/03  03:00:00,710.801883371,535.783913506
 01/03  04:00:00,725.440243268,536.56280927
 01/03  05:00:00,834.142323717,513.088806261
 01/03  06:00:00,843.7790437739999,926.639040688
 01/03  07:00:00,1071.04951678,627.563362395
 01/03  08:00:00,1190.48169919,601.243709069
 01/03  09:00:00,1224.94164086,602.318279255
 01/03  10:00:00,1274.2036539,579.7777840030001
 01/03  11:00:00,1314.19794109,575.99775779
 01/03  12:00:00,1328.11178452,580.258012551
 01/03  13:00:00,1285.95498265,555.171553729
 01/03  14:00:00,1320.94789521,554.4206181630001
 01/03  15:00:00,1324.56077003,528.221914882
 01/03  16:00:00,1326.71776948,546.343382699
 01/03  17:00:00,1335.19129722,550.277537282
 01/03  18:00:00,1355.73463645,539.0526218719999
 01/03  19:00:00,1077.94308709,507.36692311
 01/03  20:00:00,1060.13126132,493.128037946
 01/03  21:00:00,920.62981904,525.021484015
 01/03  22:00:00,879.5823756369999,517.51341148
 01/03  23:00:00,823.6868017869999,520.257735139
 01/03  24:00:00,832.0504949780001,510.18012948300003
 01/04  01:00:00,822.645551168,505.858165657
 01/04  02:00:00,801.367952922,513.174918984
 01/04  03:00:00,777.274467972,519.752215475
 01/04  04:00:00,756.831139412,526.711571852
 01/04  05:00:00,832.091594736,508.354143696
 01/04  06:00:00,825.611781685,847.589081996
 01/04  07:00:00,1046.75261164,602.958201119
 01/04  08:00:00,1170.46880318,582.58973205
 01/04  09:00:00,1201.51280367,588.224667956
 01/04  10:00:00,1245.84186962,573.339564011
 01/04  11:00:00,1261.26286801,581.67885548
 01/04  12:00:00,1275.03916491,558.659992135
 01/04  13:00:00,1253.74467003,535.782571312
 01/04  14:00:00,1297.72140996,535.39942068
 01/04  15:00:00,1316.99215583,493.328150825
 01/04  16:00:00,1313.97594765,495.45867905
 01/04  17:00:00,1291.96119133,524.413552991
 01/04  18:00:00,1287.08284618,528.884921374
 01/04  19:00:00,1007.44740637,520.869482652
 01/04  20:00:00,985.510807633,492.54041984099996
 01/04  21:00:00,836.7698501010001,555.159426832
 01/04  22:00:00,783.3794029789999,561.57765895
 01/04  23:00:00,703.2723670889999,590.222989987
 01/04  24:00:00,696.7374613689999,593.927369894
 01/05  01:00:00,670.696123273,612.890872114
 01/05  02:00:00,672.7503779040001,609.613125139
 01/05  03:00:00,667.732558544,625.29307695
 01/05  04:00:00,652.537061525,668.764043828
 01/05  05:00:00,733.94515737,659.259760661
 01/05  06:00:00,726.514736015,960.9629490489999
 01/05  07:00:00,947.480174937,715.0299773180001
 01/05  08:00:00,1070.28403097,677.446756422
 01/05  09:00:00,1101.47486171,671.260452515
 01/05  10:00:00,1133.84303831,650.192108536
 01/05  11:00:00,1148.11515406,643.6171616930001
 01/05  12:00:00,1160.73025135,633.620073914
 01/05  13:00:00,1123.12167088,614.758564535
 01/05  14:00:00,1143.92497148,601.414815987
 01/05  15:00:00,1135.32224011,596.962493111
 01/05  16:00:00,1134.82599357,593.801126599
 01/05  17:00:00,1141.15372807,606.393952594
 01/05  18:00:00,1150.97260151,627.6958474969999
 01/05  19:00:00,865.598183212,733.423206583
 01/05  20:00:00,841.9031183980001,766.184666389
 01/05  21:00:00,700.511898882,809.1232037389999
