Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,62.8057665821,0.325198103387
 01/01  02:00:00,58.616664072,0.297122584403
 01/01  03:00:00,68.5488642554,2.08853461257
 01/01  04:00:00,63.467850612700005,0.773979905968
 01/01  05:00:00,72.6478801209,2.4698357019799997
 01/01  06:00:00,64.39676330479999,0.91601549695
 01/01  07:00:00,74.6023846313,2.58733746026
 01/01  08:00:00,66.7041669288,1.12791199378
 01/01  09:00:00,63.8932920296,2.9277685617199998
 01/01  10:00:00,49.6495191565,1.2436873656799998
 01/01  11:00:00,49.4728152369,1.45825464775
 01/01  12:00:00,39.7242189627,1.50247650299
 01/01  13:00:00,39.9977648709,1.35612872217
 01/01  14:00:00,34.5539635656,0.02
 01/01  15:00:00,35.8058566217,1.1030821664100001
 01/01  16:00:00,32.1725254894,0.02
 01/01  17:00:00,33.7422011523,1.10304110382
 01/01  18:00:00,49.438366960399996,0.02
 01/01  19:00:00,55.981097604700004,1.1030464910299997
 01/01  20:00:00,55.5237466507,0.02
 01/01  21:00:00,57.865955257399996,0.02
 01/01  22:00:00,56.97010580600001,1.13132637944
 01/01  23:00:00,59.422906458599996,0.135304513221
 01/01  24:00:00,57.9942233942,1.19826293799
 01/02  01:00:00,63.9046087211,0.24244775202500002
 01/02  02:00:00,61.9695407588,1.22058110662
 01/02  03:00:00,63.6004152771,0.24660739564599998
 01/02  04:00:00,61.59186258770001,1.2034538264
 01/02  05:00:00,63.255716966,0.192910846476
 01/02  06:00:00,63.6156793669,1.17468150907
 01/02  07:00:00,270.842846398,1.13036747764
 01/02  08:00:00,240.898130535,17.1159778762
 01/02  09:00:00,239.1791826,13.9753586831
 01/02  10:00:00,209.132676391,10.3534427014
 01/02  11:00:00,193.065440894,9.58961313723
 01/02  12:00:00,180.17791676299998,13.633440040999998
 01/02  13:00:00,184.782711688,19.0136759729
 01/02  14:00:00,176.678960087,27.4395008151
 01/02  15:00:00,173.864657327,31.4503834882
 01/02  16:00:00,173.34387637700002,36.5428534312
 01/02  17:00:00,174.53302949599998,43.57238240189999
 01/02  18:00:00,195.13538722099997,48.644673007200005
 01/02  19:00:00,174.842595313,57.3967645482
 01/02  20:00:00,169.25699573100002,58.5203869048
 01/02  21:00:00,163.61056395399999,59.3820389542
 01/02  22:00:00,164.456817352,60.0355218486
 01/02  23:00:00,41.6166002114,0.02
 01/02  24:00:00,38.9361841996,1.10303928521
 01/03  01:00:00,47.2929087665,0.312424677664
 01/03  02:00:00,46.596424193199994,1.34992118811
 01/03  03:00:00,49.8599897203,1.05408307604
 01/03  04:00:00,48.080668041,2.10503901142
 01/03  05:00:00,51.4999505475,1.9795476538699999
 01/03  06:00:00,53.0372950182,2.65844280021
 01/03  07:00:00,222.967837027,0.36344999747199996
 01/03  08:00:00,200.534959365,61.2408805749
 01/03  09:00:00,211.67347434400003,52.6081738413
 01/03  10:00:00,182.83338672099998,42.944909875
 01/03  11:00:00,168.858139982,28.0876532877
 01/03  12:00:00,166.20082898,17.5430552536
 01/03  13:00:00,164.90128204,6.0930724954499995
 01/03  14:00:00,149.35203536,3.2766737481800003
 01/03  15:00:00,137.12351042,2.18953678507
 01/03  16:00:00,133.473358313,2.18901973265
 01/03  17:00:00,138.561455599,3.27485155436
 01/03  18:00:00,149.90394382,1.10406738754
 01/03  19:00:00,128.775329806,2.18800311557
 01/03  20:00:00,129.279666112,1.9649186302900001
 01/03  21:00:00,125.40935604100001,6.11938106257
 01/03  22:00:00,128.219661636,10.2828028777
 01/03  23:00:00,41.6166002114,0.02
 01/03  24:00:00,38.9361841996,1.10304250717
 01/04  01:00:00,38.9361841996,0.02
 01/04  02:00:00,38.9361841996,1.1030421539200002
 01/04  03:00:00,38.9361841996,0.02
 01/04  04:00:00,38.9361841996,1.10304082239
 01/04  05:00:00,38.9361841996,0.02
 01/04  06:00:00,41.6166002114,1.10320092425
 01/04  07:00:00,177.278330276,0.08752466194289998
 01/04  08:00:00,169.32129375600002,50.026256715
 01/04  09:00:00,188.933839781,49.0163294079
