Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,13.651370449000002,39.5817217019
 01/01  02:00:00,9.490978944239998,3.0211
 01/01  03:00:00,9.5158820984,3.5931582053400004
 01/01  04:00:00,9.52966631879,3.0211
 01/01  05:00:00,9.68149534748,3.59316413078
 01/01  06:00:00,13.793559513699998,44.9935603445
 01/01  07:00:00,28.2707546117,49.5180570304
 01/01  08:00:00,28.2265750841,54.7377745158
 01/01  09:00:00,20.693047893299997,50.2963064455
 01/01  10:00:00,20.6996098724,49.9006487368
 01/01  11:00:00,25.7003763857,65.4232322511
 01/01  12:00:00,26.8680345716,65.4952841142
 01/01  13:00:00,25.9630149433,53.397741831400005
 01/01  14:00:00,25.780266114299998,47.341544802899996
 01/01  15:00:00,20.7864494375,35.534338468200005
 01/01  16:00:00,20.7720439661,34.1016921865
 01/01  17:00:00,20.6812573834,40.644830612
 01/01  18:00:00,28.197717123,47.615515871999996
 01/01  19:00:00,28.185252115900003,50.6060743872
 01/01  20:00:00,28.325744139,51.679801918
 01/01  21:00:00,23.310078334499998,47.730883946599995
 01/01  22:00:00,23.2420768811,48.2750525538
 01/01  23:00:00,23.1390756694,44.9015526646
 01/01  24:00:00,24.329945561,30.8379995525
 01/02  01:00:00,13.8624871845,35.742944289200004
 01/02  02:00:00,9.52391460082,3.5931921612199997
 01/02  03:00:00,9.555777746110001,3.0211
 01/02  04:00:00,9.57299692217,3.5931463313300003
 01/02  05:00:00,9.72777816077,3.0211
 01/02  06:00:00,13.8379053769,35.2630974566
 01/02  07:00:00,28.311001506100002,38.9769140338
 01/02  08:00:00,28.266168575300004,45.850312126800006
 01/02  09:00:00,20.7348015574,41.1411720758
 01/02  10:00:00,20.7446103863,40.3854104244
 01/02  11:00:00,25.7415272978,55.810561396000004
 01/02  12:00:00,26.8756022401,62.643674695600005
 01/02  13:00:00,25.942098102,59.0956774096
 01/02  14:00:00,25.7255726317,59.163851741
 01/02  15:00:00,20.715329323,53.9028566994
 01/02  16:00:00,20.6891269805,57.318641412
 01/02  17:00:00,20.6052311471,63.2496363392
 01/02  18:00:00,28.141597184600002,68.20970351140001
 01/02  19:00:00,28.144484382399998,71.9571161843
 01/02  20:00:00,28.2870328155,72.81498055649999
 01/02  21:00:00,23.2700144935,69.8790505935
 01/02  22:00:00,23.2041827486,69.75019335420001
 01/02  23:00:00,23.100266036,67.2295391854
 01/02  24:00:00,24.3008196806,53.2197077081
 01/03  01:00:00,13.823241791,58.102229547600004
 01/03  02:00:00,9.47120496657,3.5931797128300005
 01/03  03:00:00,9.49393207183,3.0211
 01/03  04:00:00,9.50803210459,3.59318562421
 01/03  05:00:00,10.1763166483,3.0211
 01/03  06:00:00,14.2883168808,59.6288543416
 01/03  07:00:00,28.4813062057,62.173500667700004
 01/03  08:00:00,28.2061848879,70.1721688199
 01/03  09:00:00,20.675453523599998,62.3412132199
 01/03  10:00:00,20.6868828145,58.4720521045
 01/03  11:00:00,25.6931909977,65.7436514195
 01/03  12:00:00,26.860236786199998,66.9961747068
 01/03  13:00:00,25.9668207971,53.1189950942
 01/03  14:00:00,25.8033877551,41.936542149699996
 01/03  15:00:00,20.8106110447,30.688308077800002
 01/03  16:00:00,20.7868157452,30.3875804723
 01/03  17:00:00,20.695809576,34.930627097
 01/03  18:00:00,27.5816430242,40.5373475898
 01/03  19:00:00,28.2043176905,44.8315532515
 01/03  20:00:00,28.1984028609,47.2543326751
 01/03  21:00:00,23.183376751199997,45.9161379865
 01/03  22:00:00,23.137582009299997,47.1933130747
 01/03  23:00:00,23.1275414117,46.2982245302
 01/03  24:00:00,24.314110169299997,34.283875423299996
 01/04  01:00:00,13.8321267627,40.6581790071
 01/04  02:00:00,9.48526817303,3.5931930139999997
 01/04  03:00:00,9.51115684844,3.0211
 01/04  04:00:00,9.52484070481,3.59316446624
 01/04  05:00:00,9.675537024610001,3.0211
 01/04  06:00:00,13.783172758,50.6660627664
 01/04  07:00:00,28.256651364299998,55.426567408100006
 01/04  08:00:00,28.2107016666,66.6802895349
 01/04  09:00:00,20.6792389818,61.9446095017
 01/04  10:00:00,20.6897069516,59.44351522189999
 01/04  11:00:00,25.6899186923,67.5119681203
 01/04  12:00:00,26.8601674109,65.8060021958
 01/04  13:00:00,25.944760591999998,55.595293786099994
 01/04  14:00:00,25.756456638699998,47.85385688270001
 01/04  15:00:00,20.7656704463,37.9754196847
 01/04  16:00:00,20.7461517902,38.0420706542
 01/04  17:00:00,20.651874607,44.1495433902
 01/04  18:00:00,27.5419773353,49.7087869749
 01/04  19:00:00,28.162376009699997,55.1049807395
 01/04  20:00:00,28.3004639209,57.884016615200004
 01/04  21:00:00,23.2828310827,55.521977664
 01/04  22:00:00,23.2136379868,56.01937495439999
 01/04  23:00:00,23.1092554896,54.871834271400004
 01/04  24:00:00,24.3084257781,40.7295125264
 01/05  01:00:00,13.8275101996,47.49584218020001
 01/05  02:00:00,9.48237290974,3.0211
