Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,21.926529921100002,173.441268965
 01/01  02:00:00,20.4728280946,138.703399331
 01/01  03:00:00,21.847121026900002,160.427539407
 01/01  04:00:00,20.2780246003,127.84712777799999
 01/01  05:00:00,21.7081925144,153.397752574
 01/01  06:00:00,20.2176662309,124.437924616
 01/01  07:00:00,21.7103316978,153.794460824
 01/01  08:00:00,20.3363156427,130.738212067
 01/01  09:00:00,13.0015246967,162.81191382
 01/01  10:00:00,11.4966578764,136.296424705
 01/01  11:00:00,13.022351683,165.842933805
 01/01  12:00:00,11.465873023099999,135.409217623
 01/01  13:00:00,12.8840612631,161.083793767
 01/01  14:00:00,11.3579274271,131.03491674
 01/01  15:00:00,12.803353413,157.631607056
 01/01  16:00:00,11.3491892805,129.934202746
 01/01  17:00:00,12.897140435199999,160.268035356
 01/01  18:00:00,18.9198278581,135.226399335
 01/01  19:00:00,22.0713306429,170.497264701
 01/01  20:00:00,20.6672153905,148.74051754
 01/01  21:00:00,22.4117655802,185.505431987
 01/01  22:00:00,20.8439969589,157.502512229
 01/01  23:00:00,22.5213117163,190.394769756
 01/01  24:00:00,20.9261447603,162.118011712
 01/02  01:00:00,22.842776834200002,206.59933058599998
 01/02  02:00:00,21.393981238,188.28177619
 01/02  03:00:00,23.3194553533,229.106074165
 01/02  04:00:00,21.4673851489,190.874570413
 01/02  05:00:00,23.048575778000004,214.087511101
 01/02  06:00:00,21.1829595333,174.686767493
 01/02  07:00:00,27.1675100443,255.614284896
 01/02  08:00:00,47.6575825458,230.052971195
 01/02  09:00:00,58.2130553692,220.64700040000002
 01/02  10:00:00,70.18710424,214.08037733
 01/02  11:00:00,70.18710424,207.648993703
 01/02  12:00:00,70.18710424,197.11590093799998
 01/02  13:00:00,63.6942799656,187.55602944400002
 01/02  14:00:00,70.18710424,173.492073458
 01/02  15:00:00,70.18710424,166.868068715
 01/02  16:00:00,70.18710424,161.648817014
 01/02  17:00:00,70.18710424,166.41323877600001
 01/02  18:00:00,33.9990021674,167.823648392
 01/02  19:00:00,21.164615458,178.157006845
 01/02  20:00:00,23.0192782765,218.72313643099997
 01/02  21:00:00,21.5775410402,195.213275695
 01/02  22:00:00,23.3290298797,231.46895973099998
 01/02  23:00:00,21.8118183403,206.24127919999998
 01/02  24:00:00,23.520095602199998,240.16840626400003
 01/03  01:00:00,21.932954585900003,211.75545188599997
 01/03  02:00:00,23.6586985353,246.740232696
