Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,75.5546415747,1.77125
 01/01  02:00:00,79.6113720413,10.206633828200001
 01/01  03:00:00,88.4711720113,31.6912799958
 01/01  04:00:00,84.1692237567,25.795753556100003
 01/01  05:00:00,95.33146998870001,42.6305250793
 01/01  06:00:00,98.5197857881,49.6337898961
 01/01  07:00:00,125.633110785,510.778525419
 01/01  08:00:00,134.56107394,475.44756921699997
 01/01  09:00:00,156.459440961,409.99738211199997
 01/01  10:00:00,129.16885923799998,366.06047453599996
 01/01  11:00:00,164.669599517,294.688567207
 01/01  12:00:00,196.79567154400002,236.822349214
 01/01  13:00:00,205.009742039,202.357758373
 01/01  14:00:00,203.173057919,188.238474011
 01/01  15:00:00,200.718044483,172.92401720400002
 01/01  16:00:00,197.87877995,164.256116204
 01/01  17:00:00,196.15981622299998,170.762252145
 01/01  18:00:00,176.296251913,209.415846741
 01/01  19:00:00,185.410364451,246.507978957
 01/01  20:00:00,164.667686011,276.693073608
 01/01  21:00:00,155.736790134,287.260378145
 01/01  22:00:00,141.412712202,251.416669672
 01/01  23:00:00,77.6957432561,2.91559941554
 01/01  24:00:00,113.227598428,1.77125
 01/02  01:00:00,84.6465706229,2.355
 01/02  02:00:00,77.9141437601,2.355
 01/02  03:00:00,86.5806701261,14.743843338800001
 01/02  04:00:00,86.6542605291,14.7018799692
 01/02  05:00:00,93.3424251015,15.1377486
 01/02  06:00:00,97.2375224225,25.6353975898
 01/02  07:00:00,140.354328336,375.128918086
 01/02  08:00:00,149.237275842,350.001806446
 01/02  09:00:00,211.77386363099998,309.288104125
 01/02  10:00:00,237.14385691400003,238.365043145
 01/02  11:00:00,228.952124992,177.72281185
 01/02  12:00:00,262.70369628,136.49220012700002
 01/02  13:00:00,245.172836682,121.68683072799999
 01/02  14:00:00,244.06920951400002,101.932092078
 01/02  15:00:00,241.155606148,89.18106534409999
 01/02  16:00:00,236.478447015,89.723398353
 01/02  17:00:00,233.991734356,104.22025160700001
 01/02  18:00:00,241.02140725599997,128.964536735
 01/02  19:00:00,240.910823047,175.714339085
 01/02  20:00:00,223.840533929,197.514630873
 01/02  21:00:00,198.702533399,211.03884544
 01/02  22:00:00,141.670928352,184.607008125
 01/02  23:00:00,80.2697740723,3.4994977517000003
 01/02  24:00:00,115.610726999,2.355
 01/03  01:00:00,85.14060813399999,2.355
 01/03  02:00:00,78.0388576032,3.4993060138699996
 01/03  03:00:00,77.7760032751,2.355
 01/03  04:00:00,77.55361010899999,2.355
 01/03  05:00:00,113.13641032700001,26.1566695138
 01/03  06:00:00,113.151396076,26.863592749099997
 01/03  07:00:00,156.383806087,404.59428393300004
 01/03  08:00:00,157.88664508600002,387.270467514
 01/03  09:00:00,211.46943278400002,359.06867284699996
 01/03  10:00:00,235.426967168,323.7383648
 01/03  11:00:00,225.659308393,315.41742090900004
 01/03  12:00:00,256.540608241,307.060488192
 01/03  13:00:00,236.273398223,302.14341606
 01/03  14:00:00,233.022522503,294.640043124
 01/03  15:00:00,229.19635518200002,293.28650825200003
 01/03  16:00:00,225.750681483,292.39916209
 01/03  17:00:00,225.751965453,299.133111577
 01/03  18:00:00,235.961748761,312.355282508
 01/03  19:00:00,238.820936554,324.243444504
 01/03  20:00:00,216.098844905,339.164469338
 01/03  21:00:00,191.531794265,351.189188128
 01/03  22:00:00,136.075548672,328.033451355
 01/03  23:00:00,79.1674836786,2.355
 01/03  24:00:00,115.08712106200001,3.4993385069599996
 01/04  01:00:00,96.8570618693,37.767462061799996
 01/04  02:00:00,90.97047600709999,43.6145398776
 01/04  03:00:00,91.28907436540001,38.4640917779
 01/04  04:00:00,96.34944514200001,63.6648341638
 01/04  05:00:00,101.069339936,64.5413970749
 01/04  06:00:00,98.23141098309999,54.8341103893
 01/04  07:00:00,139.557687862,533.639099213
 01/04  08:00:00,148.639213603,484.31197342900003
 01/04  09:00:00,211.34565425099998,443.041825357
 01/04  10:00:00,235.419589315,397.814032583
 01/04  11:00:00,225.647174739,381.99340359400003
 01/04  12:00:00,256.539234874,365.859186545
 01/04  13:00:00,236.31171125400002,360.69749301699994
 01/04  14:00:00,232.960610113,349.437805536
 01/04  15:00:00,229.13294228599997,341.588950737
 01/04  16:00:00,225.71570990400002,335.650966374
 01/04  17:00:00,225.713867788,348.28834454199995
 01/04  18:00:00,235.84669859599998,366.694979089
 01/04  19:00:00,238.68900300200002,410.726382984
 01/04  20:00:00,222.325240089,432.143369497
 01/04  21:00:00,197.371985873,442.094128061
 01/04  22:00:00,140.63670297,431.286730472
 01/04  23:00:00,80.7248022304,10.3743286947
 01/04  24:00:00,130.86918152799998,60.798532037600005
 01/05  01:00:00,96.9894221337,52.6298974828
 01/05  02:00:00,95.6907926009,74.840908149
 01/05  03:00:00,95.2801941891,104.36369756399999
 01/05  04:00:00,92.4658587631,88.1044976868
 01/05  05:00:00,105.503295688,163.997057513
 01/05  06:00:00,104.372737199,154.160879908
 01/05  07:00:00,139.655832568,658.538496842
 01/05  08:00:00,148.383296491,605.770194051
 01/05  09:00:00,211.22883764,553.05088499
 01/05  10:00:00,235.182192058,507.12120401199996
 01/05  11:00:00,225.34414195099998,484.898486321
 01/05  12:00:00,256.376316647,470.005305257
 01/05  13:00:00,236.140899307,455.21058155400004
 01/05  14:00:00,232.618307583,444.87486748199996
 01/05  15:00:00,228.833000285,440.78582917
 01/05  16:00:00,225.41063449799998,433.313050475
 01/05  17:00:00,225.409035754,439.238918929
 01/05  18:00:00,235.571511446,452.80858051900003
 01/05  19:00:00,238.575767211,486.12851496699994
 01/05  20:00:00,222.26399158900003,506.432781041
 01/05  21:00:00,197.25280069599998,508.461911294
 01/05  22:00:00,140.60120642,487.633028816
 01/05  23:00:00,85.63996698449999,31.6395533741
 01/05  24:00:00,129.434113922,63.2531585478
 01/06  01:00:00,101.723893781,109.424168743
 01/06  02:00:00,97.175203306,129.54234844799998
 01/06  03:00:00,94.0087476891,115.929195362
 01/06  04:00:00,98.0694318479,168.05848782799998
 01/06  05:00:00,121.48090828,178.09160366
 01/06  06:00:00,117.158434136,146.703636189
 01/06  07:00:00,155.74462272899999,676.962670772
 01/06  08:00:00,157.472287753,592.922283837
 01/06  09:00:00,211.30501416799999,542.946154483
 01/06  10:00:00,235.208493218,483.50603188800005
 01/06  11:00:00,225.32757215700002,442.897935249
 01/06  12:00:00,256.373133774,406.18404583800003
 01/06  13:00:00,236.156962718,381.989111228
 01/06  14:00:00,232.660419479,364.929962344
 01/06  15:00:00,228.89205750099998,344.983494185
 01/06  16:00:00,225.509571948,332.516128889
 01/06  17:00:00,225.530542193,345.03627343
 01/06  18:00:00,235.69402952,366.29028127099997
 01/06  19:00:00,238.618021577,388.769294805
 01/06  20:00:00,215.78249389,428.297874697
 01/06  21:00:00,191.153318083,453.540005688
 01/06  22:00:00,135.87785396799998,426.837392748
 01/06  23:00:00,78.631965424,2.355
 01/06  24:00:00,128.295706714,43.3624228217
 01/07  01:00:00,99.41428000239999,65.49274839899999
 01/07  02:00:00,88.545549897,54.9021056718
 01/07  03:00:00,93.7935347787,79.8941383234
 01/07  04:00:00,93.11920154110001,77.2179325007
 01/07  05:00:00,96.1126208215,69.0977676471
 01/07  06:00:00,101.55579260299999,102.042860518
 01/07  07:00:00,125.493844536,559.977685079
 01/07  08:00:00,134.306511417,514.457826371
 01/07  09:00:00,183.796123291,459.834193917
 01/07  10:00:00,200.89050980099998,392.033389483
 01/07  11:00:00,225.60324557,354.665084069
 01/07  12:00:00,256.543219119,316.717290382
 01/07  13:00:00,236.47499156400002,287.729150635
 01/07  14:00:00,233.08728003599998,270.280305273
 01/07  15:00:00,229.262014058,265.19844947400003
 01/07  16:00:00,225.860867692,258.67388549599997
 01/07  17:00:00,225.904901658,259.660642521
 01/07  18:00:00,236.12178946,276.150760203
 01/07  19:00:00,225.141847135,301.17863827
 01/07  20:00:00,179.648477092,312.993140902
 01/07  21:00:00,169.39730445,316.81474345
 01/07  22:00:00,126.689451581,292.112323575
 01/07  23:00:00,77.133986777,1.77125
 01/07  24:00:00,112.908876345,2.91565087312
 01/08  01:00:00,86.1232960619,10.2707207958
 01/08  02:00:00,88.9590957892,25.4950100571
 01/08  03:00:00,84.7511988387,21.652987992199996
 01/08  04:00:00,90.4562333756,35.4575213295
 01/08  05:00:00,99.47040282030001,43.2080158385
 01/08  06:00:00,95.05140581879999,36.5227501611
 01/08  07:00:00,125.556686054,530.244464681
 01/08  08:00:00,134.608960816,498.899940698
 01/08  09:00:00,156.459051413,438.132726957
 01/08  10:00:00,128.927016518,384.08468512800005
 01/08  11:00:00,163.842824528,327.86292447700004
 01/08  12:00:00,195.318135802,312.656322483
 01/08  13:00:00,202.683373582,291.49400613
 01/08  14:00:00,200.473982587,285.975817909
 01/08  15:00:00,196.33793342,286.422221653
 01/08  16:00:00,192.629647573,286.292710088
 01/08  17:00:00,192.56366517799998,289.618819306
 01/08  18:00:00,174.21688855,352.452631175
 01/08  19:00:00,183.937644492,383.31703026599996
 01/08  20:00:00,163.826076555,421.356871048
 01/08  21:00:00,155.009250464,433.88402780300004
 01/08  22:00:00,140.800151818,372.762965175
 01/08  23:00:00,76.8362898156,2.91568575768
 01/08  24:00:00,121.51018443299999,22.9258351692
 01/09  01:00:00,92.6288173991,26.9378506154
 01/09  02:00:00,91.4848641647,43.7261412357
 01/09  03:00:00,95.68777301370001,45.1546031237
 01/09  04:00:00,91.19579983969999,34.8620974912
 01/09  05:00:00,103.070209386,55.137806671199996
 01/09  06:00:00,101.89936942700001,50.955079120200004
 01/09  07:00:00,139.963812911,463.244368797
 01/09  08:00:00,149.008407682,418.55848543800005
 01/09  09:00:00,211.571128689,385.673536329
 01/09  10:00:00,235.81658739099998,346.477559736
 01/09  11:00:00,225.97693369700002,311.469596603
 01/09  12:00:00,256.735015288,281.02309382
 01/09  13:00:00,236.873534878,261.789035534
 01/09  14:00:00,234.984863693,245.592267829
 01/09  15:00:00,231.8316059,233.53326034
 01/09  16:00:00,228.76066134200002,227.19758691200002
 01/09  17:00:00,228.901368385,230.696760935
 01/09  18:00:00,238.688426773,248.10074485099997
 01/09  19:00:00,240.017656131,268.39627674900004
 01/09  20:00:00,223.11356504,280.31001762200003
 01/09  21:00:00,198.155226609,287.004112817
 01/09  22:00:00,141.089680042,263.371277885
 01/09  23:00:00,79.9687059046,2.355
 01/09  24:00:00,115.38177795899999,3.49938378563
 01/10  01:00:00,84.4721978988,2.355
 01/10  02:00:00,77.9687488391,2.355
 01/10  03:00:00,91.03677898209999,27.1203359718
 01/10  04:00:00,91.1269814663,25.6198106902
 01/10  05:00:00,109.591661305,24.069973875
 01/10  06:00:00,114.983474514,43.656349668800004
 01/10  07:00:00,156.60811607,452.976394043
 01/10  08:00:00,158.22016780299998,427.128613598
 01/10  09:00:00,211.63331511,389.316046925
 01/10  10:00:00,235.65721338400002,329.7451794
 01/10  11:00:00,226.073064255,292.50326908700004
 01/10  12:00:00,257.564787485,259.905591355
 01/10  13:00:00,239.810128845,241.21895383
 01/10  14:00:00,237.72747903099997,230.52583660599998
 01/10  15:00:00,234.759695086,208.248128564
 01/10  16:00:00,232.884018428,186.724416738
 01/10  17:00:00,233.51356458799998,180.950945825
 01/10  18:00:00,243.161896193,193.910919593
 01/10  19:00:00,244.65067209999998,205.838070921
 01/10  20:00:00,222.62265954400002,212.06832827
 01/10  21:00:00,196.54283355099997,238.957896529
 01/10  22:00:00,139.245542099,214.205588919
 01/10  23:00:00,84.15561451720001,3.4994912199900003
 01/10  24:00:00,119.27847681600001,2.355
 01/11  01:00:00,88.4807549626,2.355
 01/11  02:00:00,81.4685694909,3.4993110585400005
 01/11  03:00:00,80.963308905,2.355
 01/11  04:00:00,80.11122667640001,2.355
 01/11  05:00:00,99.2891923381,21.6799628618
 01/11  06:00:00,99.18227296180001,20.3801216809
 01/11  07:00:00,140.895861467,378.20432748300004
 01/11  08:00:00,149.953041596,351.840141931
 01/11  09:00:00,212.78634720099998,303.570171556
 01/11  10:00:00,238.318067706,258.69366526700003
 01/11  11:00:00,230.922646697,228.557563707
 01/11  12:00:00,262.223463836,202.020264389
 01/11  13:00:00,244.11126481099998,180.048187737
 01/11  14:00:00,243.312856652,157.920847006
 01/11  15:00:00,241.87588226,139.86747722
 01/11  16:00:00,239.255299646,130.190037939
 01/11  17:00:00,238.41210426799998,134.651052106
 01/11  18:00:00,245.503624274,167.553702084
 01/11  19:00:00,245.914885896,194.214345242
 01/11  20:00:00,229.26476995299998,221.40768535200002
 01/11  21:00:00,202.824742306,241.691010384
 01/11  22:00:00,144.493418557,214.06275991799998
 01/11  23:00:00,83.97889564399999,2.355
 01/11  24:00:00,119.218298939,3.49932111083
 01/12  01:00:00,88.0115282884,2.355
 01/12  02:00:00,80.3554937801,2.355
 01/12  03:00:00,79.35240732850001,3.4992450382599998
 01/12  04:00:00,87.192665029,16.5183851462
 01/12  05:00:00,97.7655590544,26.3077304921
 01/12  06:00:00,97.32901239,31.773437393400002
 01/12  07:00:00,140.144814992,413.699028227
 01/12  08:00:00,149.141611614,385.208021187
 01/12  09:00:00,211.63176738,344.344747064
 01/12  10:00:00,236.082105548,280.795736668
 01/12  11:00:00,228.777461406,246.042658621
 01/12  12:00:00,261.36488942,215.82695222900003
 01/12  13:00:00,243.12100771400003,197.704268446
 01/12  14:00:00,240.732617519,187.610773018
 01/12  15:00:00,237.299883294,175.614889135
 01/12  16:00:00,234.721815394,162.175999204
 01/12  17:00:00,235.20522118099998,162.866609948
 01/12  18:00:00,244.617575588,179.436933589
 01/12  19:00:00,244.675564323,213.85531049
 01/12  20:00:00,228.12837776400002,245.50387219
 01/12  21:00:00,201.61953474700002,256.82121095400004
 01/12  22:00:00,143.83348065200002,226.128223877
 01/12  23:00:00,83.6856256531,3.4995084759199995
 01/12  24:00:00,118.96924668,2.355
 01/13  01:00:00,87.5485899564,3.4992776972800006
 01/13  02:00:00,80.0833038742,2.355
 01/13  03:00:00,87.95655850889999,16.6514733804
 01/13  04:00:00,87.840424615,17.8276846428
 01/13  05:00:00,114.36579222399999,30.008596634899998
 01/13  06:00:00,113.701108141,33.5652679871
 01/13  07:00:00,156.721069006,435.721350956
 01/13  08:00:00,158.363163529,397.26168358800004
 01/13  09:00:00,211.778310501,354.457238655
 01/13  10:00:00,235.973517981,297.660476538
 01/13  11:00:00,228.317434196,257.599858675
 01/13  12:00:00,261.019024332,219.738908143
 01/13  13:00:00,242.53613139400002,197.30479611400003
 01/13  14:00:00,240.23447566599998,181.446439503
 01/13  15:00:00,236.860038042,165.886994227
 01/13  16:00:00,233.855121875,156.154539994
 01/13  17:00:00,234.015742743,157.330375937
 01/13  18:00:00,242.89290563400002,192.46198957400003
 01/13  19:00:00,244.53757176,200.413665372
 01/13  20:00:00,222.304817942,203.93630398
 01/13  21:00:00,196.092916745,219.893365666
 01/13  22:00:00,139.07107361799999,191.604009367
 01/13  23:00:00,83.4156767318,2.355
 01/13  24:00:00,118.231614975,3.4993284566800003
 01/14  01:00:00,85.1585999166,1.77125
 01/14  02:00:00,77.7998454102,2.9156656719
 01/14  03:00:00,77.2153955882,1.77125
 01/14  04:00:00,76.6477295013,1.77125
 01/14  05:00:00,87.1224626082,8.8780421008
 01/14  06:00:00,91.35404053370002,12.994852199
 01/14  07:00:00,126.582020627,356.498845697
 01/14  08:00:00,135.708538379,329.089778706
 01/14  09:00:00,185.165281535,301.64386395099996
 01/14  10:00:00,203.721085089,252.041709675
 01/14  11:00:00,230.559172972,206.001353073
 01/14  12:00:00,262.335235497,170.730414574
 01/14  13:00:00,246.397964599,146.233964523
 01/14  14:00:00,244.117386762,135.429718396
 01/14  15:00:00,239.53940446400003,130.342162648
 01/14  16:00:00,235.90356947200002,127.358902163
 01/14  17:00:00,234.567811265,135.487954223
 01/14  18:00:00,242.660731972,171.669850776
 01/14  19:00:00,229.28622858,217.63710861200002
