Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,60.6459666548,147.46470921600002
 01/01  02:00:00,60.722683037399996,147.256082653
 01/01  03:00:00,61.5715528396,207.53035984299999
 01/01  04:00:00,60.9350622766,144.656393516
 01/01  05:00:00,61.7907396328,196.543526951
 01/01  06:00:00,61.1631079987,140.815452142
 01/01  07:00:00,61.8757102733,196.44038875299998
 01/01  08:00:00,53.912721122,117.836350967
 01/01  09:00:00,52.61179943729999,131.341051933
 01/01  10:00:00,51.568082918900004,89.03139367819999
 01/01  11:00:00,52.7571103964,114.27012195299999
 01/01  12:00:00,52.12688255850001,81.664209007
 01/01  13:00:00,52.3905556561,95.80179981469999
 01/01  14:00:00,50.7310446006,74.4840188389
 01/01  15:00:00,51.702371737600004,88.0989162122
 01/01  16:00:00,51.457498319799996,73.8553907909
 01/01  17:00:00,58.039292339700005,90.9001167817
 01/01  18:00:00,59.4495724602,74.32930259140001
 01/01  19:00:00,60.6561626606,93.44401231190001
 01/01  20:00:00,60.1508359061,77.6075516941
 01/01  21:00:00,61.102076010699996,98.25177298870001
 01/01  22:00:00,60.287069403000004,95.5443725975
 01/01  23:00:00,61.2534142952,123.10083154600001
 01/01  24:00:00,60.6328964349,93.6412867994
 01/02  01:00:00,61.206914866800005,125.85956551
 01/02  02:00:00,59.843525953100006,94.4833254248
 01/02  03:00:00,61.2046895546,118.15482744
 01/02  04:00:00,59.8915500715,92.9421929885
 01/02  05:00:00,61.474268288400005,127.76091626700001
 01/02  06:00:00,60.2473406741,100.932435844
 01/02  07:00:00,66.8055454533,859.632042743
 01/02  08:00:00,124.021072797,563.2137035869999
 01/02  09:00:00,166.97731489,402.179648821
 01/02  10:00:00,166.61459683299998,289.967504529
 01/02  11:00:00,170.032682019,215.862682309
 01/02  12:00:00,170.588382352,148.200571356
 01/02  13:00:00,170.338176801,119.343574463
 01/02  14:00:00,166.745456947,108.81033389
 01/02  15:00:00,166.7722981,113.684952293
 01/02  16:00:00,164.446922476,123.960149806
 01/02  17:00:00,169.436082799,137.242687008
 01/02  18:00:00,129.596647377,253.20530287900002
 01/02  19:00:00,129.999387326,236.00729106900002
 01/02  20:00:00,130.23964553,237.384675698
 01/02  21:00:00,130.24664627200002,261.522399287
 01/02  22:00:00,55.4505572926,11.8664425279
 01/02  23:00:00,55.3453793778,6.09674389898
 01/02  24:00:00,56.1434476506,8.31295382305
 01/03  01:00:00,55.3763347422,3.8737572225599997
 01/03  02:00:00,55.3761789037,6.090441278709999
 01/03  03:00:00,56.4810460347,6.59042046928
 01/03  04:00:00,56.4763999914,3.84948350624
 01/03  05:00:00,58.27817000060001,7.34468249595
 01/03  06:00:00,57.7358537813,7.16609516622
 01/03  07:00:00,65.9953041943,436.880417495
 01/03  08:00:00,122.410211046,304.827586317
 01/03  09:00:00,165.832250647,174.954852738
 01/03  10:00:00,165.733649362,115.234492931
 01/03  11:00:00,170.218015955,96.32952586219999
 01/03  12:00:00,172.562518475,64.6537183024
 01/03  13:00:00,173.66326552299998,63.6894067905
 01/03  14:00:00,170.317491241,64.73587712220001
 01/03  15:00:00,170.445349844,55.801895853199994
 01/03  16:00:00,166.18480272600002,49.1686188384
 01/03  17:00:00,169.45903370899998,57.5828730476
 01/03  18:00:00,128.933474401,96.1516955216
 01/03  19:00:00,129.072122216,163.169986594
 01/03  20:00:00,129.289252829,208.01490380200002
 01/03  21:00:00,129.354638387,194.246134914
 01/03  22:00:00,55.3487159037,10.0343483363
 01/03  23:00:00,55.400219667399995,8.96783469078
 01/03  24:00:00,56.1770777654,6.09402638918
 01/04  01:00:00,55.4202326046,3.22568
 01/04  02:00:00,55.4180352299,6.090517813069999
 01/04  03:00:00,55.399737816700004,6.0905386623
 01/04  04:00:00,55.3917011455,3.22568
 01/04  05:00:00,55.6003757995,6.090559369889999
 01/04  06:00:00,55.5810620713,6.09057998632
 01/04  07:00:00,65.8792278119,454.461985591
 01/04  08:00:00,123.089208811,364.625090778
 01/04  09:00:00,166.249097151,208.36280188799998
 01/04  10:00:00,165.769702081,102.29828154299999
 01/04  11:00:00,177.110999876,66.17148016899999
 01/04  12:00:00,184.01464894400002,55.4970147169
 01/04  13:00:00,184.047162875,58.4728885738
 01/04  14:00:00,176.37436443,48.192273544799995
 01/04  15:00:00,173.381868894,45.978488525699994
 01/04  16:00:00,168.349570707,42.3746111134
 01/04  17:00:00,169.54164331,33.4301417255
 01/04  18:00:00,128.914764064,62.414008601400006
 01/04  19:00:00,129.208293319,172.886588598
 01/04  20:00:00,129.643801969,195.298264495
 01/04  21:00:00,129.668223796,195.132633375
 01/04  22:00:00,55.470319328900004,11.8653083353
 01/04  23:00:00,55.3634919578,6.09656162099
 01/04  24:00:00,56.166185393199996,6.09411392744
 01/05  01:00:00,55.3965591717,6.09029618946
 01/05  02:00:00,55.3982171654,6.0904656823000005
 01/05  03:00:00,55.3904801142,3.22568
 01/05  04:00:00,55.3833808309,6.09049017145
 01/05  05:00:00,55.8901569588,6.247635292180001
 01/05  06:00:00,57.0541700105,4.07795188206
 01/05  07:00:00,66.1807025482,515.964465686
 01/05  08:00:00,123.18313238799999,418.508342111
 01/05  09:00:00,166.718163827,280.81841031700003
 01/05  10:00:00,165.932126047,155.028774211
 01/05  11:00:00,170.202978205,102.969368091
 01/05  12:00:00,173.827068645,65.0315333596
 01/05  13:00:00,179.30666291,58.822671373199995
 01/05  14:00:00,178.845478225,48.4072196385
 01/05  15:00:00,179.470727281,42.9030474507
 01/05  16:00:00,173.307645559,39.731003285
 01/05  17:00:00,169.885150347,43.627994460100005
 01/05  18:00:00,129.009983897,113.56837996899999
 01/05  19:00:00,129.46999731399998,215.73567393599998
 01/05  20:00:00,129.906446475,198.781790742
 01/05  21:00:00,129.763158495,187.712309206
 01/05  22:00:00,55.490725625900005,11.8660811814
 01/05  23:00:00,55.394756698900004,8.967662937330001
 01/05  24:00:00,56.2001132376,6.093942767940001
 01/06  01:00:00,55.467328296000005,3.22568
 01/06  02:00:00,55.4626514076,6.0906898934500004
 01/06  03:00:00,55.4425259561,6.090456779480001
 01/06  04:00:00,55.4290292684,3.22568
 01/06  05:00:00,56.4754208697,6.09048479896
 01/06  06:00:00,56.294525369700004,6.09051272522
 01/06  07:00:00,65.9976400372,394.630877237
 01/06  08:00:00,123.05394158,342.199989681
 01/06  09:00:00,166.259051661,205.30264538400002
 01/06  10:00:00,165.905370475,117.32575515399999
 01/06  11:00:00,170.761812212,89.2426890902
 01/06  12:00:00,172.533459112,66.4715668087
 01/06  13:00:00,172.847159954,67.06407517609999
 01/06  14:00:00,170.773580041,64.9244111404
 01/06  15:00:00,170.930640196,56.6828079551
 01/06  16:00:00,166.898232212,70.2204648435
 01/06  17:00:00,169.756838424,109.799472694
 01/06  18:00:00,129.166241383,160.869610245
 01/06  19:00:00,129.147069126,148.929726913
 01/06  20:00:00,129.16545602600002,158.068464661
 01/06  21:00:00,129.20899198799998,167.407875111
 01/06  22:00:00,55.341727211000006,11.866588472
 01/06  23:00:00,55.3804066072,6.097082582350001
 01/06  24:00:00,56.1691391611,6.09418948877
 01/07  01:00:00,55.4009579271,6.088778936130001
 01/07  02:00:00,55.4042823665,3.22568
 01/07  03:00:00,55.3987284231,6.08884901428
 01/07  04:00:00,55.392217746899995,3.22568
 01/07  05:00:00,55.600412848299996,6.08874871985
 01/07  06:00:00,55.580569906499996,3.22568
 01/07  07:00:00,55.589534952200005,3.22568
 01/07  08:00:00,48.3774000872,6.08881914965
 01/07  09:00:00,46.9660099822,3.22568
 01/07  10:00:00,47.0141533432,6.09063351936
 01/07  11:00:00,47.0189851243,6.09066475532
 01/07  12:00:00,47.7252238508,3.22568
 01/07  13:00:00,47.01838089939999,6.09069593113
 01/07  14:00:00,47.0578944242,3.22568
 01/07  15:00:00,47.0698809373,6.08888115587
 01/07  16:00:00,47.047950819099995,3.22568
 01/07  17:00:00,52.6376968183,6.08886681084
 01/07  18:00:00,55.470063647399996,3.22568
 01/07  19:00:00,55.4520290134,6.0888516048
 01/07  20:00:00,55.6597657231,3.22568
 01/07  21:00:00,55.640576711099996,6.08875156286
 01/07  22:00:00,55.5209503926,3.22568
 01/07  23:00:00,56.3858598903,3.6776705371199996
 01/07  24:00:00,57.9478908859,7.384022916980001
 01/08  01:00:00,57.14334114850001,10.3966951799
 01/08  02:00:00,58.8577135742,39.7127551179
 01/08  03:00:00,58.2767638865,33.879881186999995
 01/08  04:00:00,59.271288496800004,52.320844578
 01/08  05:00:00,58.8656467613,43.734891452
 01/08  06:00:00,60.283050777700005,68.35732322359999
 01/08  07:00:00,59.3788089125,62.362752108900004
 01/08  08:00:00,53.1125082355,71.264273547
 01/08  09:00:00,48.817094195299994,23.7747230561
 01/08  10:00:00,48.794059690299996,14.1603540763
 01/08  11:00:00,48.4307281942,7.14651690478
 01/08  12:00:00,47.6746530536,6.09067131226
 01/08  13:00:00,46.9803339177,6.090704730619999
 01/08  14:00:00,47.040104425100004,6.09047751613
 01/08  15:00:00,47.06685838600001,3.22568
 01/08  16:00:00,47.0535063724,3.22568
 01/08  17:00:00,51.2063786883,6.08881397549
 01/08  18:00:00,55.456470206400006,3.22568
 01/08  19:00:00,55.43622986,6.08888767611
 01/08  20:00:00,55.6454911672,3.22568
 01/08  21:00:00,55.6271741573,6.08879061413
 01/08  22:00:00,55.8305288775,3.72377857208
 01/08  23:00:00,57.19966003060001,6.832986183869999
 01/08  24:00:00,58.808998505299996,33.5642745511
 01/09  01:00:00,58.4392637709,38.5969217122
 01/09  02:00:00,58.8936600759,51.8390134398
 01/09  03:00:00,59.0200301959,54.2843260438
 01/09  04:00:00,59.6799500225,75.71565263779999
 01/09  05:00:00,60.1573712683,81.27230891960001
 01/09  06:00:00,60.8622896071,100.15301094799999
 01/09  07:00:00,66.7654941105,830.525510506
 01/09  08:00:00,123.75260738,527.329107089
 01/09  09:00:00,166.876912409,362.731142249
 01/09  10:00:00,166.18480647200002,210.72552479400002
 01/09  11:00:00,169.770450843,137.691795219
 01/09  12:00:00,171.015369889,94.58934155979999
 01/09  13:00:00,171.425178153,72.4969249816
 01/09  14:00:00,170.349283187,61.4072702922
 01/09  15:00:00,170.189843928,58.559324838500004
 01/09  16:00:00,165.306671287,55.674250001000004
 01/09  17:00:00,167.940273292,68.9180523828
 01/09  18:00:00,128.98307611799999,122.627927164
 01/09  19:00:00,129.070213164,156.58830874
 01/09  20:00:00,129.384553768,183.36625454900002
 01/09  21:00:00,129.41947337,186.65136950299998
 01/09  22:00:00,55.49715103810001,8.98673049478
 01/09  23:00:00,55.390248443000004,8.968005640369999
 01/09  24:00:00,56.17330431600001,6.09425426691
 01/10  01:00:00,55.41481281430001,6.09064817664
 01/10  02:00:00,55.412672399799995,3.22568
 01/10  03:00:00,55.4034663887,6.090689670980001
 01/10  04:00:00,55.3923087602,6.090730987640001
 01/10  05:00:00,56.4456883081,3.22568
 01/10  06:00:00,56.271622037700006,6.090509684060001
 01/10  07:00:00,66.2339095378,467.608820111
 01/10  08:00:00,123.111743175,372.703205426
 01/10  09:00:00,166.720660168,272.493351017
 01/10  10:00:00,166.086762415,182.65587690700002
 01/10  11:00:00,170.186315992,143.32713487799998
 01/10  12:00:00,171.765590109,94.5629873907
 01/10  13:00:00,171.875140522,73.0825575408
 01/10  14:00:00,171.089105061,63.4164610006
 01/10  15:00:00,173.50091832299998,50.250064541099995
 01/10  16:00:00,167.353720632,50.5079923729
 01/10  17:00:00,168.187059884,61.0634445249
 01/10  18:00:00,128.95511882899999,95.38084700819999
 01/10  19:00:00,129.246893742,195.12283619099998
 01/10  20:00:00,129.105712729,133.523603637
 01/10  21:00:00,129.03640422799998,126.43132223
 01/10  22:00:00,55.3501188074,11.865962276500001
 01/10  23:00:00,55.3888047112,6.09673221155
 01/10  24:00:00,56.1777810835,6.0942814832500005
 01/11  01:00:00,55.406484695799996,6.090591762509999
 01/11  02:00:00,55.4055070371,6.09063651592
 01/11  03:00:00,55.398373505,3.22568
 01/11  04:00:00,55.391089235900004,6.090681082280001
 01/11  05:00:00,55.598298391099995,6.090725518639999
 01/11  06:00:00,55.5785804789,3.22568
 01/11  07:00:00,65.9123686603,484.16734610199995
 01/11  08:00:00,122.89571621,325.67083179599996
 01/11  09:00:00,166.060102161,203.54247150400002
 01/11  10:00:00,165.801598325,138.01947515
 01/11  11:00:00,170.21065755200001,108.55855975799999
 01/11  12:00:00,171.85418222599998,72.00149776880001
 01/11  13:00:00,171.882505518,68.7841689654
 01/11  14:00:00,168.614343357,69.3635220383
 01/11  15:00:00,168.939683175,60.1799109771
 01/11  16:00:00,166.348565952,59.3429871956
 01/11  17:00:00,168.217207181,78.3087345157
 01/11  18:00:00,129.156886721,172.16453120900002
 01/11  19:00:00,129.773939062,240.278682813
 01/11  20:00:00,130.229591588,226.571122737
 01/11  21:00:00,130.222681177,240.95393977900002
 01/11  22:00:00,55.4599228347,11.8672791923
 01/11  23:00:00,55.3561778024,6.0968791101
 01/11  24:00:00,56.155383033199996,8.96246149895
 01/12  01:00:00,55.386350748699996,3.22568
 01/12  02:00:00,55.3869450029,6.090574523480001
 01/12  03:00:00,55.3799143957,6.090622268150001
 01/12  04:00:00,55.37349805109999,3.22568
 01/12  05:00:00,56.978191433,6.63873724288
 01/12  06:00:00,57.19019801979999,7.039362894400001
 01/12  07:00:00,66.307784446,518.486838085
 01/12  08:00:00,123.20283745299999,417.643517917
 01/12  09:00:00,166.710496718,281.936032752
 01/12  10:00:00,166.086020047,189.547416945
 01/12  11:00:00,169.944622145,162.046218918
 01/12  12:00:00,171.235195672,118.26436016
 01/12  13:00:00,171.128603817,93.63468514690001
 01/12  14:00:00,168.235993826,67.8088101469
 01/12  15:00:00,169.496485487,56.1132995918
 01/12  16:00:00,165.350407206,52.2025844908
 01/12  17:00:00,167.944191626,54.5915383603
 01/12  18:00:00,128.933239799,91.3296831002
 01/12  19:00:00,128.930786141,91.59807046590001
 01/12  20:00:00,129.158648201,101.261110245
 01/12  21:00:00,129.17909098,124.06648770299999
 01/12  22:00:00,55.535762745,8.986623686649999
 01/12  23:00:00,55.4118411474,8.967855984049999
 01/12  24:00:00,56.195060443500005,6.09418223952
 01/13  01:00:00,55.4443054128,6.090569029069999
 01/13  02:00:00,55.4477983402,3.22568
 01/13  03:00:00,55.441120128,6.090619876159999
 01/13  04:00:00,55.432011382,6.09067054819
 01/13  05:00:00,56.484190973900006,3.22568
 01/13  06:00:00,56.31408838229999,6.090721093609999
 01/13  07:00:00,65.146285064,345.418906156
 01/13  08:00:00,122.226118711,264.569249932
 01/13  09:00:00,166.055920309,237.73879772900003
 01/13  10:00:00,166.051659166,213.42996175599998
 01/13  11:00:00,170.04071074,213.373841754
 01/13  12:00:00,170.821345093,202.02580254
 01/13  13:00:00,170.237105979,225.282366083
 01/13  14:00:00,166.658080904,251.74439688599998
 01/13  15:00:00,166.872495049,242.03703744599997
 01/13  16:00:00,164.84210648200002,240.28105110200002
 01/13  17:00:00,169.01327617299998,221.992289041
 01/13  18:00:00,130.055396777,252.783346016
 01/13  19:00:00,130.064200607,275.08709418
 01/13  20:00:00,130.073310129,294.342139727
 01/13  21:00:00,130.079666635,304.069346014
 01/13  22:00:00,55.298183476300004,11.8673379745
 01/13  23:00:00,55.348381286999995,6.0968841652100005
 01/13  24:00:00,56.1444837709,8.96247419541
 01/14  01:00:00,55.3796464975,3.22568
 01/14  02:00:00,55.3788221609,3.22568
 01/14  03:00:00,56.3575200029,6.675551370499999
 01/14  04:00:00,56.480026223900005,4.09028060477
 01/14  05:00:00,57.4345303934,8.79818356628
 01/14  06:00:00,58.575241514,24.6553352598
 01/14  07:00:00,58.135852893199996,16.1115465087
 01/14  08:00:00,50.666839404300006,21.0079888937
 01/14  09:00:00,48.7806824143,10.7318550511
 01/14  10:00:00,48.4185364711,5.75144240724
 01/14  11:00:00,48.035509294300006,7.2963402325699995
 01/14  12:00:00,47.6511172487,6.09065419449
 01/14  13:00:00,46.92206731899999,3.22568
 01/14  14:00:00,46.9715092913,6.08885221095
 01/14  15:00:00,46.99006636,3.22568
 01/14  16:00:00,46.968047382799995,6.0887713779
 01/14  17:00:00,51.1407947366,3.22568
 01/14  18:00:00,55.4249331908,3.22568
 01/14  19:00:00,55.4224696404,6.08886268617
 01/14  20:00:00,55.6331703196,3.22568
