Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,259.902817572,323.560514899
 01/01  02:00:00,255.49504246599997,243.84857433
 01/01  03:00:00,259.905202477,326.592827489
 01/01  04:00:00,255.50558283200002,256.56484333599997
 01/01  05:00:00,272.15562264,359.913138559
 01/01  06:00:00,292.580607815,288.800396981
 01/01  07:00:00,347.45535335,441.528588864
 01/01  08:00:00,358.57096344900003,360.516765313
 01/01  09:00:00,320.614168388,404.192724234
 01/01  10:00:00,277.582747675,253.952192999
 01/01  11:00:00,233.03596965900002,254.407812203
 01/01  12:00:00,228.61243998,160.577203644
 01/01  13:00:00,232.972047426,180.18290368400002
 01/01  14:00:00,228.583586742,128.54531481799998
 01/01  15:00:00,232.931352936,133.915381007
 01/01  16:00:00,228.554365627,93.523327993
 01/01  17:00:00,281.83113053200003,149.014091028
 01/01  18:00:00,365.42449153300004,157.09060160200002
 01/01  19:00:00,369.834131484,239.207722445
 01/01  20:00:00,341.017577116,203.218302757
 01/01  21:00:00,345.42599482599996,284.164712865
 01/01  22:00:00,316.59304548,228.345911564
 01/01  23:00:00,296.55719232900003,309.056935337
 01/01  24:00:00,267.720962142,248.41625983400002
 01/02  01:00:00,309.738049383,316.154447732
 01/02  02:00:00,305.337889197,245.094226044
 01/02  03:00:00,309.764228909,348.04383971699997
 01/02  04:00:00,305.35926107299997,268.644107718
 01/02  05:00:00,322.008112594,368.084092138
 01/02  06:00:00,366.95260273,273.58933087099996
 01/02  07:00:00,431.974629811,3260.7959232
 01/02  08:00:00,546.647079947,2718.77649469
 01/02  09:00:00,1051.04179355,1746.03607867
 01/02  10:00:00,1014.04542687,1495.97800564
 01/02  11:00:00,964.855639185,1267.93191136
 01/02  12:00:00,964.443356315,965.3555468489999
 01/02  13:00:00,914.513809553,943.6153593989999
 01/02  14:00:00,964.1427891019999,779.456253974
 01/02  15:00:00,963.923106878,587.476522446
 01/02  16:00:00,963.875653725,550.712804855
 01/02  17:00:00,1012.80512074,593.5405536869999
 01/02  18:00:00,951.3448849560001,728.9907284880001
 01/02  19:00:00,752.132782949,888.371191865
 01/02  20:00:00,727.724752717,933.0892138610001
 01/02  21:00:00,578.3277271569999,1063.9322492000001
 01/02  22:00:00,553.961927103,1141.99382514
 01/02  23:00:00,349.35693806800003,2.1906171014400004
 01/02  24:00:00,299.992178954,4.3610928933399995
 01/03  01:00:00,287.769982391,2.19048284752
 01/03  02:00:00,287.769982376,2.1905627920299997
 01/03  03:00:00,288.96883781599996,7.6164583410699995
 01/03  04:00:00,289.770493279,15.8410523659
 01/03  05:00:00,301.593843081,12.645977518499999
 01/03  06:00:00,351.36353337199995,20.4783348354
 01/03  07:00:00,429.354540783,1498.70132127
 01/03  08:00:00,545.809204431,2107.59262117
 01/03  09:00:00,1050.50983875,1211.41884454
 01/03  10:00:00,1013.14580693,670.258615185
 01/03  11:00:00,963.8307154969999,354.767677097
 01/03  12:00:00,965.204491969,195.14561206099998
 01/03  13:00:00,917.1498199160001,189.193533639
 01/03  14:00:00,968.48950634,155.491680154
 01/03  15:00:00,968.1058217919999,117.043769321
 01/03  16:00:00,966.5142598269999,85.03878436640001
 01/03  17:00:00,1013.00884976,94.979735845
 01/03  18:00:00,950.776456415,160.089594348
 01/03  19:00:00,751.4794981680001,228.45544516900003
 01/03  20:00:00,727.072643547,271.359272871
 01/03  21:00:00,577.743423316,479.173061749
 01/03  22:00:00,553.503229773,698.169593279
 01/03  23:00:00,349.356939756,4.36119072931
 01/03  24:00:00,299.992180435,2.19053069353
 01/04  01:00:00,287.769983951,2.19061607116
 01/04  02:00:00,287.76998407900004,2.19069921951
 01/04  03:00:00,287.769984352,4.36090928509
 01/04  04:00:00,287.76998414900004,2.19057995836
 01/04  05:00:00,299.99218175,2.1906633701800002
 01/04  06:00:00,349.358449769,4.36721360515
 01/04  07:00:00,428.530035142,794.6129589880001
 01/04  08:00:00,543.9491640269999,654.959956478
 01/04  09:00:00,1049.17898962,341.049004478
 01/04  10:00:00,1012.36145399,176.86490774400002
 01/04  11:00:00,964.070298241,134.903337194
 01/04  12:00:00,964.66021098,137.104527846
 01/04  13:00:00,914.8797431630001,159.397941953
 01/04  14:00:00,963.560696432,134.266477401
 01/04  15:00:00,964.0165694660001,120.985287335
 01/04  16:00:00,964.101683712,97.623961791
 01/04  17:00:00,1012.33754885,108.29644030700001
 01/04  18:00:00,950.751966757,169.094538193
 01/04  19:00:00,751.4262325110001,215.336378588
 01/04  20:00:00,726.994854133,234.09118372900002
 01/04  21:00:00,577.524126565,297.015971227
 01/04  22:00:00,553.0906662259999,313.873202433
 01/04  23:00:00,349.35694115300004,2.1906300102
 01/04  24:00:00,299.992181866,2.19071346741
 01/05  01:00:00,287.769985718,2.19043118169
 01/05  02:00:00,287.769985878,4.36112259751
 01/05  03:00:00,287.769985675,2.19069127227
 01/05  04:00:00,287.76998554700003,2.19040758896
 01/05  05:00:00,299.99218347,2.19049462305
 01/05  06:00:00,351.357970388,17.146027336
 01/05  07:00:00,428.64994573300004,1008.65053777
 01/05  08:00:00,545.0594923790001,1693.05197855
 01/05  09:00:00,1049.89135318,847.117882958
 01/05  10:00:00,1012.69970905,406.010799865
 01/05  11:00:00,963.5850813589999,232.662142832
 01/05  12:00:00,963.507042027,174.859437372
 01/05  13:00:00,913.694086941,203.46303414599998
 01/05  14:00:00,963.466856962,149.021412513
 01/05  15:00:00,963.436072464,118.443691678
 01/05  16:00:00,963.4331275630001,120.209422049
 01/05  17:00:00,1012.3283013,127.32691361200001
 01/05  18:00:00,950.790261258,185.69772708
 01/05  19:00:00,751.517263387,283.335926686
 01/05  20:00:00,727.1861359569999,407.12218576199996
 01/05  21:00:00,577.810150811,564.338391818
 01/05  22:00:00,553.4769133269999,673.9307159580001
 01/05  23:00:00,349.356942422,2.19072593059
 01/05  24:00:00,299.992183494,4.36121616355
 01/06  01:00:00,287.769987045,2.19074379158
 01/06  02:00:00,287.769986902,2.19046263581
 01/06  03:00:00,287.76998712799997,2.19055272057
 01/06  04:00:00,289.369089773,12.465329372000001
 01/06  05:00:00,301.992943192,14.2754224798
 01/06  06:00:00,350.961480727,16.5497589763
 01/06  07:00:00,428.63622685,874.709928318
 01/06  08:00:00,544.468364415,1091.6527483
 01/06  09:00:00,1049.72349644,778.369135872
 01/06  10:00:00,1012.97384639,671.609522543
 01/06  11:00:00,964.019901393,601.260230085
 01/06  12:00:00,963.928393012,515.535835045
 01/06  13:00:00,914.037326558,475.95891124900004
 01/06  14:00:00,963.773670435,391.41206629199996
 01/06  15:00:00,963.684390472,320.07027482
 01/06  16:00:00,963.5909954130001,244.362880217
 01/06  17:00:00,1012.48432674,250.994474576
 01/06  18:00:00,951.194342822,516.808310396
 01/06  19:00:00,752.339976455,909.158990893
 01/06  20:00:00,728.2289461969999,1053.76234994
 01/06  21:00:00,578.701288781,952.178143165
 01/06  22:00:00,554.041703138,798.3347470289999
 01/06  23:00:00,349.35694390300006,2.19065109814
 01/06  24:00:00,299.992184982,2.19055470535
 01/07  01:00:00,238.728888461,7.038736887060001
 01/07  02:00:00,239.52904989599998,7.916461218180001
 01/07  03:00:00,239.932525828,11.7585586814
 01/07  04:00:00,239.534107921,11.3931447326
 01/07  05:00:00,252.163889421,20.255184114000002
 01/07  06:00:00,276.208538201,17.9787267099
 01/07  07:00:00,428.82501619199996,738.0181352410001
 01/07  08:00:00,445.22345328800003,1183.45845669
 01/07  09:00:00,651.1733805709999,763.830325144
 01/07  10:00:00,613.871084197,304.18017956299997
 01/07  11:00:00,565.0007348180001,193.612825517
 01/07  12:00:00,574.110141324,183.685968828
 01/07  13:00:00,669.9352676,165.701815663
 01/07  14:00:00,896.44394364,148.37192309
 01/07  15:00:00,702.612223902,173.751469229
 01/07  16:00:00,708.0170528960001,166.34738737700002
 01/07  17:00:00,721.157782528,188.68227667099998
 01/07  18:00:00,461.570498115,332.70161473
 01/07  19:00:00,347.93004939599996,4.36542286905
 01/07  20:00:00,323.485653508,2.19246512724
 01/07  21:00:00,323.48565359400004,4.36520108103
 01/07  22:00:00,299.042265819,4.36871660802
 01/07  23:00:00,274.595855122,4.36107450634
 01/07  24:00:00,250.151459324,2.19067730628
 01/08  01:00:00,237.928758839,2.18954874316
 01/08  02:00:00,237.92875883099998,2.18961290233
 01/08  03:00:00,237.928758847,2.18967708045
 01/08  04:00:00,238.727447676,5.43658664966
 01/08  05:00:00,251.748827062,9.209349057999999
 01/08  06:00:00,276.59610654,15.168354351
 01/08  07:00:00,325.084791617,12.1728448172
 01/08  08:00:00,341.388424296,17.5960671853
 01/08  09:00:00,298.266203916,11.1421018057
 01/08  10:00:00,261.994667983,8.21067599395
 01/08  11:00:00,211.699217252,2.9710250953500004
 01/08  12:00:00,402.67688528400004,2.1918102159
 01/08  13:00:00,488.782133653,4.3636001778199995
 01/08  14:00:00,561.2976347719999,4.369646078500001
 01/08  15:00:00,530.6295739359999,4.36350297602
 01/08  16:00:00,570.916986784,2.1897171281
 01/08  17:00:00,506.96282438300005,2.18962941437
 01/08  18:00:00,339.38487245,2.18969398995
 01/08  19:00:00,347.92853908300003,2.1896057677400003
 01/08  20:00:00,323.484143485,2.1896703777
 01/08  21:00:00,323.484143513,2.18973488177
 01/08  22:00:00,301.036288613,10.7158510768
 01/08  23:00:00,276.19288381,8.88111053474
 01/08  24:00:00,252.150782545,13.665791878
 01/09  01:00:00,289.36992529099996,11.4554263418
 01/09  02:00:00,289.77271857,16.779479303
 01/09  03:00:00,289.374240915,16.0759993022
 01/09  04:00:00,289.776365059,22.857394212600003
 01/09  05:00:00,301.595965422,15.580552971
 01/09  06:00:00,351.36570549,23.8116759155
 01/09  07:00:00,428.766500574,1034.31565829
 01/09  08:00:00,544.1702955559999,866.646712012
 01/09  09:00:00,1049.32645249,484.568186621
 01/09  10:00:00,1012.45311563,270.485050113
 01/09  11:00:00,964.191253912,228.55226325400002
 01/09  12:00:00,966.9175068589999,221.11581639099998
 01/09  13:00:00,918.9916421610001,230.109271601
 01/09  14:00:00,969.999024233,192.083924217
 01/09  15:00:00,969.25985736,145.351334231
 01/09  16:00:00,967.3478475080001,115.081619601
 01/09  17:00:00,1013.36331904,154.701513589
 01/09  18:00:00,942.338943563,316.94111429099996
 01/09  19:00:00,751.619767368,429.48057476099996
 01/09  20:00:00,727.197856294,451.279321205
 01/09  21:00:00,577.777687039,558.290153918
 01/09  22:00:00,553.415921454,637.756378145
 01/09  23:00:00,349.356948471,2.19056751685
 01/09  24:00:00,299.992189069,2.19066704572
 01/10  01:00:00,287.769992767,2.19077038122
 01/10  02:00:00,287.769992991,4.36110043379
 01/10  03:00:00,289.368312516,9.81683382722
 01/10  04:00:00,289.770676853,14.7385551173
 01/10  05:00:00,301.5962869,16.0725209907
 01/10  06:00:00,351.365666766,23.9811108547
 01/10  07:00:00,428.78567400199995,1043.28405453
 01/10  08:00:00,545.722039531,1959.55441752
 01/10  09:00:00,1050.7652546,1158.81174803
 01/10  10:00:00,1013.60355554,773.157897268
 01/10  11:00:00,964.4509042939999,608.652882237
 01/10  12:00:00,965.16391816,483.34374343400003
 01/10  13:00:00,916.8522895269999,358.46517531300003
 01/10  14:00:00,967.803579897,245.152259185
 01/10  15:00:00,967.815129952,186.353615325
 01/10  16:00:00,966.338000115,191.84459726900002
 01/10  17:00:00,1013.16427581,321.25763209
 01/10  18:00:00,942.707951035,494.710582928
 01/10  19:00:00,752.262095814,758.6069035260001
 01/10  20:00:00,728.43148575,1075.14585869
 01/10  21:00:00,579.898499291,1350.25233291
 01/10  22:00:00,556.447012758,1353.60087517
 01/10  23:00:00,349.356949606,2.1907879479099996
 01/10  24:00:00,301.19292080099996,6.72923333737
