Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,16.312710826500002,16.942730973
 01/01  02:00:00,15.8746402099,20.5920833693
 01/01  03:00:00,15.6538586635,21.8834361602
 01/01  04:00:00,15.5627300957,23.3196599135
 01/01  05:00:00,17.7031437829,25.693404409099998
 01/01  06:00:00,22.2664375634,31.1797547346
 01/01  07:00:00,27.5313281711,43.5224457224
 01/01  08:00:00,30.252204916900002,44.5630850363
 01/01  09:00:00,23.684758621300002,46.3756224745
 01/01  10:00:00,19.8068284159,38.605531167399995
 01/01  11:00:00,16.8980892796,30.5656473859
 01/01  12:00:00,17.2077918004,22.0478868089
 01/01  13:00:00,17.5079915877,16.8038201627
 01/01  14:00:00,17.4843240176,13.711191703199999
 01/01  15:00:00,17.567109995,10.8801363295
 01/01  16:00:00,18.8477758418,11.2775569981
 01/01  17:00:00,26.033263823000002,12.4543245891
 01/01  18:00:00,36.4068278813,16.0054104855
 01/01  19:00:00,40.2340183738,18.9075011859
 01/01  20:00:00,38.952900794899996,19.5659000784
 01/01  21:00:00,38.2832588188,19.5964385372
 01/01  22:00:00,32.754011592800005,18.2699502252
 01/01  23:00:00,25.8167352667,18.9410308828
 01/01  24:00:00,19.956848688900003,17.3700471087
 01/02  01:00:00,16.311190770699998,16.8668710417
 01/02  02:00:00,15.821431117000001,19.0113647221
 01/02  03:00:00,15.6636213957,22.2167923565
 01/02  04:00:00,15.61845001,25.085577097399998
 01/02  05:00:00,17.7153130733,26.0983609914
 01/02  06:00:00,22.2573066005,30.939000943099998
 01/02  07:00:00,27.5443519909,44.013945039300005
 01/02  08:00:00,30.4994704275,46.3472103417
 01/02  09:00:00,25.4764355218,48.311367258100006
 01/02  10:00:00,21.639490918200003,41.9745176256
 01/02  11:00:00,18.602000145999998,36.6841983864
 01/02  12:00:00,18.6309287496,29.871236181300002
 01/02  13:00:00,18.288487521900002,25.2312439536
 01/02  14:00:00,18.0318547374,19.8985678732
 01/02  15:00:00,17.811299989800002,15.964817528800001
 01/02  16:00:00,19.0921941098,15.8855478686
 01/02  17:00:00,26.493493477199998,17.574880959
 01/02  18:00:00,35.7404441598,20.906196068099998
 01/02  19:00:00,39.6051224176,23.6521496476
 01/02  20:00:00,38.6414151967,24.196752257199996
 01/02  21:00:00,38.225743121,24.873400322600002
 01/02  22:00:00,32.7919963672,24.097797136999997
 01/02  23:00:00,25.8847840816,25.271290027800003
 01/02  24:00:00,20.126826531,24.4811188168
 01/03  01:00:00,16.5663154581,23.9878945816
 01/03  02:00:00,16.0495736872,25.048621189699997
 01/03  03:00:00,15.8345287198,26.638995074
 01/03  04:00:00,15.731917958499999,27.7652182685
 01/03  05:00:00,17.9052435427,31.2773191416
 01/03  06:00:00,22.544102155500003,39.3438875424
 01/03  07:00:00,27.839157583000002,52.76980234
 01/03  08:00:00,30.7569106742,53.9734835033
 01/03  09:00:00,25.8140944472,58.6157951729
 01/03  10:00:00,22.209085855900003,59.0106118606
 01/03  11:00:00,19.3591704161,59.3479324853
 01/03  12:00:00,19.5569233597,57.7404146141
 01/03  13:00:00,19.250043862400002,56.274209960600004
 01/03  14:00:00,18.9796556844,54.9441904354
 01/03  15:00:00,18.8112873364,52.965673197200005
 01/03  16:00:00,20.1459678728,53.367295568500005
 01/03  17:00:00,27.5428920921,53.65411983520001
 01/03  18:00:00,36.7313740402,55.6355688371
 01/03  19:00:00,40.5445458646,57.4140345671
 01/03  20:00:00,39.6314926719,58.38290144850001
 01/03  21:00:00,39.2353144862,58.19036382189999
 01/03  22:00:00,33.8324444203,56.9686403635
 01/03  23:00:00,27.0415395475,59.5773322597
 01/03  24:00:00,21.3173075072,59.7963290067
 01/04  01:00:00,17.7959134877,61.047372312600004
 01/04  02:00:00,17.2892552929,62.7352577854
 01/04  03:00:00,17.047371828499998,63.6391461383
 01/04  04:00:00,16.949874549,65.0683735706
 01/04  05:00:00,19.0528413352,66.4977530832
 01/04  06:00:00,23.5092121421,68.5335903916
 01/04  07:00:00,28.6857630971,78.0412613099
 01/04  08:00:00,31.6035364722,79.2359587239
 01/04  09:00:00,26.6259686446,84.310862514
 01/04  10:00:00,22.8142670434,78.00573783520001
 01/04  11:00:00,19.8421046518,74.1578852727
 01/04  12:00:00,19.8858721024,67.2560880378
