Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,141.19976504299999,256.706376219
 01/01  02:00:00,137.576021599,208.849012376
 01/01  03:00:00,117.95529895,202.488387077
 01/01  04:00:00,116.241997411,195.63587268
 01/01  05:00:00,122.648792828,237.58654967099997
 01/01  06:00:00,135.009353057,279.559546866
 01/01  07:00:00,210.951534267,371.90494376199996
 01/01  08:00:00,284.896595739,1051.74425169
 01/01  09:00:00,331.36427082,1277.60019887
 01/01  10:00:00,267.63736207799997,1071.85316147
 01/01  11:00:00,216.727493965,915.337528563
 01/01  12:00:00,217.35690408,812.219362076
 01/01  13:00:00,216.369889118,700.134203898
 01/01  14:00:00,199.19492046099998,680.5319732190001
 01/01  15:00:00,195.972778026,676.4687103780001
 01/01  16:00:00,189.870336461,713.1389052310001
 01/01  17:00:00,208.55726764,713.461696196
 01/01  18:00:00,243.609546393,765.774561187
 01/01  19:00:00,313.635332842,828.7337321289999
 01/01  20:00:00,329.914783909,884.7164448039999
 01/01  21:00:00,358.585490091,875.756919534
 01/01  22:00:00,330.983317937,868.633026713
 01/01  23:00:00,275.50972273599996,1018.57971155
 01/01  24:00:00,187.955628773,844.934291238
 01/02  01:00:00,129.01568056600001,264.500379173
 01/02  02:00:00,117.990880905,204.80770968
 01/02  03:00:00,108.686942255,204.075758791
 01/02  04:00:00,107.50074496,194.53777003099998
 01/02  05:00:00,114.451469303,237.71513993599999
 01/02  06:00:00,146.12739138799998,345.882638079
 01/02  07:00:00,266.333936014,538.546071919
 01/02  08:00:00,353.911062191,1132.49330796
 01/02  09:00:00,274.00338247900004,1033.09954881
 01/02  10:00:00,246.029171307,888.125840311
 01/02  11:00:00,198.831568134,790.540673302
 01/02  12:00:00,202.46899730099997,667.166004913
 01/02  13:00:00,200.844075903,634.102533917
 01/02  14:00:00,195.83807378900002,605.579512926
 01/02  15:00:00,194.148666578,583.410399644
 01/02  16:00:00,183.810353175,590.0044839999999
 01/02  17:00:00,205.209199592,564.900775674
 01/02  18:00:00,259.781504632,653.375585872
 01/02  19:00:00,332.045163362,895.03080292
 01/02  20:00:00,338.219113999,781.077379935
 01/02  21:00:00,369.78730939400003,782.897631273
 01/02  22:00:00,358.964335064,926.254859213
 01/02  23:00:00,272.41312054900004,831.403652022
 01/02  24:00:00,180.27054628,704.510682087
 01/03  01:00:00,127.78076799899999,256.107983642
 01/03  02:00:00,116.96066650600001,200.343941492
 01/03  03:00:00,107.34829752799999,199.42560154400002
 01/03  04:00:00,105.945893036,190.945001441
 01/03  05:00:00,113.23679325799999,235.396467368
 01/03  06:00:00,144.605430722,345.05490786400003
 01/03  07:00:00,265.636640562,539.417529907
 01/03  08:00:00,353.052912756,1145.18453698
 01/03  09:00:00,274.211228919,1056.08592397
 01/03  10:00:00,247.31112647,923.833239867
 01/03  11:00:00,202.110162391,835.861850075
 01/03  12:00:00,210.691496003,724.836220639
 01/03  13:00:00,217.51619912400002,692.478633049
 01/03  14:00:00,213.042368189,668.982616469
 01/03  15:00:00,213.04726517400002,648.218200605
 01/03  16:00:00,208.23054654900002,653.816734859
 01/03  17:00:00,222.27179022400003,628.447380133
 01/03  18:00:00,263.893087784,717.940111875
 01/03  19:00:00,333.17803590299997,945.096004677
 01/03  20:00:00,337.399279159,841.358185372
 01/03  21:00:00,368.294728337,842.447231935
 01/03  22:00:00,357.011655342,999.997766436
 01/03  23:00:00,270.228395307,911.636470073
 01/03  24:00:00,177.84632278,782.0355987510001
 01/04  01:00:00,127.65716629799999,258.43069127900003
 01/04  02:00:00,116.798084359,212.265845715
 01/04  03:00:00,106.967700748,200.31287110099998
 01/04  04:00:00,105.368467084,205.124008023
 01/04  05:00:00,111.727728675,243.49789165
 01/04  06:00:00,142.878889095,353.536997083
 01/04  07:00:00,255.954917078,554.9478506219999
 01/04  08:00:00,342.826133523,1250.8611272
 01/04  09:00:00,263.80476621099996,1160.68857744
 01/04  10:00:00,234.03506089299998,1016.12209368
 01/04  11:00:00,192.136985528,924.841605186
 01/04  12:00:00,198.63355698799998,814.114891992
 01/04  13:00:00,205.79748247,758.6591597460001
 01/04  14:00:00,193.47288201,715.968374715
 01/04  15:00:00,200.257589905,686.039419984
 01/04  16:00:00,199.37756071200002,678.2569020669999
 01/04  17:00:00,216.369162198,639.73892712
 01/04  18:00:00,256.169118269,763.0295838139999
 01/04  19:00:00,323.104972498,1018.56125802
 01/04  20:00:00,329.829845168,882.308471104
 01/04  21:00:00,362.663165373,861.930335108
 01/04  22:00:00,353.194997142,982.9788482910001
 01/04  23:00:00,267.825646166,863.490356536
 01/04  24:00:00,177.563561179,711.761143505
 01/05  01:00:00,129.367580453,256.61540304700003
 01/05  02:00:00,119.282535486,200.001530882
 01/05  03:00:00,110.230506971,191.305164404
 01/05  04:00:00,109.48834632799999,190.110297251
 01/05  05:00:00,116.711067004,219.746103122
 01/05  06:00:00,148.58445929799998,338.737918121
 01/05  07:00:00,273.122634565,525.33062011
 01/05  08:00:00,359.96858743900003,963.717199535
 01/05  09:00:00,275.922675622,889.5351232930001
 01/05  10:00:00,238.383198833,787.374276826
 01/05  11:00:00,177.789291799,733.8829280069999
 01/05  12:00:00,177.443139563,641.176381821
 01/05  13:00:00,179.788908445,637.921558493
 01/05  14:00:00,171.988277213,613.605559778
 01/05  15:00:00,172.625013413,598.654911809
 01/05  16:00:00,171.988247076,600.853169804
 01/05  17:00:00,198.648672602,557.64861555
 01/05  18:00:00,256.351088293,612.458247971
 01/05  19:00:00,329.676417049,836.85611676
 01/05  20:00:00,336.21003177,716.333919597
 01/05  21:00:00,368.10348756199994,713.305010476
 01/05  22:00:00,357.902593765,852.554610151
 01/05  23:00:00,272.187911296,755.61066192
 01/05  24:00:00,181.258904041,616.659226259
 01/06  01:00:00,128.326087967,239.36283895
 01/06  02:00:00,114.91063967,195.50705331400002
 01/06  03:00:00,105.311118838,189.77809378599997
 01/06  04:00:00,104.19627893299999,180.997082291
 01/06  05:00:00,111.649794049,224.929601367
 01/06  06:00:00,143.821507175,334.510069562
 01/06  07:00:00,269.95095737,533.76451957
 01/06  08:00:00,356.17151648199996,1027.44105796
 01/06  09:00:00,272.096740401,952.312482385
