Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,15.8303246979,20.8002697397
 01/02  02:00:00,16.138868283,29.5775802928
 01/02  03:00:00,16.419805264,37.7487124058
 01/02  04:00:00,16.4806736932,39.4190416201
 01/02  05:00:00,16.7185641621,46.3937117378
 01/02  06:00:00,16.7200693821,46.331239493599995
 01/02  07:00:00,23.6301409925,323.119504368
 01/02  08:00:00,30.9007909673,293.645598116
 01/02  09:00:00,33.0582540049,256.84089316
 01/02  10:00:00,49.450530897700006,211.554127911
 01/02  11:00:00,49.450530897700006,179.34362621
 01/02  12:00:00,49.450530897700006,143.568980832
 01/02  13:00:00,49.450530897700006,123.45069881399999
 01/02  14:00:00,49.450530897700006,107.56745091200001
 01/02  15:00:00,49.450530897700006,97.8845435774
 01/02  16:00:00,49.450530897700006,93.7698554737
 01/02  17:00:00,49.450530897700006,106.982559531
 01/02  18:00:00,59.02136423100001,133.921566888
 01/02  19:00:00,49.090741684099996,154.269712365
 01/02  20:00:00,49.090741684099996,168.920459514
 01/02  21:00:00,44.5432540049,178.217772823
 01/02  22:00:00,22.3776491824,0.0
 01/02  23:00:00,15.1731168819,1.9032135509099999
 01/02  24:00:00,15.356476510799999,7.17594895185
 01/03  01:00:00,15.7349396259,18.0687796705
 01/03  02:00:00,16.0880087116,28.1201219185
 01/03  03:00:00,16.2619307423,33.1808719089
 01/03  04:00:00,16.481683644,39.4462827177
 01/03  05:00:00,16.598796042300002,42.923093459
 01/03  06:00:00,16.7704298539,47.7824624276
 01/03  07:00:00,23.6301409925,323.485832143
 01/03  08:00:00,30.9007909673,298.447200631
 01/03  09:00:00,33.0582540049,265.967966093
 01/03  10:00:00,49.450530897700006,225.546710198
 01/03  11:00:00,49.450530897700006,199.622758704
 01/03  12:00:00,49.450530897700006,170.138609688
 01/03  13:00:00,49.450530897700006,150.304525859
 01/03  14:00:00,49.450530897700006,137.12338313200001
 01/03  15:00:00,49.450530897700006,130.788327675
 01/03  16:00:00,49.450530897700006,125.98419354299999
 01/03  17:00:00,49.450530897700006,135.372192215
 01/03  18:00:00,59.02136423100001,153.530215028
 01/03  19:00:00,49.090741684099996,173.35838849200002
 01/03  20:00:00,49.090741684099996,192.95992037599999
 01/03  21:00:00,44.5432540049,204.765946272
 01/03  22:00:00,22.394728547800003,0.491123415625
 01/03  23:00:00,15.331704348699999,6.4569073817
 01/03  24:00:00,15.9019960155,22.864437150700002
 01/04  01:00:00,16.2862010339,33.7822219625
 01/04  02:00:00,16.5982135655,42.8914647643
 01/04  03:00:00,16.8203314802,49.1832928754
 01/04  04:00:00,17.0387769908,55.674497967700006
 01/04  05:00:00,17.204030994700002,60.3058451587
 01/04  06:00:00,17.3607239508,65.0404992967
 01/04  07:00:00,23.6301409925,325.81620722599996
 01/04  08:00:00,30.9007909673,325.81620722599996
 01/04  09:00:00,33.0582540049,314.073602308
 01/04  10:00:00,49.450530897700006,265.237103463
 01/04  11:00:00,49.450530897700006,237.816099702
 01/04  12:00:00,49.450530897700006,211.264444149
 01/04  13:00:00,49.450530897700006,180.53904207
 01/04  14:00:00,49.450530897700006,159.760152806
 01/04  15:00:00,49.450530897700006,147.18382353799998
 01/04  16:00:00,49.450530897700006,136.73872826
 01/04  17:00:00,49.450530897700006,141.65663091
 01/04  18:00:00,59.02136423100001,173.694108838
 01/04  19:00:00,49.090741684099996,197.710860015
 01/04  20:00:00,49.090741684099996,206.769021095
 01/04  21:00:00,44.5432540049,209.153318474
 01/04  22:00:00,22.3931977511,0.446727712383
 01/04  23:00:00,15.274094353599999,4.7881466524
 01/04  24:00:00,15.5539910451,12.8954355478
 01/05  01:00:00,15.876752386,22.054575660500003
 01/05  02:00:00,16.0441355362,26.9054937911
 01/05  03:00:00,16.074940376700003,27.725257683600002
 01/05  04:00:00,16.143947417899998,29.7913524957
 01/05  05:00:00,16.1070206917,28.6574841725
 01/05  06:00:00,16.1251132441,29.2575409231
 01/05  07:00:00,23.6301409925,272.146464705
 01/05  08:00:00,30.9007909673,223.453713686
 01/05  09:00:00,33.0582540049,198.82567239099998
 01/05  10:00:00,49.450530897700006,168.840127414
 01/05  11:00:00,49.450530897700006,151.428684997
 01/05  12:00:00,49.450530897700006,132.07601161600002
 01/05  13:00:00,49.450530897700006,122.265404651
 01/05  14:00:00,49.450530897700006,112.558127346
 01/05  15:00:00,49.450530897700006,106.378114366
 01/05  16:00:00,49.450530897700006,99.75854007379999
 01/05  17:00:00,49.450530897700006,102.686277393
 01/05  18:00:00,59.02136423100001,118.738563054
 01/05  19:00:00,49.090741684099996,134.42322138
 01/05  20:00:00,49.090741684099996,146.298927675
 01/05  21:00:00,44.5432540049,152.89966508700002
 01/05  22:00:00,22.3776491824,0.0
 01/05  23:00:00,15.1069992076,0.0
 01/05  24:00:00,15.1712976928,1.8346465750099998
 01/06  01:00:00,15.260713609200002,4.43130859318
 01/06  02:00:00,15.381819495899999,7.9216977250100005
 01/06  03:00:00,15.5959217429,14.079433525399999
 01/06  04:00:00,15.8389644695,21.021476421
 01/06  05:00:00,15.9358890025,23.7795746215
 01/06  06:00:00,16.0647426649,27.4862471147
 01/06  07:00:00,23.6301409925,286.080487719
 01/06  08:00:00,30.9007909673,244.287114073
 01/06  09:00:00,33.0582540049,221.494159088
 01/06  10:00:00,49.450530897700006,197.187557033
 01/06  11:00:00,49.450530897700006,190.308467015
 01/06  12:00:00,49.450530897700006,179.76935739599998
 01/06  13:00:00,49.450530897700006,173.227134758
 01/06  14:00:00,49.450530897700006,164.90468293799998
 01/06  15:00:00,49.450530897700006,162.43706591
 01/06  16:00:00,49.450530897700006,152.584822409
 01/06  17:00:00,49.450530897700006,152.707938149
 01/06  18:00:00,59.02136423100001,165.757024895
 01/06  19:00:00,49.090741684099996,184.573299581
 01/06  20:00:00,49.090741684099996,200.65716202299998
 01/06  21:00:00,44.5432540049,208.143186276
 01/06  22:00:00,22.396455955300002,0.540279166866
 01/06  23:00:00,15.333984958,6.52512445143
 01/06  24:00:00,15.8707844211,21.959316664699998
 01/07  01:00:00,15.754766953399999,31.418806570999998
 01/07  02:00:00,16.0143640378,38.9980019338
 01/07  03:00:00,16.1818928741,43.7254773353
 01/07  04:00:00,16.3427214781,48.5108187343
 01/07  05:00:00,16.4596802556,51.7649060434
 01/07  06:00:00,16.5700331676,55.124621857700006
 01/07  07:00:00,23.1807225365,325.461707502
 01/07  08:00:00,26.3533032881,316.068893204
 01/07  09:00:00,23.9632786465,285.804335505
 01/07  10:00:00,37.605741684099996,239.26886099799998
 01/07  11:00:00,49.450530897700006,194.326441938
 01/07  12:00:00,49.450530897700006,149.895637415
 01/07  13:00:00,49.450530897700006,115.66997328299999
 01/07  14:00:00,49.450530897700006,92.5711635912
 01/07  15:00:00,49.450530897700006,80.0353673064
 01/07  16:00:00,49.450530897700006,69.36446336680001
 01/07  17:00:00,49.450530897700006,72.6601068169
 01/07  18:00:00,59.02136423100001,100.82650778899999
 01/07  19:00:00,44.5432540049,133.625320601
 01/07  20:00:00,35.4482786465,146.191385706
 01/07  21:00:00,35.4482786465,153.778148931
 01/07  22:00:00,26.3533032881,167.708569152
 01/07  23:00:00,14.657580751600001,0.0
 01/07  24:00:00,14.657580751600001,0.0
 01/08  01:00:00,14.7263282128,1.9611694888799998
 01/08  02:00:00,14.838526258499998,5.216502740669999
 01/08  03:00:00,14.9409024498,8.16188144092
 01/08  04:00:00,15.243310971700001,16.8444916546
 01/08  05:00:00,15.4294650724,22.1253646484
 01/08  06:00:00,15.5169321894,24.6596808809
 01/08  07:00:00,15.653456287000001,28.5534534437
 01/08  08:00:00,15.731167759000002,30.832093552899998
 01/08  09:00:00,14.8683032881,280.785384822
 01/08  10:00:00,14.8683032881,224.770757106
 01/08  11:00:00,28.5107663257,187.85204988400002
 01/08  12:00:00,28.5107663257,165.34927468200001
 01/08  13:00:00,37.605741684099996,137.431356615
 01/08  14:00:00,37.605741684099996,125.927835129
 01/08  15:00:00,37.605741684099996,121.326005039
 01/08  16:00:00,37.605741684099996,119.51178947700001
 01/08  17:00:00,37.605741684099996,128.61018959999998
 01/08  18:00:00,38.081599659,173.186399934
 01/08  19:00:00,30.9007909673,191.03816502599997
 01/08  20:00:00,14.657580751600001,0.0
 01/08  21:00:00,14.657580751600001,0.0
 01/08  22:00:00,14.7277032527,2.0003416307900004
 01/08  23:00:00,14.8443773567,5.38694213995
 01/08  24:00:00,14.9539693752,8.53802241763
 01/09  01:00:00,15.728679711300002,17.8911470797
 01/09  02:00:00,15.8668843226,21.763462265500003
 01/09  03:00:00,16.003135790199998,25.7361759206
 01/09  04:00:00,16.0498924185,27.019130652399998
 01/09  05:00:00,16.154845506199997,30.1171344917
 01/09  06:00:00,16.1631937493,30.281088346300002
 01/09  07:00:00,23.6301409925,285.331996356
 01/09  08:00:00,30.9007909673,239.02271504799998
 01/09  09:00:00,33.0582540049,210.20310467099998
 01/09  10:00:00,49.450530897700006,172.30076707599997
 01/09  11:00:00,49.450530897700006,146.349913135
 01/09  12:00:00,49.450530897700006,115.52398051700001
 01/09  13:00:00,49.450530897700006,86.46326734610001
 01/09  14:00:00,49.450530897700006,67.98908080359999
 01/09  15:00:00,49.450530897700006,57.69135064859999
 01/09  16:00:00,49.450530897700006,44.3096630681
 01/09  17:00:00,49.450530897700006,49.3181233337
 01/09  18:00:00,59.02136423100001,62.9131555926
 01/09  19:00:00,49.090741684099996,80.8732998333
 01/09  20:00:00,49.090741684099996,97.8537843547
 01/09  21:00:00,44.5432540049,105.760760083
 01/09  22:00:00,22.3776491824,0.0
 01/09  23:00:00,15.1069992076,0.0
 01/09  24:00:00,15.1069992076,0.0
 01/10  01:00:00,15.1069992076,0.0
 01/10  02:00:00,15.1273182653,0.5821063579169999
 01/10  03:00:00,15.150713463399999,1.24507089204
 01/10  04:00:00,15.232526971199999,3.61018685878
 01/10  05:00:00,15.2704914503,4.719807845309999
 01/10  06:00:00,15.3720720619,7.646444796939999
 01/10  07:00:00,23.6301409925,255.238377886
 01/10  08:00:00,30.9007909673,213.09258159400002
 01/10  09:00:00,33.0582540049,187.44049643
