Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,240.180831556,11.6416722583
 01/01  02:00:00,239.735214232,12.678195896099998
 01/01  03:00:00,240.19075960799998,17.8016728763
 01/01  04:00:00,239.739105892,15.2695445648
 01/01  05:00:00,252.417882846,21.1780391246
 01/01  06:00:00,276.411929287,18.5118302033
 01/01  07:00:00,325.75835797599996,26.2063058267
 01/01  08:00:00,315.571299533,20.3875145769
 01/01  09:00:00,298.935556582,23.401221605
 01/01  10:00:00,261.809355858,15.5670901468
 01/01  11:00:00,213.368752207,16.3302051444
 01/01  12:00:00,233.324475461,12.7780532128
 01/01  13:00:00,211.11214949599997,2.1915665619799998
 01/01  14:00:00,211.113655645,6.54382237316
 01/01  15:00:00,211.112149759,2.19155687595
 01/01  16:00:00,211.111145862,2.1894542210599997
 01/01  17:00:00,294.174603741,2.18964767985
 01/01  18:00:00,347.92853046199997,2.18953904751
 01/01  19:00:00,347.928530474,2.1895813888799998
 01/01  20:00:00,323.932594001,3.01349958309
 01/01  21:00:00,324.83078502,5.5117728797000005
 01/01  22:00:00,300.83763044200003,9.37603646773
 01/01  23:00:00,276.39256823200003,7.781825715389999
 01/01  24:00:00,251.4992401,6.64947976775
 01/02  01:00:00,289.56662935099996,7.43258360023
 01/02  02:00:00,290.01694888099996,9.55412718843
 01/02  03:00:00,289.567610848,10.314848208099999
 01/02  04:00:00,290.01801597599996,10.3480051711
 01/02  05:00:00,301.79079899,8.87832605523
 01/02  06:00:00,351.607191421,13.0913629521
 01/02  07:00:00,432.08261413099996,529.448305615
 01/02  08:00:00,521.82513947,431.895790462
 01/02  09:00:00,1052.65246814,162.745868433
 01/02  10:00:00,1016.31374149,122.21276018399999
 01/02  11:00:00,1014.79471907,111.473824693
 01/02  12:00:00,1133.29045011,96.55818363959999
 01/02  13:00:00,1233.5253561,110.344009031
 01/02  14:00:00,1348.47645314,70.3458434681
 01/02  15:00:00,1354.75850396,39.5294503823
 01/02  16:00:00,1274.43429953,38.2221139614
 01/02  17:00:00,1116.58642441,62.6983984485
 01/02  18:00:00,954.312191755,99.9590017827
 01/02  19:00:00,754.996769345,150.84471473600001
 01/02  20:00:00,730.569995446,170.96425457200002
 01/02  21:00:00,581.089971728,220.79490010900003
 01/02  22:00:00,556.67018503,252.928586938
 01/02  23:00:00,349.35693807,2.19061930759
 01/02  24:00:00,299.992178947,4.36109818882
 01/03  01:00:00,287.769982386,2.19048549178
 01/03  02:00:00,287.769982376,2.1905654316900005
 01/03  03:00:00,287.769982729,2.1906453238599997
 01/03  04:00:00,287.769982728,4.36116134264
 01/03  05:00:00,299.992180168,2.1905164254400002
 01/03  06:00:00,349.35844724300006,4.36689711525
 01/03  07:00:00,431.860975205,551.469483141
 01/03  08:00:00,521.699127413,432.00568305
 01/03  09:00:00,1056.92106592,162.672052028
 01/03  10:00:00,1016.28276331,122.363665615
 01/03  11:00:00,970.732621097,121.986983453
 01/03  12:00:00,974.473193972,116.451510448
 01/03  13:00:00,925.434862879,131.428992455
 01/03  14:00:00,974.247025617,90.76431594440001
 01/03  15:00:00,969.618862743,74.3242513069
 01/03  16:00:00,967.1645629230001,104.005098483
 01/03  17:00:00,1050.09503587,130.95571390799998
 01/03  18:00:00,954.346154036,156.971473495
 01/03  19:00:00,755.0209465139999,204.606507525
 01/03  20:00:00,730.589256364,220.842434845
 01/03  21:00:00,581.116148372,283.698905121
 01/03  22:00:00,556.698614013,320.03590547700003
 01/03  23:00:00,349.356939761,4.36079731844
 01/03  24:00:00,299.99218043400003,2.1905329038
 01/04  01:00:00,287.769983952,2.19061827802
 01/04  02:00:00,287.769984082,2.19070142307
 01/04  03:00:00,287.769984351,4.360913693780001
 01/04  04:00:00,287.769984148,2.19058215718
 01/04  05:00:00,299.992181752,2.19066556556
 01/04  06:00:00,349.358449771,4.36721800763
 01/04  07:00:00,431.910952426,665.624094109
 01/04  08:00:00,521.723794529,493.05822107
 01/04  09:00:00,1052.65161879,211.20984634099997
 01/04  10:00:00,1016.76570096,153.327548135
 01/04  11:00:00,970.022757149,152.040775786
