Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,38.2097680718,0.02
 01/01  02:00:00,44.0997823007,0.02
 01/01  03:00:00,47.493209952600004,1.10304196653
 01/01  04:00:00,52.826020317,0.0346368491043
 01/01  05:00:00,50.2308038187,1.15631065743
 01/01  06:00:00,56.2806734827,0.25574773410100005
 01/01  07:00:00,52.7353225681,1.2846912277
 01/01  08:00:00,47.3277563477,0.404894260233
 01/01  09:00:00,33.7652232933,1.2323065686799999
 01/01  10:00:00,31.3030291883,0.0888115120645
 01/01  11:00:00,26.9752675069,0.02
 01/01  12:00:00,18.7713521762,1.10304370059
 01/01  13:00:00,18.7713521762,1.1030914580600002
 01/01  14:00:00,18.7713521762,0.02
 01/01  15:00:00,18.7713521762,1.10313546587
 01/01  16:00:00,18.7713521762,0.02
 01/01  17:00:00,28.6406855095,1.10298877437
 01/01  18:00:00,33.5753521762,0.02
 01/01  19:00:00,33.5753521762,1.10298557844
 01/01  20:00:00,33.5753521762,0.02
 01/01  21:00:00,33.5753521762,0.02
 01/01  22:00:00,33.5753521762,1.1030663788500001
 01/01  23:00:00,33.5753521762,0.02
 01/01  24:00:00,33.5753521762,1.10298671224
 01/02  01:00:00,38.9361841996,0.02
 01/02  02:00:00,38.9361841996,1.10304230802
 01/02  03:00:00,41.3576644107,0.02
 01/02  04:00:00,42.621139215999996,1.10307930095
 01/02  05:00:00,43.9791901404,0.02
 01/02  06:00:00,45.4942554987,1.10319561233
 01/02  07:00:00,216.587800182,1.1031353880700001
 01/02  08:00:00,181.915418509,1.10375491855
 01/02  09:00:00,180.865987986,2.18937992151
 01/02  10:00:00,155.932941818,2.1895199754099997
 01/02  11:00:00,149.285655647,2.18975316675
 01/02  12:00:00,148.472897721,3.2752460462
 01/02  13:00:00,152.11219636799999,3.27715278254
 01/02  14:00:00,143.771788553,3.27679960883
 01/02  15:00:00,132.714967749,2.18959140468
 01/02  16:00:00,125.649370026,2.18903231915
 01/02  17:00:00,138.136377409,3.27519249042
 01/02  18:00:00,140.429375344,2.18822171677
 01/02  19:00:00,115.53602630399999,1.10388804858
 01/02  20:00:00,118.05219802100001,1.1035468867799998
 01/02  21:00:00,114.528494845,1.1037002455399998
 01/02  22:00:00,118.452946403,1.24646367149
 01/02  23:00:00,41.6166002114,0.02
 01/02  24:00:00,38.9361841996,1.10304147239
 01/03  01:00:00,38.9361841996,0.02
 01/03  02:00:00,38.9361841996,1.1030407202899999
 01/03  03:00:00,38.9361841996,0.02
 01/03  04:00:00,38.9361841996,1.10303896721
 01/03  05:00:00,38.9361841996,0.02
 01/03  06:00:00,41.6166002114,1.1031732002299999
 01/03  07:00:00,151.59802536700002,0.02
 01/03  08:00:00,134.802559601,13.2747509086
 01/03  09:00:00,150.591535758,4.252707301
 01/03  10:00:00,134.234666643,2.18970319729
 01/03  11:00:00,131.872049829,2.18977326704
 01/03  12:00:00,131.32172233100002,3.27558948584
 01/03  13:00:00,133.227574632,3.27768000944
 01/03  14:00:00,128.646217149,3.27678064583
 01/03  15:00:00,123.229187148,2.1892181848
 01/03  16:00:00,126.746562162,2.18877420773
 01/03  17:00:00,141.666266745,3.2749037415099997
 01/03  18:00:00,139.774618131,1.10408377174
 01/03  19:00:00,110.397626844,2.18773342993
 01/03  20:00:00,112.72744355299999,1.51838363872
 01/03  21:00:00,105.397292307,1.8602155809
 01/03  22:00:00,109.88892430700001,5.3908619169800005
 01/03  23:00:00,41.6166002114,0.02
 01/03  24:00:00,38.9361841996,1.10303346906
 01/04  01:00:00,38.9361841996,0.02
 01/04  02:00:00,38.9361841996,1.10304343217
 01/04  03:00:00,38.9361841996,0.02
 01/04  04:00:00,38.9361841996,1.1030429043
 01/04  05:00:00,38.9361841996,0.02
 01/04  06:00:00,41.6166002114,1.1032083810700002
 01/04  07:00:00,144.48511754700002,0.02
 01/04  08:00:00,129.167167702,14.119111786800001
 01/04  09:00:00,149.971153311,10.432980429199999
 01/04  10:00:00,132.664530924,7.142295552989999
 01/04  11:00:00,130.998499993,3.5251743931800004
 01/04  12:00:00,132.39739234299998,3.27584872565
 01/04  13:00:00,134.226662757,3.27740828152
 01/04  14:00:00,130.574937001,3.27741628513
 01/04  15:00:00,123.085666055,2.1893414254
 01/04  16:00:00,125.67374477,2.26851976621
 01/04  17:00:00,141.017009208,5.99478257856
 01/04  18:00:00,143.313593998,9.32098108752
 01/04  19:00:00,115.074489335,20.408213248800003
 01/04  20:00:00,116.842347358,25.4210738564
 01/04  21:00:00,110.127715134,29.4668556358
 01/04  22:00:00,115.447548885,35.9761674149
 01/04  23:00:00,41.6166002114,0.02
