Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,59.893079463,107.767424331
 01/01  02:00:00,59.7960040845,120.62920006899999
 01/01  03:00:00,60.9709247948,181.138241738
 01/01  04:00:00,59.8243360533,131.945108468
 01/01  05:00:00,61.5669095042,206.241124813
 01/01  06:00:00,60.3854635009,149.627414179
 01/01  07:00:00,61.7337362746,219.13975267400002
 01/01  08:00:00,54.468931105299994,133.814446131
 01/01  09:00:00,52.3323178309,149.02029515799998
 01/01  10:00:00,50.4618326107,79.7036998211
 01/01  11:00:00,51.3649624572,81.71989873689999
 01/01  12:00:00,51.0667576542,51.9951023842
 01/01  13:00:00,50.0071712476,41.5246331115
 01/01  14:00:00,49.029113074899996,22.0345354401
 01/01  15:00:00,48.5413203961,12.1893392839
 01/01  16:00:00,48.2070675896,8.225809195110001
 01/01  17:00:00,55.8770215984,21.4490747953
 01/01  18:00:00,57.4251309709,17.7429017328
 01/01  19:00:00,57.927931001800005,33.8177925313
 01/01  20:00:00,58.4678233204,34.3987054265
 01/01  21:00:00,58.2696173179,41.441826027
 01/01  22:00:00,59.6400569293,68.9537240006
 01/01  23:00:00,59.0559600309,72.59974652060001
 01/01  24:00:00,61.016320578199995,79.8126649761
 01/02  01:00:00,59.6950642763,81.97635644729999
 01/02  02:00:00,60.230340997,88.5822696511
 01/02  03:00:00,59.7041043866,91.74242612329999
 01/02  04:00:00,60.2454947853,97.63849073450001
 01/02  05:00:00,59.964398355200004,106.636870788
 01/02  06:00:00,60.8013240325,114.098680703
 01/02  07:00:00,66.5365295046,831.372694092
 01/02  08:00:00,124.979984683,504.530525473
 01/02  09:00:00,166.412129235,381.07270341699996
 01/02  10:00:00,165.89296745299998,284.14277351
 01/02  11:00:00,169.398485878,230.07525455
 01/02  12:00:00,169.925716511,167.676788385
 01/02  13:00:00,169.376870723,148.227085098
 01/02  14:00:00,165.64876215799998,141.593723961
 01/02  15:00:00,165.623914719,137.525104183
 01/02  16:00:00,163.302041703,149.478056733
 01/02  17:00:00,170.24104774100002,162.48860361200002
 01/02  18:00:00,128.478969596,186.751665824
 01/02  19:00:00,128.615024791,223.99242473400002
 01/02  20:00:00,128.932956738,234.918568684
 01/02  21:00:00,129.045985298,254.906912487
 01/02  22:00:00,55.457959591000005,8.98883095069
 01/02  23:00:00,55.352203566899995,8.96939788414
 01/02  24:00:00,56.1490857167,6.0945161918199995
 01/03  01:00:00,55.3822345128,6.090748102640001
 01/03  02:00:00,55.380678118599995,6.09089734042
 01/03  03:00:00,55.374908518299996,3.22568
 01/03  04:00:00,55.3701820246,6.09077151941
 01/03  05:00:00,57.0767338629,6.600790614119999
 01/03  06:00:00,57.5500466686,4.30873124981
 01/03  07:00:00,66.019253592,504.67767141400003
 01/03  08:00:00,124.048591549,392.17949757800005
 01/03  09:00:00,166.29077077600002,317.021784896
 01/03  10:00:00,166.296215415,285.04761050900004
 01/03  11:00:00,170.292056279,283.05343610799997
 01/03  12:00:00,171.286678363,265.170488023
 01/03  13:00:00,170.915885533,269.050637003
 01/03  14:00:00,167.07726761799998,265.930726024
 01/03  15:00:00,166.989388077,260.48165001
 01/03  16:00:00,164.572458225,249.08943593200001
 01/03  17:00:00,171.301853354,230.20993827799998
 01/03  18:00:00,129.483585115,259.554443441
 01/03  19:00:00,129.502736405,285.284804787
 01/03  20:00:00,129.52527343399998,317.61044983700003
 01/03  21:00:00,129.54552297,344.755174765
 01/03  22:00:00,55.2747937219,11.8700240193
 01/03  23:00:00,55.326589185500005,6.097746819
 01/03  24:00:00,56.4521954249,6.31444633347
 01/04  01:00:00,56.9796942191,7.5071755409200005
 01/04  02:00:00,56.6585625693,8.0214975056
 01/04  03:00:00,58.0137604585,32.6305288527
 01/04  04:00:00,58.6849731347,46.824685558999995
 01/04  05:00:00,59.882880799300004,71.5171169084
 01/04  06:00:00,59.30399973189999,78.5750749584
 01/04  07:00:00,66.60299870909999,781.6225953430001
 01/04  08:00:00,125.15512456799999,615.026135326
 01/04  09:00:00,166.43755379700002,450.08776389900004
 01/04  10:00:00,166.326256361,359.780459201
 01/04  11:00:00,170.297740683,321.593100768
 01/04  12:00:00,171.062153293,284.847183449
 01/04  13:00:00,170.62586764600002,275.471045258
 01/04  14:00:00,166.858455045,270.250540926
 01/04  15:00:00,166.738148586,250.57770839
 01/04  16:00:00,164.27118460100002,244.947595543
 01/04  17:00:00,171.29477299,236.39334509999998
 01/04  18:00:00,129.492318525,265.154666036
 01/04  19:00:00,129.509618765,290.999938978
 01/04  20:00:00,129.743722688,316.722829204
 01/04  21:00:00,129.747806209,332.454639368
 01/04  22:00:00,55.426644744099995,11.870210865299999
 01/04  23:00:00,55.326286709799994,8.96918273541
 01/04  24:00:00,56.128569669099996,6.09457128412
 01/05  01:00:00,56.5907119322,6.88037400332
 01/05  02:00:00,56.9796899234,4.75372589524
 01/05  03:00:00,57.27547344479999,22.891255319899997
 01/05  04:00:00,58.9293007408,49.9095548666
 01/05  05:00:00,59.719091855200006,76.0493321122
 01/05  06:00:00,59.4749041913,74.5457208414
 01/05  07:00:00,66.6079394918,791.6929488210001
 01/05  08:00:00,125.18941057,616.198442091
 01/05  09:00:00,166.482517299,466.862075294
 01/05  10:00:00,166.38010313799998,384.355713102
 01/05  11:00:00,170.268199013,322.122456268
 01/05  12:00:00,170.620157842,258.919890416
 01/05  13:00:00,169.717536824,249.571432584
 01/05  14:00:00,165.603016862,234.61763956299998
 01/05  15:00:00,165.571052993,232.17871692900002
 01/05  16:00:00,163.65783344,236.53260834
 01/05  17:00:00,170.845891374,226.06357489
 01/05  18:00:00,129.10458180700002,252.133308423
 01/05  19:00:00,129.115973284,267.617176135
 01/05  20:00:00,129.231631102,265.775609
 01/05  21:00:00,129.15280103,269.878333392
 01/05  22:00:00,55.4383010314,11.8707445903
 01/05  23:00:00,55.3350810695,6.09750917392
