Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,260.592102223,365.43091822599996
 01/01  02:00:00,256.76062607299997,313.732053649
 01/01  03:00:00,261.48869699,413.9951355
 01/01  04:00:00,256.76305967900004,314.873929824
 01/01  05:00:00,273.72020424,422.528131607
 01/01  06:00:00,293.43886687,324.041701705
 01/01  07:00:00,347.062583136,430.37555052
 01/01  08:00:00,332.595619382,319.499572381
 01/01  09:00:00,320.224856881,405.117072302
 01/01  10:00:00,278.822856926,297.108736292
 01/01  11:00:00,234.65205502700002,385.10101816199995
 01/01  12:00:00,229.922922402,285.626405467
 01/01  13:00:00,234.63138848,361.08455299900004
 01/01  14:00:00,229.91619061400002,279.37044373
 01/01  15:00:00,234.631036433,362.26538033599996
 01/01  16:00:00,229.91636883700002,279.42465055099996
 01/01  17:00:00,326.246722401,374.94199803099997
 01/01  18:00:00,366.73821687699996,285.543706692
 01/01  19:00:00,371.451489476,371.790676486
 01/01  20:00:00,342.29220020400004,284.532790803
 01/01  21:00:00,347.00610103099996,369.458100806
 01/01  22:00:00,317.848031456,285.86991575400003
 01/01  23:00:00,298.123541804,377.512529206
 01/01  24:00:00,268.965852016,293.531744344
 01/02  01:00:00,311.287742826,364.860257951
 01/02  02:00:00,306.570113174,275.49823737599996
 01/02  03:00:00,311.27901813,356.012418236
 01/02  04:00:00,306.560950466,264.353536058
 01/02  05:00:00,323.489666738,340.160820474
 01/02  06:00:00,368.141758005,257.560042826
 01/02  07:00:00,431.603373671,3375.51248525
 01/02  08:00:00,519.910255295,2416.13337272
 01/02  09:00:00,1050.14704952,1659.0297654
 01/02  10:00:00,1013.29637428,1513.45373522
 01/02  11:00:00,964.188106873,1302.60204299
 01/02  12:00:00,963.978351488,1114.8799989
 01/02  13:00:00,913.9750706030001,976.85441809
 01/02  14:00:00,963.695897198,870.2397372060001
 01/02  15:00:00,963.725711952,894.110372285
 01/02  16:00:00,963.800428487,948.554853753
 01/02  17:00:00,1055.49101509,990.150394643
 01/02  18:00:00,951.365551204,1108.78005161
 01/02  19:00:00,752.266765598,1283.67215486
 01/02  20:00:00,727.9983028160001,1366.67555809
 01/02  21:00:00,578.756935174,1505.56017334
 01/02  22:00:00,554.3608403019999,1482.0158047
 01/02  23:00:00,349.35699088800004,4.3620490821599995
 01/02  24:00:00,299.99223139099996,2.19080757381
 01/03  01:00:00,288.943402881,7.974097763660001
 01/03  02:00:00,289.339060245,15.3584572112
 01/03  03:00:00,300.646485418,51.1002881233
 01/03  04:00:00,304.953594328,80.9112093806
 01/03  05:00:00,321.485191527,116.39779607700001
 01/03  06:00:00,366.5876463,124.50680746799999
 01/03  07:00:00,429.360179552,1588.94217815
 01/03  08:00:00,521.019208057,2596.3204333
 01/03  09:00:00,1050.94505134,1416.45022918
 01/03  10:00:00,1013.52122024,954.75990582
 01/03  11:00:00,964.167307055,741.7006388210001
 01/03  12:00:00,963.9719356530001,676.920578717
 01/03  13:00:00,914.058898809,674.575106591
 01/03  14:00:00,963.754881732,616.143773962
 01/03  15:00:00,963.70810481,602.59153914
 01/03  16:00:00,963.711704955,624.934671569
 01/03  17:00:00,1055.47169703,740.8551219469999
 01/03  18:00:00,951.223899703,785.775853398
 01/03  19:00:00,752.042939818,920.426701849
 01/03  20:00:00,727.71180257,995.332543969
 01/03  21:00:00,578.318143424,1094.91206055
 01/03  22:00:00,553.889221375,1126.68743159
 01/03  23:00:00,349.356992209,2.1910339835299997
 01/03  24:00:00,299.99223343299997,4.36187989591
 01/04  01:00:00,288.941866015,6.910229338910001
 01/04  02:00:00,289.33570347,10.846414845
 01/04  03:00:00,289.729648995,17.0623686247
 01/04  04:00:00,289.346345623,18.692832113399998
 01/04  05:00:00,313.653451334,58.2573414524
 01/04  06:00:00,370.446933357,102.640512205
 01/04  07:00:00,428.977665989,1318.79395474
 01/04  08:00:00,520.041579619,2056.41181799
 01/04  09:00:00,1050.36621624,1268.28169757
 01/04  10:00:00,1013.29730419,970.355733683
 01/04  11:00:00,964.1863453310001,841.397283025
 01/04  12:00:00,964.0226272230001,756.2625357410001
 01/04  13:00:00,914.1025328689999,739.6306508289999
 01/04  14:00:00,963.864859712,704.378371257
 01/04  15:00:00,963.96503085,756.632261297
 01/04  16:00:00,964.2336659819999,886.503622401
 01/04  17:00:00,1056.09944348,997.350388001
 01/04  18:00:00,952.0561621989999,1073.63414363
 01/04  19:00:00,752.9980169789999,1164.97588692
 01/04  20:00:00,728.828604678,1211.44062802
 01/04  21:00:00,579.726997266,1331.53246622
 01/04  22:00:00,555.6648016409999,1411.05063474
 01/04  23:00:00,349.356994004,2.1909566776400005
 01/04  24:00:00,301.559173038,7.592013874410001
 01/05  01:00:00,289.735105239,13.829674634000002
 01/05  02:00:00,297.16328840200003,35.0260123745
 01/05  03:00:00,305.373192684,64.23875821109999
 01/05  04:00:00,308.944386685,111.03661437299999
 01/05  05:00:00,317.675708729,118.711465244
 01/05  06:00:00,370.62857136800005,183.63251149299998
 01/05  07:00:00,429.33649334800003,1289.51908882
 01/05  08:00:00,526.241057466,3199.32218147
 01/05  09:00:00,1056.07926406,1510.84079672
 01/05  10:00:00,1017.84166586,1190.71978877
 01/05  11:00:00,967.183913682,991.375630772
 01/05  12:00:00,966.2142843139999,863.109860369
 01/05  13:00:00,915.584158535,914.67847106
 01/05  14:00:00,964.7200557310001,747.404763678
 01/05  15:00:00,964.346371654,677.0495995690001
 01/05  16:00:00,964.445128417,768.9800078339999
 01/05  17:00:00,1056.26212076,893.6680742589999
 01/05  18:00:00,952.196011905,1008.91679121
