Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,96.10056116879998,95.3293622455
 01/02  02:00:00,91.4424712743,81.9067701801
 01/02  03:00:00,107.38899524899999,103.435602663
 01/02  04:00:00,94.7004650489,84.0762077584
 01/02  05:00:00,137.939999116,118.973885561
 01/02  06:00:00,164.852795615,186.288715223
 01/02  07:00:00,220.664925162,176.642608105
 01/02  08:00:00,234.59699323,159.796499443
 01/02  09:00:00,237.079654115,148.752994631
 01/02  10:00:00,247.604260517,147.177695223
 01/02  11:00:00,246.09020012599998,128.9329812
 01/02  12:00:00,243.001575852,128.470750475
 01/02  13:00:00,228.39373928400002,113.30732032200001
 01/02  14:00:00,234.521534102,115.93471121600001
 01/02  15:00:00,231.890215545,113.170677345
 01/02  16:00:00,229.77407471400002,105.955454898
 01/02  17:00:00,237.886848523,120.48999138200001
 01/02  18:00:00,237.535106743,115.972675835
 01/02  19:00:00,145.456992348,84.1658969579
 01/02  20:00:00,144.996883954,89.16582037469999
 01/02  21:00:00,123.605874471,102.419314454
 01/02  22:00:00,103.26781469299999,88.0695123938
 01/02  23:00:00,73.4849583289,78.1732206827
 01/02  24:00:00,85.78548225770001,100.01454452200001
 01/03  01:00:00,78.9240202764,89.2227969819
 01/03  02:00:00,86.06924743309999,101.92564432200001
 01/03  03:00:00,79.0065564684,82.7747560524
 01/03  04:00:00,84.5826617936,104.07667069799999
 01/03  05:00:00,104.320007675,118.096953238
 01/03  06:00:00,130.83705195299999,186.504405978
 01/03  07:00:00,186.372303089,151.60468987
 01/03  08:00:00,201.881725009,132.00663306799999
 01/03  09:00:00,205.65982476599999,125.26457333299999
 01/03  10:00:00,216.674247753,129.98644564
 01/03  11:00:00,215.438996791,115.196269585
 01/03  12:00:00,215.073530003,118.129115587
 01/03  13:00:00,201.521494987,107.82609069700001
 01/03  14:00:00,211.95340458200002,117.686607652
 01/03  15:00:00,211.64924242200001,115.7796577
 01/03  16:00:00,210.84744096900002,106.023228126
 01/03  17:00:00,221.483000015,115.96256004700001
 01/03  18:00:00,223.466652885,107.954166854
 01/03  19:00:00,132.801967418,81.2224012594
 01/03  20:00:00,131.398770033,87.12486540219999
 01/03  21:00:00,108.68756258,100.877239929
 01/03  22:00:00,87.6782657773,83.1237613122
 01/03  23:00:00,63.6952617206,78.1292119862
 01/03  24:00:00,71.6851391806,99.5755276157
 01/04  01:00:00,64.9389454319,88.61749684200001
 01/04  02:00:00,74.347206398,102.846737115
 01/04  03:00:00,67.0937848248,83.6164495183
 01/04  04:00:00,77.0533263281,104.67255778200001
 01/04  05:00:00,101.77792549,117.23337415700001
 01/04  06:00:00,128.29036137100002,185.775664157
 01/04  07:00:00,184.151608068,153.345311888
 01/04  08:00:00,199.216011948,132.140639506
 01/04  09:00:00,201.232445092,124.98832598799999
 01/04  10:00:00,210.39037526400003,128.29000454
 01/04  11:00:00,209.596152904,115.128458951
 01/04  12:00:00,210.34225817200002,120.032163285
 01/04  13:00:00,199.728873268,107.900767274
