Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,22.5208060669,138.957336932
 01/01  02:00:00,20.8080038375,106.353801712
 01/01  03:00:00,22.0346264583,121.777080291
 01/01  04:00:00,20.543875538800002,100.163543421
 01/01  05:00:00,22.2296443046,129.789323409
 01/01  06:00:00,20.7078027022,106.137664239
 01/01  07:00:00,22.140748483400003,125.973448441
 01/01  08:00:00,14.4583312137,93.6431310814
 01/01  09:00:00,12.7173627648,109.58868900899999
 01/01  10:00:00,11.122977541600001,80.69209669760001
 01/01  11:00:00,12.278177068800002,95.98396542469999
 01/01  12:00:00,10.869065555599999,72.3750547847
 01/01  13:00:00,12.3503091373,96.21887894700001
 01/01  14:00:00,11.1231121251,76.9449112621
 01/01  15:00:00,12.362243456300002,96.8261640138
 01/01  16:00:00,11.0793853534,79.2726935804
 01/01  17:00:00,20.164457630799998,110.541735061
 01/01  18:00:00,20.462879503499998,97.1388166923
 01/01  19:00:00,22.194812686,128.481785241
 01/01  20:00:00,20.7776253259,108.71657482399999
 01/01  21:00:00,22.5023602866,139.112929767
 01/01  22:00:00,20.9573807732,115.56903056899999
 01/01  23:00:00,22.5903060058,141.932544932
 01/01  24:00:00,20.9282127228,114.77277184299999
 01/02  01:00:00,22.492506138299998,139.41930532
 01/02  02:00:00,20.8826315516,113.58384870799999
 01/02  03:00:00,22.5232514995,140.57290301
 01/02  04:00:00,20.9997679592,117.993745595
 01/02  05:00:00,22.7086951369,146.540882179
 01/02  06:00:00,21.0594956804,120.747583312
 01/02  07:00:00,29.918158518400002,178.581446225
 01/02  08:00:00,44.459564353199994,151.118520838
 01/02  09:00:00,60.963703843299996,136.210849072
 01/02  10:00:00,72.9377527141,124.15890871100001
 01/02  11:00:00,72.9377527141,119.824327829
 01/02  12:00:00,72.9377527141,123.165584774
 01/02  13:00:00,66.4449284396,140.87173413
 01/02  14:00:00,72.9377527141,145.622072503
 01/02  15:00:00,72.9377527141,145.310849063
 01/02  16:00:00,72.9377527141,151.883699313
 01/02  17:00:00,80.3735860474,161.402130444
 01/02  18:00:00,36.5456910718,162.53349725299998
 01/02  19:00:00,22.2969364256,175.97585017400002
 01/02  20:00:00,24.4933564704,215.629766005
 01/02  21:00:00,22.616898586399998,186.94169966400003
