Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,139.763148607,201.271536035
 01/01  02:00:00,139.38425763200001,156.952848668
 01/01  03:00:00,122.005393541,157.19537047
 01/01  04:00:00,122.497865533,155.22676709200002
 01/01  05:00:00,131.25269078600002,183.90819383299998
 01/01  06:00:00,146.09808463299998,221.144284899
 01/01  07:00:00,226.198603188,304.867002081
 01/01  08:00:00,352.107817215,642.6595724030001
 01/01  09:00:00,365.55248963699995,853.221830975
 01/01  10:00:00,305.91117311,711.27524159
 01/01  11:00:00,240.406369657,637.155494448
 01/01  12:00:00,223.34644266700002,579.0469807540001
 01/01  13:00:00,213.330151538,511.299221822
 01/01  14:00:00,187.171144529,510.96606617599997
 01/01  15:00:00,183.647105991,503.32864323800004
 01/01  16:00:00,181.813494657,519.036145849
 01/01  17:00:00,217.066108199,495.88448929300006
 01/01  18:00:00,251.501066454,491.582235556
 01/01  19:00:00,322.057872787,526.379503342
 01/01  20:00:00,336.476717365,566.635545868
 01/01  21:00:00,367.065704039,552.454606294
 01/01  22:00:00,343.747623379,549.17415253
 01/01  23:00:00,292.645783018,677.4339765330001
 01/01  24:00:00,217.647588355,514.85585564
 01/02  01:00:00,128.746555823,200.83259685099998
 01/02  02:00:00,121.046620437,155.463137279
 01/02  03:00:00,116.056998959,157.100601843
 01/02  04:00:00,127.916185714,148.28925475399998
 01/02  05:00:00,134.14387230100002,183.898040762
 01/02  06:00:00,169.640361516,294.336796204
 01/02  07:00:00,296.401698647,470.050493214
 01/02  08:00:00,385.15277667099997,781.556624553
 01/02  09:00:00,296.369343206,700.4186847560001
 01/02  10:00:00,260.819998387,633.606803241
 01/02  11:00:00,218.95719109,595.99824758
 01/02  12:00:00,228.59244998900002,526.643002874
 01/02  13:00:00,231.922174232,518.798766765
 01/02  14:00:00,215.107230921,504.18129836699995
 01/02  15:00:00,208.052262133,509.070265657
 01/02  16:00:00,203.215832276,513.1688613590001
 01/02  17:00:00,221.57535397,491.89583637699997
 01/02  18:00:00,250.867641815,536.057860075
 01/02  19:00:00,320.012035863,738.0894671789999
 01/02  20:00:00,333.835563275,618.966061019
