Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,61.074742828000005,0.9916206926890001
 01/01  02:00:00,56.471487825299995,1.1359820926100002
 01/01  03:00:00,64.3911805092,3.07536628992
 01/01  04:00:00,58.167241518999994,1.5449580400799998
 01/01  05:00:00,66.2924821114,3.47811514431
 01/01  06:00:00,59.4077168159,1.8139806411200001
 01/01  07:00:00,67.7556079796,3.75329388979
 01/01  08:00:00,49.273830016000005,2.07151103386
 01/01  09:00:00,42.978508285299995,2.76148456001
 01/01  10:00:00,33.682023863400005,2.5174005237599997
 01/01  11:00:00,37.2030266305,0.758067828146
 01/01  12:00:00,32.1515276417,1.13940453166
 01/01  13:00:00,28.0502779035,0.02
 01/01  14:00:00,24.7250900292,1.10326652676
 01/01  15:00:00,22.311904779499997,1.10312674884
 01/01  16:00:00,22.7897826508,0.02
 01/01  17:00:00,30.1373320487,0.02
 01/01  18:00:00,41.1507560099,1.10297405807
 01/01  19:00:00,46.343386593299996,0.02
 01/01  20:00:00,52.3224238425,1.10302883539
 01/01  21:00:00,50.3355704786,0.02
 01/01  22:00:00,56.244865923999996,1.25047891539
 01/01  23:00:00,53.1374320963,0.199291112764
 01/01  24:00:00,59.078914500699995,0.560959979951
 01/02  01:00:00,58.548178345,1.4742796455200002
 01/02  02:00:00,64.2398930815,0.937091025386
 01/02  03:00:00,60.2243866564,1.8649177377400001
 01/02  04:00:00,67.4580455266,1.70915679118
 01/02  05:00:00,61.877336338199996,2.3345461314700002
 01/02  06:00:00,69.68548867850001,1.49842093253
 01/02  07:00:00,266.418906961,1.13642309032
 01/02  08:00:00,220.62072821799998,30.1022766899
 01/02  09:00:00,229.52048056099997,24.111111493600003
 01/02  10:00:00,200.828638763,16.9565611168
 01/02  11:00:00,186.161921216,7.49929597609
 01/02  12:00:00,176.49398389700002,3.2750886378799997
 01/02  13:00:00,170.77272079899998,3.27674189111
 01/02  14:00:00,159.744249749,3.2759655440499995
 01/02  15:00:00,150.838623743,2.18873399303
 01/02  16:00:00,149.163783932,1.1044875057799999
 01/02  17:00:00,161.10838506,3.2744466472400005
 01/02  18:00:00,164.407440672,1.1040001068
 01/02  19:00:00,137.91333603799998,2.18773292896
 01/02  20:00:00,138.133482507,1.1035059949
 01/02  21:00:00,134.752966802,1.1036324968200002
 01/02  22:00:00,136.163059965,0.02
 01/02  23:00:00,41.6166002114,1.10302523571
 01/02  24:00:00,38.9361841996,0.02
 01/03  01:00:00,38.9361841996,1.10301626082
 01/03  02:00:00,38.9361841996,0.02
 01/03  03:00:00,38.9361841996,1.10302064052
 01/03  04:00:00,38.9361841996,0.02
 01/03  05:00:00,38.9361841996,1.10302268754
 01/03  06:00:00,41.6166002114,0.02
 01/03  07:00:00,141.882785937,1.1031161384200001
 01/03  08:00:00,130.646055969,1.10365582339
 01/03  09:00:00,161.492483863,2.1890504316299997
 01/03  10:00:00,150.564950484,2.1892667573900004
 01/03  11:00:00,146.112392202,2.18925323
 01/03  12:00:00,144.905465578,3.27509119296
 01/03  13:00:00,147.066119025,2.19155203552
 01/03  14:00:00,142.87605889,3.27687397296
 01/03  15:00:00,138.655004134,2.1894732841
 01/03  16:00:00,136.197859518,2.18874986728
 01/03  17:00:00,147.063456019,3.2743342801099997
 01/03  18:00:00,147.693460707,1.10404451269
 01/03  19:00:00,115.97456654700001,1.10389354693
 01/03  20:00:00,116.026810564,1.10364848346
 01/03  21:00:00,108.85193637799999,1.1035504322799998
 01/03  22:00:00,111.04149192,1.10339198645
 01/03  23:00:00,41.6166002114,1.10302165614
 01/03  24:00:00,38.9361841996,0.02
 01/04  01:00:00,38.9361841996,1.10302321688
 01/04  02:00:00,38.9361841996,0.02
 01/04  03:00:00,38.9361841996,1.1030193397799999
 01/04  04:00:00,38.9361841996,0.02
 01/04  05:00:00,38.9361841996,0.02
 01/04  06:00:00,41.6166002114,1.10310085091
 01/04  07:00:00,123.218838384,1.10312172739
 01/04  08:00:00,117.41816570600001,1.1036764097
 01/04  09:00:00,159.763213446,2.18893007707
 01/04  10:00:00,147.797603905,2.18929443027
 01/04  11:00:00,144.12466688,2.18930577463
 01/04  12:00:00,145.618275483,2.18991957173
 01/04  13:00:00,147.169424767,3.2767162658499998
 01/04  14:00:00,145.92539944700002,3.27651809986
 01/04  15:00:00,141.808235929,2.18924779694
 01/04  16:00:00,141.465820969,2.18878569713
 01/04  17:00:00,152.262751412,2.1898528231400003
 01/04  18:00:00,150.642031903,2.18848324771
 01/04  19:00:00,118.243759955,1.10384295074
 01/04  20:00:00,117.56738452100001,1.10356464499
 01/04  21:00:00,106.82441468,1.1036232484200001
 01/04  22:00:00,109.07165480100001,1.1032133314700001
 01/04  23:00:00,41.6166002114,1.10301544726
 01/04  24:00:00,38.9361841996,0.02
 01/05  01:00:00,38.9361841996,0.02
 01/05  02:00:00,38.9361841996,1.10302094436
 01/05  03:00:00,38.9361841996,0.02
 01/05  04:00:00,38.9361841996,1.1030235835100002
 01/05  05:00:00,38.9361841996,0.02
 01/05  06:00:00,41.6166002114,1.10315375551
 01/05  07:00:00,141.92592210700002,1.1031161407799999
 01/05  08:00:00,124.359416671,21.5565742677
 01/05  09:00:00,154.92320251,20.7989945693
 01/05  10:00:00,135.542828671,19.231847273
 01/05  11:00:00,133.038536332,15.1834163147
 01/05  12:00:00,134.21665546399998,7.42885913745
 01/05  13:00:00,136.735233179,4.52772466324
 01/05  14:00:00,135.48157024100001,3.27629212638
 01/05  15:00:00,125.53572649899999,2.18910592648
 01/05  16:00:00,123.322796847,5.2041137254
 01/05  17:00:00,139.05944079399998,9.743646785160001
 01/05  18:00:00,143.66081164,14.423903731400001
 01/05  19:00:00,116.15411337,22.874649411799997
 01/05  20:00:00,118.223204917,27.5000355468
 01/05  21:00:00,111.944911096,30.521761347800002
 01/05  22:00:00,115.949381482,34.742982607399995
 01/05  23:00:00,41.6166002114,0.02
 01/05  24:00:00,38.9361841996,1.10301756888
 01/06  01:00:00,38.9361841996,0.02
 01/06  02:00:00,38.9361841996,1.10302245074
 01/06  03:00:00,38.9361841996,0.02
 01/06  04:00:00,41.704458210700004,1.9863299329099997
 01/06  05:00:00,44.9006187863,1.02728327881
 01/06  06:00:00,50.7454244289,2.9371698209
 01/06  07:00:00,191.254123189,0.0899326654171
 01/06  08:00:00,156.109456691,65.7986240298
 01/06  09:00:00,171.2392481,51.5165141012
 01/06  10:00:00,146.906925187,38.9641888222
 01/06  11:00:00,141.719246949,21.469727444300002
 01/06  12:00:00,139.87305397,7.216488353019999
 01/06  13:00:00,142.107597999,4.39450768918
 01/06  14:00:00,138.23678498799998,3.27619287916
 01/06  15:00:00,128.452363529,2.18920732033
 01/06  16:00:00,125.70531574799999,2.1888308607
 01/06  17:00:00,139.138584686,2.1898535871
 01/06  18:00:00,142.982420319,2.18849222388
 01/06  19:00:00,113.988756847,4.63528774475
 01/06  20:00:00,115.922842975,5.15225134964
