Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,16.6856805111,30.56104522
 01/01  02:00:00,16.2163224747,33.650681834400004
 01/01  03:00:00,15.977755200799999,34.765635806599995
 01/01  04:00:00,15.8750825408,36.1110052149
 01/01  05:00:00,17.971668052000002,37.276123582800004
 01/01  06:00:00,22.478778936999998,40.6624835653
 01/01  07:00:00,27.7171404675,50.98219979
 01/01  08:00:00,26.8293585124,50.8060334289
 01/01  09:00:00,22.8304548687,49.661035677600005
 01/01  10:00:00,19.920321386199998,44.6608199982
 01/01  11:00:00,16.9328760583,39.4781225465
 01/01  12:00:00,17.0806560529,32.0652297791
 01/01  13:00:00,16.8839796969,25.0127615882
 01/01  14:00:00,16.3748232641,18.8540544632
 01/01  15:00:00,16.1482652561,15.7371408378
 01/01  16:00:00,17.4226227641,16.3927807229
 01/01  17:00:00,27.4736186121,18.839897910799998
 01/01  18:00:00,37.37136718,22.867019117199998
 01/01  19:00:00,39.6500736715,26.4613345308
 01/01  20:00:00,38.7206597517,28.5872356751
 01/01  21:00:00,38.3272783166,30.0641142299
 01/01  22:00:00,32.9053714961,29.8590372896
 01/01  23:00:00,26.041960091700002,31.7601337515
 01/01  24:00:00,20.2360480574,29.7355295459
 01/02  01:00:00,16.6248491724,28.4266407991
 01/02  02:00:00,16.1057344283,29.7586261936
 01/02  03:00:00,15.895895386600001,31.8865596815
 01/02  04:00:00,15.842593208299999,35.014719621
 01/02  05:00:00,17.8925787751,34.531483710100005
 01/02  06:00:00,22.3520308904,36.2638424321
 01/02  07:00:00,27.564601329499997,45.7582094114
 01/02  08:00:00,26.8761826014,45.7293267692
 01/02  09:00:00,24.4153506912,46.6220581454
 01/02  10:00:00,21.5353365073,42.043440824499996
 01/02  11:00:00,18.5173130773,37.2337861926
 01/02  12:00:00,18.5230807027,29.9988272785
 01/02  13:00:00,18.0362322546,22.047159963400002
 01/02  14:00:00,17.708133089300002,16.70085205
 01/02  15:00:00,17.4896284338,13.7943806452
 01/02  16:00:00,18.7823382462,14.1521959959
 01/02  17:00:00,28.8987327542,16.0629153739
 01/02  18:00:00,37.3645105106,19.183163248099998
 01/02  19:00:00,39.4592299288,21.4800221067
 01/02  20:00:00,38.4949877364,21.4605275606
 01/02  21:00:00,38.0636337797,18.074221876
 01/02  22:00:00,32.6222506246,13.5853421112
 01/02  23:00:00,25.640028228400002,12.895564471300002
 01/02  24:00:00,19.6901487075,9.565252490710002
 01/03  01:00:00,15.9437132451,6.7941838401100005
 01/03  02:00:00,15.3449207945,6.6502300323800005
 01/03  03:00:00,15.0585770378,6.27310170311
 01/03  04:00:00,14.937431921199998,6.9781357145700005
 01/03  05:00:00,17.0251497627,7.8729510526399995
 01/03  06:00:00,21.5344626977,11.547600666500001
 01/03  07:00:00,26.8811297252,23.2982599109
 01/03  08:00:00,26.2548660043,23.9714544773
 01/03  09:00:00,23.7341713867,23.6434729558
 01/03  10:00:00,20.867338588699997,21.5096239781
 01/03  11:00:00,17.946798368299998,19.2195486831
 01/03  12:00:00,18.0973935474,14.8535192679
 01/03  13:00:00,17.782895096300003,12.228326621099999
 01/03  14:00:00,17.496409993900002,10.29468575
 01/03  15:00:00,17.3616347195,8.56345634283
 01/03  16:00:00,18.8374090395,9.42077870108
 01/03  17:00:00,28.9490764942,10.99149045
 01/03  18:00:00,37.3953443538,14.4123107173
 01/03  19:00:00,39.501727803200005,16.9429121999
 01/03  20:00:00,38.5428465819,16.1580725672
 01/03  21:00:00,38.0957985198,14.795844009300001
 01/03  22:00:00,32.5997984473,12.2149895252
 01/03  23:00:00,25.600987920700003,11.136175178399998
 01/03  24:00:00,19.6461086675,7.7624160162699996
 01/04  01:00:00,15.9117170853,5.3013012041100005
 01/04  02:00:00,15.315598619600001,5.26846295898
 01/04  03:00:00,15.0338505187,5.732069220580001
 01/04  04:00:00,14.9151894351,6.5376331596399995
 01/04  05:00:00,17.0023699025,7.392157260539999
 01/04  06:00:00,21.543172369,11.9271801887
 01/04  07:00:00,26.8964095837,24.8894933699
 01/04  08:00:00,26.2622552269,23.706350960500004
 01/04  09:00:00,23.7282486211,21.7179604963
 01/04  10:00:00,20.895954598099998,19.060818243499998
 01/04  11:00:00,17.9801553607,16.9946233073
 01/04  12:00:00,18.1296853899,13.0476484927
 01/04  13:00:00,17.8192179584,10.757360742100001
 01/04  14:00:00,17.5614788223,9.47713510907
 01/04  15:00:00,17.413401363800002,8.33802701521
 01/04  16:00:00,18.8075822751,9.40142436729
 01/04  17:00:00,29.045612026500002,10.9391051152
 01/04  18:00:00,37.4230614209,14.484612497899999
 01/04  19:00:00,39.4685256826,17.3810890665
 01/04  20:00:00,38.4489323289,17.2469344359
 01/04  21:00:00,37.996699387199996,17.226703489600002
 01/04  22:00:00,32.5315545548,15.818676336
 01/04  23:00:00,25.577997062399998,15.9308937801
 01/04  24:00:00,19.6887333807,12.7053446417
 01/05  01:00:00,16.089849429,11.9868055968
 01/05  02:00:00,15.577110573099999,13.3928349535
 01/05  03:00:00,15.304380374800001,13.473391581700001
