Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,15.1069992076,0.0
 01/02  02:00:00,15.1069992076,0.0
 01/02  03:00:00,15.1069992076,0.0
 01/02  04:00:00,15.1069992076,0.0
 01/02  05:00:00,15.1069992076,0.0
 01/02  06:00:00,15.1069992076,0.0
 01/02  07:00:00,23.7365058411,182.93153363599998
 01/02  08:00:00,23.3504891493,143.58708544200002
 01/02  09:00:00,33.1646188535,123.040014006
 01/02  10:00:00,49.5568957463,93.9816252992
 01/02  11:00:00,49.5568957463,76.5462549317
 01/02  12:00:00,49.5568957463,52.798902035699996
 01/02  13:00:00,49.5568957463,27.9611226108
 01/02  14:00:00,49.5568957463,7.778654663919999
 01/02  15:00:00,49.5568957463,1.9872826934599999
 01/02  16:00:00,49.5568957463,0.797083968104
 01/02  17:00:00,55.2993957463,10.3654600518
 01/02  18:00:00,61.0418957463,28.510707853099998
 01/02  19:00:00,49.197106532700005,40.9384910555
 01/02  20:00:00,49.197106532700005,52.074234016700004
 01/02  21:00:00,44.6496188535,36.129365541
 01/02  22:00:00,22.3776491824,0.0
 01/02  23:00:00,15.1069992076,0.0
 01/02  24:00:00,15.1069992076,0.0
 01/03  01:00:00,15.1069992076,0.0
 01/03  02:00:00,15.1069992076,0.0
 01/03  03:00:00,15.1069992076,0.0
 01/03  04:00:00,15.1069992076,0.0
 01/03  05:00:00,15.1069992076,0.0
 01/03  06:00:00,15.1069992076,0.0
 01/03  07:00:00,23.7365058411,80.3492507926
 01/03  08:00:00,23.3504891493,56.4561382004
 01/03  09:00:00,33.1646188535,41.265326633
 01/03  10:00:00,49.5568957463,19.414838387
 01/03  11:00:00,49.5568957463,12.1862902252
 01/03  12:00:00,49.5568957463,1.22659106846
 01/03  13:00:00,49.5568957463,0.0
 01/03  14:00:00,49.5568957463,0.0
 01/03  15:00:00,49.5568957463,0.0
 01/03  16:00:00,49.5568957463,0.0
 01/03  17:00:00,55.2993957463,0.0
 01/03  18:00:00,61.0418957463,0.0191737357801
 01/03  19:00:00,49.197106532700005,6.36453049168
 01/03  20:00:00,49.197106532700005,12.811880871
 01/03  21:00:00,44.6496188535,16.126981639500002
 01/03  22:00:00,22.3776491824,0.0
 01/03  23:00:00,15.1069992076,0.0
 01/03  24:00:00,15.1069992076,0.0
 01/04  01:00:00,15.1069992076,0.0
 01/04  02:00:00,15.1069992076,0.0
 01/04  03:00:00,15.1069992076,0.0
 01/04  04:00:00,15.1069992076,0.0
 01/04  05:00:00,15.1069992076,0.0
 01/04  06:00:00,15.1069992076,0.0
 01/04  07:00:00,23.7365058411,101.93407728700001
 01/04  08:00:00,23.3504891493,60.5650009267
 01/04  09:00:00,33.1646188535,29.2107514546
 01/04  10:00:00,49.5568957463,4.80202162356
 01/04  11:00:00,49.5568957463,0.35234400626100004
 01/04  12:00:00,49.5568957463,0.0
 01/04  13:00:00,49.5568957463,0.0
 01/04  14:00:00,49.5568957463,0.0
 01/04  15:00:00,49.5568957463,0.0
 01/04  16:00:00,49.5568957463,0.0
 01/04  17:00:00,55.2993957463,0.0
 01/04  18:00:00,61.0418957463,0.0117262957621
 01/04  19:00:00,49.197106532700005,7.66930522356
 01/04  20:00:00,49.197106532700005,25.6229760443
 01/04  21:00:00,44.6496188535,39.978558479899995
 01/04  22:00:00,22.3776491824,0.0
 01/04  23:00:00,15.1069992076,0.0
 01/04  24:00:00,15.1069992076,0.0
 01/05  01:00:00,15.1069992076,0.0
 01/05  02:00:00,15.1069992076,0.0
 01/05  03:00:00,15.1069992076,0.0
 01/05  04:00:00,15.1069992076,0.0
 01/05  05:00:00,15.1069992076,0.0
 01/05  06:00:00,15.1069992076,0.0
 01/05  07:00:00,23.7365058411,163.955158494
 01/05  08:00:00,23.3504891493,138.13963188600002
 01/05  09:00:00,33.1646188535,122.30787547899999
 01/05  10:00:00,49.5568957463,97.17108392690001
 01/05  11:00:00,49.5568957463,84.4318059319
 01/05  12:00:00,49.5568957463,69.04183619359999
 01/05  13:00:00,49.5568957463,59.7094161049
 01/05  14:00:00,49.5568957463,53.3236246623
 01/05  15:00:00,49.5568957463,51.3073215428
 01/05  16:00:00,49.5568957463,52.8868583854
 01/05  17:00:00,55.2993957463,67.5337883733
 01/05  18:00:00,61.0418957463,84.0861206175
 01/05  19:00:00,49.197106532700005,97.3023636386
 01/05  20:00:00,49.197106532700005,111.37067501
 01/05  21:00:00,44.6496188535,118.65551933299999
 01/05  22:00:00,22.3776491824,0.0
 01/05  23:00:00,15.1069992076,0.0
 01/05  24:00:00,15.1069992076,0.0
 01/06  01:00:00,15.1381760302,0.955513685449
 01/06  02:00:00,15.207851438499999,3.02115023796
 01/06  03:00:00,15.2777354211,4.9633148694499996
 01/06  04:00:00,15.342264246400001,6.8925347406699995
 01/06  05:00:00,15.5620702326,13.4736969204
 01/06  06:00:00,15.7887235157,20.077447611
 01/06  07:00:00,23.7365058411,255.65020635099998
 01/06  08:00:00,23.3504891493,220.106340805
 01/06  09:00:00,33.1646188535,179.523223127
 01/06  10:00:00,49.5568957463,132.315155944
 01/06  11:00:00,49.5568957463,101.422679337
 01/06  12:00:00,49.5568957463,73.5429107496
 01/06  13:00:00,49.5568957463,56.3214045532
 01/06  14:00:00,49.5568957463,43.381046096400006
 01/06  15:00:00,49.5568957463,37.2157078204
 01/06  16:00:00,49.5568957463,33.0694102066
 01/06  17:00:00,55.2993957463,47.0734155049
 01/06  18:00:00,61.0418957463,62.9927610681
 01/06  19:00:00,49.197106532700005,74.1055837714
 01/06  20:00:00,49.197106532700005,83.23017079600001
 01/06  21:00:00,44.6496188535,99.84687728280001
 01/06  22:00:00,22.3776491824,0.0
 01/06  23:00:00,15.1069992076,0.0
 01/06  24:00:00,15.1069992076,0.0
 01/07  01:00:00,14.657580751600001,0.0
 01/07  02:00:00,14.684494450199999,0.827616975229
 01/07  03:00:00,14.717088071900001,1.83048106353
 01/07  04:00:00,14.7365532774,2.3529321528400002
 01/07  05:00:00,14.8203456998,4.76870442625
 01/07  06:00:00,14.8098930239,4.43304070522
 01/07  07:00:00,23.2870873851,227.75486661
 01/07  08:00:00,18.8030014701,183.204330037
 01/07  09:00:00,24.069643495100003,152.121974153
 01/07  10:00:00,37.7121065327,117.178374125
 01/07  11:00:00,49.5568957463,91.9711484627
 01/07  12:00:00,49.5568957463,62.866093491899996
 01/07  13:00:00,49.5568957463,36.4288203943
 01/07  14:00:00,49.5568957463,22.4302697136
 01/07  15:00:00,49.5568957463,17.3292406928
 01/07  16:00:00,49.5568957463,19.2594084648
 01/07  17:00:00,55.2993957463,32.8110888792
 01/07  18:00:00,61.0418957463,51.6227522466
 01/07  19:00:00,44.6496188535,77.08246768859999
 01/07  20:00:00,35.5546434951,91.8994570851
 01/07  21:00:00,35.5546434951,102.978493784
 01/07  22:00:00,26.4596681367,115.86550708799999
 01/07  23:00:00,14.657580751600001,0.0
 01/07  24:00:00,14.657580751600001,0.0
 01/08  01:00:00,14.657580751600001,0.0
 01/08  02:00:00,14.657580751600001,0.0
 01/08  03:00:00,14.668788816400001,0.34694247467
 01/08  04:00:00,14.6980142572,1.2395613367
 01/08  05:00:00,14.7274594259,2.08353192243
 01/08  06:00:00,14.8184645508,4.70753900713
 01/08  07:00:00,14.835692021099998,5.1635622875300005
 01/08  08:00:00,7.2535780782,7.357373477010001
 01/08  09:00:00,14.9746681367,224.82920272099997
 01/08  10:00:00,14.9746681367,160.65307696
 01/08  11:00:00,28.6171311743,123.78037727600001
 01/08  12:00:00,28.6171311743,103.42346803299999
 01/08  13:00:00,37.7121065327,82.8286921348
 01/08  14:00:00,37.7121065327,72.157728848
 01/08  15:00:00,37.7121065327,66.0739548375
 01/08  16:00:00,37.7121065327,69.34478750390001
 01/08  17:00:00,41.5404398661,77.1232258188
 01/08  18:00:00,40.1021311743,109.42879587899999
 01/08  19:00:00,31.007155815900003,124.82227389
 01/08  20:00:00,14.657580751600001,0.0
 01/08  21:00:00,14.657580751600001,0.0
 01/08  22:00:00,14.657580751600001,0.0
 01/08  23:00:00,14.657580751600001,0.0
 01/08  24:00:00,14.657580751600001,0.0
 01/09  01:00:00,15.1069992076,0.0
 01/09  02:00:00,15.1069992076,0.0
 01/09  03:00:00,15.130713774,0.728374738422
 01/09  04:00:00,15.132873827300001,0.79515986072
 01/09  05:00:00,15.1338895127,0.826300690756
 01/09  06:00:00,15.133552337200001,0.816471873558
 01/09  07:00:00,23.7365058411,193.918537308
 01/09  08:00:00,23.3504891493,148.422945654
 01/09  09:00:00,33.1646188535,118.180435503
 01/09  10:00:00,49.5568957463,78.5697726512
 01/09  11:00:00,49.5568957463,52.642969905
 01/09  12:00:00,49.5568957463,25.4578103825
 01/09  13:00:00,49.5568957463,7.610890804119999
 01/09  14:00:00,49.5568957463,3.29727670357
 01/09  15:00:00,49.5568957463,6.54815789597
 01/09  16:00:00,49.5568957463,13.5053460675
 01/09  17:00:00,53.385229079700004,23.410588115
 01/09  18:00:00,61.0418957463,38.053306905999996
 01/09  19:00:00,49.197106532700005,49.2569719342
 01/09  20:00:00,49.197106532700005,61.166915066099996
 01/09  21:00:00,44.6496188535,67.9497627509
 01/09  22:00:00,22.3776491824,0.0
 01/09  23:00:00,15.1069992076,0.0
 01/09  24:00:00,15.1069992076,0.0
 01/10  01:00:00,15.1069992076,0.0
 01/10  02:00:00,15.1069992076,0.0
 01/10  03:00:00,15.1069992076,0.0
 01/10  04:00:00,15.1069992076,0.0
 01/10  05:00:00,15.1069992076,0.0
 01/10  06:00:00,15.1069992076,0.0
 01/10  07:00:00,23.7365058411,149.479768388
 01/10  08:00:00,23.3504891493,115.68262980899999
 01/10  09:00:00,33.1646188535,95.5002463303
 01/10  10:00:00,49.5568957463,71.4982802506
 01/10  11:00:00,49.5568957463,65.0901513702
 01/10  12:00:00,49.5568957463,55.8910660808
 01/10  13:00:00,49.5568957463,55.2452503045
 01/10  14:00:00,49.5568957463,51.6377169529
 01/10  15:00:00,49.5568957463,48.136578148699996
 01/10  16:00:00,49.5568957463,37.1193459403
 01/10  17:00:00,53.385229079700004,16.407618119400002
 01/10  18:00:00,61.0418957463,13.546340327000001
 01/10  19:00:00,49.197106532700005,29.313610364400002
 01/10  20:00:00,49.197106532700005,43.9384151068
 01/10  21:00:00,44.6496188535,47.8587935121
 01/10  22:00:00,22.3776491824,0.0
 01/10  23:00:00,15.1069992076,0.0
 01/10  24:00:00,15.1069992076,0.0
 01/11  01:00:00,15.1069992076,0.0
 01/11  02:00:00,15.1069992076,0.0
 01/11  03:00:00,15.1069992076,0.0
 01/11  04:00:00,15.1069992076,0.0
 01/11  05:00:00,15.1069992076,0.0
 01/11  06:00:00,15.1069992076,0.0
 01/11  07:00:00,23.7365058411,146.562118748
 01/11  08:00:00,23.3504891493,115.599492079
 01/11  09:00:00,33.1646188535,87.4166578817
 01/11  10:00:00,49.5568957463,52.397787935699995
 01/11  11:00:00,49.5568957463,37.4096528214
 01/11  12:00:00,49.5568957463,31.6834853585
 01/11  13:00:00,49.5568957463,33.9213793934
 01/11  14:00:00,49.5568957463,32.8153198996
 01/11  15:00:00,49.5568957463,24.5962109764
 01/11  16:00:00,49.5568957463,18.276062173099998
 01/11  17:00:00,53.385229079700004,25.9189354437
 01/11  18:00:00,61.0418957463,35.476311511300004
 01/11  19:00:00,49.197106532700005,47.8112972441
 01/11  20:00:00,49.197106532700005,64.3127160221
 01/11  21:00:00,44.6496188535,71.0005823849
 01/11  22:00:00,22.3776491824,0.0
 01/11  23:00:00,15.1069992076,0.0
 01/11  24:00:00,15.1069992076,0.0
 01/12  01:00:00,15.1069992076,0.0
 01/12  02:00:00,15.1069992076,0.0
 01/12  03:00:00,15.1069992076,0.0
 01/12  04:00:00,15.1069992076,0.0
 01/12  05:00:00,15.1069992076,0.0
 01/12  06:00:00,15.1069992076,0.0
 01/12  07:00:00,23.7365058411,162.799788462
 01/12  08:00:00,23.3504891493,128.65838778100002
 01/12  09:00:00,33.1646188535,102.29873829700001
 01/12  10:00:00,49.5568957463,69.3295468207
 01/12  11:00:00,49.5568957463,51.7946834757
 01/12  12:00:00,49.5568957463,36.4343913264
 01/12  13:00:00,49.5568957463,28.2617625943
 01/12  14:00:00,49.5568957463,21.469970806400003
 01/12  15:00:00,49.5568957463,18.555941721099998
 01/12  16:00:00,49.5568957463,15.9170296745
 01/12  17:00:00,53.385229079700004,26.724514660300002
 01/12  18:00:00,61.0418957463,44.1219874471
 01/12  19:00:00,49.197106532700005,68.8726895835
 01/12  20:00:00,49.197106532700005,92.5815055417
 01/12  21:00:00,44.6496188535,101.362103996
 01/12  22:00:00,22.3776491824,0.0
 01/12  23:00:00,15.1069992076,0.0
 01/12  24:00:00,15.1069992076,0.0
 01/13  01:00:00,15.1069992076,0.0
 01/13  02:00:00,15.1069992076,0.0
 01/13  03:00:00,15.1069992076,0.0
 01/13  04:00:00,15.1069992076,0.0
 01/13  05:00:00,15.1069992076,0.0
 01/13  06:00:00,15.1069992076,0.0
 01/13  07:00:00,23.7365058411,190.02777090700002
 01/13  08:00:00,23.3504891493,153.02592815399998
