Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,19.1711129497,73.24179788010001
 01/01  02:00:00,18.7404949495,63.7902454113
 01/01  03:00:00,19.9940786915,90.03325896850001
 01/01  04:00:00,18.9297060537,71.2266236486
 01/01  05:00:00,20.0716145199,95.4956093239
 01/01  06:00:00,18.968307970599998,74.9279226993
 01/01  07:00:00,20.1057040463,98.46152429690001
 01/01  08:00:00,13.028103634,76.66599715779999
 01/01  09:00:00,10.949146147,92.1129811267
 01/01  10:00:00,9.44927935766,56.570907759099995
 01/01  11:00:00,9.7155634157,62.3239179626
 01/01  12:00:00,8.502903723189998,38.663130310300005
 01/01  13:00:00,8.69479761032,42.3640095273
 01/01  14:00:00,7.78113016663,24.647570977199997
 01/01  15:00:00,8.040520498200001,29.5584757145
 01/01  16:00:00,7.70895096509,23.2082999617
 01/01  17:00:00,13.0388542368,40.1733558453
 01/01  18:00:00,17.4476448325,39.2661473896
 01/01  19:00:00,18.7381801493,64.512025463
 01/01  20:00:00,18.2192270492,54.3988940588
 01/01  21:00:00,19.4638666648,78.91372256220001
 01/01  22:00:00,18.5363400377,60.6606522438
 01/01  23:00:00,19.6104641857,81.8762148603
 01/01  24:00:00,18.5316184583,60.5971768462
 01/02  01:00:00,19.5222380196,80.1302442304
 01/02  02:00:00,18.4769929921,59.5311888326
 01/02  03:00:00,19.5653666523,80.9962093
 01/02  04:00:00,18.741186372999998,64.75600100289999
 01/02  05:00:00,19.9465743118,88.4381399436
 01/02  06:00:00,18.7835227494,64.4294468599
 01/02  07:00:00,24.1393228427,108.55143608700001
 01/02  08:00:00,38.527816306700004,86.1723376278
 01/02  09:00:00,55.0939608721,73.1380973304
 01/02  10:00:00,67.0804107579,59.1226066468
 01/02  11:00:00,67.0804107579,46.3126351622
 01/02  12:00:00,67.0804107579,34.398046813200004
 01/02  13:00:00,60.587586483500004,21.9441887483
 01/02  14:00:00,67.0804107579,8.054414769089998
 01/02  15:00:00,67.0804107579,6.4520352145099995
 01/02  16:00:00,67.0804107579,6.84898639893
 01/02  17:00:00,71.5419107579,8.92964823095
 01/02  18:00:00,30.442870438000003,19.4031386081
 01/02  19:00:00,17.1084360888,32.0245725864
 01/02  20:00:00,17.3424319241,37.196954168299996
 01/02  21:00:00,17.3378144889,36.7400166331
 01/02  22:00:00,16.8319449844,27.399210673800003
 01/02  23:00:00,16.6767468115,24.120111887399997
 01/02  24:00:00,16.579656924400002,22.581574709899996
 01/03  01:00:00,16.6799290934,24.2886284035
 01/03  02:00:00,16.6936569963,24.933521285900003
 01/03  03:00:00,16.7878877669,26.459325090500002
 01/03  04:00:00,16.7938815714,26.992420719299997
 01/03  05:00:00,16.9322371037,29.3103651238
 01/03  06:00:00,16.8906093881,28.9586255042
 01/03  07:00:00,24.0608165622,42.1414457021
 01/03  08:00:00,38.6022223971,30.5690061821
 01/03  09:00:00,55.1063618871,20.0267362098
 01/03  10:00:00,67.0804107579,11.4476298907
 01/03  11:00:00,67.0804107579,9.37923392281
 01/03  12:00:00,67.0804107579,8.118702761649999
 01/03  13:00:00,60.587586483500004,7.38956536009
 01/03  14:00:00,67.0804107579,6.01754695913
 01/03  15:00:00,67.0804107579,5.3041867827399996
 01/03  16:00:00,67.0804107579,4.3586268746
 01/03  17:00:00,71.5419107579,5.20513905627
 01/03  18:00:00,29.4130725015,0.0
