Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,13.5226127581,47.0563655661
 01/01  02:00:00,9.51693473184,3.0211
 01/01  03:00:00,9.53697261195,3.5931511573400003
 01/01  04:00:00,9.547456835010001,3.0211
 01/01  05:00:00,9.69420449855,3.0211
 01/01  06:00:00,13.688823449500001,47.29826229
 01/01  07:00:00,28.1578146186,51.3282523925
 01/01  08:00:00,26.2129881614,55.318398950900004
 01/01  09:00:00,20.5773913926,50.6363301984
 01/01  10:00:00,20.5880307826,48.4914674387
 01/01  11:00:00,25.5935211982,64.292129842
 01/01  12:00:00,26.7508083909,67.2387679562
 01/01  13:00:00,25.837683057399996,57.0889924852
 01/01  14:00:00,25.6473384204,51.2696387455
 01/01  15:00:00,20.6403079983,42.1652007932
 01/01  16:00:00,20.613691607899998,45.0629819028
 01/01  17:00:00,21.782426144400002,52.5668495423
 01/01  18:00:00,28.0389790525,58.4580367963
 01/01  19:00:00,28.039414678099998,59.336284793500006
 01/01  20:00:00,28.1817594836,60.2240971632
 01/01  21:00:00,23.1659724105,58.0935094861
 01/01  22:00:00,23.0967827796,59.3700369693
 01/01  23:00:00,22.9877362982,58.1601900604
 01/01  24:00:00,24.1888005732,47.6728899167
 01/02  01:00:00,13.7104136843,55.983355438800004
 01/02  02:00:00,9.47213470642,3.5931690022199994
 01/02  03:00:00,9.49471634648,3.0211
 01/02  04:00:00,9.50762483503,3.0211
 01/02  05:00:00,9.658488142869999,3.5931749104800006
 01/02  06:00:00,13.664194826600001,65.3081121325
 01/02  07:00:00,28.1378333852,69.84886916010001
 01/02  08:00:00,26.192250454299998,76.27340339359999
 01/02  09:00:00,20.560499566,69.8830044968
 01/02  10:00:00,20.5718674493,65.9077336853
 01/02  11:00:00,25.566997261599997,76.2609894974
 01/02  12:00:00,26.726417940799998,77.6603617729
 01/02  13:00:00,25.793517045599998,67.4094384647
 01/02  14:00:00,25.5924694237,61.5737662724
 01/02  15:00:00,20.5907434209,54.0832406371
 01/02  16:00:00,20.5772684122,55.729458516099996
 01/02  17:00:00,21.7621350544,59.3649710288
 01/02  18:00:00,28.0370543624,59.7700142574
 01/02  19:00:00,28.0418451379,60.719053297799995
 01/02  20:00:00,28.1857041181,61.199460132700004
 01/02  21:00:00,23.173057011999997,58.3608544067
 01/02  22:00:00,23.108426716,57.5188312337
 01/02  23:00:00,23.010121273299998,53.0148580104
 01/02  24:00:00,24.2084383031,38.2618583823
 01/03  01:00:00,13.7277217579,44.927189228100005
 01/03  02:00:00,9.494228740499999,3.5931956255
 01/03  03:00:00,9.51900343891,3.0211
 01/03  04:00:00,9.53099901575,3.5931498099800003
 01/03  05:00:00,10.198279337999999,3.0211
 01/03  06:00:00,14.1923203178,48.2442451005
 01/03  07:00:00,28.3885930304,49.291554986
 01/03  08:00:00,26.2281791786,55.2566398538
 01/03  09:00:00,20.601586041300003,48.8958901408
 01/03  10:00:00,20.6276324757,46.685324773599994
 01/03  11:00:00,25.636942500500002,59.8039333408
 01/03  12:00:00,26.774323250300004,63.9932514751
 01/03  13:00:00,25.860945442800002,56.7049335346
 01/03  14:00:00,25.661913663000004,52.667558367
 01/03  15:00:00,20.6615313106,44.396214154700004
 01/03  16:00:00,20.6412500468,46.4607995247
 01/03  17:00:00,21.8219043267,49.8675661729
 01/03  18:00:00,28.0907017813,49.766081468500005
 01/03  19:00:00,28.090179433600003,51.8289015614
 01/03  20:00:00,28.087805648000003,52.2603573812
 01/03  21:00:00,23.077216181399997,50.905341075100004
 01/03  22:00:00,23.032701526900002,51.9156275821
 01/03  23:00:00,23.0258389094,49.7761878253
 01/03  24:00:00,24.212215578600002,36.5048208113
 01/04  01:00:00,13.728495629300001,43.4843992054
 01/04  02:00:00,9.49211051626,3.5931636200300003
 01/04  03:00:00,9.51508372806,3.0211
 01/04  04:00:00,9.52778124902,3.0211
 01/04  05:00:00,9.67752632347,3.59316953685
 01/04  06:00:00,13.6704503119,52.2576538826
 01/04  07:00:00,28.140662348000003,59.6755567188
 01/04  08:00:00,26.1943039354,67.86978999029999
 01/04  09:00:00,20.5616881881,61.6506773992
 01/04  10:00:00,20.5711460287,59.7240154458
 01/04  11:00:00,25.566929460700003,73.89011269939999
 01/04  12:00:00,26.725909969,77.0273690742
 01/04  13:00:00,25.790612961500003,68.20584319550001
 01/04  14:00:00,25.5896326781,62.6635179816
 01/04  15:00:00,20.5887235561,55.8293706929
 01/04  16:00:00,20.571926578,57.846426576899994
 01/04  17:00:00,21.7557443631,62.393773385299994
 01/04  18:00:00,28.0256316502,63.7787623312
 01/04  19:00:00,28.028674117399998,65.66845173729999
 01/04  20:00:00,28.1723832451,67.3869579441
 01/04  21:00:00,23.1590332312,66.5296454022
 01/04  22:00:00,23.093867419099997,67.4416970704
 01/04  23:00:00,22.989901589099997,65.5743650165
 01/04  24:00:00,24.1887759396,52.693936264499996
 01/05  01:00:00,13.7122373383,61.1780319313
 01/05  02:00:00,9.46885772479,3.0211
 01/05  03:00:00,9.49054200538,3.59316452655
 01/05  04:00:00,9.50390421616,3.0211
 01/05  05:00:00,9.6546348965,3.5931704419300003
 01/05  06:00:00,13.663097123599998,66.82830709619999
 01/05  07:00:00,28.137791758899997,70.20101020119999
 01/05  08:00:00,26.1920567637,76.6008932674
 01/05  09:00:00,20.5600636845,69.546648343
 01/05  10:00:00,20.5702431821,67.0690424732
 01/05  11:00:00,25.565033948499998,81.0078438738
 01/05  12:00:00,26.7215266613,83.6076763035
 01/05  13:00:00,25.7862712431,73.1933729931
 01/05  14:00:00,25.5842158957,67.9872891429
 01/05  15:00:00,20.5827718817,60.255032198500004
 01/05  16:00:00,20.5679282542,61.0440569221
 01/05  17:00:00,21.7513881083,67.36156658430001
 01/05  18:00:00,28.020521012899998,70.2314748757
 01/05  19:00:00,28.023011260500002,73.05284149180001
 01/05  20:00:00,28.1665459577,74.5624246447
 01/05  21:00:00,23.1520944277,74.2390527758
 01/05  22:00:00,23.08810174,73.9990829125
 01/05  23:00:00,22.9844409431,72.97532998300001
 01/05  24:00:00,24.188299918600002,60.1331931977
 01/06  01:00:00,13.7130016269,67.3403621065
 01/06  02:00:00,9.46567806009,3.0211
 01/06  03:00:00,9.486169265560001,3.59314771958
 01/06  04:00:00,9.49934665888,3.0211
 01/06  05:00:00,10.1672313413,3.59315366173
 01/06  06:00:00,14.1734624742,72.2481572759
 01/06  07:00:00,28.3666295337,75.1490658438
 01/06  08:00:00,26.1934020111,81.73221853609999
 01/06  09:00:00,20.5634010177,73.1266479003
 01/06  10:00:00,20.5725618235,66.8412638854
 01/06  11:00:00,25.566450254499998,77.6829890493
 01/06  12:00:00,26.7249237295,79.5762191012
 01/06  13:00:00,25.7898450821,70.11168747890001
 01/06  14:00:00,25.5880012945,64.63796639430001
 01/06  15:00:00,20.587326221199998,55.919562023100006
 01/06  16:00:00,20.5731802717,56.5272503312
 01/06  17:00:00,21.7567444912,60.87659245020001
 01/06  18:00:00,28.0271892398,61.512369730399996
 01/06  19:00:00,28.030557393600002,64.6118429118
 01/06  20:00:00,28.032071111599997,65.7046644528
 01/06  21:00:00,23.027355700700003,63.908183694499996
 01/06  22:00:00,22.9941426137,64.8144405731
 01/06  23:00:00,22.992823197800003,63.8479755393
 01/06  24:00:00,24.192186553000003,51.0194738308
 01/07  01:00:00,13.7131960576,57.8075606292
 01/07  02:00:00,9.47360953983,3.0211
 01/07  03:00:00,9.497172385219999,3.59316149005
 01/07  04:00:00,9.51146435077,3.0211
 01/07  05:00:00,9.66280045411,3.5931674102699995
 01/07  06:00:00,13.6665650311,62.140653526099996
 01/07  07:00:00,28.142638725700003,67.2944879583
 01/07  08:00:00,26.2005299228,68.2908148668
 01/07  09:00:00,20.5696150727,56.4173317644
 01/07  10:00:00,20.582806448699998,55.2808846373
 01/07  11:00:00,25.579265039499997,68.9975395738
 01/07  12:00:00,26.736728719000002,73.4506907025
 01/07  13:00:00,25.8099334477,66.5235776894
 01/07  14:00:00,25.6090051192,63.2108335155
 01/07  15:00:00,20.609006483599998,55.78124290069999
 01/07  16:00:00,20.5982635541,54.9742294535
 01/07  17:00:00,21.7859432741,56.48108521939999
 01/07  18:00:00,28.0558508652,58.5265233614
 01/07  19:00:00,28.062383266999998,56.518105043999995
 01/07  20:00:00,28.209496078,56.53537858479999
 01/07  21:00:00,23.1966247209,54.498124861499996
 01/07  22:00:00,23.1308382136,53.5899715729
 01/07  23:00:00,23.0303773487,50.645297907
 01/07  24:00:00,24.2199868797,36.9751647334
 01/08  01:00:00,13.7444288161,43.9754020568
 01/08  02:00:00,9.51532487625,3.0211
 01/08  03:00:00,9.54352495612,3.5931489422099996
 01/08  04:00:00,9.55756436674,3.0211
 01/08  05:00:00,9.70947669423,3.0211
 01/08  06:00:00,13.7079304804,44.106707991499995
 01/08  07:00:00,28.184532968499997,47.0308397078
 01/08  08:00:00,26.242843609,50.8860322428
 01/08  09:00:00,20.6105675761,46.5062169268
 01/08  10:00:00,20.6098718478,48.34412590229999
 01/08  11:00:00,25.5882012185,68.86875428649999
 01/08  12:00:00,26.7386184014,77.1482011879
 01/08  13:00:00,25.7980881384,71.85958256100001
 01/08  14:00:00,25.5994845789,67.2734455596
 01/08  15:00:00,20.5976017748,58.642893556800004
 01/08  16:00:00,20.580122024,57.8774266647
 01/08  17:00:00,21.7619250821,64.7125646546
 01/08  18:00:00,28.025013199099998,71.0360328047
 01/08  19:00:00,28.024145413899998,72.8203046796
 01/08  20:00:00,28.1657125026,75.8868405978
 01/08  21:00:00,23.152076833400002,76.9407152742
 01/08  22:00:00,23.088120292800003,79.1328211979
 01/08  23:00:00,22.9841724383,78.0062786819
 01/08  24:00:00,24.1882998088,65.9227964506
 01/09  01:00:00,13.711471554800001,72.6688867419
 01/09  02:00:00,9.46291679893,3.5931461403800005
 01/09  03:00:00,9.48260603769,3.0211
 01/09  04:00:00,9.49583254495,3.59315208505
 01/09  05:00:00,9.64652849164,3.0211
 01/09  06:00:00,13.661003546,77.2665961854
 01/09  07:00:00,28.1377022183,80.334562026
 01/09  08:00:00,26.191016085999998,85.9451494831
 01/09  09:00:00,20.5595652735,78.0727303961
 01/09  10:00:00,20.570036251199998,75.2215337472
 01/09  11:00:00,25.5637571224,88.21912961129999
 01/09  12:00:00,26.7206500281,89.97518426639999
 01/09  13:00:00,25.7832932936,81.1567493141
 01/09  14:00:00,25.5814474566,76.6333893868
 01/09  15:00:00,20.5830623993,69.48041964149999
 01/09  16:00:00,20.5688819474,70.0393091336
 01/09  17:00:00,21.752349402300002,75.7230342454
 01/09  18:00:00,28.0211569782,78.1459205812
 01/09  19:00:00,28.0215545102,78.6305426516
 01/09  20:00:00,28.1644097104,80.7490914515
 01/09  21:00:00,23.1508948711,80.1084719367
 01/09  22:00:00,23.0871090964,79.8217802759
 01/09  23:00:00,22.984192084,78.77019165739999
 01/09  24:00:00,24.188302423400003,66.063705248
 01/10  01:00:00,13.712766242799999,74.20565821
 01/10  02:00:00,9.46045228303,3.0211
 01/10  03:00:00,9.479055957889999,3.5931896133199994
 01/10  04:00:00,9.4923450567,3.0211
 01/10  05:00:00,10.1604418012,3.5931954888699997
 01/10  06:00:00,14.1712658422,77.6250911474
 01/10  07:00:00,28.3662493254,80.5841067683
 01/10  08:00:00,26.190857721999997,86.09216953389999
 01/10  09:00:00,20.5597114896,78.0932071423
 01/10  10:00:00,20.5707185797,73.53445596569999
 01/10  11:00:00,25.5655409158,84.94570081399999
 01/10  12:00:00,26.7228237602,85.54017809289999
 01/10  13:00:00,25.786990580900003,76.20320687979999
 01/10  14:00:00,25.584166722600003,70.4840221712
 01/10  15:00:00,20.5845842847,63.9112764264
 01/10  16:00:00,20.5716695802,64.8372232276
 01/10  17:00:00,21.7556274202,69.9886656428
 01/10  18:00:00,28.024625741199998,71.9754784125
 01/10  19:00:00,28.0265799392,73.7227629966
 01/10  20:00:00,28.0270136662,74.7428994969
 01/10  21:00:00,23.022797986700002,74.5240553668
 01/10  22:00:00,22.989037781700002,74.0290217572
 01/10  23:00:00,22.987059872,70.9981665442
 01/10  24:00:00,24.1886408409,56.78141551149999
 01/11  01:00:00,13.7125742826,62.429846111
 01/11  02:00:00,9.467956140560002,3.0211
 01/11  03:00:00,9.49000548053,3.5931528585900003
 01/11  04:00:00,9.50491009855,3.0211
 01/11  05:00:00,9.65734630206,3.0211
 01/11  06:00:00,13.6644626554,64.1528993378
 01/11  07:00:00,28.1415200321,67.4551100937
 01/11  08:00:00,26.2002088769,72.4279149675
 01/11  09:00:00,20.5699048849,65.7125676852
 01/11  10:00:00,20.5807008767,64.6225658462
 01/11  11:00:00,25.5782388205,78.7460880955
 01/11  12:00:00,26.7345340479,81.33980366109999
 01/11  13:00:00,25.8044218102,71.9592089369
 01/11  14:00:00,25.6077597005,64.0032659247
 01/11  15:00:00,20.6105693049,55.3146399852
 01/11  16:00:00,20.5998695381,54.4416911645
 01/11  17:00:00,21.794105654099997,55.104129035
 01/11  18:00:00,28.07628618,51.3847873006
 01/11  19:00:00,28.074368351799997,53.5775165612
 01/11  20:00:00,28.207552074400002,56.654500684700004
 01/11  21:00:00,23.190445655100003,55.5893725063
 01/11  22:00:00,23.124538494,55.2991575225
 01/11  23:00:00,23.0200658714,52.6880474371
 01/11  24:00:00,24.2117171565,39.3846934569
 01/12  01:00:00,13.7283464471,47.920216688100005
 01/12  02:00:00,9.49217375503,3.0211
 01/12  03:00:00,9.51621341276,3.0211
 01/12  04:00:00,9.52790910632,3.59318953065
 01/12  05:00:00,9.6767048296,3.0211
 01/12  06:00:00,13.673199859,59.6554246576
 01/12  07:00:00,28.1480171448,61.970329873500006
 01/12  08:00:00,26.2083541512,67.29641998609999
 01/12  09:00:00,20.577705903800002,57.631043607399995
 01/12  10:00:00,20.589137914200002,52.993382937
 01/12  11:00:00,25.5866818934,65.8351756407
 01/12  12:00:00,26.7445759048,69.3017346722
 01/12  13:00:00,25.817301677,61.5750933924
 01/12  14:00:00,25.620546432399998,56.3327170233
 01/12  15:00:00,20.6162649321,49.2384260472
 01/12  16:00:00,20.5929355259,51.6059248148
 01/12  17:00:00,21.766387982399998,57.5698590455
 01/12  18:00:00,28.034960924499998,60.5568269113
 01/12  19:00:00,28.0367929796,63.7171023804
 01/12  20:00:00,28.1793550787,65.9001015719
