Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,19.3004300335,77.0186825904
 01/01  02:00:00,19.128777351500002,77.51053121460001
 01/01  03:00:00,20.4500730406,108.703284774
 01/01  04:00:00,19.2889671402,86.7309792781
 01/01  05:00:00,20.404158285599998,108.840191526
 01/01  06:00:00,19.1320118917,81.3888789472
 01/01  07:00:00,20.1792373322,100.12023005799999
 01/01  08:00:00,13.018275694300002,73.6888804031
 01/01  09:00:00,10.8678618362,85.875009586
 01/01  10:00:00,9.23048092706,53.268460063599996
 01/01  11:00:00,9.637577982189999,62.2094027741
 01/01  12:00:00,8.47157785933,38.9588156863
 01/01  13:00:00,8.64734399084,42.4581039141
 01/01  14:00:00,7.7963853698,25.5549421413
 01/01  15:00:00,8.07594757387,31.0366222418
 01/01  16:00:00,7.653968517669999,22.7406206139
 01/01  17:00:00,12.889526406400002,38.2545183672
 01/01  18:00:00,17.2973321417,37.303217908200004
 01/01  19:00:00,18.4974003024,61.292505570299994
 01/01  20:00:00,17.9560085129,50.487097957299994
 01/01  21:00:00,19.1873184917,75.2208521019
 01/01  22:00:00,18.47208128,60.8520522513
 01/01  23:00:00,19.5363730814,82.3057622369
 01/01  24:00:00,18.4261288386,59.899566362799995
 01/02  01:00:00,19.370977301,78.92869647239999
 01/02  02:00:00,18.2487390336,56.381421616800004
 01/02  03:00:00,19.2277361438,76.078323793
 01/02  04:00:00,18.323969232,57.8973620284
 01/02  05:00:00,19.3760578734,79.0777918601
 01/02  06:00:00,18.3262223278,57.957715434300006
 01/02  07:00:00,26.069818648400002,97.9406271172
 01/02  08:00:00,40.6732295586,77.3018847412
 01/02  09:00:00,57.189770063699996,65.2290018049
 01/02  10:00:00,69.1638189345,51.509286851599995
 01/02  11:00:00,69.1638189345,41.0199310984
 01/02  12:00:00,69.1638189345,30.722894005100002
 01/02  13:00:00,62.67099466,19.087867727
 01/02  14:00:00,69.1638189345,8.023593026539999
 01/02  15:00:00,69.1638189345,6.94218726342
 01/02  16:00:00,69.1638189345,7.1332147941
 01/02  17:00:00,73.6253189345,8.08585639382
 01/02  18:00:00,30.2143233049,15.540133709900001
 01/02  19:00:00,16.735663095,25.5355895796
 01/02  20:00:00,16.8304477266,27.8788881902
 01/02  21:00:00,16.9626076341,30.3690966111
 01/02  22:00:00,16.7965537773,27.3801749949
 01/02  23:00:00,16.7524729834,26.320218175500003
 01/02  24:00:00,16.6816978205,25.204556758600003
 01/03  01:00:00,16.868124049400002,28.722708368000003
 01/03  02:00:00,16.8864404706,29.4219046291
 01/03  03:00:00,17.069230985999997,32.8010439605
 01/03  04:00:00,17.0591212828,32.9820277127
 01/03  05:00:00,17.1550310382,34.5611560117
 01/03  06:00:00,17.020278421900002,32.2721390553
 01/03  07:00:00,26.144224738800002,44.1175823499
 01/03  08:00:00,40.6856305736,31.989944408600003
 01/03  09:00:00,57.189770063699996,22.465724940500003
 01/03  10:00:00,69.1638189345,12.962947616400001
 01/03  11:00:00,69.1638189345,9.6839677265
 01/03  12:00:00,69.1638189345,8.542719293180001
 01/03  13:00:00,62.67099466,7.953765466819999
 01/03  14:00:00,69.1638189345,6.29142366235
 01/03  15:00:00,69.1638189345,5.59607174722
 01/03  16:00:00,69.1638189345,5.61524695212
 01/03  17:00:00,73.6253189345,6.26892381339
 01/03  18:00:00,29.4130725015,0.0
 01/03  19:00:00,15.8203671695,7.85839724234
 01/03  20:00:00,15.9103458667,9.5957674648
 01/03  21:00:00,16.4183807207,19.7499595977
 01/03  22:00:00,16.2633862996,16.751120514
 01/03  23:00:00,16.7567807682,26.528447172399996
 01/03  24:00:00,16.5343813548,22.2391062951
 01/04  01:00:00,17.0000655923,31.4581058778
 01/04  02:00:00,16.6411207931,24.4268941577
 01/04  03:00:00,17.1074994226,33.675636365100004
 01/04  04:00:00,16.719825035699998,26.0563653888
 01/04  05:00:00,17.2229727343,36.020568431
 01/04  06:00:00,16.8040816444,27.7698940633
 01/04  07:00:00,26.144224738800002,49.7254219909
 01/04  08:00:00,40.6856305736,32.7354910948
 01/04  09:00:00,57.189770063699996,20.1747172394
 01/04  10:00:00,69.1638189345,10.9492685803
 01/04  11:00:00,69.1638189345,9.108941645189999
 01/04  12:00:00,69.1638189345,7.830343784269999
 01/04  13:00:00,62.67099466,7.08219005871
 01/04  14:00:00,69.1638189345,5.77462390628
 01/04  15:00:00,69.1638189345,5.582193549149999
 01/04  16:00:00,69.1638189345,5.3057168459
 01/04  17:00:00,73.6253189345,5.741490225669999
 01/04  18:00:00,29.4130725015,0.0
 01/04  19:00:00,15.8306984257,8.05547195266
 01/04  20:00:00,16.3468084095,18.2892410162
 01/04  21:00:00,16.3479003862,18.481470942
 01/04  22:00:00,16.982924631099998,31.092878011
 01/04  23:00:00,16.743677049400002,26.481713070300003
 01/04  24:00:00,17.3613362093,38.718119705700005
